codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0022,0069,0201,0217,0231,0502,0503,0543,0567,0570,0578
04,Capital,001,0001 ,0001,343,5,2,0,3,5,9,0,117,19,29,9,0,24
04,Capital,001,0001 ,0002,343,1,5,6,4,2,17,4,128,12,17,3,1,22
04,Capital,001,0001 ,0003,343,2,8,3,1,7,16,0,111,16,30,6,0,14
04,Capital,001,0001 ,0004,343,2,4,4,2,8,10,0,123,17,20,5,0,27
04,Capital,001,0001 ,0005,342,2,5,2,5,5,11,2,130,10,24,11,2,16
04,Capital,001,0001 ,0006,343,4,4,0,5,10,11,0,127,17,12,10,3,11
04,Capital,001,0001 ,0007,345,3,2,1,8,5,16,2,105,13,27,7,0,28
04,Capital,001,0001 ,0008,342,2,2,3,6,4,13,1,113,23,25,9,0,22
04,Capital,001,0001 ,0009,343,2,5,0,4,4,13,0,114,14,21,7,1,26
04,Capital,001,0001 ,0010,343,4,4,2,7,4,6,2,128,12,27,10,1,22
04,Capital,001,0001 ,0011,343,0,7,5,4,9,13,1,128,14,25,9,3,15
04,Capital,001,0001 ,0012,343,1,7,1,3,7,8,3,106,18,23,12,4,29
04,Capital,001,0001 ,0013,343,2,2,2,5,3,9,1,125,14,23,8,2,24
04,Capital,001,0001 ,0014,343,2,4,2,2,5,8,1,113,16,34,8,3,20
04,Capital,001,0001 ,0015,343,2,5,2,2,5,7,0,137,15,22,8,0,15
04,Capital,001,0001 ,0016,343,0,4,0,3,4,9,1,123,9,28,10,2,24
04,Capital,001,0001 ,0017,343,2,1,2,4,7,4,0,119,11,21,8,3,27
04,Capital,001,0001 ,0018,343,2,8,1,3,9,13,0,121,11,28,3,0,26
04,Capital,001,0001 ,0019,345,2,4,2,2,8,13,1,115,22,27,9,1,27
04,Capital,001,0001 ,0020,343,6,10,1,6,1,14,1,123,8,25,8,4,25
04,Capital,001,0001 ,0021,344,4,8,0,5,2,8,1,100,12,32,9,3,36
04,Capital,001,0001 ,0022,342,1,7,0,1,3,18,1,118,17,25,5,1,23
04,Capital,001,0001 ,0023,342,1,9,2,3,10,8,2,122,20,19,6,1,17
04,Capital,001,0001 ,0024,342,2,6,0,2,6,6,0,120,18,21,4,3,22
04,Capital,001,0001 ,0025,342,2,5,4,7,4,6,3,106,11,32,8,2,30
04,Capital,001,0001 ,0026,343,2,1,5,5,6,11,0,118,11,29,7,3,23
04,Capital,001,0001 ,0027,342,1,9,0,6,4,14,0,103,20,27,7,2,28
04,Capital,001,0001 ,0028,342,2,6,1,5,9,8,0,113,14,23,9,3,22
04,Capital,001,0001 ,0029,343,2,8,1,6,3,19,0,139,20,13,8,0,19
04,Capital,001,0001 ,0030,342,3,4,1,4,4,15,4,111,16,26,6,0,32
04,Capital,001,0001 ,0031,342,2,7,3,4,6,14,0,112,9,27,11,1,22
04,Capital,001,0001 ,0032,341,1,4,2,9,7,18,1,118,15,22,5,0,21
04,Capital,001,0001 ,0033,342,1,6,3,3,4,10,2,116,13,28,9,1,33
04,Capital,001,0001 ,0034,342,3,1,1,4,8,13,2,102,18,35,5,3,25
04,Capital,001,0001 ,0035,342,0,1,5,2,14,9,2,111,8,35,9,2,27
04,Capital,001,0001 ,0036,342,1,10,5,9,2,13,0,113,12,30,3,2,22
04,Capital,001,0001 ,0037,344,1,6,1,6,3,10,1,124,14,26,7,1,26
04,Capital,001,0001 ,0038,343,2,5,2,4,9,14,2,106,14,29,5,2,29
04,Capital,001,0001 ,0039,342,5,5,1,0,10,9,0,127,13,24,4,3,20
04,Capital,001,0001 ,0040,342,1,8,2,4,3,7,0,126,16,21,5,1,23
04,Capital,001,0001 ,0041,342,6,3,1,5,6,9,2,106,13,37,8,1,28
04,Capital,001,0001 ,0042,342,1,5,2,4,6,9,1,113,18,31,6,0,21
04,Capital,001,0001 ,0043,342,4,5,6,3,3,11,1,123,11,19,5,0,21
04,Capital,001,0001 ,0044,342,4,6,2,3,3,11,0,99,25,25,6,1,26
04,Capital,001,0001 ,0045,342,0,2,0,5,5,13,0,124,8,23,7,2,25
04,Capital,001,0001 ,0046,342,0,0,0,0,0,0,0,0,0,0,0,0,0
04,Capital,001,0001 ,0047,344,4,11,2,6,9,14,0,126,8,25,3,0,24
04,Capital,001,0002 ,0048,343,1,6,2,3,5,16,0,99,12,29,7,0,20
04,Capital,001,0002 ,0049,342,2,5,1,3,10,12,2,110,15,23,9,2,22
04,Capital,001,0002 ,0050,342,6,6,5,0,11,18,1,103,18,20,8,1,25
04,Capital,001,0002 ,0051,342,2,7,1,4,0,12,0,100,16,20,11,4,31
04,Capital,001,0002 ,0052,342,8,5,1,5,7,7,1,112,18,27,10,2,22
04,Capital,001,0002 ,0053,342,4,5,1,4,3,11,1,101,16,23,7,1,33
