codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0013,0038,0063,0065,0131,0132,0135,0137,0510
04,Capital,001,0001 ,0001,343,14,0,1,3,5,0,29,29,95,24,31
04,Capital,001,0001 ,0002,344,21,2,1,0,6,2,23,23,106,14,41
04,Capital,001,0001 ,0003,344,20,1,0,3,7,2,32,32,91,20,38
04,Capital,001,0001 ,0004,345,20,1,0,8,8,0,33,33,97,13,44
04,Capital,001,0001 ,0005,344,13,3,2,7,6,1,34,34,113,10,39
04,Capital,001,0001 ,0006,346,12,0,2,5,6,0,22,22,100,18,40
04,Capital,001,0001 ,0007,344,15,1,3,5,4,0,33,33,110,13,39
04,Capital,001,0001 ,0008,345,8,4,0,2,7,1,38,38,88,20,53
04,Capital,001,0001 ,0009,344,10,6,1,1,6,0,25,25,79,17,50
04,Capital,001,0001 ,0010,346,17,3,0,1,4,1,41,41,105,19,46
04,Capital,001,0001 ,0011,344,5,2,0,4,6,0,25,25,102,16,46
04,Capital,001,0001 ,0012,344,19,1,0,1,4,1,30,30,89,20,48
04,Capital,001,0001 ,0013,342,0,0,4,3,6,1,25,25,97,21,39
04,Capital,001,0001 ,0014,345,17,2,2,1,8,0,38,38,90,16,46
04,Capital,001,0001 ,0015,343,14,0,2,3,6,0,23,23,96,18,39
04,Capital,001,0001 ,0016,343,26,0,3,4,8,1,28,28,92,21,32
04,Capital,001,0001 ,0017,342,17,1,0,4,6,0,32,32,88,15,41
04,Capital,001,0001 ,0018,344,22,1,1,4,4,0,27,27,112,15,46
04,Capital,001,0001 ,0019,343,16,2,0,4,4,1,25,25,107,20,39
04,Capital,001,0001 ,0020,344,21,3,1,4,5,1,32,32,96,23,38
04,Capital,001,0001 ,0021,343,12,2,3,6,7,0,29,29,89,19,42
04,Capital,001,0001 ,0022,343,19,5,2,4,1,1,23,23,118,20,43
04,Capital,001,0001 ,0023,345,11,3,2,1,4,1,25,25,92,13,42
04,Capital,001,0001 ,0024,343,14,0,1,4,5,0,30,30,101,19,43
04,Capital,001,0001 ,0025,345,162,3,1,0,2,0,30,30,5,16,3
04,Capital,001,0001 ,0026,345,48,1,3,4,6,2,26,26,107,18,10
04,Capital,001,0001 ,0027,343,58,4,0,0,1,0,41,41,108,2,3
04,Capital,001,0001 ,0028,346,14,5,0,2,1,0,21,21,103,18,50
04,Capital,001,0001 ,0029,344,18,4,0,2,6,2,22,22,99,25,35
04,Capital,001,0001 ,0030,344,13,3,1,3,7,0,32,32,91,19,33
04,Capital,001,0001 ,0031,344,0,0,2,0,0,0,29,29,0,9,0
04,Capital,001,0001 ,0032,343,20,2,0,2,6,1,30,30,73,23,49
04,Capital,001,0001 ,0033,344,26,1,1,7,0,0,33,33,85,18,41
04,Capital,001,0001 ,0034,344,12,0,2,3,4,1,39,39,90,14,57
04,Capital,001,0001 ,0035,342,21,2,2,0,8,0,35,35,99,14,39
