codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0047,0131,0132,0134,0137,0619
05,Capital,001,0001 ,0001,349,4,4,19,104,25,26,41,0
05,Capital,001,0001 ,0002,350,0,0,21,67,16,24,63,0
05,Capital,001,0001 ,0003,350,61,6,17,64,21,28,60,0
05,Capital,001,0001 ,0004,350,0,0,28,65,18,42,58,0
05,Capital,001,0001 ,0005,350,51,1,26,56,29,28,67,0
05,Capital,001,0001 ,0006,350,3,0,29,65,32,36,48,0
05,Capital,001,0001 ,0007,350,0,0,17,69,39,31,55,0
05,Capital,001,0001 ,0008,349,60,1,18,59,31,39,49,0
05,Capital,001,0001 ,0009,349,42,1,29,73,22,23,51,0
05,Capital,001,0001 ,0010,350,44,4,24,73,17,46,50,0
05,Capital,001,0001 ,0011,350,49,1,19,62,25,27,68,0
05,Capital,001,0001 ,0012,350,44,1,33,77,26,31,51,0
05,Capital,001,0001 ,0013,350,35,1,24,83,28,27,51,0
05,Capital,001,0001 ,0014,350,49,6,17,64,19,28,73,0
05,Capital,001,0001 ,0015,350,58,0,25,63,33,26,40,0
05,Capital,001,0001 ,0016,350,54,2,17,69,29,33,50,0
05,Capital,001,0001 ,0017,350,48,5,20,78,29,37,54,0
05,Capital,001,0001 ,0018,351,44,2,21,70,21,38,46,0
05,Capital,001,0001 ,0019,350,2,2,26,69,28,24,54,0
05,Capital,001,0001 ,0020,350,40,1,28,88,20,33,52,0
05,Capital,001,0001 ,0021,350,53,0,18,68,20,29,43,0
05,Capital,001,0001 ,0022,350,41,1,32,77,22,27,54,0
05,Capital,001,0001 ,0023,351,38,3,25,97,40,17,55,0
05,Capital,001,0001 ,0024,350,48,5,25,82,32,26,45,0
05,Capital,001,0001 ,0025,350,49,3,24,74,28,29,60,0
05,Capital,001,0001 ,0026,351,57,1,29,63,25,34,50,0
05,Capital,001,0001 ,0027,350,46,0,23,72,24,32,54,0
05,Capital,001,0001 ,0028,267,102,0,22,45,15,32,56,0
05,Capital,001,0002 ,0029,352,38,2,10,136,20,18,48,0
05,Capital,001,0002 ,0030,349,1,6,19,113,8,23,49,0
05,Capital,001,0002 ,0031,350,0,0,17,118,11,26,44,0
05,Capital,001,0002 ,0032,349,62,5,22,105,19,21,35,0
05,Capital,001,0002 ,0033,350,34,4,15,144,17,8,53,0
05,Capital,001,0002 ,0034,351,0,0,11,151,13,15,30,0
05,Capital,001,0002 ,0035,350,0,0,11,139,0,9,37,0
05,Capital,001,0002 ,0036,350,0,1,12,148,13,21,27,0
05,Capital,001,0002 ,0037,350,0,0,17,117,15,26,56,0
05,Capital,001,0002 ,0038,350,0,0,13,136,13,12,47,0
05,Capital,001,0002 ,0039,350,2,2,12,136,17,21,39,0
05,Capital,001,0002 ,0040,350,0,0,16,132,20,20,36,0
05,Capital,001,0002 ,0041,350,0,0,22,115,16,22,38,0
05,Capital,001,0002 ,0042,350,40,0,13,136,13,10,48,0
05,Capital,001,0002 ,0043,351,0,0,15,135,15,15,37,0
05,Capital,001,0002 ,0044,350,0,44,13,108,12,25,51,0
05,Capital,001,0002 ,0045,350,46,3,14,154,10,11,43,0
05,Capital,001,0002 ,0046,351,55,0,8,171,13,14,25,0
05,Capital,001,0002 ,0047,350,0,0,17,132,0,20,37,0
05,Capital,001,0002 ,0048,350,0,0,8,142,15,13,43,0
05,Capital,001,0002 ,0049,349,47,5,16,161,12,10,32,0
05,Capital,001,0002 ,0050,351,0,4,14,137,12,15,43,0
05,Capital,001,0002 ,0051,350,2,0,18,127,13,17,46,0
05,Capital,001,0002 ,0052,351,51,5,12,110,12,21,41,0
05,Capital,001,0002 ,0053,351,0,3,19,120,18,15,56,0
05,Capital,001,0002 ,0054,349,50,4,11,132,20,13,37,0
05,Capital,001,0002 ,0055,349,48,2,9,136,14,18,37,0
05,Capital,001,0002 ,0056,350,61,1,22,127,20,19,30,0
05,Capital,001,0002 ,0057,351,2,5,7,120,18,13,54,0
05,Capital,001,0002 ,0058,350,57,2,28,127,17,11,46,0
05,Capital,001,0002 ,0059,351,32,4,14,165,14,13,39,0
05,Capital,001,0002 ,0060,350,0,0,12,105,9,15,34,0
05,Capital,001,0002 ,0061,320,37,0,15,115,15,16,37,0
05,Capital,001,0002A,0062,350,52,3,8,177,6,7,39,0
05,Capital,001,0002A,0063,352,55,6,4,147,6,5,34,0
05,Capital,001,0002A,0064,350,29,5,9,173,8,16,24,0
05,Capital,001,0002A,0065,349,52,0,6,180,12,7,34,0
05,Capital,001,0002A,0066,351,0,0,8,170,6,0,30,0
05,Capital,001,0002A,0067,351,44,10,5,171,9,12,28,0
05,Capital,001,0002A,0068,351,71,0,8,162,12,13,35,0
05,Capital,001,0002A,0069,353,50,3,7,154,8,16,37,0
05,Capital,001,0002A,0070,350,0,0,17,157,11,7,43,0
05,Capital,001,0002A,0071,350,2,6,11,147,13,13,38,0
05,Capital,001,0002A,0072,354,0,0,11,157,12,13,37,0
05,Capital,001,0002A,0073,350,1,3,9,168,4,9,36,0
05,Capital,001,0002A,0074,351,36,2,6,177,5,10,30,0
05,Capital,001,0002A,0075,350,0,1,9,158,12,13,46,0
05,Capital,001,0002A,0076,350,42,3,5,198,12,7,27,0
05,Capital,001,0002A,0077,350,42,4,5,184,12,6,30,0
05,Capital,001,0002A,0078,350,38,4,6,178,10,9,32,0
05,Capital,001,0002A,0079,350,55,3,5,186,4,9,23,0
05,Capital,001,0002A,0080,351,0,0,8,170,0,9,35,0
05,Capital,001,0002A,0081,350,46,1,7,157,7,19,31,0
05,Capital,001,0002A,0082,350,57,2,17,159,9,14,39,0
05,Capital,001,0002A,0083,350,37,0,10,170,9,11,39,0
05,Capital,001,0002A,0084,350,45,0,10,186,8,7,25,0
05,Capital,001,0002A,0085,349,47,8,7,159,12,11,33,0
05,Capital,001,0002A,0086,352,49,2,10,177,8,10,36,0
05,Capital,001,0002A,0087,351,45,1,12,160,8,11,38,0
05,Capital,001,0002A,0088,351,0,0,10,165,5,8,27,0
05,Capital,001,0002A,0089,350,7,0,6,193,6,12,28,0
05,Capital,001,0002A,0090,351,5,3,9,161,9,19,29,0
05,Capital,001,0002A,0091,351,45,2,9,153,13,7,35,0
05,Capital,001,0002A,0092,350,41,2,11,189,10,10,24,0
05,Capital,001,0002A,0093,350,30,0,9,145,5,12,39,0
05,Capital,001,0002A,0094,350,47,1,9,160,6,14,34,0
05,Capital,001,0002A,0095,350,60,5,7,153,10,7,24,0
05,Capital,001,0002A,0096,350,53,2,9,150,15,12,36,0
