codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0131,0138,0519
05,Capital,001,0001 ,0001,350,3,1,51,32,129
05,Capital,001,0001 ,0002,350,43,1,45,36,146
05,Capital,001,0001 ,0003,350,41,0,46,29,162
05,Capital,001,0001 ,0004,350,38,2,45,45,139
05,Capital,001,0001 ,0005,350,49,1,35,24,174
05,Capital,001,0001 ,0006,350,0,0,49,25,158
05,Capital,001,0001 ,0007,350,1,2,45,38,146
05,Capital,001,0001 ,0008,350,31,0,45,42,154
05,Capital,001,0001 ,0009,350,58,0,32,29,154
05,Capital,001,0001 ,0010,350,39,1,52,39,149
05,Capital,001,0001 ,0011,350,0,0,37,37,142
05,Capital,001,0001 ,0012,350,0,1,47,32,151
05,Capital,001,0001 ,0013,350,0,0,53,66,157
05,Capital,001,0001 ,0014,351,27,2,50,40,142
05,Capital,001,0001 ,0015,350,0,1,50,28,127
05,Capital,001,0001 ,0016,350,1,0,42,27,146
05,Capital,001,0001 ,0017,350,44,1,42,37,143
05,Capital,001,0001 ,0018,350,30,0,55,33,151
05,Capital,001,0001 ,0019,350,37,1,39,41,138
05,Capital,001,0001 ,0020,350,0,0,53,43,145
05,Capital,001,0001 ,0021,350,49,1,38,36,148
05,Capital,001,0001 ,0022,350,24,0,39,52,141
05,Capital,001,0001 ,0023,350,47,1,40,39,144
05,Capital,001,0001 ,0024,351,39,1,55,47,144
05,Capital,001,0001 ,0025,350,36,1,47,34,148
05,Capital,001,0001 ,0026,350,0,1,45,34,166
05,Capital,001,0001 ,0027,350,36,1,35,41,161
05,Capital,001,0001 ,0028,350,1,1,27,346,144
05,Capital,001,0001 ,0029,310,0,0,34,35,141
05,Capital,001,0002 ,0030,350,0,5,116,50,73
05,Capital,001,0002 ,0031,350,2,1,70,65,107
05,Capital,001,0002 ,0032,350,1,0,34,44,92
05,Capital,001,0002 ,0033,350,0,4,95,50,113
05,Capital,001,0002 ,0034,350,38,0,85,47,111
05,Capital,001,0002 ,0035,350,4,7,98,45,118
05,Capital,001,0002 ,0036,350,1,2,127,36,93
05,Capital,001,0002 ,0037,350,1,1,116,40,81
05,Capital,001,0002 ,0038,350,41,2,94,34,107
05,Capital,001,0002 ,0039,350,0,2,77,46,126
05,Capital,001,0002 ,0040,350,2,0,100,39,95
05,Capital,001,0002 ,0041,350,0,5,103,41,101
05,Capital,001,0002 ,0042,350,4,3,83,39,96
05,Capital,001,0002 ,0043,350,39,2,89,35,103
05,Capital,001,0002 ,0044,350,3,1,103,50,91
05,Capital,001,0002 ,0045,350,0,0,89,49,101
05,Capital,001,0002 ,0046,350,44,0,88,48,108
05,Capital,001,0002 ,0047,350,37,3,85,50,104
05,Capital,001,0002 ,0048,351,42,1,112,39,92
05,Capital,001,0002 ,0049,350,1,1,93,40,31
05,Capital,001,0002 ,0050,350,56,1,109,51,62
05,Capital,001,0002 ,0051,350,0,0,100,39,105
05,Capital,001,0002 ,0052,350,35,2,91,48,102
05,Capital,001,0002 ,0053,350,37,1,83,48,106
05,Capital,001,0002 ,0054,350,0,0,94,58,98
05,Capital,001,0002 ,0055,350,29,1,86,47,118
05,Capital,001,0002 ,0056,350,44,2,80,50,107
05,Capital,001,0002 ,0057,350,51,0,94,41,91
05,Capital,001,0002 ,0058,350,33,0,86,60,106
05,Capital,001,0002 ,0059,350,36,3,91,57,90
05,Capital,001,0002 ,0060,350,44,2,87,50,100
05,Capital,001,0002 ,0061,350,46,0,102,32,116
05,Capital,001,0002 ,0062,350,57,2,96,47,83
05,Capital,001,0002 ,0063,350,36,4,98,41,88
05,Capital,001,0002 ,0064,310,30,0,76,49,93
05,Capital,001,0002A,0065,350,0,0,48,35,68
05,Capital,001,0002A,0066,350,0,1,158,28,59
05,Capital,001,0002A,0067,350,72,3,100,34,90
05,Capital,001,0002A,0068,350,0,2,127,40,60
05,Capital,001,0002A,0069,350,32,4,152,30,75
05,Capital,001,0002A,0070,350,41,0,154,38,72
05,Capital,001,0002A,0071,350,0,0,145,38,66
05,Capital,001,0002A,0072,350,33,0,147,29,71
05,Capital,001,0002A,0073,350,0,0,146,39,87
05,Capital,001,0002A,0074,350,21,3,172,31,81
05,Capital,001,0002A,0075,350,34,2,129,26,80
05,Capital,001,0002A,0076,350,34,0,103,41,101
05,Capital,001,0002A,0077,350,2,7,127,32,84
05,Capital,001,0002A,0078,350,31,2,146,34,80
05,Capital,001,0002A,0079,350,1,2,162,36,51
05,Capital,001,0002A,0080,350,32,0,127,48,82
05,Capital,001,0002A,0081,350,43,1,133,45,76
05,Capital,001,0002A,0082,350,6,0,143,32,78
05,Capital,001,0002A,0083,350,32,1,153,34,62
05,Capital,001,0002A,0084,350,30,4,153,42,57
05,Capital,001,0002A,0085,350,30,0,150,42,70
05,Capital,001,0002A,0086,350,117,3,83,36,59
05,Capital,001,0002A,0087,350,30,1,134,37,82
05,Capital,001,0002A,0088,350,1,0,135,43,96
05,Capital,001,0002A,0089,350,39,0,122,33,94
05,Capital,001,0002A,0090,350,2,1,155,35,74
05,Capital,001,0002A,0091,350,3,2,142,34,78
05,Capital,001,0002A,0092,350,29,12,148,30,71
05,Capital,001,0002A,0093,350,41,5,125,28,83
05,Capital,001,0002A,0094,350,34,4,138,32,81
05,Capital,001,0002A,0095,350,36,0,156,31,63
05,Capital,001,0002A,0096,350,32,0,158,43,66
05,Capital,001,0002A,0097,350,1,2,164,60,54
05,Capital,001,0002A,0098,350,3,3,146,28,80
05,Capital,001,0002A,0099,350,36,0,130,45,65
05,Capital,001,0002A,0100,350,36,5,127,32,79
05,Capital,001,0002A,0101,350,33,0,146,40,70
05,Capital,001,0002A,0102,350,27,3,110,54,82
05,Capital,001,0002A,0103,350,22,2,142,39,69
05,Capital,001,0002A,0104,350,4,8,129,34,77
05,Capital,001,0002A,0105,350,0,0,136,35,66
05,Capital,001,0002A,0106,350,31,0,156,46,56
05,Capital,001,0002A,0107,350,0,0,132,33,60
05,Capital,001,0002A,0108,350,31,4,121,37,83
05,Capital,001,0002A,0109,350,25,2,124,41,79
05,Capital,001,0002A,0110,350,26,1,155,33,78
05,Capital,001,0002A,0111,350,1,0,109,52,86
05,Capital,001,0002A,0112,350,38,1,149,31,82
05,Capital,001,0002A,0113,350,35,0,143,37,67
05,Capital,001,0002A,0114,350,24,1,156,33,70
05,Capital,001,0002A,0115,350,37,1,155,32,66
05,Capital,001,0002A,0116,310,18,2,124,38,76
05,Capital,001,0003 ,0117,351,39,0,42,44,139
05,Capital,001,0003 ,0118,350,24,0,44,38,151
05,Capital,001,0003 ,0119,350,46,1,42,31,156
05,Capital,001,0003 ,0120,350,47,4,47,29,143
05,Capital,001,0003 ,0121,350,56,3,0,40,137
05,Capital,001,0003 ,0122,350,24,0,48,46,154
05,Capital,001,0003 ,0123,350,33,0,32,39,165
05,Capital,001,0003 ,0124,350,0,2,26,31,173
05,Capital,001,0003 ,0125,350,2,0,33,31,168
05,Capital,001,0003 ,0126,350,38,2,43,31,166
05,Capital,001,0003 ,0127,350,38,1,43,34,148
05,Capital,001,0003 ,0128,350,41,0,31,44,155
05,Capital,001,0003 ,0129,350,47,0,43,32,149
05,Capital,001,0003 ,0130,350,0,0,51,37,119
05,Capital,001,0003 ,0131,350,46,1,0,42,142
05,Capital,001,0003 ,0132,291,2,0,33,33,123
05,Capital,001,0003 ,0133,292,2,1,40,29,122
05,Capital,001,0004 ,0134,350,0,0,0,0,0
05,Capital,001,0004 ,0135,351,30,1,36,46,143
05,Capital,001,0004 ,0136,350,31,2,47,44,140
05,Capital,001,0004 ,0137,350,28,0,37,36,162
05,Capital,001,0004 ,0138,350,35,2,50,33,151
05,Capital,001,0004 ,0139,350,35,0,44,39,159
05,Capital,001,0004 ,0140,350,26,1,37,34,183
05,Capital,001,0004 ,0141,350,0,1,46,45,148
05,Capital,001,0004 ,0142,350,31,0,41,36,156
05,Capital,001,0004 ,0143,350,34,0,51,52,145
05,Capital,001,0004 ,0144,350,45,0,42,37,146
05,Capital,001,0004 ,0145,350,43,1,46,21,156
05,Capital,001,0004 ,0146,350,40,4,38,23,163
05,Capital,001,0004 ,0147,350,33,0,42,25,144
05,Capital,001,0004 ,0148,350,0,0,49,33,158
05,Capital,001,0004 ,0149,350,47,2,46,43,123
05,Capital,001,0004 ,0150,350,40,0,55,50,135
05,Capital,001,0004 ,0151,350,41,5,44,29,139
05,Capital,001,0004 ,0152,350,0,1,35,31,156
05,Capital,001,0004 ,0153,351,0,0,42,37,154
05,Capital,001,0004 ,0154,350,0,1,52,37,139
05,Capital,001,0004 ,0155,351,27,0,36,29,176
05,Capital,001,0004 ,0156,350,0,0,57,31,143
05,Capital,001,0004 ,0157,350,32,1,43,45,153
05,Capital,001,0004 ,0158,264,0,0,33,25,121
05,Capital,001,0004 ,0159,265,0,0,29,29,118
05,Capital,001,0005 ,0160,350,0,1,86,48,98
05,Capital,001,0005 ,0161,350,55,0,101,39,98
05,Capital,001,0005 ,0162,350,0,0,105,33,107
05,Capital,001,0005 ,0163,350,37,0,97,46,109
05,Capital,001,0005 ,0164,350,41,2,84,42,103
05,Capital,001,0005 ,0165,350,3,4,99,29,104
05,Capital,001,0005 ,0166,350,3,1,97,56,109
05,Capital,001,0005 ,0167,350,1,0,89,44,98
05,Capital,001,0005 ,0168,350,36,0,91,33,120
05,Capital,001,0005 ,0169,350,42,1,82,33,116
05,Capital,001,0005 ,0170,350,28,4,100,39,105
05,Capital,001,0005 ,0171,350,36,2,80,50,110
05,Capital,001,0005 ,0172,350,1,2,67,42,113
