codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0528,0557,0568,0571
05,Capital,001,0001 ,0001,350,0,7,171,19,22,15
05,Capital,001,0001 ,0002,350,6,5,180,8,35,5
05,Capital,001,0001 ,0003,350,4,4,198,16,25,8
05,Capital,001,0001 ,0004,352,2,2,177,25,26,12
05,Capital,001,0001 ,0005,350,6,3,197,24,18,10
05,Capital,001,0001 ,0006,350,1,5,195,11,30,9
05,Capital,001,0001 ,0007,351,0,7,197,23,17,16
05,Capital,001,0001 ,0008,350,2,8,190,23,18,5
05,Capital,001,0001 ,0009,351,7,4,183,19,26,7
05,Capital,001,0001 ,0010,350,3,8,195,19,33,12
05,Capital,001,0001 ,0011,350,1,3,189,21,18,4
05,Capital,001,0001 ,0012,350,0,3,172,22,31,11
05,Capital,001,0001 ,0013,350,1,2,188,20,27,6
05,Capital,001,0001 ,0014,350,3,3,182,19,23,6
05,Capital,001,0001 ,0015,350,4,5,173,26,26,9
05,Capital,001,0001 ,0016,350,2,8,187,22,17,9
05,Capital,001,0001 ,0017,350,6,1,184,21,35,8
05,Capital,001,0001 ,0018,350,1,6,167,18,22,9
05,Capital,001,0001 ,0019,350,1,10,198,14,15,8
05,Capital,001,0001 ,0020,350,3,1,183,19,33,11
05,Capital,001,0001 ,0021,350,3,7,189,21,15,15
05,Capital,001,0001 ,0022,350,0,1,188,18,26,9
05,Capital,001,0001 ,0023,350,1,3,178,16,29,10
05,Capital,001,0001 ,0024,350,2,3,174,33,33,11
05,Capital,001,0001 ,0025,350,3,5,197,13,27,4
05,Capital,001,0001 ,0026,350,1,1,196,15,21,14
05,Capital,001,0001 ,0027,350,4,6,186,21,15,8
05,Capital,001,0001 ,0028,237,4,4,123,13,12,1
05,Capital,001,0001 ,0029,237,1,1,146,10,12,6
05,Capital,001,0002 ,0030,350,5,6,120,57,31,16
05,Capital,001,0002 ,0031,350,8,9,146,34,30,8
05,Capital,001,0002 ,0032,349,1,7,143,38,39,8
05,Capital,001,0002 ,0033,350,1,6,163,34,22,12
05,Capital,001,0002 ,0034,350,1,11,158,40,37,9
05,Capital,001,0002 ,0035,350,2,10,163,30,35,11
05,Capital,001,0002 ,0036,350,2,6,138,43,32,7
05,Capital,001,0002 ,0037,350,4,5,142,33,40,13
05,Capital,001,0002 ,0038,350,5,5,152,30,29,9
05,Capital,001,0002 ,0039,350,2,6,170,34,35,11
05,Capital,001,0002 ,0040,350,5,5,166,31,34,11
05,Capital,001,0002 ,0041,350,3,6,153,44,36,10
05,Capital,001,0002 ,0042,350,4,9,161,30,36,10
