codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00021,00024,00031,00037
05,001,Capital,02071,053086,0,0,6,6,12,178,48
05,001,Capital,02071,053087,0,0,1,4,8,221,37
05,001,Capital,02071,053088,0,0,0,5,5,200,46
05,001,Capital,02071,053089,0,0,17,3,11,201,40
05,001,Capital,02071,053090,0,0,18,7,9,208,40
05,001,Capital,02071,053091,0,0,10,7,6,222,46
05,001,Capital,02071,053092,0,0,0,6,5,215,42
05,001,Capital,02071,053093,0,0,8,6,9,203,51
05,001,Capital,02071,053094,0,0,13,6,6,208,43
05,001,Capital,02071,053095,0,0,5,5,4,215,53
05,001,Capital,02071,053096,0,0,4,3,3,193,58
05,001,Capital,02071,053097,0,0,10,2,5,216,42
05,001,Capital,02071,053098,0,0,9,4,19,194,43
05,001,Capital,02071,053099,0,0,13,4,10,193,50
05,001,Capital,02071,053100,0,0,13,5,10,210,44
05,001,Capital,02071,053101,0,0,1,5,6,200,47
05,001,Capital,02071,053102,0,0,16,2,5,197,56
05,001,Capital,02071,053103,0,0,14,2,7,204,47
05,001,Capital,02071,053104,0,0,9,4,6,214,42
05,001,Capital,02071,053105,0,0,0,0,8,203,39
05,001,Capital,02071,053106,0,0,9,4,7,212,33
05,001,Capital,02071,053107,0,0,0,7,14,209,44
05,001,Capital,02071,053108,0,0,6,3,8,205,56
05,001,Capital,02071,053109,0,0,0,9,4,199,51
05,001,Capital,02071,053110,0,0,10,8,9,210,31
05,001,Capital,02071,053111,0,0,8,7,5,151,30
05,001,Capital,02071,053112,0,0,6,4,6,171,24
05,001,Capital,02071,100301,0,0,0,0,0,0,0
05,001,Capital,02072,053113,0,0,14,16,11,142,98
05,001,Capital,02072,053114,0,0,18,5,12,180,68
05,001,Capital,02072,053115,0,0,6,6,14,161,95
05,001,Capital,02072,053116,0,0,12,3,9,187,77
05,001,Capital,02072,053117,0,0,18,6,12,164,89
05,001,Capital,02072,053118,0,0,1,5,11,150,104
05,001,Capital,02072,053119,0,0,10,9,8,135,104
05,001,Capital,02072,053120,0,0,1,4,8,143,108
05,001,Capital,02072,053121,0,0,7,12,8,180,60
05,001,Capital,02072,053122,0,0,8,0,7,158,85
05,001,Capital,02072,053123,0,0,0,5,6,166,89
05,001,Capital,02072,053124,0,0,11,8,15,154,86
05,001,Capital,02072,053125,0,0,18,4,9,163,84
05,001,Capital,02072,053126,0,0,1,12,11,160,88
05,001,Capital,02072,053127,0,0,8,12,9,180,83
05,001,Capital,02072,053128,0,0,10,7,7,173,80
05,001,Capital,02072,053129,0,0,1,8,13,152,90
05,001,Capital,02072,053130,0,0,2,4,10,155,106
05,001,Capital,02072,053131,0,0,23,5,10,140,103
05,001,Capital,02072,053132,0,0,2,0,16,153,96
05,001,Capital,02072,053133,0,0,1,4,10,148,91
05,001,Capital,02072,053134,0,0,6,0,11,150,98
05,001,Capital,02072,053135,0,0,0,11,7,169,89
05,001,Capital,02072,053136,0,0,1,11,13,168,71
05,001,Capital,02072,053137,0,0,0,9,14,166,72
05,001,Capital,02072,053138,0,0,18,5,12,174,74
05,001,Capital,02072,053139,0,0,16,7,18,131,112
05,001,Capital,02072,053140,0,0,0,6,8,157,91
05,001,Capital,02072,053141,0,0,8,8,12,166,89
05,001,Capital,02072,053142,0,0,14,8,6,168,89
05,001,Capital,02072,053143,0,0,13,8,8,171,94
05,001,Capital,02072,053144,0,0,14,12,8,156,97
05,001,Capital,02072,053145,0,0,0,11,5,103,56
05,001,Capital,02072,053146,0,0,1,3,6,116,51
05,001,Capital,02072,100302,0,0,0,0,0,0,0
05,001,Capital,02073,053147,0,0,11,5,12,205,54
05,001,Capital,02073,053148,0,0,0,1,5,215,54
05,001,Capital,02073,053149,0,0,12,8,5,220,53
05,001,Capital,02073,053150,0,0,0,3,4,220,42
05,001,Capital,02073,053151,0,0,13,3,3,226,37
05,001,Capital,02073,053152,0,0,12,6,8,232,29
05,001,Capital,02073,053153,0,0,14,3,9,200,36
05,001,Capital,02073,053154,0,0,0,6,2,232,47
