codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0047,0134,0137,0501,0505,0532
05,Capital,001,0001 ,0001,349,7,5,27,13,41,90,41,18
05,Capital,001,0001 ,0002,350,3,4,27,13,55,72,27,10
05,Capital,001,0001 ,0003,350,30,5,24,17,66,69,34,14
05,Capital,001,0001 ,0004,350,1,1,35,23,48,79,38,15
05,Capital,001,0001 ,0005,350,2,2,31,22,56,51,37,0
05,Capital,001,0001 ,0006,350,40,1,35,20,44,64,40,18
05,Capital,001,0001 ,0007,350,0,0,29,17,44,72,49,15
05,Capital,001,0001 ,0008,349,40,1,26,22,44,44,46,20
05,Capital,001,0001 ,0009,349,0,0,25,14,48,81,28,21
05,Capital,001,0001 ,0010,350,2,5,33,21,45,86,35,17
05,Capital,001,0001 ,0011,350,1,7,30,15,39,68,38,15
05,Capital,001,0001 ,0012,350,2,3,35,18,52,81,30,14
05,Capital,001,0001 ,0013,350,29,3,30,19,43,65,40,12
05,Capital,001,0001 ,0014,350,1,3,26,17,59,70,31,19
05,Capital,001,0001 ,0015,350,0,7,29,15,37,77,46,8
05,Capital,001,0001 ,0016,350,1,3,25,26,36,71,33,11
05,Capital,001,0001 ,0017,350,4,1,17,21,43,86,40,12
05,Capital,001,0001 ,0018,351,41,0,22,23,42,85,31,17
05,Capital,001,0001 ,0019,350,0,0,22,18,49,68,48,17
05,Capital,001,0001 ,0020,350,41,4,18,24,48,84,27,20
05,Capital,001,0001 ,0021,350,56,0,26,9,43,72,36,7
05,Capital,001,0001 ,0022,350,0,5,32,17,46,83,38,6
05,Capital,001,0001 ,0023,351,42,1,25,14,51,92,47,9
05,Capital,001,0001 ,0024,350,0,0,28,21,41,68,47,20
05,Capital,001,0001 ,0025,350,35,0,25,24,40,68,42,27
05,Capital,001,0001 ,0026,351,45,1,33,22,47,50,51,22
05,Capital,001,0001 ,0027,350,0,5,38,21,60,63,25,12
05,Capital,001,0001 ,0028,267,0,2,39,7,48,57,26,16
05,Capital,001,0002 ,0029,352,0,0,15,9,34,151,21,13
05,Capital,001,0002 ,0030,349,0,0,24,9,42,139,21,13
05,Capital,001,0002 ,0031,350,1,3,15,10,37,134,23,15
05,Capital,001,0002 ,0032,349,26,7,21,14,42,132,18,15
05,Capital,001,0002 ,0033,350,0,0,30,6,29,153,16,11
05,Capital,001,0002 ,0034,351,0,0,19,9,28,232,27,0
05,Capital,001,0002 ,0035,350,0,0,20,10,30,147,9,13
05,Capital,001,0002 ,0036,350,0,0,17,14,0,151,18,0
05,Capital,001,0002 ,0037,350,2,6,28,13,47,112,26,9
05,Capital,001,0002 ,0038,350,0,2,22,9,36,144,20,2
05,Capital,001,0002 ,0039,350,0,0,19,10,35,146,21,13
05,Capital,001,0002 ,0040,350,0,0,19,0,34,162,25,13
05,Capital,001,0002 ,0041,350,0,0,21,13,31,132,24,11
05,Capital,001,0002 ,0042,350,25,3,15,11,26,157,16,10
05,Capital,001,0002 ,0043,351,0,0,22,2,43,153,19,8
05,Capital,001,0002 ,0044,350,20,8,21,16,43,123,21,8
05,Capital,001,0002 ,0045,350,20,7,15,13,30,168,18,9
05,Capital,001,0002 ,0046,351,32,5,11,12,31,170,3,5
05,Capital,001,0002 ,0047,350,19,4,26,8,35,146,18,8
05,Capital,001,0002 ,0048,350,0,0,13,7,35,157,19,0
05,Capital,001,0002 ,0049,349,32,7,15,10,34,158,16,8
05,Capital,001,0002 ,0050,351,24,0,19,13,31,149,12,10
05,Capital,001,0002 ,0051,350,3,4,20,12,33,136,21,12
05,Capital,001,0002 ,0052,351,0,0,0,0,0,0,0,0
05,Capital,001,0002 ,0053,351,3,5,26,7,39,137,24,7
05,Capital,001,0002 ,0054,349,0,1,22,5,31,132,26,6
05,Capital,001,0002 ,0055,349,23,6,10,11,44,141,18,10
05,Capital,001,0002 ,0056,350,1,9,18,10,31,128,18,16
05,Capital,001,0002 ,0057,351,1,6,19,9,52,133,27,1
05,Capital,001,0002 ,0058,350,2,7,25,15,42,134,25,6
05,Capital,001,0002 ,0059,351,36,0,0,11,35,148,16,9
05,Capital,001,0002 ,0060,350,0,0,17,7,38,126,20,6
05,Capital,001,0002 ,0061,320,0,0,23,8,29,131,22,9
05,Capital,001,0002A,0062,350,34,11,10,4,31,184,7,6
05,Capital,001,0002A,0063,352,11,10,11,9,24,205,10,6
05,Capital,001,0002A,0064,350,0,4,10,14,16,187,11,11
05,Capital,001,0002A,0065,349,32,0,10,7,24,194,4,3
05,Capital,001,0002A,0066,351,29,3,21,8,36,180,11,4
05,Capital,001,0002A,0067,351,18,7,11,4,28,198,16,0
05,Capital,001,0002A,0068,351,2,3,21,7,43,183,12,4
05,Capital,001,0002A,0069,353,3,11,10,10,29,182,16,5
05,Capital,001,0002A,0070,350,6,9,20,4,26,178,14,8
05,Capital,001,0002A,0071,350,32,8,19,9,32,160,21,7
05,Capital,001,0002A,0072,354,0,0,26,10,35,167,14,12
05,Capital,001,0002A,0073,350,3,6,16,5,35,182,13,0
05,Capital,001,0002A,0074,351,20,6,9,4,25,191,7,6
05,Capital,001,0002A,0075,350,25,2,23,8,28,170,20,7
05,Capital,001,0002A,0076,350,2,9,14,7,28,189,13,6
05,Capital,001,0002A,0077,350,24,5,10,7,25,193,14,18
05,Capital,001,0002A,0078,350,2,9,8,8,27,185,12,8
05,Capital,001,0002A,0079,350,0,0,11,8,33,200,13,4
05,Capital,001,0002A,0080,351,0,0,19,3,26,180,16,5
05,Capital,001,0002A,0081,350,7,6,12,6,29,174,11,8
05,Capital,001,0002A,0082,350,0,6,16,0,35,155,16,4
05,Capital,001,0002A,0083,350,2,2,18,7,28,193,15,7
05,Capital,001,0002A,0084,350,19,6,10,3,24,187,16,12
05,Capital,001,0002A,0085,349,24,14,15,2,30,180,4,6
05,Capital,001,0002A,0086,352,0,0,17,14,28,175,14,0
05,Capital,001,0002A,0087,351,23,6,11,1,36,180,10,6
05,Capital,001,0002A,0088,351,18,2,10,0,29,206,9,10
05,Capital,001,0002A,0089,350,2,7,0,10,28,194,13,0
05,Capital,001,0002A,0090,351,3,2,7,12,39,175,13,3
05,Capital,001,0002A,0091,351,3,7,15,6,32,154,13,7
05,Capital,001,0002A,0092,350,4,6,15,12,25,194,12,2
05,Capital,001,0002A,0093,350,3,5,7,8,4,147,13,10
05,Capital,001,0002A,0094,350,18,5,14,12,37,177,13,3
05,Capital,001,0002A,0095,350,27,13,17,0,0,155,7,0
05,Capital,001,0002A,0096,350,29,5,17,8,29,171,14,4
05,Capital,001,0002A,0097,352,17,9,17,6,33,193,10,8
05,Capital,001,0002A,0098,350,26,8,10,2,18,191,12,5
05,Capital,001,0002A,0099,351,30,8,12,10,43,158,8,15
05,Capital,001,0002A,0100,350,2,15,14,8,35,167,15,7
05,Capital,001,0002A,0101,350,27,0,11,9,37,169,10,8
05,Capital,001,0002A,0102,350,39,5,9,5,40,174,13,6
05,Capital,001,0002A,0103,351,34,3,13,9,40,171,14,6
05,Capital,001,0002A,0104,351,11,8,15,6,34,184,15,5
05,Capital,001,0002A,0105,199,13,3,4,5,24,98,9,5
05,Capital,001,0002A,0106,200,0,0,6,13,12,107,0,0
05,Capital,001,0003 ,0107,350,4,6,34,18,41,67,32,14
05,Capital,001,0003 ,0108,350,3,8,27,16,55,58,25,18
05,Capital,001,0003 ,0109,350,45,2,24,20,42,66,39,19
05,Capital,001,0003 ,0110,351,0,4,37,9,57,62,40,16
05,Capital,001,0003 ,0111,350,7,31,27,15,59,69,48,18
05,Capital,001,0003 ,0112,349,0,0,34,15,49,68,40,17
05,Capital,001,0003 ,0113,351,0,5,37,0,57,50,36,0
05,Capital,001,0003 ,0114,351,43,2,37,25,59,52,31,19
05,Capital,001,0003 ,0115,350,4,1,37,0,54,67,29,14
