codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0063,0501,0515,0516,0517
05,Capital,001,0001 ,0001,350,6,8,4,54,5,19,158
05,Capital,001,0001 ,0002,350,3,9,1,53,3,26,142
05,Capital,001,0001 ,0003,350,3,12,9,34,4,15,177
05,Capital,001,0001 ,0004,350,0,10,5,41,7,33,149
05,Capital,001,0001 ,0005,350,3,11,7,40,6,25,168
05,Capital,001,0001 ,0006,350,2,13,4,57,7,36,145
05,Capital,001,0001 ,0007,350,4,8,1,50,4,28,167
05,Capital,001,0001 ,0008,350,4,7,1,49,4,20,178
05,Capital,001,0001 ,0009,350,2,7,1,50,5,19,182
05,Capital,001,0001 ,0010,350,2,11,6,64,5,28,169
05,Capital,001,0001 ,0011,350,2,11,3,38,5,24,151
05,Capital,001,0001 ,0012,350,4,12,2,53,3,24,165
05,Capital,001,0001 ,0013,350,3,16,4,69,3,23,161
05,Capital,001,0001 ,0014,350,2,7,5,39,7,31,148
05,Capital,001,0001 ,0015,350,5,9,4,63,6,20,155
05,Capital,001,0001 ,0016,350,4,12,1,47,6,32,140
05,Capital,001,0001 ,0017,350,1,12,3,50,8,24,164
05,Capital,001,0001 ,0018,350,7,12,1,64,12,27,141
05,Capital,001,0001 ,0019,350,1,11,9,50,3,22,163
05,Capital,001,0001 ,0020,350,1,8,7,58,3,31,152
05,Capital,001,0001 ,0021,350,4,16,6,71,3,15,148
05,Capital,001,0001 ,0022,350,6,10,3,46,11,21,148
05,Capital,001,0001 ,0023,350,2,9,4,55,4,22,160
05,Capital,001,0001 ,0024,350,3,7,2,50,14,28,164
05,Capital,001,0001 ,0025,350,1,7,7,64,4,26,152
05,Capital,001,0001 ,0026,350,5,8,4,36,7,25,173
05,Capital,001,0001 ,0027,350,3,12,2,59,3,28,161
05,Capital,001,0001 ,0028,350,1,18,2,42,9,26,137
05,Capital,001,0001 ,0029,196,2,4,0,16,1,20,91
05,Capital,001,0001 ,0030,196,1,3,1,25,3,12,105
05,Capital,001,0002 ,0031,350,1,14,8,91,4,18,139
05,Capital,001,0002 ,0032,350,6,8,5,87,5,13,136
