codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0063,0072,0131,0132,0134,0138,0519
05,Capital,001,0001 ,0001,350,25,4,1,1,50,5,1,26,128
05,Capital,001,0001 ,0002,350,0,0,3,0,48,2,0,43,126
05,Capital,001,0001 ,0003,350,0,0,3,1,34,3,3,36,152
05,Capital,001,0001 ,0004,350,7,2,4,0,43,10,4,35,122
05,Capital,001,0001 ,0005,350,32,0,0,0,31,4,1,33,159
05,Capital,001,0001 ,0006,350,0,1,1,1,41,7,2,34,138
05,Capital,001,0001 ,0007,350,35,0,3,1,40,8,0,37,141
05,Capital,001,0001 ,0008,350,1,1,0,1,40,14,1,34,137
05,Capital,001,0001 ,0009,350,36,2,1,0,37,11,0,30,147
05,Capital,001,0001 ,0010,350,34,5,2,0,51,4,0,46,124
05,Capital,001,0001 ,0011,350,0,0,2,0,37,2,1,45,126
05,Capital,001,0001 ,0012,350,2,1,1,0,39,3,0,28,149
05,Capital,001,0001 ,0013,350,3,2,1,0,46,8,0,32,120
05,Capital,001,0001 ,0014,351,1,2,0,2,39,5,0,33,131
05,Capital,001,0001 ,0015,350,2,1,1,1,43,7,2,23,136
05,Capital,001,0001 ,0016,350,32,2,1,3,44,5,1,29,129
05,Capital,001,0001 ,0017,350,1,3,0,0,39,10,0,45,130
05,Capital,001,0001 ,0018,350,12,1,1,0,49,5,2,61,114
05,Capital,001,0001 ,0019,350,26,0,0,1,38,6,1,38,131
05,Capital,001,0001 ,0020,350,0,1,1,2,57,7,1,41,122
05,Capital,001,0001 ,0021,350,41,1,1,2,40,9,1,48,125
05,Capital,001,0001 ,0022,350,0,0,0,0,29,2,0,53,128
05,Capital,001,0001 ,0023,350,3,2,1,0,41,2,1,33,131
05,Capital,001,0001 ,0024,351,0,0,1,0,62,1,1,42,142
05,Capital,001,0001 ,0025,350,36,1,1,1,51,3,0,42,122
05,Capital,001,0001 ,0026,350,2,2,1,0,37,9,0,41,138
05,Capital,001,0001 ,0027,350,22,2,3,5,43,7,0,42,131
05,Capital,001,0001 ,0028,350,32,3,0,3,26,8,1,42,130
05,Capital,001,0001 ,0029,310,30,2,4,0,36,7,3,31,127
05,Capital,001,0002 ,0030,350,0,5,2,3,109,4,1,42,80
05,Capital,001,0002 ,0031,350,6,0,2,0,76,4,0,52,83
05,Capital,001,0002 ,0032,350,1,1,2,0,98,4,1,40,90
05,Capital,001,0002 ,0033,350,1,4,3,2,73,8,0,48,106
