codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00001,00067,00005,00066
05,001,CAPITAL,02030,054280,0,0,7,17,151,40,8
05,001,CAPITAL,02030,054281,0,0,0,13,173,29,5
05,001,CAPITAL,02030,054282,0,0,19,13,173,39,7
05,001,CAPITAL,02030,054283,0,0,23,16,164,41,11
05,001,CAPITAL,02030,054284,0,0,9,13,178,40,6
05,001,CAPITAL,02030,054285,0,0,37,13,160,35,4
05,001,CAPITAL,02030,054286,0,0,26,13,178,41,8
05,001,CAPITAL,02030,054287,0,0,0,5,173,39,8
05,001,CAPITAL,02030,054288,0,0,18,7,179,46,7
05,001,CAPITAL,02030,054289,0,0,25,11,26,40,4
05,001,CAPITAL,02030,054290,0,0,21,9,159,41,9
05,001,CAPITAL,02030,054291,0,0,2,4,152,50,9
05,001,CAPITAL,02030,054292,0,0,0,10,171,37,7
05,001,CAPITAL,02030,054293,0,0,19,18,159,35,7
05,001,CAPITAL,02030,054294,0,0,31,17,150,30,8
05,001,CAPITAL,02030,054295,0,0,37,9,157,40,4
05,001,CAPITAL,02030,054296,0,0,20,10,164,48,8
05,001,CAPITAL,02030,054297,0,0,27,10,161,55,10
05,001,CAPITAL,02030,054298,0,0,0,20,165,36,12
05,001,CAPITAL,02030,054299,0,0,2,11,169,37,6
05,001,CAPITAL,02030,054300,0,0,24,11,165,35,10
05,001,CAPITAL,02030,054301,0,0,27,15,158,32,4
05,001,CAPITAL,02030,054302,0,0,2,21,164,47,10
05,001,CAPITAL,02030,054303,0,0,25,17,153,38,11
05,001,CAPITAL,02030,054304,0,0,20,8,165,46,14
05,001,CAPITAL,02030,054305,0,0,27,13,168,25,11
05,001,CAPITAL,02030,054306,0,0,0,6,116,25,3
05,001,CAPITAL,02030,054307,0,0,0,10,133,26,3
05,001,CAPITAL,02031,054308,0,0,34,12,95,96,14
05,001,CAPITAL,02031,054309,0,0,5,15,130,61,8
05,001,CAPITAL,02031,054310,0,0,4,11,119,72,13
05,001,CAPITAL,02031,054311,0,0,24,11,151,68,12
05,001,CAPITAL,02031,054312,0,0,15,17,129,89,11
