codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0131,0138,0519
05,Capital,001,0001 ,0001,350,3,1,58,26,137
05,Capital,001,0001 ,0002,350,12,1,61,53,144
05,Capital,001,0001 ,0003,350,42,0,48,28,160
05,Capital,001,0001 ,0004,350,29,2,49,43,146
05,Capital,001,0001 ,0005,350,38,1,38,25,180
05,Capital,001,0001 ,0006,350,0,0,52,24,177
05,Capital,001,0001 ,0007,350,1,2,47,33,148
05,Capital,001,0001 ,0008,350,27,0,54,37,154
05,Capital,001,0001 ,0009,350,49,0,38,27,159
05,Capital,001,0001 ,0010,350,37,1,53,37,152
05,Capital,001,0001 ,0011,350,0,0,40,37,141
05,Capital,001,0001 ,0012,350,0,2,52,31,145
05,Capital,001,0001 ,0013,350,0,0,60,65,159
05,Capital,001,0001 ,0014,351,20,1,56,35,149
05,Capital,001,0001 ,0015,350,0,0,58,29,127
05,Capital,001,0001 ,0016,350,1,0,50,22,148
05,Capital,001,0001 ,0017,350,47,2,43,31,145
05,Capital,001,0001 ,0018,350,28,0,60,29,152
05,Capital,001,0001 ,0019,350,38,1,38,34,145
05,Capital,001,0001 ,0020,350,0,0,61,35,147
05,Capital,001,0001 ,0021,350,45,1,43,29,154
05,Capital,001,0001 ,0022,350,25,0,43,49,139
05,Capital,001,0001 ,0023,350,37,2,50,31,151
05,Capital,001,0001 ,0024,351,34,1,62,41,148
05,Capital,001,0001 ,0025,350,36,1,51,31,147
05,Capital,001,0001 ,0026,350,0,1,50,33,171
05,Capital,001,0001 ,0027,350,28,1,41,39,162
05,Capital,001,0001 ,0028,350,1,1,35,31,145
05,Capital,001,0001 ,0029,310,0,0,39,29,144
05,Capital,001,0002 ,0030,350,0,5,116,47,76
05,Capital,001,0002 ,0031,350,2,4,73,63,108
05,Capital,001,0002 ,0032,350,1,0,37,47,92
05,Capital,001,0002 ,0033,350,0,4,92,47,115
05,Capital,001,0002 ,0034,350,33,0,95,42,111
05,Capital,001,0002 ,0035,350,4,7,101,43,122
05,Capital,001,0002 ,0036,350,1,2,130,34,96
05,Capital,001,0002 ,0037,350,1,1,121,40,81
05,Capital,001,0002 ,0038,350,37,2,102,33,104
05,Capital,001,0002 ,0039,350,0,2,84,39,126
05,Capital,001,0002 ,0040,350,2,0,113,33,96
05,Capital,001,0002 ,0041,350,0,5,118,39,101
05,Capital,001,0002 ,0042,350,4,3,93,36,98
05,Capital,001,0002 ,0043,350,32,2,96,36,102
05,Capital,001,0002 ,0044,350,3,1,111,46,91
05,Capital,001,0002 ,0045,350,0,0,95,48,100
05,Capital,001,0002 ,0046,350,36,0,96,46,110
05,Capital,001,0002 ,0047,350,26,4,96,46,107
05,Capital,001,0002 ,0048,351,34,1,118,38,95
05,Capital,001,0002 ,0049,350,1,1,102,40,31
05,Capital,001,0002 ,0050,350,24,1,112,50,92
05,Capital,001,0002 ,0051,350,0,0,108,39,109
05,Capital,001,0002 ,0052,350,28,3,101,43,103
05,Capital,001,0002 ,0053,350,26,1,87,48,113
05,Capital,001,0002 ,0054,350,0,0,103,54,98
05,Capital,001,0002 ,0055,350,28,1,89,44,119
05,Capital,001,0002 ,0056,350,35,1,88,49,110
05,Capital,001,0002 ,0057,350,39,0,105,41,92
05,Capital,001,0002 ,0058,350,25,1,95,55,107
05,Capital,001,0002 ,0059,350,32,3,93,53,94
05,Capital,001,0002 ,0060,350,36,2,92,48,105
05,Capital,001,0002 ,0061,350,34,0,118,29,115
05,Capital,001,0002 ,0062,350,49,2,103,42,89
05,Capital,001,0002 ,0063,350,37,4,97,40,89
05,Capital,001,0002 ,0064,310,21,0,81,49,97
05,Capital,001,0002A,0065,350,0,0,153,37,68
05,Capital,001,0002A,0066,350,0,1,167,28,58
05,Capital,001,0002A,0067,350,67,3,101,33,92
05,Capital,001,0002A,0068,350,0,2,130,41,57
05,Capital,001,0002A,0069,350,24,4,157,27,81
05,Capital,001,0002A,0070,350,31,4,160,32,72
05,Capital,001,0002A,0071,350,0,0,153,35,68
05,Capital,001,0002A,0072,350,27,0,154,28,73
05,Capital,001,0002A,0073,350,0,0,142,36,88
05,Capital,001,0002A,0074,350,17,4,175,26,86
05,Capital,001,0002A,0075,350,26,2,136,26,81
05,Capital,001,0002A,0076,350,31,0,106,40,101
05,Capital,001,0002A,0077,350,2,7,133,30,85
05,Capital,001,0002A,0078,350,24,2,151,34,82
05,Capital,001,0002A,0079,350,1,2,162,35,47
05,Capital,001,0002A,0080,350,32,0,129,47,81
05,Capital,001,0002A,0081,350,27,1,141,41,78
05,Capital,001,0002A,0082,350,6,2,149,31,79
05,Capital,001,0002A,0083,350,27,1,165,31,62
05,Capital,001,0002A,0084,350,22,4,163,39,58
05,Capital,001,0002A,0085,350,25,0,155,40,72
05,Capital,001,0002A,0086,350,31,3,168,31,65
05,Capital,001,0002A,0087,350,25,1,140,37,81
05,Capital,001,0002A,0088,350,1,0,142,40,98
05,Capital,001,0002A,0089,350,37,1,126,31,93
05,Capital,001,0002A,0090,350,2,1,165,35,74
05,Capital,001,0002A,0091,350,3,2,150,34,78
05,Capital,001,0002A,0092,350,21,12,156,29,72
05,Capital,001,0002A,0093,350,38,7,127,25,85
05,Capital,001,0002A,0094,350,30,4,141,33,81
05,Capital,001,0002A,0095,350,30,0,163,31,62
05,Capital,001,0002A,0096,350,29,0,164,39,67
05,Capital,001,0002A,0097,350,1,2,171,58,53
