codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0022,0038,0051,0104,0107,0218,0219
08,Paraná                                  ,001,0001 ,0001,760,26,8,108,18,12,40,40,42,96,184
08,Paraná                                  ,001,0001 ,0002,760,7,26,104,18,10,52,44,48,116,160
08,Paraná                                  ,001,0001 ,0003,760,14,22,108,26,12,58,46,44,108,156
08,Paraná                                  ,001,0001 ,0004,760,16,23,92,20,10,60,44,44,110,162
08,Paraná                                  ,001,0001 ,0005,760,19,27,116,26,12,48,46,32,90,172
08,Paraná                                  ,001,0001 ,0006,760,14,16,106,20,12,46,62,46,78,180
08,Paraná                                  ,001,0001 ,0007,760,10,21,102,20,20,58,52,40,106,174
08,Paraná                                  ,001,0001 ,0008,760,22,19,82,18,12,32,46,36,114,192
08,Paraná                                  ,001,0001 ,0009,760,20,26,100,28,12,42,72,42,104,160
08,Paraná                                  ,001,0001 ,0010,760,18,21,116,28,10,44,38,28,98,180
08,Paraná                                  ,001,0001 ,0011,760,29,24,124,20,10,30,38,24,74,192
08,Paraná                                  ,001,0001 ,0012,760,18,14,122,10,6,44,58,24,110,164
08,Paraná                                  ,001,0001 ,0013,760,12,32,100,18,14,34,54,32,100,174
08,Paraná                                  ,001,0001 ,0014,589,15,8,64,24,12,60,36,24,102,166
08,Paraná                                  ,001,0001 ,0015,589,11,21,104,16,10,32,38,24,78,160
08,Paraná                                  ,001,0001 ,0016,380,9,13,59,9,4,19,36,13,40,71
08,Paraná                                  ,001,0001 ,0017,380,6,4,44,6,8,22,19,11,50,85
08,Paraná                                  ,001,0001 ,0018,232,0,8,34,10,3,13,10,8,35,40
08,Paraná                                  ,001,0002 ,0016,380,13,12,58,9,3,15,23,18,59,59
08,Paraná                                  ,001,0002 ,0017,380,11,10,59,6,1,26,27,16,63,66
08,Paraná                                  ,001,0002 ,0018,380,10,10,50,9,7,18,21,10,71,62
08,Paraná                                  ,001,0002 ,0019,760,18,27,110,18,14,36,48,50,104,166
08,Paraná                                  ,001,0002 ,0020,760,16,19,124,24,16,46,42,32,114,122
08,Paraná                                  ,001,0002 ,0021,760,17,22,96,16,26,40,62,46,122,136
08,Paraná                                  ,001,0002 ,0022,760,22,25,94,20,18,68,40,32,102,158
08,Paraná                                  ,001,0002 ,0023,760,17,28,104,20,10,46,44,34,106,160
08,Paraná                                  ,001,0002 ,0024,760,20,27,100,22,8,44,32,36,114,144
08,Paraná                                  ,001,0002 ,0025,760,26,24,92,10,26,36,56,26,120,156
08,Paraná                                  ,001,0002 ,0026,760,18,19,118,20,12,56,36,26,122,150
08,Paraná                                  ,001,0002 ,0027,581,13,22,86,14,14,52,26,24,102,126
08,Paraná                                  ,001,0002 ,0028,581,15,21,86,22,6,40,34,26,112,166
08,Paraná                                  ,001,0002 ,0029,380,5,19,60,10,3,13,17,23,51,54
08,Paraná                                  ,001,0002 ,0030,380,9,8,45,12,3,17,29,14,51,77
08,Paraná                                  ,001,0002 ,0031,380,6,11,55,10,4,23,20,9,50,85
08,Paraná                                  ,001,0002 ,0032,380,10,11,48,10,6,23,24,9,52,68
08,Paraná                                  ,001,0002 ,0033,380,2,3,52,7,5,13,24,12,52,74
08,Paraná                                  ,001,0002 ,0034,321,11,6,43,11,6,15,16,9,52,54
08,Paraná                                  ,001,0003 ,0029,380,10,9,55,14,6,12,23,19,35,87
08,Paraná                                  ,001,0003 ,0030,380,9,9,53,9,5,11,16,13,49,88
08,Paraná                                  ,001,0003 ,0031,380,10,12,45,12,3,12,19,20,45,85
08,Paraná                                  ,001,0003 ,0032,380,8,8,47,7,10,20,21,20,29,94
08,Paraná                                  ,001,0003 ,0033,380,6,12,53,7,2,17,20,16,54,90
08,Paraná                                  ,001,0003 ,0034,380,9,13,43,5,10,15,17,16,47,98
08,Paraná                                  ,001,0003 ,0035,760,15,32,118,18,12,44,54,42,90,184
08,Paraná                                  ,001,0003 ,0036,760,23,25,112,20,12,44,48,34,90,190
08,Paraná                                  ,001,0003 ,0037,575,12,21,110,14,18,62,32,22,72,142
08,Paraná                                  ,001,0003 ,0038,576,7,11,96,16,8,42,64,18,82,164
08,Paraná                                  ,001,0003 ,0039,380,6,15,51,2,0,20,18,13,43,97
08,Paraná                                  ,001,0003 ,0040,380,7,4,40,8,2,28,30,14,34,84
08,Paraná                                  ,001,0003 ,0041,380,5,13,41,13,7,15,17,10,49,84
08,Paraná                                  ,001,0003 ,0042,380,7,15,61,8,2,19,21,7,34,102
08,Paraná                                  ,001,0003 ,0043,380,11,15,50,5,4,14,21,21,31,87
08,Paraná                                  ,001,0003 ,0044,380,8,10,49,15,2,24,16,14,41,79
08,Paraná                                  ,001,0003 ,0045,279,5,8,38,2,3,21,14,20,37,56
08,Paraná                                  ,001,0003 ,0046,279,4,10,49,11,5,16,10,12,18,71
08,Paraná                                  ,001,0004 ,0039,380,8,8,63,7,7,14,22,25,52,68
08,Paraná                                  ,001,0004 ,0040,380,10,13,63,9,5,19,17,9,67,71
08,Paraná                                  ,001,0004 ,0041,380,13,13,56,6,3,18,19,18,70,61
08,Paraná                                  ,001,0004 ,0042,380,17,11,58,9,4,19,23,17,69,55
08,Paraná                                  ,001,0004 ,0043,380,13,9,60,13,12,19,13,18,62,64
08,Paraná                                  ,001,0004 ,0044,380,12,9,62,4,7,21,21,16,56,59
08,Paraná                                  ,001,0004 ,0045,380,8,18,50,5,1,19,33,24,43,57
08,Paraná                                  ,001,0004 ,0046,380,14,22,57,3,1,23,20,22,43,67
08,Paraná                                  ,001,0004 ,0047,760,30,34,106,24,14,32,38,32,122,142
08,Paraná                                  ,001,0004 ,0048,760,28,23,116,16,10,38,50,52,120,162
08,Paraná                                  ,001,0004 ,0049,760,17,32,108,18,20,54,38,54,122,136
08,Paraná                                  ,001,0004 ,0050,760,15,24,108,12,16,44,58,34,156,130
08,Paraná                                  ,001,0004 ,0051,638,12,24,124,12,6,46,58,26,132,100
08,Paraná                                  ,001,0004 ,0052,639,12,22,104,14,8,54,44,26,136,130
08,Paraná                                  ,001,0004 ,0053,380,12,14,53,5,5,16,24,18,47,65
08,Paraná                                  ,001,0004 ,0054,380,6,19,41,4,6,21,25,5,57,71
08,Paraná                                  ,001,0004 ,0055,380,4,12,52,10,1,21,25,10,51,70
08,Paraná                                  ,001,0004 ,0056,380,9,14,46,2,7,19,29,12,49,56
08,Paraná                                  ,001,0004 ,0057,380,10,12,53,4,3,20,24,13,56,66
08,Paraná                                  ,001,0004 ,0058,380,7,7,62,3,6,19,22,8,56,64
08,Paraná                                  ,001,0004 ,0059,380,4,17,37,11,8,25,30,13,77,51
08,Paraná                                  ,001,0004 ,0060,380,8,15,48,8,2,19,27,6,59,68
08,Paraná                                  ,001,0004 ,0061,380,7,12,48,4,5,29,22,15,62,64
08,Paraná                                  ,001,0004 ,0062,380,9,6,58,7,3,14,28,11,68,57
08,Paraná                                  ,001,0004 ,0063,210,2,9,29,3,1,10,12,12,25,34
08,Paraná                                  ,001,0004 ,0064,211,5,6,27,3,1,17,19,3,29,36
08,Paraná                                  ,001,0005 ,0053,380,4,19,41,9,4,9,19,25,35,106
08,Paraná                                  ,001,0005 ,0054,380,9,14,40,13,3,8,25,26,23,117
08,Paraná                                  ,001,0005 ,0055,380,6,7,42,9,1,14,14,29,26,126
08,Paraná                                  ,001,0005 ,0056,380,19,9,31,6,11,16,15,20,37,106
08,Paraná                                  ,001,0005 ,0057,380,7,16,26,8,7,5,18,22,23,113
08,Paraná                                  ,001,0005 ,0058,380,10,16,41,4,5,16,17,22,19,105
08,Paraná                                  ,001,0005 ,0059,380,7,10,33,15,1,10,11,30,26,122
08,Paraná                                  ,001,0005 ,0060,380,9,14,34,6,1,14,17,25,20,114
08,Paraná                                  ,001,0005 ,0061,380,7,9,36,8,3,13,22,29,33,117
08,Paraná                                  ,001,0005 ,0062,205,7,6,16,3,5,8,7,15,9,66
08,Paraná                                  ,001,0005 ,0063,206,6,0,28,2,0,13,6,20,5,53
08,Paraná                                  ,001,0005 ,0065,380,15,18,27,8,1,13,15,19,27,126
08,Paraná                                  ,001,0005 ,0066,380,5,10,35,9,0,25,20,25,27,133
08,Paraná                                  ,001,0005 ,0067,380,4,12,38,14,0,14,26,11,25,134
08,Paraná                                  ,001,0005 ,0068,380,8,0,35,16,1,14,8,20,39,111
08,Paraná                                  ,001,0005 ,0069,380,5,8,36,10,4,11,15,18,24,148
08,Paraná                                  ,001,0005 ,0070,380,7,10,39,11,0,16,11,13,21,140
08,Paraná                                  ,001,0005 ,0071,380,12,10,40,3,0,13,26,22,27,113
08,Paraná                                  ,001,0005 ,0072,380,5,10,40,7,4,16,10,26,27,130
08,Paraná                                  ,001,0005 ,0073,380,7,9,36,6,6,12,17,24,22,137
08,Paraná                                  ,001,0005 ,0074,380,5,5,49,7,0,21,19,20,27,129
08,Paraná                                  ,001,0005 ,0075,200,6,10,16,4,1,8,6,15,11,67
08,Paraná                                  ,001,0005 ,0076,201,4,8,15,8,1,11,9,14,8,60
08,Paraná                                  ,001,0006 ,0064,380,14,5,40,6,4,9,13,22,15,130
08,Paraná                                  ,001,0006 ,0065,380,7,10,41,6,7,13,10,11,11,137
08,Paraná                                  ,001,0006 ,0066,380,4,5,50,3,0,17,9,17,154,134
08,Paraná                                  ,001,0006 ,0067,335,9,10,35,4,0,5,11,18,26,117
08,Paraná                                  ,001,0006 ,0077,380,5,2,48,3,0,12,13,16,16,177
08,Paraná                                  ,001,0006 ,0078,380,3,13,47,15,0,12,7,11,16,167
08,Paraná                                  ,001,0006 ,0079,380,6,14,41,5,0,11,13,15,16,152
08,Paraná                                  ,001,0006 ,0080,230,7,0,29,6,0,5,0,6,17,109
08,Paraná                                  ,001,0006 ,0081,230,4,7,36,5,2,7,4,13,6,97
08,Paraná                                  ,001,0007 ,0068,380,6,12,58,7,0,8,5,20,18,141
08,Paraná                                  ,001,0007 ,0069,380,15,8,35,4,3,4,10,16,8,154
08,Paraná                                  ,001,0007 ,0070,324,6,11,40,2,4,4,2,14,9,134
08,Paraná                                  ,001,0007 ,0082,380,6,7,58,5,3,7,12,9,14,183
08,Paraná                                  ,001,0007 ,0083,380,5,10,45,9,1,7,11,13,17,170
08,Paraná                                  ,001,0007 ,0084,201,5,7,28,4,1,3,2,4,8,92
08,Paraná                                  ,001,0007 ,0085,201,2,8,27,8,1,5,7,5,5,87
08,Paraná                                  ,001,0008 ,0071,380,7,15,48,9,9,12,16,8,38,106
08,Paraná                                  ,001,0008 ,0072,380,7,18,44,10,4,20,16,14,39,92
08,Paraná                                  ,001,0008 ,0073,380,8,16,67,13,10,23,14,11,34,108
08,Paraná                                  ,001,0008 ,0074,380,12,12,59,9,2,21,19,16,40,84
08,Paraná                                  ,001,0008 ,0075,380,9,0,44,15,0,20,16,23,37,86
08,Paraná                                  ,001,0008 ,0076,380,11,7,57,12,4,18,18,18,27,114
08,Paraná                                  ,001,0008 ,0077,380,12,19,56,9,9,14,14,11,40,108
08,Paraná                                  ,001,0008 ,0078,380,10,11,61,11,9,17,12,21,33,90
08,Paraná                                  ,001,0008 ,0079,380,11,14,29,19,0,24,21,22,38,112
08,Paraná                                  ,001,0008 ,0080,380,11,17,40,13,8,19,17,16,20,121
08,Paraná                                  ,001,0008 ,0081,380,6,15,61,11,0,26,17,22,21,85
08,Paraná                                  ,001,0008 ,0082,380,15,16,48,12,7,17,16,20,37,91
08,Paraná                                  ,001,0008 ,0083,380,10,6,59,9,5,15,21,11,35,119
08,Paraná                                  ,001,0008 ,0084,380,9,9,44,8,4,19,10,12,33,134
08,Paraná                                  ,001,0008 ,0085,380,6,22,50,11,6,33,16,13,34,101
08,Paraná                                  ,001,0008 ,0086,760,18,19,130,34,10,38,28,36,58,270
08,Paraná                                  ,001,0008 ,0087,760,16,32,120,34,20,40,28,40,64,240
08,Paraná                                  ,001,0008 ,0088,760,11,18,96,20,10,68,28,30,68,246
08,Paraná                                  ,001,0008 ,0089,760,15,29,114,28,12,54,36,22,82,250
08,Paraná                                  ,001,0008 ,0090,760,16,43,108,32,16,46,46,24,54,242
08,Paraná                                  ,001,0008 ,0091,760,14,43,102,14,8,54,28,32,66,218
08,Paraná                                  ,001,0008 ,0092,760,16,29,108,12,24,38,64,36,60,240
08,Paraná                                  ,001,0008 ,0093,760,13,32,112,24,8,46,54,22,50,214
08,Paraná                                  ,001,0008 ,0094,701,16,26,100,14,22,42,22,30,74,226
08,Paraná                                  ,001,0008 ,0095,380,11,9,38,6,6,21,20,14,32,141
08,Paraná                                  ,001,0008 ,0096,380,8,5,47,6,0,22,19,14,24,148
08,Paraná                                  ,001,0008 ,0097,380,7,18,39,11,0,34,16,10,28,129
08,Paraná                                  ,001,0008 ,0098,380,6,16,53,8,0,25,15,18,31,112
08,Paraná                                  ,001,0008 ,0099,380,14,18,43,15,4,21,26,9,26,115
08,Paraná                                  ,001,0008 ,0100,380,4,6,38,8,5,21,31,7,27,120
08,Paraná                                  ,001,0008 ,0101,380,1,14,44,9,6,23,14,5,22,144
08,Paraná                                  ,001,0008 ,0102,380,5,18,42,6,4,24,28,9,33,113
08,Paraná                                  ,001,0008 ,0103,380,8,14,52,12,4,23,17,10,33,129
08,Paraná                                  ,001,0008 ,0104,380,4,5,44,9,2,25,15,14,26,140
08,Paraná                                  ,001,0008 ,0105,380,3,22,56,14,3,20,21,11,26,114
08,Paraná                                  ,001,0008 ,0106,380,8,12,50,9,5,23,18,20,28,131
08,Paraná                                  ,001,0008 ,0107,380,3,11,53,7,6,20,18,15,30,118
