codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0038,0050,0051,0116,0121,0508,0536,0539,0555,0560
08,Paraná,001,0001 ,0001,1520,11,11,16,82,16,4,6,154,192,12,26,74
08,Paraná,001,0001 ,0002,1520,8,18,12,98,14,4,6,130,194,16,48,66
08,Paraná,001,0001 ,0003,1520,5,13,12,134,12,4,4,144,204,16,18,96
08,Paraná,001,0001 ,0004,1520,5,8,8,104,20,2,2,176,206,12,22,64
08,Paraná,001,0001 ,0005,760,8,15,12,122,14,2,4,152,202,14,30,54
08,Paraná,001,0001 ,0006,1520,10,8,8,114,20,4,2,152,160,18,34,70
08,Paraná,001,0001 ,0007,1520,5,12,24,120,18,4,6,186,186,14,24,54
08,Paraná,001,0001 ,0008,1520,12,13,12,104,16,2,4,154,168,14,20,62
08,Paraná,001,0001 ,0009,760,10,22,24,104,16,8,10,158,206,16,28,78
08,Paraná,001,0001 ,0010,760,8,13,6,96,10,10,8,154,206,14,32,60
08,Paraná,001,0001 ,0011,1520,10,20,24,92,14,4,6,154,170,12,20,88
08,Paraná,001,0001 ,0012,1520,5,8,6,106,18,2,8,158,168,14,26,76
08,Paraná,001,0001 ,0013,760,8,12,8,100,18,4,4,134,182,16,24,88
08,Paraná,001,0001 ,0014,640,4,7,8,100,16,6,4,130,166,18,22,56
08,Paraná,001,0001 ,0015,1280,3,14,14,122,12,2,0,144,150,8,26,52
08,Paraná,001,0001 ,0016,380,7,8,4,55,8,2,3,59,104,6,13,34
08,Paraná,001,0001 ,0017,380,3,3,3,49,7,0,3,63,84,2,8,34
08,Paraná,001,0001 ,0018,225,0,1,3,35,8,1,1,37,61,3,9,17
08,Paraná,001,0002 ,0016,380,4,8,4,59,5,1,2,57,93,3,19,37
08,Paraná,001,0002 ,0017,380,3,11,5,49,8,2,2,56,110,9,16,30
08,Paraná,001,0002 ,0018,380,2,7,2,52,6,0,2,51,101,7,17,43
08,Paraná,001,0002 ,0019,1520,6,11,10,110,26,2,12,106,210,16,26,80
08,Paraná,001,0002 ,0020,760,8,9,12,122,6,4,2,118,194,14,24,84
08,Paraná,001,0002 ,0021,760,12,12,20,106,20,4,6,108,220,24,16,78
08,Paraná,001,0002 ,0022,760,6,13,10,92,18,2,8,114,210,12,22,90
08,Paraná,001,0002 ,0023,760,4,10,8,106,12,8,2,112,212,14,28,88
08,Paraná,001,0002 ,0024,760,4,11,10,120,22,2,6,120,222,18,14,62
