codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0068,0501,0545,0546
08,Paraná,001,0001 ,0001,350,5,6,59,8,93,77,28
08,Paraná,001,0001 ,0002,350,9,5,71,14,84,53,41
08,Paraná,001,0001 ,0003,350,10,6,83,15,69,51,45
08,Paraná,001,0001 ,0004,350,8,2,62,10,83,67,51
08,Paraná,001,0001 ,0005,349,11,2,79,20,73,43,53
08,Paraná,001,0001 ,0006,349,11,4,67,12,98,44,35
08,Paraná,001,0001 ,0007,350,6,2,84,16,97,54,41
08,Paraná,001,0001 ,0008,349,7,2,79,12,87,67,33
08,Paraná,001,0001 ,0009,350,7,4,57,10,108,44,48
08,Paraná,001,0001 ,0010,350,13,6,69,17,66,55,52
08,Paraná,001,0001 ,0011,350,5,4,67,13,107,53,34
08,Paraná,001,0001 ,0012,349,1,2,78,16,95,51,47
08,Paraná,001,0001 ,0013,350,0,2,78,12,77,53,57
08,Paraná,001,0001 ,0014,349,5,2,60,17,77,62,55
08,Paraná,001,0001 ,0015,350,2,1,41,13,108,74,38
08,Paraná,001,0001 ,0016,350,10,4,74,15,85,57,36
08,Paraná,001,0001 ,0017,350,7,3,51,17,107,47,54
08,Paraná,001,0001 ,0018,350,4,10,63,19,88,47,36
08,Paraná,001,0001 ,0019,349,11,4,84,19,64,48,41
08,Paraná,001,0001 ,0020,350,10,4,67,11,88,56,42
08,Paraná,001,0001 ,0021,349,7,6,64,11,98,52,42
08,Paraná,001,0001 ,0022,349,7,2,80,14,77,54,38
08,Paraná,001,0001 ,0023,350,2,3,49,9,85,68,43
08,Paraná,001,0001 ,0024,350,9,2,67,12,101,41,32
08,Paraná,001,0001 ,0025,349,12,9,74,14,82,49,38
08,Paraná,001,0001 ,0026,350,9,1,78,20,77,56,32
08,Paraná,001,0001 ,0027,350,6,7,64,13,90,56,49
08,Paraná,001,0001 ,0028,350,8,8,68,15,103,57,31
08,Paraná,001,0001 ,0029,350,4,3,53,10,99,50,37
08,Paraná,001,0001 ,0030,349,4,5,54,21,91,58,52
08,Paraná,001,0001 ,0031,350,8,3,85,12,56,77,50
08,Paraná,001,0001 ,0032,350,5,1,71,9,99,55,54
08,Paraná,001,0001 ,0033,349,0,0,79,13,68,56,39
08,Paraná,001,0001 ,0034,350,7,2,57,7,81,53,59
08,Paraná,001,0001 ,0035,350,2,4,65,14,95,33,59
08,Paraná,001,0001 ,0036,334,7,2,64,10,86,54,45
08,Paraná,001,0002 ,0037,348,11,0,61,15,72,66,52
08,Paraná,001,0002 ,0038,349,7,4,72,19,58,52,56
08,Paraná,001,0002 ,0039,350,8,2,89,11,75,53,37
08,Paraná,001,0002 ,0040,350,5,5,82,14,67,37,41
08,Paraná,001,0002 ,0041,350,7,7,96,16,66,44,54
