codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0050,0186,0502,0550
08,Paraná,001,0001 ,0001,350,4,5,11,14,146,75
08,Paraná,001,0001 ,0002,350,1,7,15,22,165,61
08,Paraná,001,0001 ,0003,350,3,7,12,21,162,52
08,Paraná,001,0001 ,0004,350,2,2,14,21,166,76
08,Paraná,001,0001 ,0005,350,4,0,15,25,183,45
08,Paraná,001,0001 ,0006,350,1,4,17,22,157,71
08,Paraná,001,0001 ,0007,350,0,2,15,17,161,77
08,Paraná,001,0001 ,0008,350,2,4,17,17,150,78
08,Paraná,001,0001 ,0009,350,2,7,13,20,157,72
08,Paraná,001,0001 ,0010,350,3,1,15,25,177,70
08,Paraná,001,0001 ,0011,350,3,4,10,28,145,74
08,Paraná,001,0001 ,0012,350,1,2,15,36,138,85
08,Paraná,001,0001 ,0013,350,3,3,21,28,143,54
08,Paraná,001,0001 ,0014,350,2,2,15,27,146,74
08,Paraná,001,0001 ,0015,347,3,8,15,24,115,92
08,Paraná,001,0001 ,0016,350,4,8,8,12,158,70
08,Paraná,001,0001 ,0017,350,3,8,14,32,126,86
08,Paraná,001,0001 ,0018,350,3,8,14,23,164,60
08,Paraná,001,0001 ,0019,350,0,5,9,23,153,61
08,Paraná,001,0001 ,0020,350,0,2,15,25,146,72
08,Paraná,001,0001 ,0021,350,2,3,16,20,165,54
08,Paraná,001,0001 ,0022,350,4,5,16,19,170,56
08,Paraná,001,0001 ,0023,350,3,2,12,31,138,74
08,Paraná,001,0001 ,0024,350,1,7,16,19,148,69
08,Paraná,001,0001 ,0025,350,0,5,21,27,143,66
08,Paraná,001,0001 ,0026,350,0,5,20,28,147,67
08,Paraná,001,0001 ,0027,350,4,11,11,30,150,60
08,Paraná,001,0001 ,0028,350,5,2,11,24,142,73
08,Paraná,001,0001 ,0029,350,2,1,12,24,141,88
08,Paraná,001,0001 ,0030,350,2,3,12,29,154,76
08,Paraná,001,0001 ,0031,350,3,6,13,15,178,50
08,Paraná,001,0001 ,0032,350,2,8,17,27,164,69
08,Paraná,001,0001 ,0033,350,1,3,7,29,147,82
08,Paraná,001,0001 ,0034,350,2,2,12,21,161,62
08,Paraná,001,0001 ,0035,350,3,3,23,23,134,68
08,Paraná,001,0001 ,0036,350,0,1,15,19,163,72
08,Paraná,001,0001 ,0037,81,4,2,4,5,41,11
08,Paraná,001,0002 ,0038,350,1,5,14,19,167,59
08,Paraná,001,0002 ,0039,350,3,1,15,27,178,40
08,Paraná,001,0002 ,0040,350,2,4,15,24,148,66
08,Paraná,001,0002 ,0041,350,3,1,13,18,158,67
08,Paraná,001,0002 ,0042,350,3,3,13,23,194,43
08,Paraná,001,0002 ,0043,350,1,6,17,16,151,62
08,Paraná,001,0002 ,0044,350,2,6,14,21,169,50
08,Paraná,001,0002 ,0045,350,4,2,12,18,170,52
08,Paraná,001,0002 ,0046,350,3,2,14,23,173,63
08,Paraná,001,0002 ,0047,350,2,4,17,16,160,61
08,Paraná,001,0002 ,0048,350,3,5,11,25,0,55
