codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0050,0068,0158,0177,0198,0501,0505
08,Paraná,001,0001 ,0001,350,0,1,42,56,5,13,1,1,72,34
08,Paraná,001,0001 ,0002,350,0,0,40,28,4,16,37,13,71,25
08,Paraná,001,0001 ,0003,349,33,1,43,47,4,15,34,10,57,18
08,Paraná,001,0001 ,0004,349,0,0,0,0,0,0,0,0,0,0
08,Paraná,001,0001 ,0005,348,38,7,42,37,7,12,34,15,62,26
08,Paraná,001,0001 ,0006,350,49,3,39,15,2,18,42,9,74,19
08,Paraná,001,0001 ,0007,350,32,1,39,32,8,16,37,17,79,25
08,Paraná,001,0001 ,0008,350,9,5,39,29,3,19,34,8,71,39
08,Paraná,001,0001 ,0009,349,41,8,29,42,3,15,14,13,83,24
08,Paraná,001,0001 ,0010,350,53,3,35,21,1,17,43,4,68,23
08,Paraná,001,0001 ,0011,350,6,3,35,34,5,0,30,0,77,0
08,Paraná,001,0001 ,0012,350,43,0,32,37,4,14,27,7,82,19
08,Paraná,001,0001 ,0013,349,2,0,35,33,3,19,31,10,62,35
08,Paraná,001,0001 ,0014,350,45,5,25,42,6,20,29,7,67,26
08,Paraná,001,0001 ,0015,350,25,4,33,36,3,11,9,2,95,29
08,Paraná,001,0001 ,0016,350,35,2,34,49,5,17,21,2,87,27
08,Paraná,001,0001 ,0017,350,37,1,32,46,5,15,15,9,91,23
08,Paraná,001,0001 ,0018,350,0,0,37,26,0,18,27,9,85,25
08,Paraná,001,0001 ,0019,350,49,6,36,49,6,14,22,6,62,19
08,Paraná,001,0001 ,0020,349,39,6,45,38,3,11,25,10,62,27
08,Paraná,001,0001 ,0021,350,41,6,35,48,3,14,14,7,70,22
08,Paraná,001,0001 ,0022,350,0,0,24,14,8,20,41,11,85,24
08,Paraná,001,0001 ,0023,349,42,3,36,29,7,20,26,13,65,21
08,Paraná,001,0001 ,0024,350,41,3,32,24,4,27,25,13,68,32
08,Paraná,001,0001 ,0025,350,38,2,37,34,6,15,21,8,74,26
08,Paraná,001,0001 ,0026,350,0,0,40,19,3,13,47,7,64,37
08,Paraná,001,0001 ,0027,350,39,2,50,32,3,17,31,13,78,24
08,Paraná,001,0001 ,0028,350,38,4,39,27,1,32,24,7,76,33
08,Paraná,001,0001 ,0029,349,39,8,40,36,5,11,21,8,89,15
08,Paraná,001,0001 ,0030,350,47,7,57,16,6,9,52,8,54,22
08,Paraná,001,0001 ,0031,350,0,0,37,36,8,18,32,9,81,22
08,Paraná,001,0001 ,0032,350,42,3,33,27,4,10,46,12,57,31
08,Paraná,001,0001 ,0033,349,35,2,35,27,0,12,27,7,71,36
08,Paraná,001,0001 ,0034,350,2,4,34,45,4,7,48,5,68,27
08,Paraná,001,0001 ,0035,185,19,2,14,25,4,7,16,5,41,7
08,Paraná,001,0001 ,0036,194,18,4,16,15,1,13,22,6,41,24
08,Paraná,001,0002 ,0037,350,49,3,36,54,3,10,24,12,58,34
08,Paraná,001,0002 ,0038,350,0,0,47,68,4,10,31,16,68,19
08,Paraná,001,0002 ,0039,350,4,0,108,19,2,9,41,9,81,23
08,Paraná,001,0002 ,0040,350,39,4,38,57,3,13,21,8,48,19
08,Paraná,001,0002 ,0041,349,43,4,41,43,2,11,42,19,56,28
08,Paraná,001,0002 ,0042,348,27,4,31,34,4,14,35,9,73,30
08,Paraná,001,0002 ,0043,350,0,0,37,45,7,14,16,8,54,21
08,Paraná,001,0002 ,0044,350,0,0,36,35,0,14,38,13,61,20
08,Paraná,001,0002 ,0045,350,36,1,33,33,3,22,35,13,57,33
08,Paraná,001,0002 ,0046,348,8,3,44,59,4,14,14,12,55,28
08,Paraná,001,0002 ,0047,350,41,6,40,52,6,18,16,4,49,27
08,Paraná,001,0002 ,0048,349,34,4,45,50,6,12,24,8,53,22
08,Paraná,001,0002 ,0049,350,52,3,29,51,5,13,22,5,73,15
