codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0050,0186,0502,0550
08,Paraná,001,0001 ,0001,350,12,10,14,11,121,81
08,Paraná,001,0001 ,0002,350,4,11,15,16,157,63
08,Paraná,001,0001 ,0003,350,6,11,11,15,148,65
08,Paraná,001,0001 ,0004,350,7,13,13,13,148,72
08,Paraná,001,0001 ,0005,350,7,6,17,17,152,58
08,Paraná,001,0001 ,0006,350,2,8,12,21,144,72
08,Paraná,001,0001 ,0007,350,1,7,9,15,151,76
08,Paraná,001,0001 ,0008,350,3,10,15,16,133,79
08,Paraná,001,0001 ,0009,350,3,11,12,19,147,70
08,Paraná,001,0001 ,0010,352,7,8,12,22,166,70
08,Paraná,001,0001 ,0011,350,4,11,13,19,135,80
08,Paraná,001,0001 ,0012,350,3,8,14,24,134,84
08,Paraná,001,0001 ,0013,350,8,7,19,26,138,56
08,Paraná,001,0001 ,0014,350,8,2,17,16,140,74
08,Paraná,001,0001 ,0015,349,3,10,12,17,110,102
08,Paraná,001,0001 ,0016,350,3,12,8,9,135,75
08,Paraná,001,0001 ,0017,350,7,11,16,30,114,81
08,Paraná,001,0001 ,0018,350,6,13,17,21,134,67
08,Paraná,001,0001 ,0019,350,3,8,10,22,137,60
08,Paraná,001,0001 ,0020,350,4,3,9,32,133,72
08,Paraná,001,0001 ,0021,352,3,4,16,17,154,63
08,Paraná,001,0001 ,0022,350,6,8,12,17,154,65
08,Paraná,001,0001 ,0023,350,6,3,15,28,116,82
08,Paraná,001,0001 ,0024,350,7,6,14,17,138,80
08,Paraná,001,0001 ,0025,350,3,12,21,21,126,72
08,Paraná,001,0001 ,0026,350,2,4,23,22,123,72
08,Paraná,001,0001 ,0027,350,3,15,16,21,141,63
08,Paraná,001,0001 ,0028,350,7,5,5,19,138,89
08,Paraná,001,0001 ,0029,353,3,6,15,20,118,94
08,Paraná,001,0001 ,0030,350,9,6,16,23,131,78
08,Paraná,001,0001 ,0031,350,6,7,8,14,165,58
08,Paraná,001,0001 ,0032,350,3,11,20,22,150,78
08,Paraná,001,0001 ,0033,350,7,8,8,20,141,80
08,Paraná,001,0001 ,0034,350,2,7,14,23,146,62
08,Paraná,001,0001 ,0035,350,4,11,18,19,116,75
08,Paraná,001,0001 ,0036,350,1,8,16,21,133,66
08,Paraná,001,0001 ,0037,82,3,3,6,1,42,10
08,Paraná,001,0002 ,0038,350,2,9,12,21,149,57
08,Paraná,001,0002 ,0039,350,4,8,16,26,160,49
08,Paraná,001,0002 ,0040,350,0,0,0,0,0,0
08,Paraná,001,0002 ,0041,350,6,7,15,15,155,57
08,Paraná,001,0002 ,0042,350,8,6,10,19,184,46
08,Paraná,001,0002 ,0043,350,6,18,11,15,136,71
08,Paraná,001,0002 ,0044,350,9,9,15,16,167,51
08,Paraná,001,0002 ,0045,350,6,2,15,21,160,52
08,Paraná,001,0002 ,0046,353,2,8,13,17,154,70
08,Paraná,001,0002 ,0047,350,7,5,8,15,139,71
08,Paraná,001,0002 ,0048,350,4,9,50,31,147,51
08,Paraná,001,0002 ,0049,350,8,6,23,20,143,51
08,Paraná,001,0002 ,0050,350,6,6,22,25,154,58
08,Paraná,001,0002 ,0051,352,2,8,13,15,170,58
08,Paraná,001,0002 ,0052,350,6,8,15,14,162,43
08,Paraná,001,0002 ,0053,350,6,16,13,16,150,62
08,Paraná,001,0002 ,0054,350,3,13,15,20,145,64
08,Paraná,001,0002 ,0055,350,5,8,10,27,154,61
08,Paraná,001,0002 ,0056,350,6,7,9,27,166,46
08,Paraná,001,0002 ,0057,350,6,10,14,19,164,51
08,Paraná,001,0002 ,0058,350,5,10,10,22,153,60
08,Paraná,001,0002 ,0059,350,4,10,19,28,170,37
08,Paraná,001,0002 ,0060,353,12,10,15,24,148,64
08,Paraná,001,0002 ,0061,350,6,6,17,21,155,58
08,Paraná,001,0002 ,0062,350,4,9,14,23,150,59
08,Paraná,001,0002 ,0063,350,6,9,19,12,171,42
08,Paraná,001,0002 ,0064,350,6,9,15,25,161,48
08,Paraná,001,0002 ,0065,350,2,11,8,28,144,60
08,Paraná,001,0002 ,0066,350,3,10,4,20,176,47
08,Paraná,001,0002 ,0067,250,1,7,11,15,110,35
08,Paraná,001,0003 ,0068,350,9,11,8,22,130,84
08,Paraná,001,0003 ,0069,350,4,11,12,15,126,92
08,Paraná,001,0003 ,0070,350,4,11,8,16,125,79
08,Paraná,001,0003 ,0071,350,4,3,12,28,132,79
08,Paraná,001,0003 ,0072,350,3,9,6,17,123,89
08,Paraná,001,0003 ,0073,350,3,13,12,25,133,73
08,Paraná,001,0003 ,0074,350,4,11,22,22,149,56
08,Paraná,001,0003 ,0075,350,2,9,12,27,137,80
08,Paraná,001,0003 ,0076,350,0,13,15,30,139,71
08,Paraná,001,0003 ,0077,350,4,9,19,18,128,69
08,Paraná,001,0003 ,0078,350,5,5,16,20,134,76
08,Paraná,001,0003 ,0079,351,1,9,13,21,141,73
08,Paraná,001,0003 ,0080,350,6,10,9,17,151,66
08,Paraná,001,0003 ,0081,350,6,8,11,19,121,106
08,Paraná,001,0003 ,0082,350,2,6,7,18,139,78
08,Paraná,001,0003 ,0083,350,3,7,20,13,129,99
08,Paraná,001,0003 ,0084,350,0,0,0,0,0,0
08,Paraná,001,0003 ,0085,350,4,15,21,20,109,74
08,Paraná,001,0003 ,0086,350,0,0,0,0,0,0
08,Paraná,001,0003 ,0087,350,4,4,9,23,124,80
08,Paraná,001,0003 ,0088,350,5,12,18,21,145,73
08,Paraná,001,0003 ,0089,350,3,10,13,26,123,84
08,Paraná,001,0003 ,0090,320,1,8,10,18,141,70
08,Paraná,001,0004 ,0091,350,2,9,18,17,166,68
08,Paraná,001,0004 ,0092,350,5,6,18,14,154,58
08,Paraná,001,0004 ,0093,350,6,6,26,26,162,49
08,Paraná,001,0004 ,0094,348,4,3,12,24,146,74
08,Paraná,001,0004 ,0095,350,2,15,13,20,172,38
08,Paraná,001,0004 ,0096,350,4,8,11,16,156,71
08,Paraná,001,0004 ,0097,350,3,5,17,14,155,67
08,Paraná,001,0004 ,0098,350,3,3,10,20,149,69
08,Paraná,001,0004 ,0099,350,9,10,10,10,166,59
08,Paraná,001,0004 ,0100,350,3,6,18,8,174,44
08,Paraná,001,0004 ,0101,351,2,8,15,13,176,48
08,Paraná,001,0004 ,0102,350,4,15,11,20,143,54
08,Paraná,001,0004 ,0103,350,4,8,13,18,157,60
08,Paraná,001,0004 ,0104,351,7,12,16,15,144,62
08,Paraná,001,0004 ,0105,350,8,9,13,14,142,82
08,Paraná,001,0004 ,0106,350,6,6,12,14,166,59
08,Paraná,001,0004 ,0107,350,6,5,18,24,183,41
08,Paraná,001,0004 ,0108,350,4,13,6,21,149,64
08,Paraná,001,0004 ,0109,350,4,9,15,13,151,67
08,Paraná,001,0004 ,0110,350,4,6,19,11,140,72
08,Paraná,001,0004 ,0111,350,1,6,19,20,142,76
08,Paraná,001,0004 ,0112,353,4,8,14,19,152,64
08,Paraná,001,0004 ,0113,350,8,11,10,21,154,66
08,Paraná,001,0004 ,0114,350,2,6,15,22,176,60
08,Paraná,001,0004 ,0115,350,3,11,11,12,150,63
08,Paraná,001,0004 ,0116,350,2,7,19,28,129,75
08,Paraná,001,0004 ,0117,350,2,8,12,17,178,48
08,Paraná,001,0004 ,0118,350,9,7,13,21,150,65
08,Paraná,001,0004 ,0119,350,4,3,17,17,168,54
08,Paraná,001,0004 ,0120,350,2,8,14,12,167,60
08,Paraná,001,0004 ,0121,350,7,5,16,13,171,48
08,Paraná,001,0004 ,0122,350,4,7,16,17,162,61
08,Paraná,001,0004 ,0123,297,2,5,17,19,128,39
08,Paraná,001,0005 ,0124,350,5,14,6,23,115,104
08,Paraná,001,0005 ,0125,350,8,25,12,14,110,99
08,Paraná,001,0005 ,0126,350,3,16,8,25,118,93
08,Paraná,001,0005 ,0127,350,2,18,9,17,115,105
08,Paraná,001,0005 ,0128,350,3,3,6,10,108,122
08,Paraná,001,0005 ,0129,350,2,12,19,11,108,108
08,Paraná,001,0005 ,0130,350,5,12,10,15,109,116
08,Paraná,001,0005 ,0131,353,3,21,20,16,115,88
08,Paraná,001,0005 ,0132,350,4,19,6,21,119,108
08,Paraná,001,0005 ,0133,350,4,16,14,19,138,84
08,Paraná,001,0005 ,0134,350,8,16,6,12,114,104
08,Paraná,001,0005 ,0135,350,7,12,5,15,92,133
08,Paraná,001,0005 ,0136,350,6,13,2,11,69,139
08,Paraná,001,0005 ,0137,352,3,11,15,22,119,98
08,Paraná,001,0005 ,0138,350,7,10,13,19,122,106
08,Paraná,001,0005 ,0139,350,5,10,10,18,106,119
08,Paraná,001,0005 ,0140,350,6,11,13,22,116,104
08,Paraná,001,0005 ,0141,350,3,14,12,16,93,114
08,Paraná,001,0005 ,0142,350,1,17,6,23,90,110
08,Paraná,001,0005 ,0143,350,4,12,9,19,121,108
08,Paraná,001,0005 ,0144,350,3,15,5,19,110,109
08,Paraná,001,0005 ,0145,350,6,10,15,19,105,96
08,Paraná,001,0005 ,0146,352,5,17,12,20,112,106
08,Paraná,001,0005 ,0147,350,3,13,16,18,80,134
08,Paraná,001,0005 ,0148,350,8,8,12,12,118,111
08,Paraná,001,0005 ,0149,350,7,10,12,17,125,94
08,Paraná,001,0005 ,0150,350,3,0,15,16,116,102
08,Paraná,001,0005 ,0151,350,5,15,12,12,103,112
08,Paraná,001,0005 ,0152,350,9,16,7,21,98,108
08,Paraná,001,0005 ,0153,186,6,3,5,9,84,43
08,Paraná,001,0005 ,0154,189,3,6,3,8,75,56
08,Paraná,001,0006 ,0155,350,6,11,14,24,84,120
08,Paraná,001,0006 ,0156,350,5,25,2,11,78,148
08,Paraná,001,0006 ,0157,350,6,17,8,17,93,145
08,Paraná,001,0006 ,0158,350,5,15,13,22,91,137
08,Paraná,001,0006 ,0159,350,0,0,0,0,0,0
08,Paraná,001,0006 ,0160,350,0,0,0,0,0,0
08,Paraná,001,0006 ,0161,353,3,8,9,24,81,122
08,Paraná,001,0006 ,0162,350,11,18,6,24,77,142
08,Paraná,001,0006 ,0163,350,11,23,5,14,74,121
08,Paraná,001,0006 ,0164,350,5,18,7,16,76,145
08,Paraná,001,0006 ,0165,350,13,14,6,25,88,118
08,Paraná,001,0006 ,0166,350,4,18,10,15,67,140
