codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00037,00050,00087,00071
08,001,Paraná,00001,000001,346,12,0,119,124,11,10
08,001,Paraná,00001,000010,355,15,1,66,175,23,18
08,001,Paraná,00001,000011,350,13,4,87,152,26,6
08,001,Paraná,00001,000012,348,14,2,88,134,24,15
08,001,Paraná,00001,000013,350,22,0,79,122,22,20
08,001,Paraná,00001,000014,349,14,1,80,153,17,9
08,001,Paraná,00001,000015,350,16,2,119,113,20,8
08,001,Paraná,00001,000016,352,12,2,87,142,22,12
08,001,Paraná,00001,000017,349,18,3,116,112,8,17
08,001,Paraná,00001,000018,350,11,2,71,153,21,8
08,001,Paraná,00001,000019,350,15,1,77,156,16,13
08,001,Paraná,00001,000002,347,13,7,69,147,29,13
08,001,Paraná,00001,000020,348,9,0,98,132,23,8
08,001,Paraná,00001,000021,349,12,2,67,162,20,8
08,001,Paraná,00001,000022,349,9,4,66,161,18,9
08,001,Paraná,00001,000023,347,9,2,121,111,17,8
08,001,Paraná,00001,000024,350,13,2,92,152,13,6
08,001,Paraná,00001,000025,349,11,6,98,121,24,15
08,001,Paraná,00001,000026,349,7,1,82,143,17,12
08,001,Paraná,00001,000027,347,13,5,86,141,18,13
08,001,Paraná,00001,000028,352,24,4,80,138,16,10
08,001,Paraná,00001,000029,350,20,0,105,128,18,6
08,001,Paraná,00001,000003,349,11,3,87,145,25,7
08,001,Paraná,00001,000030,347,15,1,115,133,14,9
08,001,Paraná,00001,000031,348,13,1,65,177,15,13
08,001,Paraná,00001,000032,347,4,7,67,188,9,17
08,001,Paraná,00001,000033,346,11,2,102,144,17,7
08,001,Paraná,00001,000034,348,9,2,70,166,15,7
08,001,Paraná,00001,000035,350,15,4,85,128,24,15
08,001,Paraná,00001,000036,349,3,0,80,154,17,11
08,001,Paraná,00001,000037,204,8,1,41,83,18,7
08,001,Paraná,00001,000004,348,12,3,91,150,22,12
08,001,Paraná,00001,000005,349,8,2,77,172,13,11
08,001,Paraná,00001,000006,350,12,3,82,154,32,13
08,001,Paraná,00001,000007,348,22,0,85,169,17,5
