codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0068,0501,0545,0546
08,Paraná,001,0001 ,0001,350,4,5,49,12,101,77,29
08,Paraná,001,0001 ,0002,350,6,8,57,15,75,70,33
08,Paraná,001,0001 ,0003,350,10,9,70,8,73,51,44
08,Paraná,001,0001 ,0004,350,7,2,51,9,84,76,37
08,Paraná,001,0001 ,0005,349,5,5,74,13,75,66,41
08,Paraná,001,0001 ,0006,349,6,7,64,8,79,63,32
08,Paraná,001,0001 ,0007,350,8,1,71,8,106,50,39
08,Paraná,001,0001 ,0008,349,5,5,70,15,81,75,29
08,Paraná,001,0001 ,0009,350,1,7,49,12,101,57,41
08,Paraná,001,0001 ,0010,350,5,6,75,10,79,63,31
08,Paraná,001,0001 ,0011,350,4,2,55,9,106,46,36
08,Paraná,001,0001 ,0012,349,3,6,74,18,93,28,39
08,Paraná,001,0001 ,0013,350,0,3,57,11,85,56,45
08,Paraná,001,0001 ,0014,349,5,4,56,14,73,82,39
08,Paraná,001,0001 ,0015,350,1,5,40,9,110,16,40
08,Paraná,001,0001 ,0016,350,7,7,61,11,77,76,28
08,Paraná,001,0001 ,0017,350,8,2,41,10,103,56,57
08,Paraná,001,0001 ,0018,350,3,13,73,12,77,51,35
08,Paraná,001,0001 ,0019,349,9,5,86,12,66,52,40
08,Paraná,001,0001 ,0020,350,6,1,73,12,79,60,29
08,Paraná,001,0001 ,0021,349,3,3,62,15,85,56,35
08,Paraná,001,0001 ,0022,350,9,10,56,11,78,65,34
08,Paraná,001,0001 ,0023,350,8,4,49,4,71,66,41
08,Paraná,001,0001 ,0024,350,4,2,68,7,93,46,36
08,Paraná,001,0001 ,0025,349,6,9,55,12,88,56,39
08,Paraná,001,0001 ,0026,350,6,6,68,7,74,75,32
08,Paraná,001,0001 ,0027,350,8,9,59,4,79,71,38
08,Paraná,001,0001 ,0028,350,3,4,64,13,93,70,33
08,Paraná,001,0001 ,0029,350,6,3,45,5,102,54,36
08,Paraná,001,0001 ,0030,349,6,7,50,10,84,62,50
08,Paraná,001,0001 ,0031,350,5,4,79,7,58,78,45
08,Paraná,001,0001 ,0032,350,2,2,79,8,102,50,45
08,Paraná,001,0001 ,0033,349,5,7,69,11,72,60,39
08,Paraná,001,0001 ,0034,350,3,3,56,5,84,60,46
08,Paraná,001,0001 ,0035,350,2,7,72,9,88,43,43
08,Paraná,001,0001 ,0036,306,5,2,44,9,64,60,49
08,Paraná,001,0002 ,0037,348,6,3,55,14,75,68,40
08,Paraná,001,0002 ,0038,349,6,9,60,11,70,62,46
08,Paraná,001,0002 ,0039,350,5,6,64,11,89,68,32
08,Paraná,001,0002 ,0040,350,3,4,81,9,69,45,35
08,Paraná,001,0002 ,0041,350,4,6,81,14,71,61,45
08,Paraná,001,0002 ,0042,349,9,9,55,21,68,72,37
08,Paraná,001,0002 ,0043,350,2,5,66,5,63,70,34
08,Paraná,001,0002 ,0044,350,5,2,80,14,72,49,40
08,Paraná,001,0002 ,0045,350,4,5,82,19,67,52,34
08,Paraná,001,0002 ,0046,350,4,1,60,5,74,59,47
08,Paraná,001,0002 ,0047,350,3,3,70,14,70,78,40
08,Paraná,001,0002 ,0048,350,2,2,72,13,59,60,46
08,Paraná,001,0002 ,0049,349,3,2,52,9,77,64,54
08,Paraná,001,0002 ,0050,349,6,5,74,10,75,49,44
08,Paraná,001,0002 ,0051,350,5,4,53,9,84,72,42
08,Paraná,001,0002 ,0052,349,3,5,61,15,71,46,44
08,Paraná,001,0002 ,0053,350,4,2,64,10,85,49,51
08,Paraná,001,0002 ,0054,350,5,7,64,14,72,63,48
