codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00005,00009,00002,00076,00077
08,001,Paraná,00001,000001,346,17,2,99,95,7,25,9
08,001,Paraná,00001,000010,355,16,7,57,141,8,29,15
08,001,Paraná,00001,000011,350,32,4,89,109,2,21,6
08,001,Paraná,00001,000012,348,17,2,90,114,7,30,12
08,001,Paraná,00001,000013,350,15,2,73,109,12,35,12
08,001,Paraná,00001,000014,349,25,1,68,122,5,31,7
08,001,Paraná,00001,000015,350,18,4,106,93,4,26,8
08,001,Paraná,00001,000016,352,24,4,82,127,3,25,6
08,001,Paraná,00001,000017,349,35,5,100,79,9,18,15
08,001,Paraná,00001,000018,350,26,1,70,125,4,24,10
08,001,Paraná,00001,000019,350,19,8,66,116,8,17,9
08,001,Paraná,00001,000002,347,20,3,64,125,0,35,15
08,001,Paraná,00001,000020,348,26,1,87,97,2,22,11
08,001,Paraná,00001,000021,349,16,6,65,120,2,29,8
08,001,Paraná,00001,000022,349,20,7,73,119,5,25,5
08,001,Paraná,00001,000023,347,11,10,100,97,3,23,7
08,001,Paraná,00001,000024,350,11,5,89,116,5,24,10
08,001,Paraná,00001,000025,349,15,5,84,101,4,27,13
08,001,Paraná,00001,000026,349,22,4,76,120,4,20,10
08,001,Paraná,00001,000027,347,17,6,76,122,4,19,17
08,001,Paraná,00001,000028,352,34,7,70,107,2,24,9
08,001,Paraná,00001,000029,350,29,1,89,104,2,22,8
08,001,Paraná,00001,000003,349,27,3,70,110,5,20,13
08,001,Paraná,00001,000030,347,18,3,106,99,8,24,9
08,001,Paraná,00001,000031,348,26,4,61,130,5,25,11
08,001,Paraná,00001,000032,347,17,2,67,143,6,23,16
08,001,Paraná,00001,000033,346,22,2,91,106,8,28,7
08,001,Paraná,00001,000034,348,11,4,69,127,4,32,5
08,001,Paraná,00001,000035,350,25,11,78,91,3,30,20
08,001,Paraná,00001,000036,349,16,0,65,120,5,28,8
08,001,Paraná,00001,000037,204,9,3,33,64,3,18,1
08,001,Paraná,00001,000004,348,29,3,79,128,5,28,10
08,001,Paraná,00001,000005,349,19,9,68,140,2,23,10
08,001,Paraná,00001,000006,350,26,3,89,113,4,28,12
08,001,Paraná,00001,000007,348,19,8,77,132,4,26,6
08,001,Paraná,00001,000008,349,20,7,81,120,3,24,9
08,001,Paraná,00001,000009,349,14,5,76,113,5,25,13
08,001,Paraná,00002,000038,348,20,3,71,111,4,32,15
08,001,Paraná,00002,000039,348,14,1,54,150,2,32,12
08,001,Paraná,00002,000040,350,21,3,72,108,7,23,15
08,001,Paraná,00002,000041,350,5,1,77,122,2,32,11
