codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0003,0047,0054,0101,0187,0198
09,Formosa                                 ,001,0001 ,0001,432,0,0,4,98,9,3,130,22,10
09,Formosa                                 ,001,0001 ,0002,432,0,0,0,0,0,0,0,0,0
09,Formosa                                 ,001,0001 ,0003,432,0,0,0,0,0,0,0,0,0
09,Formosa                                 ,001,0001 ,0004,432,2,9,2,72,12,2,146,0,15
09,Formosa                                 ,001,0001 ,0005,432,3,8,6,73,18,2,0,34,0
09,Formosa                                 ,001,0001 ,0006,432,0,0,2,86,16,1,122,18,7
09,Formosa                                 ,001,0001 ,0007,432,4,2,4,80,13,2,146,25,3
09,Formosa                                 ,001,0001 ,0008,432,5,5,5,79,11,1,130,24,13
09,Formosa                                 ,001,0001 ,0009,432,34,6,4,80,5,4,142,9,12
09,Formosa                                 ,001,0001 ,0010,432,29,9,1,91,10,9,132,26,11
09,Formosa                                 ,001,0001 ,0011,432,0,0,3,98,16,2,116,15,7
09,Formosa                                 ,001,0001 ,0012,432,12,5,6,87,13,8,143,24,8
09,Formosa                                 ,001,0001 ,0013,432,28,8,6,92,14,1,129,27,7
09,Formosa                                 ,001,0001 ,0014,432,19,9,2,73,18,3,168,15,10
09,Formosa                                 ,001,0001 ,0015,432,6,10,5,90,17,3,135,13,11
09,Formosa                                 ,001,0001 ,0016,432,25,9,4,79,16,4,169,12,6
09,Formosa                                 ,001,0001 ,0017,432,35,0,3,77,10,5,128,18,10
09,Formosa                                 ,001,0001 ,0018,432,2,10,1,115,11,2,125,21,9
09,Formosa                                 ,001,0001 ,0019,431,21,5,4,71,13,0,132,35,8
09,Formosa                                 ,001,0001 ,0020,431,26,11,6,86,17,2,127,11,7
09,Formosa                                 ,001,0001 ,0470,436,25,6,2,60,11,1,121,39,18
09,Formosa                                 ,001,0001 ,0471,436,39,0,3,78,7,7,124,20,8
09,Formosa                                 ,001,0001 ,0472,436,37,8,4,74,22,0,119,25,8
09,Formosa                                 ,001,0001 ,0473,436,0,0,0,0,0,0,0,0,0
09,Formosa                                 ,001,0001 ,0474,436,7,4,4,68,9,7,131,30,13
09,Formosa                                 ,001,0001 ,0475,436,6,11,5,66,10,10,124,27,15
09,Formosa                                 ,001,0001 ,0476,436,0,0,1,72,11,2,131,23,13
09,Formosa                                 ,001,0001 ,0477,436,11,5,3,74,7,7,97,23,15
09,Formosa                                 ,001,0001 ,0478,436,0,0,0,0,0,0,0,0,0
09,Formosa                                 ,001,0001 ,0479,436,7,7,5,88,12,3,98,21,4
09,Formosa                                 ,001,0001 ,0480,436,27,5,4,71,12,4,113,28,14
09,Formosa                                 ,001,0001 ,0481,436,8,10,9,70,5,3,123,30,6
09,Formosa                                 ,001,0001 ,0482,436,7,1,2,68,7,4,133,28,19
09,Formosa                                 ,001,0001 ,0483,436,0,0,0,69,11,50,123,18,103
09,Formosa                                 ,001,0001 ,0484,436,0,0,2,81,8,7,112,17,10
09,Formosa                                 ,001,0001 ,0485,435,25,10,1,76,11,3,127,17,18
09,Formosa                                 ,001,0001 ,0486,435,23,4,4,61,7,4,102,45,12
09,Formosa                                 ,001,0001 ,0487,435,0,0,0,91,12,4,105,27,7
09,Formosa                                 ,001,0002 ,0021,399,0,0,4,98,10,2,113,20,2
09,Formosa                                 ,001,0002 ,0022,399,3,9,4,85,10,1,94,35,5
09,Formosa                                 ,001,0002 ,0023,399,26,4,2,96,15,5,92,23,5
09,Formosa                                 ,001,0002 ,0024,399,3,7,3,76,17,2,104,19,6
09,Formosa                                 ,001,0002 ,0025,399,4,7,2,94,15,5,92,15,5
09,Formosa                                 ,001,0002 ,0026,399,29,0,3,78,14,5,87,13,9
09,Formosa                                 ,001,0002 ,0027,398,28,0,4,78,17,5,104,16,7
09,Formosa                                 ,001,0002 ,0028,398,0,0,5,82,11,2,92,22,5
09,Formosa                                 ,001,0002 ,0029,398,28,1,3,75,14,2,101,27,5
09,Formosa                                 ,001,0002 ,0030,398,15,4,7,73,13,5,104,16,7
09,Formosa                                 ,001,0002 ,0488,416,20,4,1,75,18,6,102,26,3
09,Formosa                                 ,001,0002 ,0489,416,0,0,4,82,10,3,102,29,5
09,Formosa                                 ,001,0002 ,0490,416,5,10,3,84,8,7,90,20,8
09,Formosa                                 ,001,0002 ,0491,416,15,2,4,60,8,3,109,26,2
09,Formosa                                 ,001,0002 ,0492,416,21,8,4,83,20,6,82,22,3
09,Formosa                                 ,001,0002 ,0493,416,28,0,4,95,17,4,88,26,4
09,Formosa                                 ,001,0002 ,0494,416,6,5,2,64,6,5,107,24,5
09,Formosa                                 ,001,0002 ,0495,415,16,14,2,92,13,3,95,25,5
09,Formosa                                 ,001,0003 ,0031,433,4,4,2,93,8,1,142,34,11
09,Formosa                                 ,001,0003 ,0032,433,16,10,4,91,4,1,149,24,15
09,Formosa                                 ,001,0003 ,0033,433,12,1,2,76,6,3,165,33,10
09,Formosa                                 ,001,0003 ,0034,433,19,1,4,90,6,4,163,12,12
09,Formosa                                 ,001,0003 ,0035,433,2,15,3,65,6,1,176,23,12
09,Formosa                                 ,001,0003 ,0036,433,14,10,5,106,4,3,159,21,7
09,Formosa                                 ,001,0003 ,0037,433,31,11,3,106,3,2,141,28,5
09,Formosa                                 ,001,0003 ,0038,433,0,0,0,98,0,0,140,0,0
09,Formosa                                 ,001,0003 ,0039,433,7,4,6,86,5,4,173,19,9
09,Formosa                                 ,001,0003 ,0040,433,33,12,4,77,9,5,150,12,8
09,Formosa                                 ,001,0003 ,0041,433,7,9,1,105,5,2,147,19,4
09,Formosa                                 ,001,0003 ,0042,433,5,5,5,98,8,1,135,23,10
09,Formosa                                 ,001,0003 ,0043,433,9,6,4,91,7,1,144,21,16
09,Formosa                                 ,001,0003 ,0044,433,2,10,3,99,1,5,131,25,11
09,Formosa                                 ,001,0003 ,0045,433,10,20,1,85,11,6,144,37,23
09,Formosa                                 ,001,0003 ,0046,433,24,7,0,80,7,4,154,24,13
09,Formosa                                 ,001,0003 ,0047,433,7,10,6,80,5,4,157,17,14
09,Formosa                                 ,001,0003 ,0048,432,0,7,7,95,7,4,168,19,5
