codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0022,0047,0051,0289,0290,0291,0292,0293,0294
09,Formosa                                 ,001,0001 ,0001,440,4,2,0,46,3,0,3,0,160,12,47
09,Formosa                                 ,001,0001 ,0002,440,22,7,0,58,2,1,3,0,173,8,44
09,Formosa                                 ,001,0001 ,0003,440,2,10,0,48,3,1,1,0,163,6,48
09,Formosa                                 ,001,0001 ,0004,440,0,0,0,40,3,0,0,0,149,4,52
09,Formosa                                 ,001,0001 ,0005,440,33,5,0,45,2,1,3,3,173,9,46
09,Formosa                                 ,001,0001 ,0006,440,0,0,0,25,0,0,4,0,157,6,55
09,Formosa                                 ,001,0001 ,0007,440,42,3,1,38,2,0,0,0,144,7,36
09,Formosa                                 ,001,0001 ,0008,440,0,0,0,11,0,0,0,0,0,4,5
09,Formosa                                 ,001,0001 ,0009,440,39,4,0,33,2,1,2,0,162,6,50
09,Formosa                                 ,001,0001 ,0010,440,78,6,0,45,0,0,7,0,175,6,51
09,Formosa                                 ,001,0001 ,0011,440,26,0,0,44,0,0,5,0,166,8,62
09,Formosa                                 ,001,0001 ,0012,440,31,4,1,47,0,3,4,0,173,4,44
09,Formosa                                 ,001,0001 ,0013,440,48,0,1,37,1,0,6,0,170,4,53
09,Formosa                                 ,001,0001 ,0014,439,34,5,0,44,3,0,5,0,184,4,45
09,Formosa                                 ,001,0001 ,0015,439,35,0,0,46,3,1,8,0,164,7,48
09,Formosa                                 ,001,0001 ,0016,439,0,2,1,41,1,1,5,0,184,5,37
09,Formosa                                 ,001,0001 ,0017,439,0,0,0,0,1,0,0,0,162,6,51
09,Formosa                                 ,001,0001 ,0018,439,49,6,0,64,0,0,5,0,146,6,51
09,Formosa                                 ,001,0001 ,0019,439,32,3,0,43,0,0,6,0,180,0,40
09,Formosa                                 ,001,0001 ,0020,439,40,3,2,47,1,1,2,0,160,2,43
09,Formosa                                 ,001,0001 ,0485,421,6,0,3,25,3,0,4,1,164,6,39
09,Formosa                                 ,001,0001 ,0486,421,45,4,0,8,7,0,2,1,152,5,36
09,Formosa                                 ,001,0001 ,0487,421,56,0,1,36,4,5,3,0,136,6,44
09,Formosa                                 ,001,0001 ,0488,421,0,0,0,40,0,0,0,0,135,10,47
09,Formosa                                 ,001,0001 ,0489,421,4,4,0,36,0,0,2,0,149,11,43
09,Formosa                                 ,001,0001 ,0490,421,0,5,1,0,5,2,1,0,140,2,21
09,Formosa                                 ,001,0001 ,0491,421,8,2,0,0,3,0,3,0,131,7,44
09,Formosa                                 ,001,0001 ,0492,421,37,3,1,31,1,5,1,1,144,0,45
09,Formosa                                 ,001,0001 ,0493,421,31,6,0,36,2,3,4,1,150,2,36
09,Formosa                                 ,001,0001 ,0494,421,6,4,0,26,0,0,0,1,135,9,47
09,Formosa                                 ,001,0001 ,0495,421,6,1,2,40,2,1,2,1,138,0,5
09,Formosa                                 ,001,0001 ,0496,421,35,0,2,31,0,2,1,0,149,8,31
09,Formosa                                 ,001,0001 ,0497,420,2,2,1,22,3,1,4,0,157,1,40
09,Formosa                                 ,001,0001 ,0498,420,29,0,0,39,2,1,1,0,139,5,42
09,Formosa                                 ,001,0001 ,0499,420,55,3,0,26,5,0,1,0,143,7,14
09,Formosa                                 ,001,0001 ,0500,420,38,2,3,37,2,1,2,1,140,5,40
09,Formosa                                 ,001,0001 ,0501,420,0,3,1,37,2,1,3,0,134,4,58
09,Formosa                                 ,001,0001 ,0502,420,0,0,3,25,6,1,3,2,154,2,38
09,Formosa                                 ,001,0001 ,0503,420,0,0,1,44,2,0,4,0,128,2,97
09,Formosa                                 ,001,0002 ,0021,398,0,0,0,53,2,0,0,0,128,10,42
09,Formosa                                 ,001,0002 ,0022,398,2,2,1,48,1,1,2,1,119,9,43
09,Formosa                                 ,001,0002 ,0023,398,0,0,0,61,1,0,0,1,113,9,60
09,Formosa                                 ,001,0002 ,0024,398,1,1,0,40,1,0,0,0,116,0,45
09,Formosa                                 ,001,0002 ,0025,398,0,3,1,61,0,0,1,0,111,4,55
09,Formosa                                 ,001,0002 ,0026,398,39,10,0,56,2,1,0,3,106,9,44
09,Formosa                                 ,001,0002 ,0027,398,0,0,2,64,0,1,0,1,125,8,37
09,Formosa                                 ,001,0002 ,0028,398,0,2,1,52,1,0,0,2,117,0,38
09,Formosa                                 ,001,0002 ,0029,398,0,0,0,0,0,0,0,2,0,4,0
09,Formosa                                 ,001,0002 ,0030,398,0,0,0,48,1,0,5,2,140,2,51
09,Formosa                                 ,001,0002 ,0504,414,27,3,1,34,2,0,1,0,154,9,39
09,Formosa                                 ,001,0002 ,0505,414,37,7,0,45,0,1,1,0,116,11,49
09,Formosa                                 ,001,0002 ,0506,414,35,0,0,43,0,0,3,0,125,6,54
09,Formosa                                 ,001,0002 ,0507,414,57,1,0,34,0,2,4,2,106,7,29
09,Formosa                                 ,001,0002 ,0508,414,25,2,0,51,2,0,0,0,102,4,55
09,Formosa                                 ,001,0002 ,0509,414,48,2,0,37,0,0,2,1,115,0,69
09,Formosa                                 ,001,0002 ,0510,414,30,2,2,42,1,0,2,0,120,5,40
09,Formosa                                 ,001,0002 ,0511,413,2,13,0,39,0,0,1,0,123,4,63
09,Formosa                                 ,001,0003 ,0031,435,0,3,1,29,0,2,2,0,202,5,49
09,Formosa                                 ,001,0003 ,0032,435,31,0,1,39,3,0,1,0,186,0,40
09,Formosa                                 ,001,0003 ,0033,435,49,0,2,20,3,0,5,0,201,5,48
09,Formosa                                 ,001,0003 ,0034,435,32,7,2,38,1,0,3,0,170,12,57
09,Formosa                                 ,001,0003 ,0035,435,3,1,2,24,2,0,4,0,198,3,38
09,Formosa                                 ,001,0003 ,0036,435,0,0,1,31,1,1,1,0,218,4,57
09,Formosa                                 ,001,0003 ,0037,435,7,6,0,0,2,0,0,0,184,0,0
09,Formosa                                 ,001,0003 ,0038,434,41,9,0,29,0,1,0,1,194,1,63
09,Formosa                                 ,001,0003 ,0039,434,23,13,1,32,3,0,0,4,198,10,55
09,Formosa                                 ,001,0003 ,0040,434,3,3,0,22,1,5,1,1,190,10,50
