codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0181,0183,0603
09,Formosa,001,0001 ,0001,344,34,2,62,2,3,140
09,Formosa,001,0001 ,0002,346,56,0,45,1,5,143
09,Formosa,001,0001 ,0003,345,54,0,54,3,2,149
09,Formosa,001,0001 ,0004,345,32,2,62,3,3,145
09,Formosa,001,0001 ,0005,343,37,3,63,0,2,152
09,Formosa,001,0001 ,0006,346,1,3,68,2,4,135
09,Formosa,001,0001 ,0007,345,39,0,68,0,5,127
09,Formosa,001,0001 ,0008,346,58,0,60,1,6,128
09,Formosa,001,0001 ,0009,345,16,1,103,3,3,118
09,Formosa,001,0001 ,0010,345,0,0,77,2,2,125
09,Formosa,001,0001 ,0011,346,46,1,65,0,4,139
09,Formosa,001,0001 ,0012,344,50,1,62,5,3,122
09,Formosa,001,0001 ,0013,344,54,0,54,4,4,149
09,Formosa,001,0001 ,0014,343,47,0,47,4,2,153
09,Formosa,001,0001 ,0015,343,42,0,61,2,8,135
09,Formosa,001,0001 ,0016,345,57,0,60,0,0,131
09,Formosa,001,0001 ,0017,341,37,0,56,2,1,141
09,Formosa,001,0001 ,0018,344,38,2,72,2,1,138
09,Formosa,001,0001 ,0019,344,36,0,59,0,6,145
09,Formosa,001,0001 ,0020,343,18,1,57,6,1,132
09,Formosa,001,0001 ,0021,342,44,0,73,6,1,147
09,Formosa,001,0001 ,0022,343,49,0,37,0,3,143
09,Formosa,001,0001 ,0023,343,0,1,61,3,3,120
09,Formosa,001,0001 ,0024,344,0,0,57,2,5,163
09,Formosa,001,0001 ,0025,343,0,0,52,1,3,131
09,Formosa,001,0001 ,0026,346,42,1,62,4,1,137
09,Formosa,001,0001 ,0027,342,0,1,60,3,1,133
09,Formosa,001,0001 ,0028,344,0,0,75,2,3,130
09,Formosa,001,0001 ,0029,346,43,2,84,4,4,119
09,Formosa,001,0001 ,0030,343,0,1,42,2,0,156
09,Formosa,001,0001 ,0031,341,1,1,0,0,0,0
09,Formosa,001,0001 ,0032,345,51,1,71,2,0,124
09,Formosa,001,0001 ,0033,342,47,5,59,1,5,137
09,Formosa,001,0001 ,0034,343,59,0,50,4,2,141
09,Formosa,001,0001 ,0035,344,36,0,54,5,4,151
09,Formosa,001,0001 ,0036,343,33,0,69,2,5,147
09,Formosa,001,0001 ,0037,342,3,0,56,0,10,141
09,Formosa,001,0001 ,0038,342,51,2,59,4,8,114
09,Formosa,001,0001 ,0039,346,45,1,77,4,4,118
09,Formosa,001,0001 ,0040,341,59,3,47,3,13,113
09,Formosa,001,0001 ,0041,344,63,4,43,0,8,16
09,Formosa,001,0001 ,0042,343,47,0,45,1,4,146
09,Formosa,001,0001 ,0043,342,33,2,66,2,3,154
09,Formosa,001,0001 ,0044,344,2,2,65,5,4,120
09,Formosa,001,0001 ,0045,344,49,2,75,5,3,136
09,Formosa,001,0001 ,0046,343,41,0,70,1,3,126
09,Formosa,001,0001 ,0047,343,41,1,75,1,7,128
09,Formosa,001,0001 ,0048,342,31,4,52,2,4,142
09,Formosa,001,0001 ,0049,344,39,1,54,1,2,145
09,Formosa,001,0001 ,0050,343,36,1,64,0,3,162
09,Formosa,001,0001 ,0051,344,21,0,0,0,0,0
09,Formosa,001,0001 ,0052,344,38,4,85,0,8,123
09,Formosa,001,0002 ,0053,346,46,3,62,2,6,126
09,Formosa,001,0002 ,0054,345,38,2,65,1,4,130
09,Formosa,001,0002 ,0055,346,1,0,73,3,4,125
09,Formosa,001,0002 ,0056,350,52,1,81,2,2,105
09,Formosa,001,0002 ,0057,346,44,0,76,1,3,111
09,Formosa,001,0002 ,0058,346,36,0,101,2,2,106
09,Formosa,001,0002 ,0059,344,45,0,60,1,3,126
09,Formosa,001,0002 ,0060,349,53,0,63,6,4,106
09,Formosa,001,0002 ,0061,347,39,0,76,3,4,118
09,Formosa,001,0002 ,0062,348,55,5,61,3,4,102
09,Formosa,001,0002 ,0063,346,47,3,86,2,1,112
09,Formosa,001,0002 ,0064,345,46,2,74,5,3,112
09,Formosa,001,0002 ,0065,346,46,1,79,2,2,112
09,Formosa,001,0002 ,0066,345,43,0,79,0,2,115
09,Formosa,001,0002 ,0067,343,49,0,74,4,0,122
09,Formosa,001,0002 ,0068,344,52,0,69,2,3,102
09,Formosa,001,0002 ,0069,346,53,1,81,1,4,107
09,Formosa,001,0002 ,0070,349,41,0,83,2,1,112
09,Formosa,001,0002 ,0071,345,0,1,72,8,2,132
09,Formosa,001,0002 ,0072,346,39,0,75,3,3,120
09,Formosa,001,0003 ,0073,345,48,3,66,3,0,172
09,Formosa,001,0003 ,0074,348,0,11,64,0,3,150
09,Formosa,001,0003 ,0075,344,60,1,50,2,3,150
09,Formosa,001,0003 ,0076,345,2,5,63,3,0,143
09,Formosa,001,0003 ,0077,347,50,0,53,1,2,164
