codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00024,00034,00037
09,001,Formosa,02828,062602,0,0,14,17,119,134
09,001,Formosa,02828,062603,0,0,29,17,92,127
09,001,Formosa,02828,062604,0,0,15,20,127,107
09,001,Formosa,02828,062605,0,0,21,13,123,113
09,001,Formosa,02828,062606,0,0,30,7,94,133
09,001,Formosa,02828,062607,0,0,19,15,102,131
09,001,Formosa,02828,062608,0,0,17,17,117,122
09,001,Formosa,02828,062609,0,0,13,22,110,118
09,001,Formosa,02828,062610,0,0,20,16,120,124
09,001,Formosa,02828,062611,0,0,25,12,121,89
09,001,Formosa,02828,062612,0,0,23,14,97,142
09,001,Formosa,02828,062613,0,0,13,7,116,127
09,001,Formosa,02828,062614,0,0,22,16,100,121
09,001,Formosa,02828,062615,0,0,11,27,113,114
09,001,Formosa,02828,062616,0,0,13,8,108,130
09,001,Formosa,02828,062617,0,0,23,20,121,122
09,001,Formosa,02828,062618,0,0,18,11,104,123
09,001,Formosa,02828,062619,0,0,22,10,88,146
09,001,Formosa,02828,062620,0,0,14,19,110,128
09,001,Formosa,02828,062621,0,0,12,14,121,113
09,001,Formosa,02828,062622,0,0,23,11,96,132
09,001,Formosa,02828,062623,0,0,17,12,108,130
09,001,Formosa,02828,062624,0,0,24,16,106,121
09,001,Formosa,02828,062625,0,0,20,15,89,125
09,001,Formosa,02828,062626,0,0,25,15,115,113
09,001,Formosa,02828,062627,0,0,21,14,107,150
09,001,Formosa,02828,062628,0,0,20,14,129,105
09,001,Formosa,02828,062629,0,0,14,11,118,125
09,001,Formosa,02828,062630,0,0,15,14,136,114
09,001,Formosa,02828,062631,0,0,18,20,112,100
09,001,Formosa,02828,062632,0,0,15,17,107,120
09,001,Formosa,02828,062633,0,0,15,15,115,119
09,001,Formosa,02828,062634,0,0,8,22,107,139
09,001,Formosa,02828,062635,0,0,14,14,107,137
09,001,Formosa,02828,062636,0,0,17,11,132,105
09,001,Formosa,02828,062637,0,0,9,14,115,132
09,001,Formosa,02828,062638,0,0,19,5,109,125
09,001,Formosa,02828,062639,0,0,24,10,99,143
09,001,Formosa,02828,062640,0,0,16,14,111,120
09,001,Formosa,02828,062641,0,0,15,10,128,119
09,001,Formosa,02828,062642,0,0,24,15,98,126
09,001,Formosa,02828,062643,0,0,30,14,16,100
09,001,Formosa,02828,062644,0,0,17,15,81,137
09,001,Formosa,02828,062645,0,0,17,14,93,147
09,001,Formosa,02828,062646,0,0,23,25,102,121
09,001,Formosa,02828,062647,0,0,14,13,110,126
09,001,Formosa,02828,062648,0,0,12,10,125,127
09,001,Formosa,02828,062649,0,0,18,25,118,110
09,001,Formosa,02828,062650,0,0,18,17,111,117
09,001,Formosa,02828,062651,0,0,20,11,130,103
09,001,Formosa,02828,062652,0,0,12,15,113,125
09,001,Formosa,02828,062653,0,0,6,17,110,133
09,001,Formosa,02828,062654,0,0,19,9,103,122
09,001,Formosa,02828,062655,0,0,12,13,126,113
09,001,Formosa,02828,062656,0,0,13,14,120,112
09,001,Formosa,02828,062657,0,0,22,17,131,96
09,001,Formosa,02829,062658,0,0,9,14,134,81
09,001,Formosa,02829,062659,0,0,20,19,118,108
09,001,Formosa,02829,062660,0,0,18,18,129,75
09,001,Formosa,02829,062661,0,0,17,17,128,81
09,001,Formosa,02829,062662,0,0,15,11,142,69
09,001,Formosa,02829,062663,0,0,12,14,147,86
09,001,Formosa,02829,062664,0,0,13,14,122,84
09,001,Formosa,02829,062665,0,0,75,14,136,74
09,001,Formosa,02829,062666,0,0,19,24,131,72
09,001,Formosa,02829,062667,0,0,11,26,144,53
09,001,Formosa,02829,062668,0,0,12,24,123,80
09,001,Formosa,02829,062669,0,0,11,22,139,91
09,001,Formosa,02829,062670,0,0,8,14,134,82
09,001,Formosa,02829,062671,0,0,12,21,128,73
09,001,Formosa,02829,062672,0,0,20,19,122,88
09,001,Formosa,02829,062673,0,0,17,26,116,90
09,001,Formosa,02829,062674,0,0,0,17,139,85
09,001,Formosa,02829,062675,0,0,15,18,148,73
09,001,Formosa,02830,062676,0,0,29,20,106,135
09,001,Formosa,02830,062677,0,0,21,21,120,143
09,001,Formosa,02830,062678,0,0,14,15,94,153
09,001,Formosa,02830,062679,0,0,37,12,99,127
09,001,Formosa,02830,062680,0,0,17,18,87,146
09,001,Formosa,02830,062681,0,0,5,14,108,142
09,001,Formosa,02830,062682,0,0,13,19,127,127
09,001,Formosa,02830,062683,0,0,23,12,110,128
09,001,Formosa,02830,062684,0,0,15,11,121,140
09,001,Formosa,02830,062685,0,0,18,13,117,130
09,001,Formosa,02830,062686,0,0,20,18,116,131
09,001,Formosa,02830,062687,0,0,20,19,119,127
09,001,Formosa,02830,062688,0,0,14,16,112,138
09,001,Formosa,02830,062689,0,0,15,12,85,167
09,001,Formosa,02830,062690,0,0,17,16,80,173
09,001,Formosa,02830,062691,0,0,13,14,118,128
09,001,Formosa,02830,062692,0,0,19,10,119,146
09,001,Formosa,02830,062693,0,0,19,22,106,143
09,001,Formosa,02830,062694,0,0,15,16,140,116
09,001,Formosa,02830,062695,0,0,13,18,104,143
09,001,Formosa,02830,062696,0,0,22,21,113,128
09,001,Formosa,02830,062697,0,0,18,16,120,131
09,001,Formosa,02830,062698,0,0,7,9,105,148
09,001,Formosa,02830,062699,0,0,13,19,121,128
09,001,Formosa,02830,062700,0,0,16,9,110,133
09,001,Formosa,02830,062701,0,0,13,16,120,131
09,001,Formosa,02830,062702,0,0,7,17,125,128
09,001,Formosa,02830,062703,0,0,14,17,120,134
09,001,Formosa,02830,062704,0,0,17,15,119,133
09,001,Formosa,02830,062705,0,0,19,19,104,147
09,001,Formosa,02830,062706,0,0,19,26,89,149
09,001,Formosa,02830,062707,0,0,12,10,113,147
09,001,Formosa,02830,062708,0,0,14,13,106,145
09,001,Formosa,02830,062709,0,0,17,17,101,141
09,001,Formosa,02830,062710,0,0,18,18,124,128
09,001,Formosa,02830,062711,0,0,26,17,109,131
09,001,Formosa,02830,062712,0,0,20,20,93,156
09,001,Formosa,02830,062713,0,0,19,26,117,117
09,001,Formosa,02830,062714,0,0,17,20,122,128
09,001,Formosa,02830,062715,0,0,27,13,101,132
09,001,Formosa,02830,062716,0,0,25,15,116,127
09,001,Formosa,02830,062717,0,0,14,12,121,136
09,001,Formosa,02830,062718,0,0,18,12,101,164
09,001,Formosa,02830,062719,0,0,17,9,83,172
09,001,Formosa,02830,062720,0,0,24,16,126,104
09,001,Formosa,02830,062721,0,0,17,15,118,122
09,001,Formosa,02830,062722,0,0,26,8,119,126
09,001,Formosa,02830,062723,0,0,19,9,124,130
09,001,Formosa,02830,062724,0,0,13,16,133,133
09,001,Formosa,02830,062725,0,0,26,12,116,131
09,001,Formosa,02830,062726,0,0,14,8,105,137
09,001,Formosa,02830,062727,0,0,20,15,103,142
09,001,Formosa,02830,062728,0,0,18,13,116,137
09,001,Formosa,02830,062729,0,0,15,7,97,154
09,001,Formosa,02830,062730,0,0,11,13,119,135
09,001,Formosa,02830,062731,0,0,22,8,96,138
09,001,Formosa,02830,062732,0,0,20,18,108,135
09,001,Formosa,02830,062733,0,0,22,16,114,141
09,001,Formosa,02830,062734,0,0,18,15,123,126
09,001,Formosa,02830,062735,0,0,28,20,116,23
09,001,Formosa,02830,062736,0,0,11,20,110,132
09,001,Formosa,02830,062737,0,0,25,18,126,109
09,001,Formosa,02830,062738,0,0,13,13,103,142
09,001,Formosa,02830,062739,0,0,22,9,109,141
09,001,Formosa,02830,062740,0,0,15,14,113,143
09,001,Formosa,02830,062741,0,0,16,19,113,138
09,001,Formosa,02830,062742,0,0,37,21,99,120
09,001,Formosa,02830,062743,0,0,27,9,115,127
09,001,Formosa,02830,062744,0,0,9,15,103,140
09,001,Formosa,02830,062745,0,0,6,0,0,0
09,001,Formosa,02830,062746,0,0,22,14,107,134
09,001,Formosa,02830,062747,0,0,17,16,121,129
09,001,Formosa,02830,062748,0,0,19,23,114,132
09,001,Formosa,02830,062749,0,0,21,12,97,130
09,001,Formosa,02830,062750,0,0,16,14,107,151
09,001,Formosa,02830,062751,0,0,17,32,111,110
09,001,Formosa,02830,062752,0,0,20,31,113,120
09,001,Formosa,02830,062753,0,0,25,21,105,120
09,001,Formosa,02830,062754,0,0,14,13,121,125
09,001,Formosa,02830,062755,0,0,21,15,138,115
09,001,Formosa,02830,062756,0,0,19,17,101,144
09,001,Formosa,02830,062757,0,0,20,16,111,138
09,001,Formosa,02830,062758,0,0,27,13,112,126
09,001,Formosa,02830,062759,0,0,13,11,111,120
09,001,Formosa,02830,062760,0,0,16,11,131,122
09,001,Formosa,02830,062761,0,0,38,10,113,113
09,001,Formosa,02830,062762,0,0,21,19,99,144
09,001,Formosa,02830,062763,0,0,15,14,121,125
09,001,Formosa,02830,062764,0,0,22,18,110,120
09,001,Formosa,02830,062765,0,0,22,22,111,126
09,001,Formosa,02830,062766,0,0,20,12,116,130
