codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0014,0501,0520,0521
09,Formosa,001,0001 ,0001,339,1,5,23,94,2,133
09,Formosa,001,0001 ,0002,340,4,7,11,92,0,126
09,Formosa,001,0001 ,0003,340,5,8,23,90,0,128
09,Formosa,001,0001 ,0004,340,2,6,20,89,0,136
09,Formosa,001,0001 ,0005,340,6,10,19,100,2,111
09,Formosa,001,0001 ,0006,339,5,9,20,91,0,133
09,Formosa,001,0001 ,0007,338,3,4,20,84,0,125
09,Formosa,001,0001 ,0008,340,2,1,22,86,0,130
09,Formosa,001,0001 ,0009,339,5,5,21,92,0,125
09,Formosa,001,0001 ,0010,339,1,6,19,65,0,138
09,Formosa,001,0001 ,0011,341,0,6,19,94,0,134
09,Formosa,001,0001 ,0012,340,5,3,10,114,0,130
09,Formosa,001,0001 ,0013,339,4,2,31,97,0,122
09,Formosa,001,0001 ,0014,340,3,7,24,80,0,135
09,Formosa,001,0001 ,0015,340,1,4,16,104,3,125
09,Formosa,001,0001 ,0016,338,3,1,16,96,0,133
09,Formosa,001,0001 ,0017,339,2,4,15,90,0,128
09,Formosa,001,0001 ,0018,339,1,2,27,93,0,120
09,Formosa,001,0001 ,0019,340,5,2,17,96,0,140
09,Formosa,001,0001 ,0020,341,3,6,17,84,3,122
09,Formosa,001,0001 ,0021,340,6,2,30,90,0,115
09,Formosa,001,0001 ,0022,340,6,5,18,92,0,136
09,Formosa,001,0001 ,0023,339,4,4,19,97,0,120
09,Formosa,001,0001 ,0024,339,3,4,23,84,0,127
09,Formosa,001,0001 ,0025,339,4,9,15,99,1,115
09,Formosa,001,0001 ,0026,340,2,4,17,85,2,125
09,Formosa,001,0001 ,0027,339,2,3,23,95,0,136
09,Formosa,001,0001 ,0028,341,5,9,21,80,0,131
09,Formosa,001,0001 ,0029,341,3,4,19,88,0,97
09,Formosa,001,0001 ,0030,340,3,5,19,94,0,127
09,Formosa,001,0001 ,0031,341,4,3,18,82,0,143
09,Formosa,001,0001 ,0032,339,3,4,23,107,1,109
09,Formosa,001,0001 ,0033,340,3,6,17,107,1,121
09,Formosa,001,0001 ,0034,340,4,4,18,83,1,137
09,Formosa,001,0001 ,0035,341,4,6,22,92,0,134
09,Formosa,001,0001 ,0036,340,7,8,18,101,0,128
09,Formosa,001,0001 ,0037,340,5,7,25,99,0,108
09,Formosa,001,0001 ,0038,340,1,4,22,106,3,119
09,Formosa,001,0001 ,0039,339,3,7,23,80,0,142
09,Formosa,001,0001 ,0040,340,3,2,30,93,0,111
09,Formosa,001,0001 ,0041,340,3,4,24,80,0,144
09,Formosa,001,0001 ,0042,340,5,6,17,103,0,109
09,Formosa,001,0001 ,0043,340,8,5,20,98,0,119
09,Formosa,001,0001 ,0044,339,1,8,22,95,2,99
09,Formosa,001,0001 ,0045,340,1,4,20,91,0,134
09,Formosa,001,0001 ,0046,340,1,5,28,104,1,121
09,Formosa,001,0001 ,0047,340,3,7,26,74,0,138
09,Formosa,001,0001 ,0048,340,0,4,19,103,1,118
09,Formosa,001,0001 ,0049,338,0,7,15,69,0,159
09,Formosa,001,0001 ,0050,340,1,5,18,96,0,120
09,Formosa,001,0001 ,0051,337,2,4,13,104,0,117
09,Formosa,001,0001 ,0052,340,2,3,23,100,1,100
09,Formosa,001,0001 ,0053,341,1,3,15,89,0,146
09,Formosa,001,0001 ,0054,339,1,3,17,97,0,126
09,Formosa,001,0001 ,0055,338,3,9,4,69,0,161
09,Formosa,001,0002 ,0056,335,5,5,11,71,1,127
09,Formosa,001,0002 ,0057,337,3,3,11,87,2,128
09,Formosa,001,0002 ,0058,337,1,3,22,68,1,135
09,Formosa,001,0002 ,0059,334,2,5,17,74,0,134
09,Formosa,001,0002 ,0060,336,0,3,18,73,0,141
09,Formosa,001,0002 ,0061,335,3,2,21,66,1,142
09,Formosa,001,0002 ,0062,337,0,3,22,69,2,146
09,Formosa,001,0002 ,0063,336,5,4,22,61,0,133
09,Formosa,001,0002 ,0064,336,4,4,18,77,0,117
09,Formosa,001,0002 ,0065,335,3,1,12,83,0,137
09,Formosa,001,0002 ,0066,335,3,7,24,68,0,122
09,Formosa,001,0002 ,0067,336,2,8,17,58,2,152
09,Formosa,001,0002 ,0068,336,2,9,14,72,0,137
09,Formosa,001,0002 ,0069,336,5,3,14,77,1,139
09,Formosa,001,0002 ,0070,336,4,1,15,66,0,149
09,Formosa,001,0002 ,0071,335,0,4,25,60,0,129
09,Formosa,001,0002 ,0072,336,1,6,15,81,0,135
09,Formosa,001,0002 ,0073,335,0,3,18,61,0,152
09,Formosa,001,0002 ,0074,336,2,1,20,69,0,151
09,Formosa,001,0002 ,0075,336,0,3,20,66,0,158
09,Formosa,001,0003 ,0076,347,4,9,25,111,0,134
09,Formosa,001,0003 ,0077,345,3,1,26,116,0,137
09,Formosa,001,0003 ,0078,347,2,7,29,113,0,121
09,Formosa,001,0003 ,0079,347,3,3,18,82,0,157
09,Formosa,001,0003 ,0080,346,5,6,22,122,0,113
09,Formosa,001,0003 ,0081,346,5,4,29,81,0,137
09,Formosa,001,0003 ,0082,346,4,0,29,81,1,133
09,Formosa,001,0003 ,0083,346,4,10,21,95,0,145
09,Formosa,001,0003 ,0084,347,4,16,33,106,1,107
09,Formosa,001,0003 ,0085,346,0,9,26,90,0,130
09,Formosa,001,0003 ,0086,346,1,2,38,94,0,144
09,Formosa,001,0003 ,0087,346,4,6,19,95,1,158
09,Formosa,001,0003 ,0088,345,2,7,19,120,5,112
09,Formosa,001,0003 ,0089,346,6,8,22,113,3,114
09,Formosa,001,0003 ,0090,346,6,11,25,103,1,132
09,Formosa,001,0003 ,0091,347,0,11,31,95,0,144
09,Formosa,001,0003 ,0092,346,3,6,33,94,3,146
09,Formosa,001,0003 ,0093,346,4,11,19,84,0,151
09,Formosa,001,0003 ,0094,345,8,11,14,91,0,141
09,Formosa,001,0003 ,0095,346,5,8,33,108,1,121
09,Formosa,001,0003 ,0096,346,2,6,36,85,0,136
09,Formosa,001,0003 ,0097,346,1,7,26,114,0,116
09,Formosa,001,0003 ,0098,344,1,8,16,100,3,151
09,Formosa,001,0003 ,0099,345,14,0,22,104,2,125
09,Formosa,001,0003 ,0100,345,3,8,30,111,0,125
09,Formosa,001,0003 ,0101,346,5,7,23,90,0,133
09,Formosa,001,0003 ,0102,346,1,5,22,96,0,142
09,Formosa,001,0003 ,0103,345,1,8,14,113,1,130
09,Formosa,001,0003 ,0104,345,5,10,18,112,1,120
09,Formosa,001,0003 ,0105,345,5,7,25,118,0,117
09,Formosa,001,0003 ,0106,345,6,4,30,117,2,120
09,Formosa,001,0003 ,0107,344,4,6,15,78,4,156
09,Formosa,001,0003 ,0108,345,3,10,16,106,0,141
09,Formosa,001,0003 ,0109,345,1,4,25,101,8,126
09,Formosa,001,0003 ,0110,344,0,10,28,112,5,119
09,Formosa,001,0003 ,0111,346,2,13,21,102,4,126
09,Formosa,001,0003 ,0112,346,3,6,24,79,1,152
09,Formosa,001,0003 ,0113,344,5,8,19,103,3,123
09,Formosa,001,0003 ,0114,344,7,4,19,86,1,140
09,Formosa,001,0003 ,0115,345,3,5,21,108,0,137
09,Formosa,001,0003 ,0116,345,7,8,36,102,2,134
09,Formosa,001,0003 ,0117,346,2,3,21,117,0,132
09,Formosa,001,0003 ,0118,345,2,13,33,87,0,142
09,Formosa,001,0003 ,0119,345,6,9,16,107,1,132
09,Formosa,001,0003 ,0120,345,2,7,23,96,3,135
09,Formosa,001,0003 ,0121,345,0,5,28,87,2,142
09,Formosa,001,0003 ,0122,345,1,4,31,110,1,122
09,Formosa,001,0003 ,0123,345,5,9,17,115,0,130
09,Formosa,001,0003 ,0124,344,3,12,14,104,2,133
09,Formosa,001,0003 ,0125,345,2,10,24,112,0,136
09,Formosa,001,0003 ,0126,345,4,6,32,99,2,139
09,Formosa,001,0003 ,0127,346,3,15,28,108,4,125
09,Formosa,001,0003 ,0128,345,4,8,14,100,2,152
09,Formosa,001,0003 ,0129,344,3,14,27,103,1,123
09,Formosa,001,0003 ,0130,346,3,6,26,117,1,110
09,Formosa,001,0003 ,0131,343,3,5,28,114,0,121
09,Formosa,001,0003 ,0132,345,2,9,23,102,1,141
09,Formosa,001,0003 ,0133,346,7,12,17,109,6,129
09,Formosa,001,0003 ,0134,346,3,7,14,108,5,125
09,Formosa,001,0003 ,0135,345,3,6,19,91,1,133
09,Formosa,001,0003 ,0136,343,4,11,16,113,4,131
09,Formosa,001,0003 ,0137,345,5,3,22,101,0,152
09,Formosa,001,0003 ,0138,345,2,6,18,117,3,134
09,Formosa,001,0003 ,0139,346,2,8,19,100,2,141
09,Formosa,001,0003 ,0140,346,2,6,27,94,1,144
09,Formosa,001,0003 ,0141,344,7,9,22,97,0,130
09,Formosa,001,0003 ,0142,345,5,7,25,86,1,148
09,Formosa,001,0003 ,0143,345,3,9,17,102,4,136
09,Formosa,001,0003 ,0144,344,2,10,41,87,0,129
09,Formosa,001,0003 ,0145,345,5,6,30,95,2,131
09,Formosa,001,0003 ,0146,345,2,11,29,88,0,143
09,Formosa,001,0003 ,0147,345,5,4,26,94,0,140
09,Formosa,001,0003 ,0148,345,1,3,22,93,4,138
09,Formosa,001,0003 ,0149,344,5,9,29,91,0,145
09,Formosa,001,0003 ,0150,345,5,7,24,89,0,146
09,Formosa,001,0003 ,0151,346,4,6,22,80,3,153
09,Formosa,001,0003 ,0152,345,3,1,20,96,0,153
09,Formosa,001,0003 ,0153,345,1,4,21,122,3,118
09,Formosa,001,0003 ,0154,345,0,8,18,103,3,138
09,Formosa,001,0003 ,0155,345,5,3,24,127,3,119
09,Formosa,001,0003 ,0156,346,3,3,23,105,2,134
09,Formosa,001,0003 ,0157,344,3,5,26,101,0,139
09,Formosa,001,0003 ,0158,344,6,7,27,92,0,133
09,Formosa,001,0003 ,0159,346,0,3,16,105,4,135
09,Formosa,001,0003 ,0160,345,0,0,24,114,0,149
09,Formosa,001,0003 ,0161,345,4,16,28,93,0,135
09,Formosa,001,0003 ,0162,345,4,7,27,97,0,130
09,Formosa,001,0003 ,0163,345,2,14,28,75,0,146
09,Formosa,001,0003 ,0164,345,5,8,28,98,1,127
09,Formosa,001,0003 ,0165,345,5,4,80,88,0,130
09,Formosa,001,0003 ,0166,345,4,9,29,99,0,133
09,Formosa,001,0003 ,0167,345,7,9,33,104,0,119
09,Formosa,001,0003 ,0168,345,2,6,23,105,0,140
09,Formosa,001,0003 ,0169,344,4,0,33,104,0,139
09,Formosa,001,0003 ,0170,345,6,13,24,116,0,111
09,Formosa,001,0003 ,0171,345,9,0,29,109,0,135
09,Formosa,001,0003 ,0172,346,4,6,21,82,0,143
09,Formosa,001,0003 ,0173,345,2,8,26,90,0,134
09,Formosa,001,0003 ,0174,344,3,3,20,99,0,137
09,Formosa,001,0003 ,0175,345,1,3,25,107,0,137
09,Formosa,001,0003 ,0176,346,4,12,28,109,0,121
09,Formosa,001,0003 ,0177,345,1,5,29,79,0,146
09,Formosa,001,0003 ,0178,345,9,12,23,116,0,114
09,Formosa,001,0003 ,0179,346,2,10,26,115,0,121
09,Formosa,001,0003 ,0180,345,4,6,31,92,0,141
09,Formosa,001,0003 ,0181,345,6,13,34,108,2,107
09,Formosa,001,0003 ,0182,345,6,7,31,100,0,128
09,Formosa,001,0003 ,0183,345,6,4,37,94,0,141
09,Formosa,001,0003 ,0184,345,3,0,26,115,1,130
09,Formosa,001,0003 ,0185,345,3,10,22,95,0,139
09,Formosa,001,0003 ,0186,345,3,7,24,77,4,140
09,Formosa,001,0003 ,0187,345,2,7,16,97,1,151
09,Formosa,001,0003 ,0188,343,5,2,15,94,1,147
09,Formosa,001,0003 ,0189,345,1,7,40,112,1,115
09,Formosa,001,0003 ,0190,345,4,12,25,109,4,106
09,Formosa,001,0003 ,0191,345,5,9,26,102,1,140
09,Formosa,001,0003 ,0192,344,3,6,25,89,3,137
09,Formosa,001,0003 ,0193,345,3,4,25,103,1,128
09,Formosa,001,0003 ,0194,345,5,6,21,112,1,124
09,Formosa,001,0003 ,0195,345,4,4,17,104,2,144
09,Formosa,001,0003 ,0196,345,6,9,14,116,3,128
09,Formosa,001,0003 ,0197,345,7,7,21,103,1,149
09,Formosa,001,0003 ,0198,345,1,8,13,111,0,136
09,Formosa,001,0003 ,0199,345,3,7,28,96,0,148
09,Formosa,001,0003 ,0200,345,1,7,27,88,1,137
09,Formosa,001,0003 ,0201,345,2,6,18,96,0,143
09,Formosa,001,0003 ,0202,344,1,9,25,96,0,149
09,Formosa,001,0003 ,0203,345,7,6,28,94,0,147
09,Formosa,001,0003 ,0204,344,2,10,30,111,0,120
09,Formosa,001,0003 ,0205,345,3,5,19,102,2,137
09,Formosa,001,0003 ,0206,345,3,2,21,100,2,142
09,Formosa,001,0003 ,0207,344,2,8,25,100,2,125
09,Formosa,001,0003 ,0208,345,2,8,23,100,2,147
09,Formosa,001,0003 ,0209,345,5,6,29,86,1,136
09,Formosa,001,0003 ,0210,345,1,1,21,97,2,137
09,Formosa,001,0003 ,0211,345,5,6,18,92,5,130
09,Formosa,001,0003 ,0212,344,4,4,24,107,3,142
09,Formosa,001,0003 ,0213,345,1,5,22,116,1,115
09,Formosa,001,0003 ,0214,345,2,2,28,97,3,136
09,Formosa,001,0003 ,0215,345,3,7,22,99,0,142
09,Formosa,001,0003 ,0216,345,2,4,23,88,3,145
09,Formosa,001,0003 ,0217,345,3,3,23,104,0,106
09,Formosa,001,0003 ,0218,345,7,4,30,90,2,135
09,Formosa,001,0003 ,0219,343,3,6,26,96,0,125
09,Formosa,001,0003 ,0220,345,4,3,17,101,2,153
09,Formosa,001,0003 ,0221,345,6,6,16,129,0,113
09,Formosa,001,0003 ,0222,344,1,9,25,89,0,144
09,Formosa,001,0003 ,0223,344,4,5,24,89,2,144
09,Formosa,001,0003 ,0224,345,3,8,23,99,1,144
