codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0060,0071,0212,0501,0520
09,Formosa,001,0001 ,0001,348,21,4,2,5,2,116,115
09,Formosa,001,0001 ,0002,347,26,1,4,2,2,112,108
09,Formosa,001,0001 ,0003,347,20,2,3,8,2,104,20
09,Formosa,001,0001 ,0004,347,36,1,0,5,1,109,102
09,Formosa,001,0001 ,0005,348,44,3,1,5,2,105,83
09,Formosa,001,0001 ,0006,347,38,1,2,2,4,112,96
09,Formosa,001,0001 ,0007,349,35,0,0,3,2,91,101
09,Formosa,001,0001 ,0008,346,27,3,1,6,2,104,108
09,Formosa,001,0001 ,0009,347,33,1,0,11,0,105,111
09,Formosa,001,0001 ,0010,347,24,4,1,6,0,78,113
09,Formosa,001,0001 ,0011,348,27,2,2,4,2,96,124
09,Formosa,001,0001 ,0012,348,32,3,3,6,3,107,103
09,Formosa,001,0001 ,0013,347,33,1,1,4,2,113,101
09,Formosa,001,0001 ,0014,347,30,3,3,10,3,90,112
09,Formosa,001,0001 ,0015,347,25,2,0,5,0,114,97
09,Formosa,001,0001 ,0016,346,30,0,3,6,2,106,115
09,Formosa,001,0001 ,0017,347,29,7,1,3,2,102,104
09,Formosa,001,0001 ,0018,345,19,2,2,6,0,101,110
09,Formosa,001,0001 ,0019,347,33,1,0,5,2,107,114
09,Formosa,001,0001 ,0020,347,35,1,1,4,3,95,96
09,Formosa,001,0001 ,0021,347,69,2,2,4,1,100,62
09,Formosa,001,0001 ,0022,347,36,0,1,4,1,100,101
09,Formosa,001,0001 ,0023,347,35,3,0,4,2,116,92
09,Formosa,001,0001 ,0024,347,0,2,1,9,2,102,70
09,Formosa,001,0001 ,0025,347,35,1,0,7,5,110,85
09,Formosa,001,0001 ,0026,348,0,2,0,9,2,105,98
09,Formosa,001,0001 ,0027,347,37,0,1,4,2,95,112
09,Formosa,001,0001 ,0028,347,32,3,1,11,3,105,105
09,Formosa,001,0001 ,0029,347,38,0,3,13,2,96,91
09,Formosa,001,0001 ,0030,347,32,0,1,6,1,109,98
09,Formosa,001,0001 ,0031,347,34,1,0,3,4,109,101
09,Formosa,001,0001 ,0032,345,27,3,1,3,1,120,93
09,Formosa,001,0001 ,0033,347,22,0,2,7,2,126,115
09,Formosa,001,0001 ,0034,347,28,1,0,10,5,91,112
09,Formosa,001,0001 ,0035,349,0,0,2,7,2,97,95
09,Formosa,001,0001 ,0036,347,79,3,1,7,5,102,59
09,Formosa,001,0001 ,0037,347,69,1,3,4,2,113,54
09,Formosa,001,0001 ,0038,346,23,2,0,7,0,106,111
09,Formosa,001,0001 ,0039,347,39,7,0,6,2,93,113
09,Formosa,001,0001 ,0040,347,29,1,1,13,1,114,89
09,Formosa,001,0001 ,0041,346,32,1,0,9,4,95,108
09,Formosa,001,0001 ,0042,348,23,1,1,8,1,114,99
09,Formosa,001,0001 ,0043,346,22,3,2,5,0,105,94
09,Formosa,001,0001 ,0044,347,34,1,1,3,1,102,92
09,Formosa,001,0001 ,0045,347,33,1,2,9,0,106,106
09,Formosa,001,0001 ,0046,346,63,0,1,0,1,117,69
09,Formosa,001,0001 ,0047,346,18,1,2,6,4,85,147
09,Formosa,001,0001 ,0048,346,34,2,1,9,3,98,114
09,Formosa,001,0001 ,0049,346,33,1,4,6,2,91,113
09,Formosa,001,0001 ,0050,347,21,2,0,2,0,112,115
09,Formosa,001,0001 ,0051,346,35,1,0,4,1,117,96
09,Formosa,001,0001 ,0052,346,34,0,3,7,3,106,86
09,Formosa,001,0001 ,0053,346,22,3,0,2,0,108,117
09,Formosa,001,0001 ,0054,344,42,0,2,5,0,102,97
09,Formosa,001,0001 ,0055,346,35,2,0,6,3,83,116
09,Formosa,001,0002 ,0056,346,25,1,1,75,3,0,121
09,Formosa,001,0002 ,0057,344,32,1,2,9,2,78,113
09,Formosa,001,0002 ,0058,345,25,0,1,6,2,78,127
09,Formosa,001,0002 ,0059,345,28,2,4,7,1,69,123
09,Formosa,001,0002 ,0060,345,24,1,0,5,2,78,118
09,Formosa,001,0002 ,0061,345,28,0,1,6,3,79,134
09,Formosa,001,0002 ,0062,345,26,1,6,5,1,70,136
09,Formosa,001,0002 ,0063,345,39,1,0,5,1,75,114
09,Formosa,001,0002 ,0064,346,0,1,1,5,0,97,76
09,Formosa,001,0002 ,0065,345,19,2,1,12,5,68,136
09,Formosa,001,0002 ,0066,345,25,2,0,10,3,59,127
09,Formosa,001,0002 ,0067,344,32,0,0,2,4,91,117
09,Formosa,001,0002 ,0068,345,70,2,1,7,0,89,64
09,Formosa,001,0002 ,0069,344,16,3,1,2,1,81,137
09,Formosa,001,0002 ,0070,342,14,2,1,6,0,81,128
09,Formosa,001,0002 ,0071,345,32,2,2,7,0,79,122
09,Formosa,001,0002 ,0072,344,15,0,1,8,1,99,119
09,Formosa,001,0002 ,0073,344,9,0,1,4,4,90,135
09,Formosa,001,0002 ,0074,345,30,0,0,5,2,76,137
09,Formosa,001,0003 ,0075,348,39,2,0,4,4,134,106
09,Formosa,001,0003 ,0076,348,39,0,0,14,1,120,118
09,Formosa,001,0003 ,0077,349,123,0,1,11,2,120,1
09,Formosa,001,0003 ,0078,348,49,3,1,12,0,100,94
09,Formosa,001,0003 ,0079,348,66,3,3,7,1,139,39
09,Formosa,001,0003 ,0080,347,37,3,2,6,2,99,113
09,Formosa,001,0003 ,0081,348,134,3,1,11,5,106,1
09,Formosa,001,0003 ,0082,348,170,3,3,4,1,122,96
09,Formosa,001,0003 ,0083,348,42,2,1,10,2,124,82
09,Formosa,001,0003 ,0084,348,38,0,3,7,1,104,123
09,Formosa,001,0003 ,0085,348,29,0,0,6,4,117,111
09,Formosa,001,0003 ,0086,348,75,3,0,11,1,114,75
09,Formosa,001,0003 ,0087,348,31,7,0,6,4,113,108
09,Formosa,001,0003 ,0088,349,23,3,0,12,3,140,101
09,Formosa,001,0003 ,0089,349,33,6,0,4,5,109,105
09,Formosa,001,0003 ,0090,348,29,2,0,6,3,109,139
09,Formosa,001,0003 ,0091,348,33,5,0,7,1,121,116
09,Formosa,001,0003 ,0092,348,35,2,0,7,0,98,128
09,Formosa,001,0003 ,0093,347,41,1,0,14,0,101,113
09,Formosa,001,0003 ,0094,348,30,1,0,13,0,133,96
09,Formosa,001,0003 ,0095,346,25,1,0,11,0,103,125
09,Formosa,001,0003 ,0096,349,0,0,0,6,0,116,94
09,Formosa,001,0003 ,0097,348,65,2,0,5,1,116,91
09,Formosa,001,0003 ,0098,348,38,2,0,0,1,124,98
09,Formosa,001,0003 ,0099,348,38,2,0,7,1,109,121
09,Formosa,001,0003 ,0100,349,43,0,0,6,2,92,115
09,Formosa,001,0003 ,0101,348,33,4,0,6,3,117,103
09,Formosa,001,0003 ,0102,348,0,0,0,9,9,122,97
09,Formosa,001,0003 ,0103,348,4,0,0,5,0,115,106
09,Formosa,001,0003 ,0104,348,35,4,0,10,5,124,89
09,Formosa,001,0003 ,0105,348,15,3,0,0,0,0,0
09,Formosa,001,0003 ,0106,348,27,5,0,4,2,115,107
09,Formosa,001,0003 ,0107,349,38,0,0,3,0,116,98
09,Formosa,001,0003 ,0108,348,37,0,0,3,7,117,88
09,Formosa,001,0003 ,0109,348,42,0,0,5,2,127,101
09,Formosa,001,0003 ,0110,348,37,3,0,6,4,139,82
09,Formosa,001,0003 ,0111,348,47,1,0,6,2,94,122
09,Formosa,001,0003 ,0112,348,47,2,0,10,0,94,106
09,Formosa,001,0003 ,0113,348,26,3,0,3,0,106,109
09,Formosa,001,0003 ,0114,347,35,5,0,8,2,106,118
09,Formosa,001,0003 ,0115,348,46,4,0,8,2,118,89
09,Formosa,001,0003 ,0116,348,26,6,1,10,3,134,94
09,Formosa,001,0003 ,0117,348,21,4,4,8,1,132,97
09,Formosa,001,0003 ,0118,348,36,2,2,8,2,95,116
09,Formosa,001,0003 ,0119,348,45,0,1,5,0,113,98
09,Formosa,001,0003 ,0120,348,49,1,0,10,0,91,119
09,Formosa,001,0003 ,0121,348,82,0,0,3,0,125,59
09,Formosa,001,0003 ,0122,348,40,0,0,13,4,114,111
09,Formosa,001,0003 ,0123,348,34,3,2,6,1,124,97
09,Formosa,001,0003 ,0124,350,35,1,5,10,2,115,97
09,Formosa,001,0003 ,0125,348,43,3,0,11,2,125,95
09,Formosa,001,0003 ,0126,348,32,6,1,6,3,122,97
09,Formosa,001,0003 ,0127,348,34,4,4,6,2,103,118
09,Formosa,001,0003 ,0128,348,30,0,3,6,1,127,119
09,Formosa,001,0003 ,0129,348,54,4,1,8,0,109,92
09,Formosa,001,0003 ,0130,348,29,2,2,6,0,136,105
09,Formosa,001,0003 ,0131,348,78,0,1,7,3,121,57
09,Formosa,001,0003 ,0132,347,86,3,0,2,4,97,81
09,Formosa,001,0003 ,0133,349,32,4,2,5,1,123,102
09,Formosa,001,0003 ,0134,348,14,0,1,4,0,97,147
09,Formosa,001,0003 ,0135,348,71,0,2,3,3,110,70
09,Formosa,001,0003 ,0136,348,32,2,0,4,1,119,123
09,Formosa,001,0003 ,0137,349,39,0,1,5,0,124,105
09,Formosa,001,0003 ,0138,349,39,3,3,5,6,119,106
09,Formosa,001,0003 ,0139,347,0,6,4,6,1,103,113
09,Formosa,001,0003 ,0140,348,36,0,1,1,1,118,110
09,Formosa,001,0003 ,0141,347,35,1,3,7,3,102,106
09,Formosa,001,0003 ,0142,347,37,4,0,7,2,103,115
09,Formosa,001,0003 ,0143,349,0,1,1,4,2,201,93
09,Formosa,001,0003 ,0144,348,29,6,3,9,4,106,110
09,Formosa,001,0003 ,0145,348,48,6,0,9,3,95,105
09,Formosa,001,0003 ,0146,348,0,2,1,6,3,95,119
09,Formosa,001,0003 ,0147,347,32,2,0,6,2,115,119
09,Formosa,001,0003 ,0148,348,39,2,3,4,1,97,122
09,Formosa,001,0003 ,0149,350,35,4,4,10,5,105,112
09,Formosa,001,0003 ,0150,348,48,2,1,8,5,100,100
09,Formosa,001,0003 ,0151,348,37,2,1,12,1,95,126
09,Formosa,001,0003 ,0152,349,21,1,1,5,3,109,141
09,Formosa,001,0003 ,0153,348,39,2,1,8,1,144,83
09,Formosa,001,0003 ,0154,349,29,5,1,5,3,109,103
09,Formosa,001,0003 ,0155,348,41,1,1,2,3,109,112
09,Formosa,001,0003 ,0156,348,24,6,4,3,2,105,105
09,Formosa,001,0003 ,0157,347,30,0,3,6,3,101,113
09,Formosa,001,0003 ,0158,349,23,2,0,7,4,119,111
09,Formosa,001,0003 ,0159,348,35,5,0,9,4,105,111
09,Formosa,001,0003 ,0160,348,32,2,1,8,2,107,117
09,Formosa,001,0003 ,0161,348,20,5,1,7,1,123,117
09,Formosa,001,0003 ,0162,348,49,3,2,8,1,109,99
09,Formosa,001,0003 ,0163,348,1,5,1,12,0,98,117
09,Formosa,001,0003 ,0164,347,22,1,2,10,3,108,110
09,Formosa,001,0003 ,0165,348,50,2,0,5,2,105,84
09,Formosa,001,0003 ,0166,348,39,2,0,4,2,112,108
09,Formosa,001,0003 ,0167,350,47,0,3,8,2,111,104
09,Formosa,001,0003 ,0168,348,37,6,0,5,0,115,101
09,Formosa,001,0003 ,0169,348,44,1,5,4,1,112,98
09,Formosa,001,0003 ,0170,348,21,4,0,6,2,105,113
09,Formosa,001,0003 ,0171,348,43,2,0,4,2,125,103
09,Formosa,001,0003 ,0172,349,49,2,1,2,4,110,109
09,Formosa,001,0003 ,0173,348,51,8,1,9,3,92,102
09,Formosa,001,0003 ,0174,348,43,1,3,4,1,113,114
09,Formosa,001,0003 ,0175,348,2,2,1,12,5,120,84
09,Formosa,001,0003 ,0176,348,1,2,1,5,3,114,97
09,Formosa,001,0003 ,0177,347,1,1,0,4,0,113,104
09,Formosa,001,0003 ,0178,348,46,6,1,12,2,102,97
09,Formosa,001,0003 ,0179,347,38,1,2,4,0,108,108
09,Formosa,001,0003 ,0180,348,97,0,1,6,1,106,59
09,Formosa,001,0003 ,0181,346,47,3,1,12,1,113,87
09,Formosa,001,0003 ,0182,348,72,1,2,9,4,120,72
09,Formosa,001,0003 ,0183,348,40,4,0,14,0,113,100
09,Formosa,001,0003 ,0184,348,47,0,2,4,1,122,100
09,Formosa,001,0003 ,0185,347,37,13,3,7,2,113,88
09,Formosa,001,0003 ,0186,349,40,5,2,8,1,89,119
09,Formosa,001,0003 ,0187,348,43,4,4,10,0,103,108
09,Formosa,001,0003 ,0188,349,44,2,0,5,8,94,115
09,Formosa,001,0003 ,0189,348,52,0,1,6,0,115,79
09,Formosa,001,0003 ,0190,348,37,6,1,5,3,121,104
09,Formosa,001,0003 ,0191,348,37,0,1,9,3,111,111
09,Formosa,001,0003 ,0192,348,29,0,0,6,5,116,107
09,Formosa,001,0003 ,0193,348,33,1,1,5,11,104,113
09,Formosa,001,0003 ,0194,348,36,1,1,0,0,140,91
09,Formosa,001,0003 ,0195,348,45,3,2,6,0,97,112
09,Formosa,001,0003 ,0196,349,32,0,2,3,1,129,104
09,Formosa,001,0003 ,0197,348,38,0,3,7,0,113,104
09,Formosa,001,0003 ,0198,348,37,0,2,5,1,110,117
