codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0023,0050,0194,0211,0212,0505,0532
09,Formosa,001,0001 ,0001,352,1,1,2,5,5,0,6,118,125
09,Formosa,001,0001 ,0002,344,12,4,4,1,6,0,11,85,111
09,Formosa,001,0001 ,0003,347,4,2,4,1,3,0,2,92,136
09,Formosa,001,0001 ,0004,345,1,2,4,1,9,0,4,96,119
09,Formosa,001,0001 ,0005,344,8,4,6,0,4,0,6,93,115
09,Formosa,001,0001 ,0006,346,3,3,1,5,12,0,5,102,108
09,Formosa,001,0001 ,0007,345,8,4,6,5,9,0,9,86,114
09,Formosa,001,0001 ,0008,345,2,1,2,3,5,0,2,108,128
09,Formosa,001,0001 ,0009,345,5,0,3,3,8,0,7,101,129
09,Formosa,001,0001 ,0010,344,7,2,2,3,7,0,6,78,129
09,Formosa,001,0001 ,0011,345,1,2,1,6,6,0,3,105,109
09,Formosa,001,0001 ,0012,345,4,6,7,4,9,0,3,104,121
09,Formosa,001,0001 ,0013,345,9,0,3,2,17,0,4,90,107
09,Formosa,001,0001 ,0014,343,6,3,1,4,9,1,5,97,113
09,Formosa,001,0001 ,0015,344,5,3,5,3,9,0,4,96,108
09,Formosa,001,0001 ,0016,346,7,1,3,0,11,0,4,103,114
09,Formosa,001,0001 ,0017,350,9,7,5,4,7,0,7,96,113
09,Formosa,001,0001 ,0018,346,2,4,1,1,8,0,8,106,118
09,Formosa,001,0001 ,0019,345,5,1,4,2,12,0,1,106,127
09,Formosa,001,0001 ,0020,345,0,0,2,0,8,0,2,80,120
09,Formosa,001,0001 ,0021,346,5,2,2,3,9,1,1,98,111
09,Formosa,001,0001 ,0022,344,2,0,9,2,10,0,3,110,103
09,Formosa,001,0001 ,0023,345,12,6,8,3,11,1,8,93,102
09,Formosa,001,0001 ,0024,344,8,1,2,2,11,0,5,0,104
09,Formosa,001,0001 ,0025,346,4,5,2,2,8,0,5,95,124
09,Formosa,001,0001 ,0026,345,8,4,0,1,8,0,12,103,107
09,Formosa,001,0001 ,0027,353,5,6,2,5,6,2,8,101,137
09,Formosa,001,0001 ,0028,347,2,2,7,1,8,0,4,100,115
09,Formosa,001,0001 ,0029,346,6,5,3,2,9,1,4,89,132
09,Formosa,001,0001 ,0030,345,5,3,5,0,4,0,3,87,125
09,Formosa,001,0001 ,0031,346,6,3,2,3,12,0,0,95,120
09,Formosa,001,0001 ,0032,345,9,2,1,2,7,1,0,106,120
09,Formosa,001,0001 ,0033,346,6,3,4,3,14,0,9,95,113
09,Formosa,001,0001 ,0034,344,3,2,5,0,7,0,6,109,110
09,Formosa,001,0001 ,0035,342,10,8,2,6,12,0,5,79,131
09,Formosa,001,0001 ,0036,345,4,5,0,1,5,1,7,97,116
09,Formosa,001,0001 ,0037,344,3,4,4,3,7,1,7,100,113
09,Formosa,001,0001 ,0038,342,4,2,5,4,13,0,7,109,102
09,Formosa,001,0001 ,0039,343,4,7,5,0,7,0,7,101,116
09,Formosa,001,0001 ,0040,343,9,0,2,2,17,0,1,78,135
09,Formosa,001,0001 ,0041,346,9,0,3,3,7,2,7,105,110
09,Formosa,001,0001 ,0042,344,5,5,2,1,5,0,4,85,143
09,Formosa,001,0001 ,0043,350,4,5,5,3,8,0,8,98,97
09,Formosa,001,0001 ,0044,341,4,7,2,6,5,0,10,117,101
09,Formosa,001,0001 ,0045,346,14,4,3,0,7,0,3,100,108
09,Formosa,001,0001 ,0046,343,7,2,3,5,11,0,8,94,118
09,Formosa,001,0001 ,0047,344,6,3,3,1,7,0,5,108,121
09,Formosa,001,0001 ,0048,345,8,3,7,4,16,0,5,92,131
09,Formosa,001,0001 ,0049,342,5,0,5,5,11,0,5,95,110
09,Formosa,001,0001 ,0050,344,4,2,5,8,8,0,7,66,139
09,Formosa,001,0001 ,0051,344,1,5,1,4,9,0,5,97,110
09,Formosa,001,0001 ,0052,351,2,2,3,2,5,0,5,105,129
09,Formosa,001,0001 ,0053,344,4,3,1,2,6,0,3,95,114
09,Formosa,001,0001 ,0054,344,0,1,3,0,6,0,4,83,141
09,Formosa,001,0001 ,0055,344,6,1,5,3,9,0,6,92,129
09,Formosa,001,0001 ,0056,343,5,4,3,2,10,0,6,81,128
09,Formosa,001,0001 ,8162,2,0,0,0,0,0,0,0,0,0
09,Formosa,001,0002 ,0057,349,5,3,0,6,12,0,1,75,128
09,Formosa,001,0002 ,0058,339,4,1,2,5,13,0,3,86,115
09,Formosa,001,0002 ,0059,341,8,1,3,3,12,0,3,73,123
09,Formosa,001,0002 ,0060,337,3,1,2,8,12,0,3,63,126
09,Formosa,001,0002 ,0061,339,3,1,0,1,3,0,1,72,138
09,Formosa,001,0002 ,0062,338,3,0,1,6,11,0,2,78,141
09,Formosa,001,0002 ,0063,339,2,4,0,4,8,0,3,68,141
09,Formosa,001,0002 ,0064,337,1,2,3,6,5,0,1,64,134
09,Formosa,001,0002 ,0065,349,0,0,6,2,4,0,6,81,129
09,Formosa,001,0002 ,0066,338,1,1,1,4,14,1,4,53,159
09,Formosa,001,0002 ,0067,339,5,3,0,7,8,0,1,53,134
09,Formosa,001,0002 ,0068,336,5,2,2,6,6,2,3,74,135
09,Formosa,001,0002 ,0069,339,3,5,0,2,3,2,1,75,137
09,Formosa,001,0002 ,0070,340,0,0,1,4,6,2,4,62,142
