codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00001,00078,00005,00079
09,001,FORMOSA,02771,063805,0,0,19,12,96,122,7
09,001,FORMOSA,02771,063806,0,0,17,13,94,121,2
09,001,FORMOSA,02771,063807,0,0,20,17,110,101,5
09,001,FORMOSA,02771,063808,0,0,8,17,101,113,2
09,001,FORMOSA,02771,063809,0,0,21,8,84,122,0
09,001,FORMOSA,02771,063810,0,0,23,15,88,123,4
09,001,FORMOSA,02771,063811,0,0,23,18,105,100,3
09,001,FORMOSA,02771,063812,0,0,20,18,100,107,0
09,001,FORMOSA,02771,063813,0,0,25,19,101,105,8
09,001,FORMOSA,02771,063814,0,0,24,22,96,86,0
09,001,FORMOSA,02771,063815,0,0,16,13,79,134,4
09,001,FORMOSA,02771,063816,0,0,14,16,95,117,4
09,001,FORMOSA,02771,063817,0,0,24,13,79,113,5
09,001,FORMOSA,02771,063818,0,0,24,22,94,110,1
09,001,FORMOSA,02771,063819,0,0,25,15,79,124,1
09,001,FORMOSA,02771,063820,0,0,23,15,102,108,3
09,001,FORMOSA,02771,063821,0,0,19,16,84,121,2
09,001,FORMOSA,02771,063822,0,0,19,17,75,128,2
09,001,FORMOSA,02771,063823,0,0,15,19,109,117,0
09,001,FORMOSA,02771,063824,0,0,46,14,69,109,4
09,001,FORMOSA,02771,063825,0,0,24,14,92,113,3
09,001,FORMOSA,02771,063826,0,0,20,18,89,122,9
09,001,FORMOSA,02771,063827,0,0,29,13,84,111,5
09,001,FORMOSA,02771,063828,0,0,18,15,79,124,6
09,001,FORMOSA,02771,063829,0,0,28,20,97,113,1
09,001,FORMOSA,02771,063830,0,0,35,16,76,135,2
09,001,FORMOSA,02771,063831,0,0,28,15,102,103,5
09,001,FORMOSA,02771,063832,0,0,0,18,90,114,3
09,001,FORMOSA,02771,063833,0,0,16,13,119,108,2
09,001,FORMOSA,02771,063834,0,0,16,18,92,101,5
09,001,FORMOSA,02771,063835,0,0,17,19,95,116,3
09,001,FORMOSA,02771,063836,0,0,17,21,92,124,5
09,001,FORMOSA,02771,063837,0,0,2,19,80,130,4
09,001,FORMOSA,02771,063838,0,0,24,16,89,121,4
09,001,FORMOSA,02771,063839,0,0,18,12,114,107,5
09,001,FORMOSA,02771,063840,0,0,9,15,95,122,5
09,001,FORMOSA,02771,063841,0,0,15,11,87,118,4
09,001,FORMOSA,02771,063842,0,0,28,21,75,122,7
09,001,FORMOSA,02771,063843,0,0,12,19,93,111,3
09,001,FORMOSA,02771,063844,0,0,21,14,118,102,3
09,001,FORMOSA,02771,063845,0,0,12,16,96,123,4
09,001,FORMOSA,02771,063846,0,0,17,16,121,87,2
