codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0194,0505,0532
09,Formosa,001,0001 ,0001,344,13,1,6,133,119
09,Formosa,001,0001 ,0002,344,15,1,7,103,125
09,Formosa,001,0001 ,0003,346,10,0,3,121,124
09,Formosa,001,0001 ,0004,345,10,0,5,107,142
09,Formosa,001,0001 ,0005,344,10,5,3,125,113
09,Formosa,001,0001 ,0006,346,15,4,6,117,119
09,Formosa,001,0001 ,0007,345,8,4,4,101,131
09,Formosa,001,0001 ,0008,345,7,2,5,111,134
09,Formosa,001,0001 ,0009,345,13,2,8,112,136
09,Formosa,001,0001 ,0010,344,0,3,4,90,149
09,Formosa,001,0001 ,0011,345,9,0,5,122,131
09,Formosa,001,0001 ,0012,345,11,7,6,110,135
09,Formosa,001,0001 ,0013,344,32,1,12,92,118
09,Formosa,001,0001 ,0014,343,20,4,7,99,129
09,Formosa,001,0001 ,0015,344,12,3,8,119,109
09,Formosa,001,0001 ,0016,344,13,1,6,104,140
09,Formosa,001,0001 ,0017,343,20,1,4,131,119
09,Formosa,001,0001 ,0018,345,2,5,4,0,115
09,Formosa,001,0001 ,0019,345,13,3,0,0,0
09,Formosa,001,0001 ,0020,344,13,1,3,108,128
09,Formosa,001,0001 ,0021,345,8,3,4,114,118
09,Formosa,001,0001 ,0022,344,10,1,2,126,126
09,Formosa,001,0001 ,0023,345,24,4,10,108,109
09,Formosa,001,0001 ,0024,344,15,2,8,112,114
09,Formosa,001,0001 ,0025,346,0,0,5,109,130
09,Formosa,001,0001 ,0026,345,10,1,5,124,104
09,Formosa,001,0001 ,0027,344,23,2,2,110,146
09,Formosa,001,0001 ,0028,346,11,4,8,124,117
09,Formosa,001,0001 ,0029,345,11,3,6,115,133
09,Formosa,001,0001 ,0030,345,13,1,4,105,126
09,Formosa,001,0001 ,0031,345,17,1,7,107,125
09,Formosa,001,0001 ,0032,344,10,0,2,126,116
09,Formosa,001,0001 ,0033,345,15,2,8,123,122
09,Formosa,001,0001 ,0034,344,22,2,6,129,117
09,Formosa,001,0001 ,0035,342,8,1,9,100,140
09,Formosa,001,0001 ,0036,345,8,5,5,111,129
09,Formosa,001,0001 ,0037,344,9,5,5,120,113
09,Formosa,001,0001 ,0038,341,29,4,9,100,117
09,Formosa,001,0001 ,0039,343,10,3,4,112,121
09,Formosa,001,0001 ,0040,342,14,1,10,146,0
09,Formosa,001,0001 ,0041,345,16,1,4,122,117
09,Formosa,001,0001 ,0042,344,14,4,3,94,134
09,Formosa,001,0001 ,0043,343,31,3,6,119,78
09,Formosa,001,0001 ,0044,341,19,4,6,145,93
09,Formosa,001,0001 ,0045,345,17,1,7,118,120
09,Formosa,001,0001 ,0046,343,8,3,6,121,139
09,Formosa,001,0001 ,0047,344,11,0,5,116,0
09,Formosa,001,0001 ,0048,344,6,1,11,117,138
09,Formosa,001,0001 ,0049,342,12,1,7,120,123
09,Formosa,001,0001 ,0050,344,13,4,11,80,151
09,Formosa,001,0001 ,0051,343,28,0,3,96,122
09,Formosa,001,0001 ,0052,345,13,1,3,118,121
09,Formosa,001,0001 ,0053,344,2,4,5,113,123
09,Formosa,001,0001 ,0054,344,9,2,2,96,141
09,Formosa,001,0001 ,0055,344,12,3,3,110,126
09,Formosa,001,0001 ,0056,343,16,7,6,91,139
09,Formosa,001,0002 ,0057,340,0,0,7,84,125
09,Formosa,001,0002 ,0058,339,6,1,12,91,124
09,Formosa,001,0002 ,0059,339,10,1,6,81,137
09,Formosa,001,0002 ,0060,337,19,1,10,72,136
09,Formosa,001,0002 ,0061,339,8,1,4,75,142
09,Formosa,001,0002 ,0062,338,0,0,4,71,149
09,Formosa,001,0002 ,0063,339,1,3,8,76,143
09,Formosa,001,0002 ,0064,337,23,2,5,65,133
09,Formosa,001,0002 ,0065,337,18,2,2,84,130
09,Formosa,001,0002 ,0066,337,0,0,0,0,0
09,Formosa,001,0002 ,0067,339,12,0,7,67,144
09,Formosa,001,0002 ,0068,336,19,4,6,80,131
