codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0014,0036,0167,0181,0193,0501
09,Formosa,001,0001 ,0001,344,45,2,74,3,1,4,12,4,128
09,Formosa,001,0001 ,0002,346,41,0,52,2,3,2,8,9,129
09,Formosa,001,0001 ,0003,345,41,2,67,9,0,3,8,8,123
09,Formosa,001,0001 ,0004,345,36,0,56,2,4,7,3,9,124
09,Formosa,001,0001 ,0005,343,9,8,69,2,1,1,6,5,121
09,Formosa,001,0001 ,0006,346,45,0,57,5,3,11,8,12,111
09,Formosa,001,0001 ,0007,345,3,1,63,3,3,7,6,8,111
09,Formosa,001,0001 ,0008,346,48,4,68,3,2,10,0,10,113
09,Formosa,001,0001 ,0009,345,42,2,67,6,2,5,9,9,104
09,Formosa,001,0001 ,0010,345,34,3,64,3,3,8,3,18,117
09,Formosa,001,0001 ,0011,346,37,0,62,5,3,3,8,4,118
09,Formosa,001,0001 ,0012,344,37,9,54,5,3,0,13,12,108
09,Formosa,001,0001 ,0013,344,32,5,61,4,1,7,5,14,135
09,Formosa,001,0001 ,0014,343,3,1,49,0,3,5,10,12,136
09,Formosa,001,0001 ,0015,343,33,0,69,0,0,4,11,10,132
09,Formosa,001,0001 ,0016,345,0,0,61,7,2,2,3,11,117
09,Formosa,001,0001 ,0017,341,1,2,49,1,2,1,8,5,123
09,Formosa,001,0001 ,0018,344,11,1,61,3,4,4,8,13,140
09,Formosa,001,0001 ,0019,344,38,3,58,5,0,6,4,16,130
09,Formosa,001,0001 ,0020,343,32,3,58,5,1,8,10,6,128
09,Formosa,001,0001 ,0021,342,43,4,50,3,1,4,7,8,140
09,Formosa,001,0001 ,0022,343,34,0,34,0,2,2,8,10,202
09,Formosa,001,0001 ,0023,343,41,3,61,1,0,2,4,10,113
09,Formosa,001,0001 ,0024,344,1,3,46,3,1,2,1,18,143
09,Formosa,001,0001 ,0025,343,2,3,58,2,0,3,9,6,122
09,Formosa,001,0001 ,0026,346,2,5,67,4,1,1,9,6,110
09,Formosa,001,0001 ,0027,342,3,11,54,2,1,1,15,9,105
09,Formosa,001,0001 ,0028,344,5,2,76,5,4,3,11,2,112
09,Formosa,001,0001 ,0029,346,6,6,82,1,1,1,5,12,108
09,Formosa,001,0001 ,0030,343,0,0,37,0,3,4,18,0,152
09,Formosa,001,0001 ,0031,341,41,1,69,2,4,5,9,9,130
09,Formosa,001,0001 ,0032,345,0,0,75,3,4,3,10,11,95
09,Formosa,001,0001 ,0033,342,46,2,64,5,2,2,2,15,117
09,Formosa,001,0001 ,0034,343,9,3,71,4,0,4,4,6,119
09,Formosa,001,0001 ,0035,344,0,0,43,7,3,2,6,19,139
09,Formosa,001,0001 ,0036,343,0,0,61,4,0,6,4,10,129
09,Formosa,001,0001 ,0037,342,73,0,59,2,0,2,0,13,101
09,Formosa,001,0001 ,0038,342,44,3,57,5,1,0,10,8,109
09,Formosa,001,0001 ,0039,346,50,2,66,2,2,6,11,10,108
09,Formosa,001,0001 ,0040,341,37,3,54,1,3,8,9,16,108
09,Formosa,001,0001 ,0041,344,48,3,43,3,1,7,9,16,146
09,Formosa,001,0001 ,0042,343,38,2,48,6,3,5,3,14,124
09,Formosa,001,0001 ,0043,342,43,3,59,2,2,2,6,10,127
09,Formosa,001,0001 ,0044,344,2,3,69,6,2,1,9,12,114
09,Formosa,001,0001 ,0045,344,19,1,90,6,7,6,6,10,131
09,Formosa,001,0001 ,0046,343,45,3,54,5,3,5,5,5,112
09,Formosa,001,0001 ,0047,343,35,3,69,6,1,10,7,9,108
09,Formosa,001,0001 ,0048,342,21,1,47,3,3,4,5,5,140
09,Formosa,001,0001 ,0049,344,46,0,42,4,2,1,7,7,131
09,Formosa,001,0001 ,0050,343,43,4,64,2,0,8,7,10,133
09,Formosa,001,0001 ,0051,344,1,7,57,3,1,6,5,10,113
09,Formosa,001,0001 ,0052,344,46,4,83,3,5,0,11,10,87
09,Formosa,001,0002 ,0053,346,1,0,57,3,5,4,3,9,115
09,Formosa,001,0002 ,0054,345,0,3,75,1,1,3,1,7,107
09,Formosa,001,0002 ,0055,346,36,0,82,5,1,10,5,6,98
09,Formosa,001,0002 ,0056,350,35,1,84,3,1,5,7,10,95
09,Formosa,001,0002 ,0057,346,46,2,76,3,5,4,10,6,89
09,Formosa,001,0002 ,0058,346,14,1,85,3,2,0,6,12,101
09,Formosa,001,0002 ,0059,344,10,0,65,1,4,0,9,7,108
09,Formosa,001,0002 ,0060,349,9,0,74,3,2,2,15,16,99
09,Formosa,001,0002 ,0061,347,38,1,79,1,2,6,6,5,97
