codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0014,0038,0045,0187,0188,0243,0325,0326,0327,0328,0329
10,General Belgrano                        ,001,0001 ,0001,359,19,6,2,1,1,1,55,0,2,30,37,34,11,65
10,General Belgrano                        ,001,0001 ,0002,359,0,0,1,0,1,0,55,2,6,12,50,42,6,49
10,General Belgrano                        ,001,0001 ,0003,358,40,12,0,3,0,1,64,1,0,19,28,30,9,68
10,General Belgrano                        ,001,0001 ,0004,358,34,2,0,0,2,0,61,0,2,29,35,34,7,57
10,General Belgrano                        ,001,0001 ,0005,358,35,5,0,1,2,1,46,0,4,25,36,26,8,66
10,General Belgrano                        ,001,0001 ,0006,358,36,10,1,2,1,2,62,1,4,26,31,16,6,61
10,General Belgrano                        ,001,0001 ,0007,358,58,19,1,1,0,3,29,1,4,17,32,23,8,69
10,General Belgrano                        ,001,0001 ,0008,358,30,5,1,3,5,0,53,2,4,13,41,32,12,62
10,General Belgrano                        ,001,0001 ,0611,367,31,3,0,3,6,0,63,3,4,23,29,15,8,55
10,General Belgrano                        ,001,0001 ,0612,367,0,0,3,2,7,1,57,2,1,13,37,27,14,62
10,General Belgrano                        ,001,0001 ,0613,367,0,0,5,1,1,0,57,0,1,18,35,23,10,58
10,General Belgrano                        ,001,0001 ,0614,367,32,3,1,1,1,3,62,2,3,15,47,29,11,52
10,General Belgrano                        ,001,0001 ,0615,367,23,6,0,3,2,0,70,0,0,0,34,15,13,74
10,General Belgrano                        ,001,0001 ,0616,367,27,3,1,1,2,1,63,1,3,15,43,15,4,60
10,General Belgrano                        ,001,0001 ,0617,366,4,7,0,2,3,0,62,2,4,16,37,24,7,54
10,General Belgrano                        ,001,0002 ,0009,362,19,6,1,2,1,1,25,1,0,41,32,9,15,106
10,General Belgrano                        ,001,0002 ,0010,361,40,7,1,0,2,1,35,0,1,43,25,4,6,98
10,General Belgrano                        ,001,0002 ,0011,361,25,4,1,1,4,1,33,0,11,47,26,11,13,82
10,General Belgrano                        ,001,0002 ,0012,361,33,3,0,0,1,1,37,0,3,36,36,6,7,93
10,General Belgrano                        ,001,0002 ,0618,384,19,10,1,2,4,0,40,1,1,40,33,4,10,91
10,General Belgrano                        ,001,0002 ,0619,384,25,6,2,2,6,0,34,0,4,43,33,5,9,91
10,General Belgrano                        ,001,0002 ,0620,383,28,8,1,0,4,0,41,4,5,28,35,6,15,89
10,General Belgrano                        ,001,0003 ,0013,334,26,2,0,0,0,0,49,0,5,27,23,8,10,89
10,General Belgrano                        ,001,0003 ,0014,334,0,0,1,1,0,0,32,0,10,33,16,5,7,71
10,General Belgrano                        ,001,0003 ,0015,333,24,7,2,1,0,0,32,3,2,37,20,11,7,87
10,General Belgrano                        ,001,0003 ,0016,333,27,13,2,1,4,0,27,0,3,34,23,5,7,74
10,General Belgrano                        ,001,0003 ,0017,333,25,5,0,0,2,0,27,0,0,47,28,6,10,81
10,General Belgrano                        ,001,0003 ,0621,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,General Belgrano                        ,001,0003 ,0622,325,0,1,1,1,2,0,35,0,3,35,26,10,8,76
10,General Belgrano                        ,001,0003 ,0623,325,29,4,1,2,4,0,36,0,2,27,39,6,8,81
10,General Belgrano                        ,001,0003 ,0624,325,29,7,2,1,4,0,28,0,3,24,26,7,11,80
10,General Belgrano                        ,001,0004 ,0018,366,2,2,1,0,2,0,69,1,3,13,27,35,9,78
10,General Belgrano                        ,001,0004 ,0019,365,0,0,2,2,2,0,77,0,4,20,29,21,9,52
10,General Belgrano                        ,001,0004 ,0020,365,0,0,2,0,0,0,76,0,0,16,22,25,13,77
10,General Belgrano                        ,001,0004 ,0021,365,4,5,4,0,0,0,99,1,4,17,31,27,11,91
10,General Belgrano                        ,001,0004 ,0022,365,2,12,0,1,4,0,83,0,5,12,31,24,5,68
10,General Belgrano                        ,001,0004 ,0023,365,0,0,2,2,3,2,73,0,0,14,33,22,14,62
10,General Belgrano                        ,001,0004 ,0024,365,0,0,3,0,1,0,72,0,6,17,45,29,9,60
10,General Belgrano                        ,001,0004 ,0025,365,76,6,1,0,1,2,66,2,4,15,46,23,8,72
10,General Belgrano                        ,001,0004 ,0625,392,1,0,1,2,3,0,81,2,1,12,55,36,5,54
10,General Belgrano                        ,001,0004 ,0626,392,25,7,2,1,6,0,76,0,2,12,36,29,12,66
10,General Belgrano                        ,001,0004 ,0627,392,46,4,1,3,2,1,70,2,6,9,37,26,7,72
10,General Belgrano                        ,001,0004 ,0628,392,0,0,0,1,5,3,81,1,3,12,36,25,6,59
10,General Belgrano                        ,001,0004 ,0629,392,0,0,1,4,2,0,77,0,3,20,38,24,14,48
10,General Belgrano                        ,001,0004 ,0630,392,0,0,2,0,4,4,75,2,5,11,37,23,14,53
10,General Belgrano                        ,001,0004 ,0631,392,34,4,0,0,2,0,75,0,7,2,39,20,4,68
10,General Belgrano                        ,001,0005 ,0026,351,0,3,0,1,3,0,50,4,5,41,31,15,9,84
10,General Belgrano                        ,001,0005 ,0027,351,42,32,1,1,3,0,42,2,0,29,38,16,11,79
10,General Belgrano                        ,001,0005 ,0028,351,0,0,0,2,3,2,40,0,2,25,30,11,5,86
10,General Belgrano                        ,001,0005 ,0029,351,46,9,0,0,2,2,44,0,4,32,22,10,9,80
10,General Belgrano                        ,001,0005 ,0030,350,2,9,0,1,3,0,33,0,0,29,33,20,0,0
10,General Belgrano                        ,001,0005 ,0031,350,40,7,1,0,1,2,59,1,3,31,32,13,5,74
10,General Belgrano                        ,001,0005 ,0632,385,0,0,0,2,0,0,64,0,8,28,38,9,13,80
10,General Belgrano                        ,001,0005 ,0633,385,3,7,0,3,1,0,53,0,2,26,37,16,12,72
10,General Belgrano                        ,001,0005 ,0634,385,0,0,1,1,3,2,53,0,3,31,26,14,14,92
10,General Belgrano                        ,001,0005 ,0635,384,42,3,2,1,3,0,46,2,5,28,37,16,8,77
10,General Belgrano                        ,001,0005 ,0636,384,0,0,1,1,5,3,45,2,6,27,43,22,9,75
10,General Belgrano                        ,001,0006 ,0032,362,52,2,1,4,3,2,49,0,6,32,34,7,13,83
10,General Belgrano                        ,001,0006 ,0033,362,0,0,1,2,2,0,36,2,3,39,39,11,13,89
10,General Belgrano                        ,001,0006 ,0034,362,42,3,0,1,6,0,40,1,2,33,40,14,3,110
10,General Belgrano                        ,001,0006 ,0035,361,0,0,0,1,5,0,37,0,3,33,30,10,13,92
10,General Belgrano                        ,001,0006 ,0036,361,34,1,4,1,3,0,46,3,4,40,27,10,5,108
10,General Belgrano                        ,001,0006 ,0037,361,34,8,0,1,2,2,55,0,3,24,27,9,10,89
10,General Belgrano                        ,001,0006 ,0038,361,31,1,1,1,2,0,55,0,1,22,33,11,9,96
10,General Belgrano                        ,001,0006 ,0039,361,17,12,1,4,0,0,50,1,1,35,32,11,6,99
10,General Belgrano                        ,001,0006 ,0040,361,1,41,0,1,4,2,35,1,9,32,45,12,9,86
10,General Belgrano                        ,001,0006 ,0041,361,41,8,2,0,5,1,40,2,1,35,35,10,7,93
10,General Belgrano                        ,001,0006 ,0637,382,40,6,1,0,4,1,51,3,4,26,46,16,10,83
10,General Belgrano                        ,001,0006 ,0638,382,15,5,0,2,2,3,45,3,5,30,51,9,15,92
10,General Belgrano                        ,001,0006 ,0639,382,0,0,3,1,2,0,44,2,0,38,28,8,13,87
10,General Belgrano                        ,001,0006 ,0640,382,45,4,0,2,3,0,36,0,2,28,41,18,9,78
