codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0014,0038,0045,0501,0536,0569,0570,0571
10,General Belgrano,001,0001 ,0001,334,0,5,11,3,8,51,112,34,5,4
10,General Belgrano,001,0001 ,0002,334,19,11,5,0,6,61,84,33,20,4
10,General Belgrano,001,0001 ,0003,334,4,10,6,5,4,58,94,44,9,1
10,General Belgrano,001,0001 ,0004,334,12,7,7,5,3,51,94,42,11,2
10,General Belgrano,001,0001 ,0005,334,10,9,7,3,4,56,87,35,16,4
10,General Belgrano,001,0001 ,0006,334,20,5,6,3,1,56,104,27,19,0
10,General Belgrano,001,0001 ,0007,333,10,8,9,4,7,50,74,40,19,3
10,General Belgrano,001,0001 ,0008,333,11,13,10,1,2,50,94,27,17,4
10,General Belgrano,001,0001 ,0009,333,11,10,3,7,4,49,65,35,27,2
10,General Belgrano,001,0001 ,0706,335,16,9,13,5,5,53,77,23,16,2
10,General Belgrano,001,0001 ,0707,335,0,0,11,6,9,58,73,38,15,1
10,General Belgrano,001,0001 ,0708,335,0,0,4,4,0,58,77,39,15,0
10,General Belgrano,001,0001 ,0709,334,11,2,7,3,9,50,79,42,15,5
10,General Belgrano,001,0001 ,0710,334,2,2,6,2,4,62,75,30,24,4
10,General Belgrano,001,0001 ,0711,334,12,5,6,2,2,44,91,27,15,2
10,General Belgrano,001,0001 ,0712,334,2,3,2,3,4,56,75,37,15,2
10,General Belgrano,001,0001 ,0713,334,15,11,13,10,4,44,80,33,7,3
10,General Belgrano,001,0002 ,0010,284,7,3,5,3,2,20,117,18,19,0
10,General Belgrano,001,0002 ,0011,284,10,0,4,2,2,26,123,17,15,5
10,General Belgrano,001,0002 ,0012,284,3,3,2,2,2,21,115,21,16,1
10,General Belgrano,001,0002 ,0013,283,3,3,5,3,8,26,122,15,19,2
10,General Belgrano,001,0002 ,0014,283,8,4,8,1,5,25,113,14,16,1
10,General Belgrano,001,0002 ,0714,290,0,0,4,2,1,30,111,22,10,0
10,General Belgrano,001,0002 ,0715,290,5,4,9,2,3,33,120,14,10,2
10,General Belgrano,001,0002 ,0716,290,6,1,3,3,5,29,119,18,18,3
10,General Belgrano,001,0002 ,0717,289,0,0,8,0,1,30,115,15,15,1
10,General Belgrano,001,0003 ,0015,329,7,9,6,2,4,29,130,17,24,1
10,General Belgrano,001,0003 ,0016,329,5,4,2,1,3,32,157,17,18,3
10,General Belgrano,001,0003 ,0017,329,9,1,5,2,1,28,145,15,17,1
10,General Belgrano,001,0003 ,0018,328,9,5,8,1,3,22,144,11,21,0
10,General Belgrano,001,0003 ,0019,328,0,0,4,1,0,21,154,30,18,3
10,General Belgrano,001,0003 ,0718,317,14,6,5,4,1,22,112,24,17,3
10,General Belgrano,001,0003 ,0719,317,7,4,5,3,3,26,125,19,20,2
10,General Belgrano,001,0003 ,0720,317,7,0,3,2,1,19,128,35,23,2
10,General Belgrano,001,0003 ,0721,317,15,2,2,0,1,23,129,20,12,1
10,General Belgrano,001,0004 ,0020,331,0,0,9,2,1,61,98,23,20,1
10,General Belgrano,001,0004 ,0021,331,4,5,13,2,2,72,85,28,30,1
10,General Belgrano,001,0004 ,0022,331,0,0,9,1,6,69,106,25,24,0
10,General Belgrano,001,0004 ,0023,331,0,0,7,1,6,64,98,26,17,5
10,General Belgrano,001,0004 ,0024,331,19,6,6,2,4,67,94,27,18,3
10,General Belgrano,001,0004 ,0025,331,4,19,6,6,2,69,88,22,20,2
10,General Belgrano,001,0004 ,0026,331,1,7,6,5,5,65,67,39,17,5
10,General Belgrano,001,0004 ,0027,330,1,1,6,3,7,67,106,24,26,6
10,General Belgrano,001,0004 ,0028,330,10,2,12,0,6,59,98,39,24,1
10,General Belgrano,001,0004 ,0722,313,0,0,3,0,5,71,70,23,14,1
10,General Belgrano,001,0004 ,0723,313,9,1,6,7,7,45,85,23,11,4
10,General Belgrano,001,0004 ,0724,313,12,3,10,4,4,58,75,22,28,4
10,General Belgrano,001,0004 ,0725,313,0,0,12,0,3,47,88,21,22,2
10,General Belgrano,001,0004 ,0726,312,2,3,6,7,4,57,71,27,11,2
10,General Belgrano,001,0004 ,0727,312,6,7,8,5,2,63,59,22,9,2
10,General Belgrano,001,0004 ,0728,312,2,2,6,3,4,69,73,19,23,4
10,General Belgrano,001,0004 ,0729,312,11,9,4,2,7,60,61,34,16,3
10,General Belgrano,001,0004 ,0730,312,18,11,7,7,7,37,69,27,17,3
10,General Belgrano,001,0005 ,0029,312,6,3,5,4,2,55,123,19,20,8
10,General Belgrano,001,0005 ,0030,312,0,0,4,2,6,42,118,22,23,4
10,General Belgrano,001,0005 ,0031,312,10,4,6,4,5,32,135,19,13,0
10,General Belgrano,001,0005 ,0032,312,15,5,0,2,3,46,123,24,9,0
10,General Belgrano,001,0005 ,0033,312,0,0,6,2,3,39,138,12,10,3
10,General Belgrano,001,0005 ,0034,311,2,2,7,2,2,48,130,15,14,1
10,General Belgrano,001,0005 ,0035,311,14,6,5,2,2,48,114,23,7,2
10,General Belgrano,001,0005 ,0731,328,11,2,7,1,2,107,49,27,13,2
10,General Belgrano,001,0005 ,0732,328,0,0,9,4,4,41,86,43,23,0
10,General Belgrano,001,0005 ,0733,328,4,5,6,5,3,36,131,20,17,1
10,General Belgrano,001,0005 ,0734,328,15,4,8,5,5,42,112,20,17,5
10,General Belgrano,001,0005 ,0735,327,9,6,9,2,9,45,116,16,12,1
10,General Belgrano,001,0005 ,0736,327,7,12,6,6,3,28,121,20,18,2
10,General Belgrano,001,0006 ,0036,336,10,7,5,4,5,41,145,15,22,5
10,General Belgrano,001,0006 ,0037,336,2,6,6,0,6,36,130,23,26,6
10,General Belgrano,001,0006 ,0038,336,16,5,8,6,4,48,126,29,22,2
10,General Belgrano,001,0006 ,0039,336,4,4,2,1,1,26,142,31,21,4
10,General Belgrano,001,0006 ,0040,336,7,2,4,5,5,35,135,18,27,3
10,General Belgrano,001,0006 ,0041,336,4,3,7,4,3,45,133,27,15,2
10,General Belgrano,001,0006 ,0042,336,12,6,5,0,6,43,129,27,12,2
10,General Belgrano,001,0006 ,0043,336,9,5,2,1,1,32,143,23,25,7
10,General Belgrano,001,0006 ,0044,335,1,5,6,5,3,44,129,20,18,1
10,General Belgrano,001,0006 ,0045,335,0,0,5,1,4,37,126,27,19,1
