codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0131,0137,0179
10,General Belgrano,001,0001 ,0001,339,67,1,58,15,124
10,General Belgrano,001,0001 ,0002,336,70,1,67,18,131
10,General Belgrano,001,0001 ,0003,336,36,2,71,22,149
10,General Belgrano,001,0001 ,0004,339,60,0,77,15,121
10,General Belgrano,001,0001 ,0005,337,69,0,85,18,120
10,General Belgrano,001,0001 ,0006,337,67,3,82,15,122
10,General Belgrano,001,0001 ,0007,338,57,5,70,18,141
10,General Belgrano,001,0001 ,0008,338,57,2,70,19,126
10,General Belgrano,001,0001 ,0009,337,49,1,71,20,126
10,General Belgrano,001,0001 ,0010,339,53,0,80,18,130
10,General Belgrano,001,0001 ,0011,337,109,0,72,12,78
10,General Belgrano,001,0001 ,0012,337,69,1,78,19,104
10,General Belgrano,001,0001 ,0013,337,62,0,76,13,131
10,General Belgrano,001,0001 ,0014,338,50,5,73,19,124
10,General Belgrano,001,0001 ,0015,337,44,2,72,16,137
10,General Belgrano,001,0001 ,0016,337,56,1,64,9,125
10,General Belgrano,001,0001 ,0017,334,49,4,88,11,119
10,General Belgrano,001,0001 ,0018,337,52,5,73,16,118
10,General Belgrano,001,0001 ,0019,339,57,6,74,23,130
10,General Belgrano,001,0001 ,0020,338,47,9,82,12,113
10,General Belgrano,001,0001 ,0021,338,54,2,77,14,114
10,General Belgrano,001,0002 ,0022,306,30,0,43,16,158
10,General Belgrano,001,0002 ,0023,305,0,3,35,14,157
10,General Belgrano,001,0002 ,0024,306,22,1,45,11,153
10,General Belgrano,001,0002 ,0025,302,30,2,42,13,169
10,General Belgrano,001,0002 ,0026,305,42,1,34,16,145
10,General Belgrano,001,0002 ,0027,303,0,0,38,14,149
10,General Belgrano,001,0002 ,0028,307,35,0,35,11,157
10,General Belgrano,001,0002 ,0029,303,32,0,44,9,146
10,General Belgrano,001,0003 ,0030,317,29,1,22,20,167
10,General Belgrano,001,0003 ,0031,315,35,0,35,16,159
10,General Belgrano,001,0003 ,0032,312,34,0,33,11,153
10,General Belgrano,001,0003 ,0033,316,41,0,34,15,157
10,General Belgrano,001,0003 ,0034,314,33,2,54,10,147
10,General Belgrano,001,0003 ,0035,313,28,0,41,8,155
10,General Belgrano,001,0003 ,0036,315,32,1,47,10,153
10,General Belgrano,001,0003 ,0037,314,33,0,25,8,154
10,General Belgrano,001,0003 ,0038,315,32,0,34,13,161
10,General Belgrano,001,0004 ,0039,330,53,4,74,32,109
10,General Belgrano,001,0004 ,0040,328,61,1,76,17,126
10,General Belgrano,001,0004 ,0041,330,49,2,83,18,126
10,General Belgrano,001,0004 ,0042,330,56,3,92,13,113
10,General Belgrano,001,0004 ,0043,330,64,2,76,20,118
10,General Belgrano,001,0004 ,0044,329,51,3,74,30,121
10,General Belgrano,001,0004 ,0045,327,51,1,73,22,130
10,General Belgrano,001,0004 ,0046,327,42,9,69,10,145
10,General Belgrano,001,0004 ,0047,328,56,1,82,12,128
10,General Belgrano,001,0004 ,0048,329,39,2,95,19,115
10,General Belgrano,001,0004 ,0049,328,0,0,77,17,134
10,General Belgrano,001,0004 ,0050,328,56,0,80,18,114
10,General Belgrano,001,0004 ,0051,326,53,0,95,20,106
10,General Belgrano,001,0004 ,0052,327,47,1,70,28,115
10,General Belgrano,001,0004 ,0053,330,53,6,94,17,114
10,General Belgrano,001,0004 ,0054,325,45,3,92,20,107
10,General Belgrano,001,0004 ,0055,325,40,1,69,14,129
10,General Belgrano,001,0004 ,0056,328,27,1,99,12,133
10,General Belgrano,001,0004 ,0057,326,58,3,87,11,107
10,General Belgrano,001,0004 ,0058,328,46,0,81,16,137
10,General Belgrano,001,0005 ,0059,318,46,0,51,17,149
10,General Belgrano,001,0005 ,0060,318,45,11,36,13,161
10,General Belgrano,001,0005 ,0061,315,33,0,45,25,160
10,General Belgrano,001,0005 ,0062,313,24,1,52,18,158
10,General Belgrano,001,0005 ,0063,318,48,2,56,13,145
10,General Belgrano,001,0005 ,0064,315,45,0,55,21,135
10,General Belgrano,001,0005 ,0065,317,41,3,37,12,154
10,General Belgrano,001,0005 ,0066,316,39,2,43,18,151
10,General Belgrano,001,0005 ,0067,316,40,1,60,11,143
10,General Belgrano,001,0005 ,0068,312,40,0,46,17,145
10,General Belgrano,001,0005 ,0069,316,135,0,48,18,60
10,General Belgrano,001,0005 ,0070,317,43,0,49,19,138
10,General Belgrano,001,0005 ,0071,319,40,0,42,18,174
10,General Belgrano,001,0005 ,0072,315,39,0,71,18,140
10,General Belgrano,001,0005 ,0073,340,75,2,59,15,112
10,General Belgrano,001,0006 ,0074,325,49,0,44,12,172
10,General Belgrano,001,0006 ,0075,325,34,1,54,23,160
10,General Belgrano,001,0006 ,0076,322,42,0,63,9,145
10,General Belgrano,001,0006 ,0077,322,43,3,25,24,166
10,General Belgrano,001,0006 ,0078,322,47,0,52,23,152
10,General Belgrano,001,0006 ,0079,322,44,2,57,21,149
10,General Belgrano,001,0006 ,0080,325,40,0,49,20,153
10,General Belgrano,001,0006 ,0081,323,30,0,59,21,150
10,General Belgrano,001,0006 ,0082,323,45,0,60,18,149
10,General Belgrano,001,0006 ,0083,322,41,1,39,16,177
10,General Belgrano,001,0006 ,0084,322,41,0,47,15,158
10,General Belgrano,001,0006 ,0085,325,55,0,58,9,137
10,General Belgrano,001,0006 ,0086,326,51,2,50,13,153
10,General Belgrano,001,0006 ,0087,323,34,1,50,15,154
10,General Belgrano,001,0006 ,0088,318,41,2,34,16,162
10,General Belgrano,001,0006 ,0089,322,42,3,46,19,150
10,General Belgrano,001,0006 ,0090,321,43,0,55,22,156
10,General Belgrano,001,0006 ,0091,323,36,2,58,20,137
10,General Belgrano,001,0006 ,0092,319,46,0,46,7,169
10,General Belgrano,001,0006 ,0093,323,45,0,43,22,148
10,General Belgrano,001,0006 ,0094,323,41,0,46,20,154
10,General Belgrano,001,0006 ,0095,320,54,4,58,25,124
10,General Belgrano,001,0007 ,0096,338,0,6,69,27,147
10,General Belgrano,001,0007 ,0097,338,47,0,75,30,134
10,General Belgrano,001,0007 ,0098,339,43,0,81,21,141
10,General Belgrano,001,0007 ,0099,340,1,0,49,25,157
10,General Belgrano,001,0007 ,0100,340,52,0,61,23,162
10,General Belgrano,001,0007 ,0101,337,49,1,71,21,145
10,General Belgrano,001,0007 ,0102,337,47,0,77,28,139
10,General Belgrano,001,0007 ,0103,340,66,2,60,23,138
10,General Belgrano,001,0007 ,0104,333,54,0,49,22,150
10,General Belgrano,001,0007 ,0105,337,52,2,55,14,152
10,General Belgrano,001,0007 ,0106,339,45,3,56,18,158
10,General Belgrano,001,0007 ,0107,337,59,0,79,22,124
10,General Belgrano,001,0007 ,0108,341,19,4,50,0,160
10,General Belgrano,001,0007 ,0109,338,0,0,68,23,146
10,General Belgrano,001,0007 ,0110,338,0,0,67,21,120
10,General Belgrano,001,0007 ,0111,340,3,2,69,24,147
10,General Belgrano,001,0007 ,0112,335,185,1,71,26,0
10,General Belgrano,001,0007 ,0113,338,62,0,62,26,137
10,General Belgrano,001,0007 ,0114,335,57,2,44,29,150
10,General Belgrano,001,0007 ,0115,338,58,1,61,19,148
10,General Belgrano,001,0007 ,0116,338,57,1,74,14,147
10,General Belgrano,001,0007 ,0117,339,59,3,68,15,135
10,General Belgrano,001,0007 ,0118,336,57,0,56,28,138
10,General Belgrano,001,0007 ,0119,335,46,0,74,20,158
10,General Belgrano,001,0007 ,0120,339,58,0,65,7,152
10,General Belgrano,001,0007 ,0121,340,56,1,45,14,155
10,General Belgrano,001,0007 ,0122,337,56,3,66,13,142
10,General Belgrano,001,0007 ,0123,339,62,1,61,26,135
10,General Belgrano,001,0007 ,0124,339,66,3,68,23,121
10,General Belgrano,001,0007 ,0125,337,54,12,59,17,140
10,General Belgrano,001,0007 ,0126,339,58,0,64,25,134
10,General Belgrano,001,0007 ,0127,338,49,1,87,19,129
10,General Belgrano,001,0007 ,0128,339,47,0,79,19,142
10,General Belgrano,001,0007 ,0129,338,48,6,66,34,129
10,General Belgrano,001,0007 ,0130,337,56,0,54,18,162
10,General Belgrano,001,0007 ,0131,339,55,3,71,24,122
10,General Belgrano,001,0007 ,0132,338,60,0,67,16,144
