codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0038,0210,0503,0545,0546,0558
10,General Belgrano,001,0001 ,0001,325,3,2,0,3,48,96,32,13
10,General Belgrano,001,0001 ,0002,325,33,5,2,1,57,96,41,22
10,General Belgrano,001,0001 ,0003,325,0,0,2,0,62,88,40,19
10,General Belgrano,001,0001 ,0004,325,33,3,0,1,61,90,0,25
10,General Belgrano,001,0001 ,0005,325,34,0,5,1,63,83,28,26
10,General Belgrano,001,0001 ,0006,325,31,6,1,2,63,37,44,21
10,General Belgrano,001,0001 ,0007,325,47,5,2,1,56,95,52,11
10,General Belgrano,001,0001 ,0008,325,28,5,1,1,54,97,46,15
10,General Belgrano,001,0001 ,0009,324,39,6,5,1,47,92,0,10
10,General Belgrano,001,0001 ,0010,324,1,8,0,2,57,79,39,29
10,General Belgrano,001,0001 ,0011,324,36,3,3,1,42,112,38,19
10,General Belgrano,001,0001 ,0012,324,29,0,2,1,61,86,48,18
10,General Belgrano,001,0001 ,0013,324,33,13,1,0,57,81,45,17
10,General Belgrano,001,0001 ,0014,324,33,0,0,3,55,99,45,14
10,General Belgrano,001,0001 ,0015,324,44,4,1,3,55,91,28,11
10,General Belgrano,001,0001 ,0016,324,18,7,3,2,45,97,47,18
10,General Belgrano,001,0001 ,0017,324,44,3,2,2,52,89,34,20
10,General Belgrano,001,0001 ,0018,324,31,1,1,0,60,96,38,21
10,General Belgrano,001,0001 ,0019,324,34,6,2,1,61,88,42,17
10,General Belgrano,001,0001 ,0020,324,46,7,1,1,48,87,38,20
10,General Belgrano,001,0001 ,0021,324,29,6,1,1,49,83,43,21
10,General Belgrano,001,0001 ,0022,324,30,2,1,2,62,99,32,14
10,General Belgrano,001,0002 ,0023,307,21,3,1,0,31,152,20,10
10,General Belgrano,001,0002 ,0024,306,18,1,2,2,29,154,23,15
10,General Belgrano,001,0002 ,0025,307,12,2,1,3,24,146,23,14
10,General Belgrano,001,0002 ,0026,307,18,1,1,1,21,157,25,9
10,General Belgrano,001,0002 ,0027,307,14,3,0,1,33,139,23,8
10,General Belgrano,001,0002 ,0028,307,22,1,3,0,15,162,18,8
10,General Belgrano,001,0002 ,0029,307,18,1,0,1,31,145,23,12
10,General Belgrano,001,0003 ,0030,324,1,3,2,2,20,162,18,11
10,General Belgrano,001,0003 ,0031,324,2,3,1,3,26,161,13,11
10,General Belgrano,001,0003 ,0032,324,18,3,0,0,26,150,21,14
10,General Belgrano,001,0003 ,0033,324,13,2,0,2,33,162,17,8
10,General Belgrano,001,0003 ,0034,324,16,1,1,0,28,145,28,9
10,General Belgrano,001,0003 ,0035,323,17,5,1,2,34,158,14,8
10,General Belgrano,001,0003 ,0036,323,23,2,0,0,22,147,16,11
10,General Belgrano,001,0003 ,0037,323,22,0,3,3,24,157,15,7
10,General Belgrano,001,0004 ,0038,316,39,2,3,1,76,76,30,18
10,General Belgrano,001,0004 ,0039,316,33,0,0,2,65,108,47,4
10,General Belgrano,001,0004 ,0040,316,28,1,3,1,74,86,34,13
10,General Belgrano,001,0004 ,0041,315,32,10,3,0,50,90,41,14
