codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00037,00050,00024,00036
10,001,General Belgrano,00001,000001,311,19,3,95,93,14,10
10,001,General Belgrano,00001,000010,317,28,1,94,93,15,21
10,001,General Belgrano,00001,000011,312,27,7,106,85,17,12
10,001,General Belgrano,00001,000012,311,24,3,79,117,22,9
10,001,General Belgrano,00001,000013,311,22,3,107,87,18,17
10,001,General Belgrano,00001,000014,311,14,2,115,94,18,10
10,001,General Belgrano,00001,000015,309,17,1,99,104,20,7
10,001,General Belgrano,00001,000016,310,13,2,89,104,14,14
10,001,General Belgrano,00001,000017,310,15,6,94,103,15,7
10,001,General Belgrano,00001,000018,308,28,3,90,93,8,19
10,001,General Belgrano,00001,000019,311,17,2,89,117,17,12
10,001,General Belgrano,00001,000002,309,23,0,96,98,26,15
10,001,General Belgrano,00001,000020,311,26,5,103,94,19,10
10,001,General Belgrano,00001,000021,311,28,2,100,81,18,18
10,001,General Belgrano,00001,000022,309,16,5,123,79,24,12
10,001,General Belgrano,00001,000023,309,17,0,104,78,19,17
10,001,General Belgrano,00001,000024,337,35,1,87,126,15,10
10,001,General Belgrano,00001,000003,310,16,1,106,94,15,15
10,001,General Belgrano,00001,000004,312,35,2,111,79,16,15
10,001,General Belgrano,00001,000005,308,18,3,105,84,28,5
10,001,General Belgrano,00001,000006,311,16,1,121,90,17,7
10,001,General Belgrano,00001,000007,313,30,2,124,79,15,10
10,001,General Belgrano,00001,000008,309,9,4,96,105,29,11
10,001,General Belgrano,00001,000009,310,32,3,102,100,12,11
10,001,General Belgrano,00002,000025,304,13,2,41,152,14,11
10,001,General Belgrano,00002,000026,304,16,1,40,159,13,14
10,001,General Belgrano,00002,000027,305,27,1,41,166,8,9
10,001,General Belgrano,00002,000028,306,14,6,33,161,22,11
10,001,General Belgrano,00002,000029,302,8,0,41,164,14,11
10,001,General Belgrano,00002,000030,303,11,0,41,154,12,9
10,001,General Belgrano,00002,000031,333,12,1,53,172,14,5
10,001,General Belgrano,00003,000032,284,11,1,28,158,12,7
10,001,General Belgrano,00003,000033,284,10,2,33,142,15,8
10,001,General Belgrano,00003,000034,283,13,2,30,134,10,12
10,001,General Belgrano,00003,000035,282,14,0,37,143,16,4
10,001,General Belgrano,00003,000036,285,9,2,30,161,12,13
10,001,General Belgrano,00003,000037,285,12,2,45,144,8,7
10,001,General Belgrano,00003,000038,284,11,0,39,138,10,8
10,001,General Belgrano,00003,000039,286,9,0,32,154,12,11
10,001,General Belgrano,00003,000040,287,11,0,27,153,10,14
10,001,General Belgrano,00004,000041,315,25,1,100,97,21,11
10,001,General Belgrano,00004,000042,317,22,1,108,111,11,16
10,001,General Belgrano,00004,000043,316,26,0,99,103,11,9
