codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0063,0068,0208,0501,0505,0522,0523,0524
10,General Belgrano,001,0001 ,0001,346,4,7,5,5,18,50,26,80,25,23
10,General Belgrano,001,0001 ,0002,347,4,5,4,7,14,57,22,80,33,27
10,General Belgrano,001,0001 ,0003,346,4,9,2,7,16,82,22,66,22,32
10,General Belgrano,001,0001 ,0004,345,1,6,11,3,20,50,31,66,19,28
10,General Belgrano,001,0001 ,0005,347,3,10,6,4,20,79,22,67,17,24
10,General Belgrano,001,0001 ,0006,346,11,0,2,6,18,53,22,84,23,28
10,General Belgrano,001,0001 ,0007,346,7,4,3,6,13,55,26,83,26,26
10,General Belgrano,001,0001 ,0008,348,3,6,4,2,11,60,18,93,24,18
10,General Belgrano,001,0001 ,0009,346,8,7,5,4,17,78,27,77,16,14
10,General Belgrano,001,0001 ,0010,346,5,5,2,2,22,59,24,84,24,26
10,General Belgrano,001,0001 ,0011,346,7,9,4,5,18,56,26,51,16,27
10,General Belgrano,001,0001 ,0012,346,5,9,6,4,16,60,18,76,29,21
10,General Belgrano,001,0001 ,0013,345,12,7,1,3,19,53,27,72,29,25
10,General Belgrano,001,0001 ,0014,346,3,13,8,7,15,64,15,77,15,20
10,General Belgrano,001,0001 ,0015,348,8,6,1,6,22,59,17,59,31,25
10,General Belgrano,001,0001 ,0016,345,7,6,6,7,14,72,24,79,14,26
10,General Belgrano,001,0001 ,0017,343,2,12,3,7,13,55,33,86,12,24
10,General Belgrano,001,0001 ,0018,345,2,6,4,4,19,77,30,63,15,23
10,General Belgrano,001,0001 ,0019,344,4,8,4,5,7,73,17,65,28,27
10,General Belgrano,001,0002 ,0020,311,4,4,1,5,14,37,10,100,25,24
10,General Belgrano,001,0002 ,0021,309,3,4,2,1,7,18,14,98,36,35
10,General Belgrano,001,0002 ,0022,308,1,1,2,3,7,37,22,108,32,17
10,General Belgrano,001,0002 ,0023,308,6,2,0,0,5,32,22,114,35,22
10,General Belgrano,001,0002 ,0024,309,1,3,0,5,6,17,11,95,42,27
10,General Belgrano,001,0002 ,0025,309,1,2,2,5,6,25,18,95,37,27
10,General Belgrano,001,0002 ,0026,309,4,7,3,3,6,23,16,100,29,19
10,General Belgrano,001,0002 ,0027,306,2,1,2,0,4,31,13,91,26,30
10,General Belgrano,001,0003 ,0028,318,1,3,5,1,6,25,17,99,34,19
10,General Belgrano,001,0003 ,0029,319,11,4,1,1,7,29,10,100,29,32
10,General Belgrano,001,0003 ,0030,319,3,2,1,2,9,20,11,101,30,33
10,General Belgrano,001,0003 ,0031,321,4,5,3,3,8,29,15,111,35,22
10,General Belgrano,001,0003 ,0032,318,5,3,1,2,8,36,8,103,30,28
10,General Belgrano,001,0003 ,0033,317,2,7,2,2,7,26,12,104,29,16
10,General Belgrano,001,0003 ,0034,317,0,4,1,5,7,34,7,108,38,21
10,General Belgrano,001,0003 ,0035,317,5,2,1,3,6,28,10,92,29,25
10,General Belgrano,001,0003 ,0036,318,3,3,1,8,4,20,14,121,24,20
10,General Belgrano,001,0004 ,0037,350,9,5,5,8,8,73,36,63,13,31
10,General Belgrano,001,0004 ,0038,349,6,6,6,1,8,51,31,97,27,23
10,General Belgrano,001,0004 ,0039,349,4,10,4,5,14,53,27,75,28,40
10,General Belgrano,001,0004 ,0040,349,5,8,3,4,6,77,30,76,18,28
10,General Belgrano,001,0004 ,0041,350,4,7,7,3,7,49,49,82,41,17
10,General Belgrano,001,0004 ,0042,350,5,7,2,10,7,49,34,81,39,35
10,General Belgrano,001,0004 ,0043,350,4,6,7,4,8,60,32,88,31,31
10,General Belgrano,001,0004 ,0044,350,9,7,5,7,13,64,29,91,22,29
10,General Belgrano,001,0004 ,0045,350,9,6,3,6,4,61,22,80,21,28
10,General Belgrano,001,0004 ,0046,348,7,19,2,5,4,66,27,79,23,25
10,General Belgrano,001,0004 ,0047,349,6,11,5,6,8,68,34,68,23,18
10,General Belgrano,001,0004 ,0048,348,15,11,2,7,10,71,31,77,16,23
10,General Belgrano,001,0004 ,0049,350,3,6,6,7,12,60,29,70,21,41
10,General Belgrano,001,0004 ,0050,349,10,9,2,7,16,69,42,71,15,27
10,General Belgrano,001,0004 ,0051,349,7,3,0,8,8,71,24,76,21,24
10,General Belgrano,001,0004 ,0052,349,6,3,6,5,15,54,18,88,26,37
10,General Belgrano,001,0004 ,0053,349,5,13,3,7,5,68,32,76,28,23
10,General Belgrano,001,0004 ,0054,348,6,4,2,15,12,58,26,83,23,23
10,General Belgrano,001,0005 ,0055,350,3,4,4,5,13,47,22,94,45,20
10,General Belgrano,001,0005 ,0056,349,4,4,3,4,8,49,27,112,34,22
10,General Belgrano,001,0005 ,0057,349,4,5,1,4,12,40,18,106,35,21
10,General Belgrano,001,0005 ,0058,351,7,10,3,5,10,44,23,83,37,29
10,General Belgrano,001,0005 ,0059,350,2,5,3,4,12,44,23,110,30,23
10,General Belgrano,001,0005 ,0060,350,2,2,1,3,8,38,24,116,24,25
10,General Belgrano,001,0005 ,0061,350,3,10,2,2,11,42,16,100,39,36
10,General Belgrano,001,0005 ,0062,350,7,4,2,3,6,48,22,71,42,32
10,General Belgrano,001,0005 ,0063,349,3,4,1,5,10,38,23,116,31,20
10,General Belgrano,001,0005 ,0064,350,3,6,2,4,7,51,22,92,43,19
10,General Belgrano,001,0005 ,0065,348,1,5,5,5,9,35,21,110,30,25
10,General Belgrano,001,0005 ,0066,348,3,7,0,3,15,48,22,91,40,25
10,General Belgrano,001,0005 ,0067,349,2,4,2,6,12,59,0,97,0,0
10,General Belgrano,001,0006 ,0068,338,2,5,5,8,14,33,17,120,33,18
10,General Belgrano,001,0006 ,0069,339,6,6,1,2,13,39,30,100,32,32
10,General Belgrano,001,0006 ,0070,339,6,3,4,7,8,33,23,106,35,22
10,General Belgrano,001,0006 ,0071,340,2,3,1,5,11,31,26,115,31,21
10,General Belgrano,001,0006 ,0072,339,2,3,2,12,8,39,24,99,35,28
10,General Belgrano,001,0006 ,0073,339,3,2,2,1,12,37,23,102,34,32
10,General Belgrano,001,0006 ,0074,336,7,3,3,3,11,31,21,115,41,26
10,General Belgrano,001,0006 ,0075,338,2,5,4,3,7,39,26,95,37,28
10,General Belgrano,001,0006 ,0076,339,3,4,2,2,13,39,16,114,42,17
10,General Belgrano,001,0006 ,0077,335,1,4,4,7,10,29,17,116,30,32
10,General Belgrano,001,0006 ,0078,337,3,2,1,3,10,38,28,107,28,18
10,General Belgrano,001,0006 ,0079,339,4,6,0,0,6,48,17,109,32,31
10,General Belgrano,001,0006 ,0080,337,7,6,2,5,7,38,17,94,30,28
10,General Belgrano,001,0006 ,0081,337,2,4,2,5,9,34,27,105,33,21
10,General Belgrano,001,0006 ,0082,337,5,6,0,3,7,29,14,105,42,15
10,General Belgrano,001,0006 ,0083,338,5,6,3,6,10,42,20,112,28,27
10,General Belgrano,001,0006 ,0084,338,3,2,4,4,11,36,22,103,37,31
10,General Belgrano,001,0006 ,0085,337,2,7,4,3,5,47,24,87,26,29
10,General Belgrano,001,0006 ,0086,337,2,4,5,3,14,45,12,98,24,35
10,General Belgrano,001,0006 ,0087,337,7,2,0,0,19,37,21,114,24,31
10,General Belgrano,001,0006 ,0088,339,5,6,2,5,10,39,26,88,27,31
10,General Belgrano,001,0007 ,0089,344,5,5,4,2,10,49,31,85,27,35
10,General Belgrano,001,0007 ,0090,345,3,1,5,1,16,65,22,96,25,32
10,General Belgrano,001,0007 ,0091,346,5,6,2,7,5,60,26,83,33,25
10,General Belgrano,001,0007 ,0092,344,0,3,4,3,12,46,35,95,30,33
10,General Belgrano,001,0007 ,0093,346,4,9,5,9,7,52,39,98,21,28
10,General Belgrano,001,0007 ,0094,347,7,5,5,3,14,62,29,86,26,32
10,General Belgrano,001,0007 ,0095,343,9,2,3,7,7,59,38,79,28,27
10,General Belgrano,001,0007 ,0096,346,2,3,2,6,12,49,37,68,34,31
10,General Belgrano,001,0007 ,0097,346,3,4,3,4,12,42,30,79,26,29
10,General Belgrano,001,0007 ,0098,345,7,8,8,5,9,53,26,90,16,19
10,General Belgrano,001,0007 ,0099,346,7,6,5,7,8,75,23,90,28,24
10,General Belgrano,001,0007 ,0100,347,6,6,3,6,7,55,25,89,17,30
10,General Belgrano,001,0007 ,0101,346,5,5,1,5,6,73,31,78,23,29
10,General Belgrano,001,0007 ,0102,344,6,6,6,8,11,55,24,89,18,24
10,General Belgrano,001,0007 ,0103,347,6,4,0,12,15,48,31,86,20,30
10,General Belgrano,001,0007 ,0104,347,3,6,4,6,13,47,38,87,25,31
10,General Belgrano,001,0007 ,0105,345,8,7,7,5,9,65,31,74,23,38
10,General Belgrano,001,0007 ,0106,346,8,16,4,12,9,39,28,72,24,30
10,General Belgrano,001,0007 ,0107,348,4,8,2,3,13,62,24,82,24,33
10,General Belgrano,001,0007 ,0108,346,4,2,0,2,7,65,32,85,26,32
10,General Belgrano,001,0007 ,0109,346,3,9,6,7,9,56,31,73,20,20
10,General Belgrano,001,0007 ,0110,345,3,3,2,8,13,46,29,97,26,26
10,General Belgrano,001,0007 ,0111,346,4,7,0,4,16,66,26,83,24,36
10,General Belgrano,001,0007 ,0112,345,3,5,2,9,13,46,37,85,25,30
10,General Belgrano,001,0007 ,0113,345,4,9,3,3,4,46,19,95,37,30
10,General Belgrano,001,0007 ,0114,347,8,4,3,4,13,58,27,84,15,40
10,General Belgrano,001,0007 ,0115,347,10,1,5,6,15,51,35,70,32,26
10,General Belgrano,001,0007 ,0116,346,4,5,7,5,15,44,42,84,18,41
10,General Belgrano,001,0007 ,0117,346,8,7,5,10,7,52,31,99,14,35
10,General Belgrano,001,0007 ,0118,346,4,3,3,7,14,49,40,83,24,38
10,General Belgrano,001,0007 ,0119,344,6,4,3,7,10,54,28,76,30,34
10,General Belgrano,001,0007 ,0120,347,1,4,1,4,15,57,29,87,33,29
10,General Belgrano,001,0007 ,0121,347,1,8,6,8,14,47,44,84,17,34
10,General Belgrano,001,0007 ,0122,344,4,5,6,11,14,40,35,95,25,23
10,General Belgrano,001,0007 ,0123,345,9,4,4,4,10,42,40,84,32,27
10,General Belgrano,001,0007 ,0124,345,3,7,0,4,12,53,32,91,26,25
10,General Belgrano,001,0007 ,0125,344,3,3,7,10,7,50,46,80,27,27
10,General Belgrano,001,0007 ,0126,342,2,0,4,8,10,45,27,92,22,26
10,General Belgrano,001,0007 ,0127,345,5,5,3,7,14,52,31,93,28,18
10,General Belgrano,001,0007 ,0128,346,2,3,4,6,16,49,25,84,23,43
10,General Belgrano,001,0007 ,0129,345,1,0,5,10,5,59,35,74,27,31
10,General Belgrano,001,0007 ,0130,344,2,10,3,9,9,55,40,85,22,27
10,General Belgrano,001,0007 ,0131,347,7,4,3,6,9,35,36,103,26,39
10,General Belgrano,001,0007 ,0132,345,4,5,0,11,15,38,38,78,27,29
10,General Belgrano,001,0007 ,0133,345,10,7,6,8,7,55,41,65,26,24
10,General Belgrano,001,0007 ,0134,344,4,4,1,3,16,55,33,96,22,25
10,General Belgrano,001,0007 ,0135,344,6,7,3,8,15,56,29,104,18,25
10,General Belgrano,001,0007 ,0136,342,6,10,0,3,11,44,33,64,37,39
10,General Belgrano,001,0007 ,0137,345,5,4,3,8,8,56,28,102,27,28
10,General Belgrano,001,0007 ,0138,345,5,7,6,8,16,44,22,106,14,24
10,General Belgrano,001,0007 ,0139,343,4,10,4,4,13,57,27,77,28,27
10,General Belgrano,001,0007 ,0140,345,4,5,2,8,19,71,24,91,19,22
10,General Belgrano,001,0007 ,0141,345,3,6,6,5,13,64,26,80,19,19
10,General Belgrano,001,0007 ,0142,345,0,5,7,7,11,56,25,80,33,30
10,General Belgrano,001,0007 ,0143,343,3,6,7,5,10,55,35,66,29,37
10,General Belgrano,001,0007 ,0144,345,5,0,5,8,3,46,25,90,43,26
10,General Belgrano,001,0007 ,0145,345,5,4,1,25,8,54,23,74,25,31
10,General Belgrano,001,0007 ,0146,344,3,6,3,2,16,58,25,84,19,18
10,General Belgrano,001,0007 ,0147,343,10,11,5,12,7,53,31,65,37,27
10,General Belgrano,001,0007 ,0148,345,5,7,3,7,12,63,29,82,19,29
10,General Belgrano,001,0007 ,0149,344,2,8,2,3,11,45,22,91,33,42
10,General Belgrano,001,0007 ,0150,345,3,5,1,7,15,42,44,74,38,27
10,General Belgrano,001,0007 ,0151,345,4,8,0,7,10,46,31,93,26,28
10,General Belgrano,001,0007 ,0152,345,5,7,4,5,11,51,27,83,24,35
10,General Belgrano,001,0007 ,0153,344,4,20,7,13,7,48,34,72,24,32
10,General Belgrano,001,0007 ,0154,345,8,3,3,6,7,66,24,82,26,36
10,General Belgrano,001,0007 ,0155,346,8,5,8,22,3,50,14,91,31,4
10,General Belgrano,001,0007 ,0156,345,2,8,2,3,12,44,24,93,34,29
10,General Belgrano,001,0007 ,0157,343,10,4,1,6,15,70,36,77,28,25
10,General Belgrano,001,0007 ,0158,345,6,9,1,2,22,62,27,71,28,33
10,General Belgrano,001,0007 ,0159,345,2,5,1,4,10,55,50,88,29,32
10,General Belgrano,001,0007 ,0160,344,8,4,4,7,6,47,32,82,32,31
10,General Belgrano,001,0007 ,0161,345,6,7,6,7,10,54,46,72,29,24
10,General Belgrano,001,0007 ,0162,345,6,5,5,2,8,45,22,88,28,35
10,General Belgrano,001,0008 ,0163,348,8,4,6,7,13,52,25,97,29,24
10,General Belgrano,001,0008 ,0164,348,5,4,5,6,15,51,26,75,39,28
10,General Belgrano,001,0008 ,0165,349,6,7,6,5,6,61,28,88,36,22
10,General Belgrano,001,0008 ,0166,349,3,3,4,5,8,51,26,98,42,32
10,General Belgrano,001,0008 ,0167,348,6,6,3,8,11,57,32,74,31,30
10,General Belgrano,001,0008 ,0168,348,6,8,2,12,11,50,30,72,26,38
10,General Belgrano,001,0008 ,0169,348,9,10,3,4,16,68,28,77,19,30
10,General Belgrano,001,0008 ,0170,348,4,4,3,8,16,45,27,84,42,38
10,General Belgrano,001,0008 ,0171,348,5,8,4,6,10,55,25,87,29,29
10,General Belgrano,001,0008 ,0172,348,10,9,5,8,8,51,18,84,35,26
10,General Belgrano,001,0008 ,0173,347,5,6,2,11,10,64,18,81,29,36
10,General Belgrano,001,0008 ,0174,348,4,3,1,8,7,62,31,80,30,40
10,General Belgrano,001,0008 ,0175,348,6,11,3,9,8,46,18,97,27,25
10,General Belgrano,001,0008 ,0176,348,6,7,2,11,14,54,23,83,24,30
10,General Belgrano,001,0008 ,0177,348,3,6,2,5,15,51,25,84,23,29
10,General Belgrano,001,0008 ,0178,347,9,7,5,8,13,52,25,76,27,40
10,General Belgrano,001,0008 ,0179,348,4,5,0,9,9,45,33,94,32,30
10,General Belgrano,001,0008 ,0180,348,9,6,3,4,14,34,35,88,21,24
10,General Belgrano,001,0008 ,0181,349,6,5,2,4,11,59,25,77,32,37
10,General Belgrano,001,0008 ,0182,348,9,9,5,9,15,53,24,74,29,28
10,General Belgrano,001,0008 ,0183,348,3,1,4,5,10,41,28,98,40,33
10,General Belgrano,001,0008 ,0184,349,7,5,8,5,9,53,32,76,19,35
10,General Belgrano,001,0008 ,0185,349,2,5,3,5,9,38,38,96,31,29
10,General Belgrano,001,0008 ,0186,348,6,9,2,4,6,49,28,86,35,30
10,General Belgrano,001,0008 ,0187,348,4,3,4,6,11,42,28,108,30,19
10,General Belgrano,001,0008 ,0188,347,6,3,4,8,8,53,24,94,31,25
10,General Belgrano,001,0008 ,0189,347,4,12,3,3,9,42,33,90,35,26
10,General Belgrano,001,0008 ,0190,345,3,4,1,5,21,51,32,78,30,30
10,General Belgrano,001,0008 ,0191,347,8,8,0,7,10,42,30,96,24,27
10,General Belgrano,001,0008 ,0192,348,5,9,3,1,8,64,30,93,29,18
10,General Belgrano,001,0008 ,0193,348,4,6,1,5,7,59,30,88,32,27
10,General Belgrano,001,0008 ,0194,349,3,8,3,0,10,65,28,86,42,28
10,General Belgrano,001,0008 ,0195,347,13,6,3,7,12,57,29,81,31,18
10,General Belgrano,001,0008 ,0196,348,4,13,6,5,12,46,27,78,39,27
10,General Belgrano,001,0008 ,0197,349,3,3,2,6,17,48,32,99,29,24
10,General Belgrano,001,0008 ,0198,348,2,9,4,6,11,52,26,87,36,26
10,General Belgrano,001,0008 ,0199,348,3,10,3,7,10,42,24,98,34,31
10,General Belgrano,001,0008 ,0200,348,3,0,2,68,14,53,33,93,26,19
10,General Belgrano,001,0008 ,0201,346,6,8,2,4,13,62,29,89,19,24
10,General Belgrano,001,0008 ,0202,346,11,0,4,9,16,61,27,77,27,19
10,General Belgrano,001,0008 ,0203,347,3,5,3,5,16,62,29,75,34,33
10,General Belgrano,001,0008 ,0204,347,3,8,1,10,14,59,27,83,27,27
10,General Belgrano,001,0008 ,0205,348,2,3,1,6,15,57,39,88,24,36
10,General Belgrano,001,0008 ,0206,347,3,11,2,6,10,51,18,84,41,26
10,General Belgrano,001,0008 ,0207,348,6,7,1,3,8,47,27,95,34,23
10,General Belgrano,001,0008 ,0208,348,5,10,1,6,4,43,31,94,39,27
10,General Belgrano,001,0008 ,0209,348,4,6,3,5,14,54,27,83,28,27
10,General Belgrano,001,0008 ,0210,350,9,6,2,3,16,52,28,105,29,21
10,General Belgrano,001,0008 ,0211,348,11,15,4,8,13,60,16,80,30,23
10,General Belgrano,001,0008 ,0212,346,1,4,3,7,23,51,26,73,35,27
10,General Belgrano,001,0008 ,0213,348,2,7,4,5,7,36,45,100,27,27
10,General Belgrano,001,0008 ,0214,348,3,11,4,7,8,58,32,73,28,39
10,General Belgrano,001,0008 ,0215,348,3,6,4,5,14,58,31,87,25,32
10,General Belgrano,001,0008 ,0216,348,6,5,4,5,8,59,17,71,32,30
10,General Belgrano,001,0008 ,0217,348,7,0,2,7,14,43,31,96,26,22
10,General Belgrano,001,0008 ,0218,347,5,6,2,7,10,42,27,78,41,25
10,General Belgrano,001,0008 ,0219,346,6,5,1,6,10,60,27,78,35,32
10,General Belgrano,001,0008 ,0220,346,3,2,2,5,14,54,21,80,32,35
10,General Belgrano,001,0008 ,0221,348,8,11,0,7,17,42,25,83,31,42
10,General Belgrano,001,0008 ,0222,347,3,4,7,7,9,63,16,76,30,34
10,General Belgrano,001,0008 ,0223,347,6,3,10,6,10,47,32,86,26,31
10,General Belgrano,001,0008 ,0224,348,7,10,2,7,5,41,30,82,34,39
10,General Belgrano,001,0008 ,0225,347,3,8,3,6,11,54,29,86,31,25
10,General Belgrano,001,0008 ,0226,346,6,7,6,7,9,62,33,81,40,24
10,General Belgrano,001,0008 ,0227,346,3,7,3,3,11,45,26,92,32,27
10,General Belgrano,001,0008 ,0228,347,7,4,4,2,14,50,37,99,31,18
10,General Belgrano,001,0008 ,0229,347,6,5,3,7,9,57,30,73,24,26
10,General Belgrano,001,0008 ,0230,348,4,6,1,7,11,48,27,86,29,34
10,General Belgrano,001,0008 ,0231,349,6,6,5,9,14,46,30,78,32,22
10,General Belgrano,001,0008 ,0232,346,4,3,2,7,7,42,43,90,34,27
10,General Belgrano,001,0008 ,0233,348,4,9,9,9,6,52,21,85,38,38
10,General Belgrano,001,0008 ,0234,346,4,10,3,3,11,43,29,102,33,24
10,General Belgrano,001,0009 ,0235,193,2,1,2,3,5,25,27,41,19,16
10,General Belgrano,001,0009 ,0236,191,3,4,0,2,5,24,12,58,10,17
10,General Belgrano,001,0010A,0237,349,8,5,3,4,11,45,36,91,23,34
10,General Belgrano,001,0010A,0238,350,3,15,1,7,9,53,39,79,27,12
10,General Belgrano,001,0010A,0239,350,5,6,1,5,9,63,30,80,36,28
10,General Belgrano,001,0010A,0240,350,5,7,4,3,18,39,35,98,26,37
10,General Belgrano,001,0010A,0241,350,4,1,1,3,17,60,35,71,25,39
10,General Belgrano,001,0010A,0242,350,11,14,3,7,13,50,30,79,31,20
10,General Belgrano,001,0010A,0243,349,3,7,2,6,12,62,40,90,23,22
10,General Belgrano,001,0010A,0244,350,4,5,2,6,14,69,23,92,28,20
10,General Belgrano,001,0010A,0245,350,11,6,2,7,15,39,41,97,32,24
10,General Belgrano,001,0010A,0246,349,2,3,5,6,13,52,27,97,28,23
10,General Belgrano,001,0010A,0247,347,6,7,7,6,20,65,25,87,20,27
10,General Belgrano,001,0010A,0248,350,6,6,6,8,25,52,19,77,39,22
10,General Belgrano,001,0010A,0249,349,6,4,0,8,8,59,24,98,25,41
10,General Belgrano,001,0010A,0250,349,3,6,3,5,13,52,29,70,21,27
10,General Belgrano,001,0010A,0251,351,1,9,2,6,12,52,31,79,36,42
10,General Belgrano,001,0010A,0252,349,3,17,0,4,14,51,28,84,30,28
10,General Belgrano,001,0010A,0253,349,5,10,3,10,12,50,15,106,24,23
10,General Belgrano,001,0010A,0254,348,5,7,4,8,15,45,32,94,25,23
10,General Belgrano,001,0010A,0255,349,5,5,3,4,11,44,45,78,37,28
10,General Belgrano,001,0010A,0256,350,0,11,8,6,12,54,37,86,17,34
10,General Belgrano,001,0010A,0257,349,3,8,2,1,24,58,54,78,18,28
10,General Belgrano,001,0010A,0258,348,7,12,1,2,12,47,26,83,26,29
10,General Belgrano,001,0010A,0259,349,10,5,2,6,14,37,38,78,26,31
10,General Belgrano,001,0010A,0260,350,5,9,5,9,12,57,40,70,31,22
10,General Belgrano,001,0010A,0261,350,33,11,2,4,16,70,30,90,24,29
10,General Belgrano,001,0010A,0262,351,5,8,2,12,15,46,36,84,24,28
10,General Belgrano,001,0010A,0263,350,6,5,2,7,19,53,27,81,26,25
10,General Belgrano,001,0010A,0264,351,9,19,2,8,12,39,32,94,34,16
10,General Belgrano,001,0010A,0265,348,3,3,2,9,9,51,45,88,27,23
