codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0014,0022,0038,0045,0101,0111,0281,0505,0506,0507
10,General Belgrano                        ,001,0001 ,0001,381,0,0,5,5,6,1,99,4,2,36,17,69
10,General Belgrano                        ,001,0001 ,0002,381,0,0,5,3,6,3,106,3,1,15,20,87
10,General Belgrano                        ,001,0001 ,0003,380,5,7,9,9,3,5,101,1,2,36,15,74
10,General Belgrano                        ,001,0001 ,0004,380,4,5,5,6,2,3,115,2,2,19,12,69
10,General Belgrano                        ,001,0001 ,0005,380,4,11,1,3,3,4,95,1,0,36,21,71
10,General Belgrano                        ,001,0001 ,0006,380,4,10,0,10,6,2,102,5,2,26,14,74
10,General Belgrano                        ,001,0001 ,0007,380,25,0,2,8,4,2,104,1,1,22,25,74
10,General Belgrano                        ,001,0001 ,0582,393,10,4,7,7,12,4,99,6,0,23,14,73
10,General Belgrano                        ,001,0001 ,0583,393,20,10,3,5,5,4,94,4,3,23,19,72
10,General Belgrano                        ,001,0001 ,0584,393,3,6,6,9,8,3,86,3,1,29,11,64
10,General Belgrano                        ,001,0001 ,0585,393,26,6,6,5,5,3,93,1,1,26,16,67
10,General Belgrano                        ,001,0001 ,0586,393,19,3,5,4,2,3,108,1,2,21,18,78
10,General Belgrano                        ,001,0001 ,0587,393,17,11,4,5,7,2,99,2,0,15,19,69
10,General Belgrano                        ,001,0002 ,0008,361,21,9,4,3,2,3,42,1,6,54,16,75
10,General Belgrano                        ,001,0002 ,0009,361,28,5,1,7,3,2,33,0,5,35,19,99
10,General Belgrano                        ,001,0002 ,0010,361,8,5,4,6,2,2,57,1,4,47,13,64
10,General Belgrano                        ,001,0002 ,0011,360,26,10,1,8,3,3,53,2,5,34,19,78
10,General Belgrano                        ,001,0002 ,0588,389,10,7,4,4,3,0,52,4,1,45,27,78
10,General Belgrano                        ,001,0002 ,0589,389,9,9,3,5,4,3,55,4,3,51,17,76
10,General Belgrano                        ,001,0002 ,0590,389,31,0,5,6,3,0,50,1,1,45,37,61
10,General Belgrano                        ,001,0003 ,0012,335,4,7,0,4,3,2,51,4,1,45,12,68
10,General Belgrano                        ,001,0003 ,0013,335,0,0,3,4,0,0,56,2,2,58,21,64
10,General Belgrano                        ,001,0003 ,0014,334,6,9,2,12,2,2,45,2,4,42,15,69
10,General Belgrano                        ,001,0003 ,0015,334,0,0,2,6,0,1,50,5,3,48,20,66
10,General Belgrano                        ,001,0003 ,0016,334,7,3,5,8,1,1,51,1,1,52,12,78
10,General Belgrano                        ,001,0003 ,0591,331,18,9,5,4,5,2,51,3,4,42,16,59
10,General Belgrano                        ,001,0003 ,0592,331,17,2,4,5,0,3,56,5,1,38,12,64
10,General Belgrano                        ,001,0003 ,0593,331,0,0,1,4,3,3,57,4,2,44,16,50
10,General Belgrano                        ,001,0003 ,0594,330,0,0,1,5,2,2,51,1,1,38,22,58
10,General Belgrano                        ,001,0004 ,0017,396,0,0,1,9,1,3,112,1,1,27,14,102
10,General Belgrano                        ,001,0004 ,0018,396,0,0,6,7,2,6,129,4,1,12,19,97
10,General Belgrano                        ,001,0004 ,0019,396,0,0,2,7,1,5,141,2,1,12,23,96
10,General Belgrano                        ,001,0004 ,0020,396,0,0,2,5,4,5,130,3,1,11,13,85
10,General Belgrano                        ,001,0004 ,0021,396,4,2,8,10,6,5,121,2,1,19,14,83
10,General Belgrano                        ,001,0004 ,0022,396,0,0,7,6,5,3,121,1,6,20,22,92
10,General Belgrano                        ,001,0004 ,0023,396,2,3,5,3,5,7,128,2,1,9,17,106
10,General Belgrano                        ,001,0004 ,0595,372,4,5,5,4,4,5,105,5,1,11,11,56
10,General Belgrano                        ,001,0004 ,0596,372,0,0,7,3,5,4,106,5,1,7,17,64
10,General Belgrano                        ,001,0004 ,0597,372,24,4,2,12,3,5,88,1,2,12,15,84
10,General Belgrano                        ,001,0004 ,0598,372,23,6,5,9,3,2,96,6,2,16,8,65
10,General Belgrano                        ,001,0004 ,0599,371,0,0,5,5,5,4,103,1,2,10,17,63
10,General Belgrano                        ,001,0004 ,0600,371,28,10,3,4,3,3,100,3,3,7,10,59
10,General Belgrano                        ,001,0004 ,0601,371,18,0,7,5,6,3,95,4,1,5,17,66
10,General Belgrano                        ,001,0005 ,0024,400,11,5,4,1,6,4,91,6,0,47,13,86
10,General Belgrano                        ,001,0005 ,0025,399,37,4,6,10,2,2,96,5,1,42,13,78
10,General Belgrano                        ,001,0005 ,0026,399,0,0,1,5,3,3,87,7,3,52,14,80
10,General Belgrano                        ,001,0005 ,0027,399,0,0,3,3,3,1,85,4,4,43,17,91
10,General Belgrano                        ,001,0005 ,0028,399,0,0,7,11,4,0,91,2,5,41,6,105
10,General Belgrano                        ,001,0005 ,0602,365,7,5,5,4,5,4,78,4,3,35,18,58
10,General Belgrano                        ,001,0005 ,0603,365,0,0,4,3,4,0,90,1,4,26,20,68
10,General Belgrano                        ,001,0005 ,0604,364,0,2,2,10,3,4,77,4,3,43,14,73
10,General Belgrano                        ,001,0005 ,0605,364,12,3,5,5,5,1,64,7,7,40,20,64
10,General Belgrano                        ,001,0005 ,0606,364,9,5,3,3,8,2,84,4,2,38,21,59
10,General Belgrano                        ,001,0006 ,0029,387,26,5,8,6,4,5,83,5,2,46,27,88
10,General Belgrano                        ,001,0006 ,0030,387,0,0,5,8,2,3,84,3,4,43,19,66
10,General Belgrano                        ,001,0006 ,0031,387,26,4,2,10,11,5,90,2,0,31,29,85
10,General Belgrano                        ,001,0006 ,0032,387,4,7,3,10,3,1,80,6,2,46,25,70
10,General Belgrano                        ,001,0006 ,0033,387,0,0,2,4,8,2,84,8,3,48,13,91
10,General Belgrano                        ,001,0006 ,0034,387,24,0,1,11,0,3,73,3,3,40,26,89
10,General Belgrano                        ,001,0006 ,0035,386,32,6,2,6,0,3,105,1,5,48,14,54
10,General Belgrano                        ,001,0006 ,0036,386,20,8,2,9,3,2,83,3,1,39,19,84
10,General Belgrano                        ,001,0006 ,0037,386,15,7,4,6,6,1,83,3,3,42,14,77
10,General Belgrano                        ,001,0006 ,0607,368,9,8,3,7,5,4,83,0,3,35,29,59
10,General Belgrano                        ,001,0006 ,0608,368,20,7,1,4,3,1,73,3,6,41,23,67
10,General Belgrano                        ,001,0006 ,0609,368,0,0,4,3,3,6,55,6,3,39,15,56
10,General Belgrano                        ,001,0006 ,0610,368,4,8,8,7,3,1,65,7,2,34,20,76
10,General Belgrano                        ,001,0006 ,0611,368,28,17,4,5,5,4,78,0,2,33,14,70
10,General Belgrano                        ,001,0006 ,0612,368,17,11,8,4,3,1,67,2,1,33,25,73
10,General Belgrano                        ,001,0006 ,0613,367,27,4,5,8,5,2,74,3,0,44,19,61
10,General Belgrano                        ,001,0006 ,0614,367,7,8,3,7,8,3,75,5,4,31,25,65
10,General Belgrano                        ,001,0007 ,0038,397,13,5,9,3,7,4,118,7,6,16,15,91
10,General Belgrano                        ,001,0007 ,0039,397,25,9,9,5,1,4,124,3,1,22,13,81
10,General Belgrano                        ,001,0007 ,0040,396,0,0,7,11,5,2,133,2,3,19,22,79
10,General Belgrano                        ,001,0007 ,0041,396,23,9,2,9,9,0,109,3,2,13,15,93
10,General Belgrano                        ,001,0007 ,0042,396,0,0,3,8,8,3,139,5,7,10,22,80
10,General Belgrano                        ,001,0007 ,0043,396,0,0,5,5,9,2,135,6,2,20,8,80
10,General Belgrano                        ,001,0007 ,0044,396,0,0,4,8,5,5,116,3,2,22,16,95
10,General Belgrano                        ,001,0007 ,0045,396,0,0,2,6,6,3,115,3,1,10,16,88
10,General Belgrano                        ,001,0007 ,0046,396,25,9,2,3,9,2,114,0,2,26,13,87
10,General Belgrano                        ,001,0007 ,0047,396,19,9,8,2,4,1,100,5,2,18,23,100
10,General Belgrano                        ,001,0007 ,0048,396,2,4,2,5,3,3,128,2,2,25,19,74
10,General Belgrano                        ,001,0007 ,0049,396,6,2,5,5,4,4,122,4,4,21,20,94
10,General Belgrano                        ,001,0007 ,0050,396,0,0,6,10,9,6,123,6,4,19,23,65
10,General Belgrano                        ,001,0007 ,0051,396,0,0,5,8,3,6,128,5,3,14,26,81
10,General Belgrano                        ,001,0007 ,0052,396,4,0,5,5,2,3,136,4,1,20,15,91
10,General Belgrano                        ,001,0007 ,0053,396,6,5,5,1,11,3,103,3,7,24,19,97
10,General Belgrano                        ,001,0007 ,0054,396,21,10,4,7,13,5,112,5,1,16,15,85
10,General Belgrano                        ,001,0007 ,0055,396,8,9,4,9,6,2,124,3,5,15,16,91
10,General Belgrano                        ,001,0007 ,0056,396,18,10,2,8,4,4,122,5,2,24,14,83
10,General Belgrano                        ,001,0007 ,0057,396,0,0,2,8,5,2,93,6,3,26,22,99
10,General Belgrano                        ,001,0007 ,0058,396,0,0,5,3,2,2,137,3,2,25,24,81
10,General Belgrano                        ,001,0007 ,0059,396,6,10,4,14,7,3,116,3,4,21,12,87
