codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0038,0210,0503,0545,0546,0558
10,General Belgrano,001,0001 ,0001,325,3,1,0,3,37,100,46,14
10,General Belgrano,001,0001 ,0002,325,32,5,2,1,50,98,45,24
10,General Belgrano,001,0001 ,0003,325,0,0,2,0,54,88,43,19
10,General Belgrano,001,0001 ,0004,325,39,3,0,1,54,90,0,24
10,General Belgrano,001,0001 ,0005,325,39,0,5,1,54,85,29,27
10,General Belgrano,001,0001 ,0006,325,35,7,1,2,57,90,43,20
10,General Belgrano,001,0001 ,0007,325,47,5,2,2,49,98,56,10
10,General Belgrano,001,0001 ,0008,325,26,5,1,1,52,96,51,15
10,General Belgrano,001,0001 ,0009,324,34,6,6,1,43,100,5,10
10,General Belgrano,001,0001 ,0010,324,1,8,1,2,52,85,40,29
10,General Belgrano,001,0001 ,0011,324,30,3,3,1,37,119,43,18
10,General Belgrano,001,0001 ,0012,324,34,0,2,1,49,91,51,17
10,General Belgrano,001,0001 ,0013,324,37,7,0,0,51,89,45,18
10,General Belgrano,001,0001 ,0014,324,39,0,0,1,51,99,43,16
10,General Belgrano,001,0001 ,0015,324,39,3,1,4,51,94,32,13
10,General Belgrano,001,0001 ,0016,324,27,7,3,2,37,99,47,15
10,General Belgrano,001,0001 ,0017,324,44,3,1,2,44,95,37,20
10,General Belgrano,001,0001 ,0018,324,34,1,1,0,57,98,40,17
10,General Belgrano,001,0001 ,0019,324,38,4,2,1,51,92,48,16
10,General Belgrano,001,0001 ,0020,324,50,6,2,1,44,89,40,16
10,General Belgrano,001,0001 ,0021,324,31,6,2,1,44,85,44,20
10,General Belgrano,001,0001 ,0022,324,31,2,1,2,57,102,33,14
10,General Belgrano,001,0002 ,0023,307,19,3,2,0,31,152,23,8
10,General Belgrano,001,0002 ,0024,306,19,1,2,3,27,153,23,16
10,General Belgrano,001,0002 ,0025,307,12,1,1,2,23,147,24,15
10,General Belgrano,001,0002 ,0026,307,20,1,1,1,17,157,27,10
10,General Belgrano,001,0002 ,0027,307,10,3,0,0,28,143,27,10
10,General Belgrano,001,0002 ,0028,307,22,1,3,0,17,158,18,10
10,General Belgrano,001,0002 ,0029,307,19,1,0,1,25,144,27,14
10,General Belgrano,001,0003 ,0030,324,1,3,1,2,20,160,20,7
10,General Belgrano,001,0003 ,0031,324,2,3,1,3,25,160,14,12
10,General Belgrano,001,0003 ,0032,324,14,3,0,0,20,155,27,13
10,General Belgrano,001,0003 ,0033,324,12,2,1,1,32,162,19,8
10,General Belgrano,001,0003 ,0034,324,15,1,1,0,22,141,34,14
10,General Belgrano,001,0003 ,0035,323,22,5,0,2,28,155,19,8
10,General Belgrano,001,0003 ,0036,323,21,2,0,1,21,146,18,13
10,General Belgrano,001,0003 ,0037,323,19,0,3,3,22,160,15,9
10,General Belgrano,001,0004 ,0038,316,37,2,3,1,73,76,35,18
10,General Belgrano,001,0004 ,0039,316,34,0,0,2,58,112,48,5
10,General Belgrano,001,0004 ,0040,316,31,2,4,2,59,93,35,14
10,General Belgrano,001,0004 ,0041,315,34,10,3,0,42,92,44,15
10,General Belgrano,001,0004 ,0042,315,26,4,1,1,81,99,25,7
10,General Belgrano,001,0004 ,0043,315,35,3,1,0,72,97,37,6
10,General Belgrano,001,0004 ,0044,315,39,4,2,1,42,114,41,9
10,General Belgrano,001,0004 ,0045,315,37,9,3,2,52,103,38,9
10,General Belgrano,001,0004 ,0046,315,1,3,3,0,55,94,48,13
10,General Belgrano,001,0004 ,0047,315,29,3,0,1,65,97,40,12
10,General Belgrano,001,0004 ,0048,315,27,5,5,0,69,86,58,11
10,General Belgrano,001,0004 ,0049,315,23,9,0,0,69,77,43,15
10,General Belgrano,001,0004 ,0050,315,46,4,1,1,52,95,41,16
10,General Belgrano,001,0004 ,0051,315,40,0,4,1,61,82,44,15
10,General Belgrano,001,0004 ,0052,315,22,0,3,1,68,106,35,16
10,General Belgrano,001,0004 ,0053,315,34,6,2,2,60,83,50,10
10,General Belgrano,001,0004 ,0054,315,39,2,2,1,50,99,38,9
10,General Belgrano,001,0004 ,0055,315,23,8,1,1,41,126,40,13
10,General Belgrano,001,0004 ,0056,315,24,17,1,3,38,108,30,11
10,General Belgrano,001,0004 ,0057,315,27,4,2,0,48,102,38,16
10,General Belgrano,001,0005 ,0058,314,28,3,1,1,36,132,33,19
10,General Belgrano,001,0005 ,0059,314,31,8,3,0,27,165,22,9
10,General Belgrano,001,0005 ,0060,314,26,0,2,2,40,142,23,12
10,General Belgrano,001,0005 ,0061,314,24,1,0,3,40,139,30,14
10,General Belgrano,001,0005 ,0062,314,29,8,1,0,43,110,41,16
10,General Belgrano,001,0005 ,0063,314,0,0,0,0,0,0,0,0
10,General Belgrano,001,0005 ,0064,314,27,2,1,1,28,145,25,4
10,General Belgrano,001,0005 ,0065,314,24,2,3,2,34,133,26,16
10,General Belgrano,001,0005 ,0066,314,23,3,1,0,37,141,17,14
10,General Belgrano,001,0005 ,0067,314,21,5,2,0,46,109,40,14
10,General Belgrano,001,0005 ,0068,314,19,5,2,0,33,143,23,10
10,General Belgrano,001,0005 ,0069,314,13,4,0,0,33,141,30,10
10,General Belgrano,001,0005 ,0070,314,15,6,3,4,41,126,31,9
10,General Belgrano,001,0005 ,0071,314,25,3,0,1,36,147,14,11
10,General Belgrano,001,0005 ,0072,313,19,3,1,1,35,134,37,10
10,General Belgrano,001,0005 ,0073,313,22,3,2,0,42,123,38,15
10,General Belgrano,001,0006 ,0074,327,14,1,3,1,39,161,32,7
10,General Belgrano,001,0006 ,0075,327,25,2,2,1,40,137,34,19
10,General Belgrano,001,0006 ,0076,327,22,2,3,3,28,155,35,11
10,General Belgrano,001,0006 ,0077,327,20,3,4,0,38,156,17,9
10,General Belgrano,001,0006 ,0078,327,22,2,1,0,33,131,33,14
10,General Belgrano,001,0006 ,0079,326,22,2,1,5,48,143,37,9
10,General Belgrano,001,0006 ,0080,326,20,4,1,0,38,137,24,13
10,General Belgrano,001,0006 ,0081,325,22,3,3,3,29,133,32,22
