codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0063,0131,0135,0137,0527
13,Capital,001,0001 ,0001,347,7,1,2,26,141,46,23
13,Capital,001,0001 ,0002,347,13,2,4,48,140,44,26
13,Capital,001,0001 ,0003,347,6,4,3,40,171,24,31
13,Capital,001,0001 ,0004,347,9,1,4,41,157,36,27
13,Capital,001,0001 ,0005,347,14,0,4,48,140,32,26
13,Capital,001,0001 ,0006,347,10,5,5,30,158,29,25
13,Capital,001,0001 ,0007,347,18,4,7,37,134,41,26
13,Capital,001,0001 ,0008,347,16,2,6,39,140,50,19
13,Capital,001,0001 ,0009,347,11,2,8,64,142,33,27
13,Capital,001,0001 ,0010,347,10,3,2,47,147,35,27
13,Capital,001,0001 ,0011,347,9,0,6,62,137,37,21
13,Capital,001,0001 ,0012,346,10,3,6,34,146,34,34
13,Capital,001,0002 ,0013,301,0,0,5,25,135,16,24
13,Capital,001,0002 ,0014,302,11,2,2,36,120,23,26
13,Capital,001,0002 ,0015,302,7,3,3,32,124,28,21
13,Capital,001,0002 ,0016,301,13,0,1,33,164,21,16
13,Capital,001,0002 ,0017,301,15,2,7,27,120,30,22
13,Capital,001,0002 ,0018,302,14,3,4,28,138,28,14
13,Capital,001,0002 ,0019,301,12,0,5,22,137,31,14
13,Capital,001,0003 ,0020,318,6,0,3,28,142,19,18
13,Capital,001,0003 ,0021,319,8,4,1,36,167,17,9
13,Capital,001,0003 ,0022,318,10,3,3,22,147,28,16
13,Capital,001,0003 ,0023,318,5,1,4,27,138,33,24
13,Capital,001,0003 ,0024,318,10,0,1,34,165,17,20
13,Capital,001,0004 ,0025,310,6,0,4,25,155,20,15
13,Capital,001,0004 ,0026,309,12,1,2,31,147,21,14
13,Capital,001,0004 ,0027,309,5,0,4,17,160,20,13
13,Capital,001,0004 ,0028,309,0,2,1,24,160,9,18
13,Capital,001,0004 ,0029,309,1,0,2,25,159,14,18
13,Capital,001,0004 ,0030,309,13,3,3,21,144,20,20
13,Capital,001,0004 ,0031,309,11,3,1,19,161,19,20
13,Capital,001,0004 ,0032,309,11,0,3,22,151,12,10
