codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0006,0502,0503,0562
13,Capital,001,0001 ,0001,344,1,2,57,140,22,23
13,Capital,001,0001 ,0002,343,1,2,48,144,28,42
13,Capital,001,0001 ,0003,343,1,2,56,158,26,22
13,Capital,001,0001 ,0004,343,2,4,53,141,31,23
13,Capital,001,0001 ,0005,343,1,3,54,151,29,28
13,Capital,001,0001 ,0006,343,3,6,50,148,25,20
13,Capital,001,0001 ,0007,343,1,9,42,144,26,34
13,Capital,001,0001 ,0008,343,0,2,42,140,26,40
13,Capital,001,0001 ,0009,343,0,4,44,132,34,45
13,Capital,001,0001 ,0010,343,4,2,51,139,29,33
13,Capital,001,0001 ,0011,343,2,4,34,141,35,40
13,Capital,001,0001 ,0012,343,0,6,55,128,24,36
13,Capital,001,0002 ,0013,344,1,4,41,154,21,28
13,Capital,001,0002 ,0014,344,2,5,54,130,22,31
13,Capital,001,0002 ,0015,344,0,1,49,164,19,24
13,Capital,001,0002 ,0016,344,4,2,39,165,16,27
13,Capital,001,0002 ,0017,344,4,2,40,151,24,30
13,Capital,001,0002 ,0018,343,7,4,47,142,19,27
13,Capital,001,0003 ,0019,315,5,2,37,135,19,22
13,Capital,001,0003 ,0020,315,3,2,31,151,19,26
13,Capital,001,0003 ,0021,315,3,3,34,146,21,16
13,Capital,001,0003 ,0022,315,1,4,36,146,21,20
13,Capital,001,0003 ,0023,314,3,1,41,151,16,23
13,Capital,001,0004 ,0024,307,4,3,30,154,19,17
13,Capital,001,0004 ,0025,307,4,3,31,151,12,24
13,Capital,001,0004 ,0026,307,4,2,34,165,8,17
13,Capital,001,0004 ,0027,306,6,4,23,158,13,15
13,Capital,001,0004 ,0028,306,4,2,23,156,18,18
13,Capital,001,0004 ,0029,306,6,6,37,144,12,18
13,Capital,001,0004 ,0030,306,3,4,34,149,18,21
13,Capital,001,0004 ,0031,306,5,3,41,120,10,16
13,Capital,001,0005 ,0032,316,5,3,48,132,12,32
13,Capital,001,0005 ,0033,316,3,2,34,146,15,14
13,Capital,001,0005 ,0034,316,5,3,37,143,18,21
13,Capital,001,0005 ,0035,316,1,1,31,157,18,19
13,Capital,001,0005 ,0036,316,3,3,24,144,16,27
13,Capital,001,0005 ,0037,315,0,3,39,153,13,15
13,Capital,001,0005 ,0038,315,0,1,44,162,10,20
13,Capital,001,0005 ,0039,315,1,4,38,135,25,15
13,Capital,001,0005 ,0040,315,0,1,33,158,14,24
13,Capital,001,0005 ,0041,315,3,0,35,166,15,21
13,Capital,001,0006 ,0042,346,5,0,41,0,17,17
13,Capital,001,0006 ,0043,346,8,2,25,174,20,15
13,Capital,001,0006 ,0044,345,0,1,36,189,13,20
13,Capital,001,0006 ,0045,345,7,2,32,160,21,21
13,Capital,001,0006 ,0046,345,3,9,42,159,8,33
13,Capital,001,0006 ,0047,345,0,0,38,170,20,20
13,Capital,001,0006 ,0048,345,5,0,30,188,13,11
13,Capital,001,0006 ,0049,345,2,3,42,169,14,27
13,Capital,001,0006 ,0050,345,4,2,40,168,18,30
13,Capital,001,0006 ,0051,345,6,4,37,180,17,23
13,Capital,001,0006 ,0052,345,7,5,40,177,14,16
13,Capital,001,0006 ,0053,345,3,2,46,166,15,33
13,Capital,001,0006 ,0054,345,4,2,30,187,17,19
13,Capital,001,0007 ,0055,329,4,2,53,153,22,27
13,Capital,001,0007 ,0056,329,3,1,31,183,15,14
13,Capital,001,0007 ,0057,328,4,2,43,155,16,24
13,Capital,001,0007 ,0058,328,3,2,51,140,14,26
13,Capital,001,0007 ,0059,328,2,2,42,162,29,12
13,Capital,001,0007 ,0060,328,1,2,36,158,24,25
13,Capital,001,0007 ,0061,328,0,2,40,169,15,26
13,Capital,001,0007 ,0062,328,1,4,39,161,20,24
13,Capital,001,0007 ,0063,328,4,5,58,153,21,14
13,Capital,001,0008 ,0064,323,2,1,50,142,25,23
13,Capital,001,0008 ,0065,323,6,5,41,131,21,29
13,Capital,001,0008 ,0066,323,3,4,39,152,19,23
13,Capital,001,0008 ,0067,323,4,1,39,146,21,26
13,Capital,001,0008 ,0068,323,3,1,33,169,21,16
13,Capital,001,0008 ,0069,323,11,2,45,127,22,20
13,Capital,001,0008 ,0070,322,0,3,35,163,14,27
13,Capital,001,0009 ,0071,339,1,1,39,153,24,19
13,Capital,001,0009 ,0072,339,3,1,50,147,16,20
13,Capital,001,0009 ,0073,339,3,4,40,146,22,21
13,Capital,001,0009 ,0074,339,4,5,48,118,25,36
13,Capital,001,0009 ,0075,338,7,1,42,132,22,34
13,Capital,001,0009 ,0076,338,1,2,43,136,26,25
13,Capital,001,0010 ,0077,314,4,0,53,112,31,27
13,Capital,001,0010 ,0078,313,1,2,50,128,20,30
