codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0063,0131,0135,0137,0527
13,Capital,001,0001 ,0001,347,7,4,3,28,150,32,22
13,Capital,001,0001 ,0002,347,15,1,5,54,146,31,25
13,Capital,001,0001 ,0003,347,3,4,4,44,175,15,32
13,Capital,001,0001 ,0004,347,7,2,4,41,165,31,25
13,Capital,001,0001 ,0005,347,11,0,5,48,153,22,25
13,Capital,001,0001 ,0006,347,5,5,5,35,170,20,22
13,Capital,001,0001 ,0007,347,17,4,7,37,141,33,28
13,Capital,001,0001 ,0008,347,16,1,6,42,157,32,18
13,Capital,001,0001 ,0009,347,12,3,7,69,148,23,25
13,Capital,001,0001 ,0010,347,10,2,2,51,157,26,23
13,Capital,001,0001 ,0011,347,8,0,5,65,148,24,22
13,Capital,001,0001 ,0012,346,9,3,5,37,151,27,35
13,Capital,001,0002 ,0013,301,0,0,5,26,141,12,23
13,Capital,001,0002 ,0014,302,10,2,2,37,124,19,26
13,Capital,001,0002 ,0015,302,7,3,3,33,136,16,20
13,Capital,001,0002 ,0016,301,13,0,1,34,165,19,16
13,Capital,001,0002 ,0017,301,13,2,7,27,124,29,29
13,Capital,001,0002 ,0018,302,15,3,4,30,142,20,15
13,Capital,001,0002 ,0019,301,9,0,5,23,142,29,13
13,Capital,001,0003 ,0020,318,9,0,3,29,144,16,15
13,Capital,001,0003 ,0021,319,5,4,0,38,169,16,10
13,Capital,001,0003 ,0022,318,8,3,3,24,153,24,14
13,Capital,001,0003 ,0023,318,7,0,3,29,146,22,25
13,Capital,001,0003 ,0024,318,9,0,1,35,167,14,21
13,Capital,001,0004 ,0025,310,2,0,4,28,159,17,15
13,Capital,001,0004 ,0026,309,10,1,1,33,151,17,15
13,Capital,001,0004 ,0027,309,7,0,4,17,163,14,14
13,Capital,001,0004 ,0028,309,0,2,1,26,167,6,18
13,Capital,001,0004 ,0029,309,1,0,2,25,163,9,19
13,Capital,001,0004 ,0030,309,16,3,4,24,144,17,16
13,Capital,001,0004 ,0031,309,11,3,1,23,161,17,18
13,Capital,001,0004 ,0032,309,12,0,4,21,150,11,11
13,Capital,001,0005 ,0033,320,9,1,2,38,153,22,17
13,Capital,001,0005 ,0034,319,9,0,1,17,159,16,18
13,Capital,001,0005 ,0035,319,7,2,1,27,160,20,16
13,Capital,001,0005 ,0036,319,6,1,4,30,165,16,13
13,Capital,001,0005 ,0037,319,1,4,4,30,149,20,20
13,Capital,001,0005 ,0038,318,4,3,3,28,168,15,16
13,Capital,001,0005 ,0039,319,5,0,0,28,171,21,13
13,Capital,001,0005 ,0040,319,6,2,3,29,152,15,28
13,Capital,001,0005 ,0041,319,3,0,2,30,166,23,15
13,Capital,001,0005 ,0042,319,10,0,2,32,167,11,19
13,Capital,001,0006 ,0043,348,8,1,2,21,204,14,21
13,Capital,001,0006 ,0044,348,23,0,2,21,188,14,17
13,Capital,001,0006 ,0045,348,10,0,1,28,186,21,16
13,Capital,001,0006 ,0046,348,1,2,5,32,178,15,11
13,Capital,001,0006 ,0047,348,20,1,6,39,181,8,25
13,Capital,001,0006 ,0048,348,7,2,1,31,180,16,20
13,Capital,001,0006 ,0049,349,10,1,5,19,210,14,20
13,Capital,001,0006 ,0050,347,6,3,3,36,187,14,22
13,Capital,001,0006 ,0051,347,10,2,8,33,189,18,11
13,Capital,001,0006 ,0052,347,7,0,2,29,197,17,24
13,Capital,001,0006 ,0053,347,9,3,1,27,193,15,22
13,Capital,001,0006 ,0054,347,12,1,2,41,177,19,25
13,Capital,001,0006 ,0055,347,7,1,1,24,195,28,24
13,Capital,001,0007 ,0056,332,6,1,3,34,166,28,29
13,Capital,001,0007 ,0057,331,7,0,2,27,189,10,22
13,Capital,001,0007 ,0058,331,13,0,2,28,158,18,27
13,Capital,001,0007 ,0059,331,11,2,3,35,153,28,24
13,Capital,001,0007 ,0060,331,7,0,5,38,166,25,18
13,Capital,001,0007 ,0061,331,15,4,3,25,177,18,27
13,Capital,001,0007 ,0062,331,9,2,2,33,189,13,15
13,Capital,001,0007 ,0063,331,8,2,6,41,167,14,24
13,Capital,001,0007 ,0064,331,12,2,3,27,191,12,26
13,Capital,001,0008 ,0065,334,9,0,4,21,165,24,19
13,Capital,001,0008 ,0066,334,11,3,4,42,147,21,16
13,Capital,001,0008 ,0067,334,11,0,3,54,146,20,18
13,Capital,001,0008 ,0068,333,10,0,3,38,180,16,22
13,Capital,001,0008 ,0069,333,4,1,7,27,179,15,17
13,Capital,001,0008 ,0070,333,6,4,4,26,160,29,20
13,Capital,001,0008 ,0071,333,12,2,8,45,162,11,0
13,Capital,001,0009 ,0072,346,13,0,3,31,162,24,21
13,Capital,001,0009 ,0073,347,6,1,3,39,157,17,30
13,Capital,001,0009 ,0074,347,1,2,7,33,157,34,27
13,Capital,001,0009 ,0075,346,13,2,3,50,154,14,16
13,Capital,001,0009 ,0076,346,16,0,4,51,155,23,23
13,Capital,001,0009 ,0077,346,11,0,0,33,148,24,20
13,Capital,001,0010 ,0078,305,14,1,5,37,127,25,23
