codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00042,00037,00050,00087
14,001,Capital,00001,000001,350,10,2,42,37,159,8
14,001,Capital,00001,000010,348,11,3,30,34,165,13
14,001,Capital,00001,000011,350,20,1,43,27,158,11
14,001,Capital,00001,000012,350,16,3,29,56,145,11
14,001,Capital,00001,000013,347,9,4,30,36,162,9
14,001,Capital,00001,000014,349,20,0,33,34,161,5
14,001,Capital,00001,000015,395,9,1,35,33,201,12
14,001,Capital,00001,000016,346,18,5,32,43,145,9
14,001,Capital,00001,000017,347,15,2,38,35,145,10
14,001,Capital,00001,000018,352,15,2,38,35,145,10
14,001,Capital,00001,000019,349,8,5,29,44,167,8
14,001,Capital,00001,000002,350,8,1,28,39,170,10
14,001,Capital,00001,000020,350,7,1,52,28,171,11
14,001,Capital,00001,000021,347,8,4,46,36,151,13
14,001,Capital,00001,000022,382,16,2,40,45,170,12
14,001,Capital,00001,000023,344,17,2,36,27,158,10
14,001,Capital,00001,000024,350,25,4,23,38,155,8
14,001,Capital,00001,000025,346,13,5,33,36,168,8
14,001,Capital,00001,000026,349,18,2,51,45,151,15
14,001,Capital,00001,000027,348,8,5,37,33,158,10
14,001,Capital,00001,000028,354,15,6,25,46,162,10
14,001,Capital,00001,000029,345,11,2,26,38,162,12
14,001,Capital,00001,000003,349,15,6,36,54,140,11
14,001,Capital,00001,000030,349,18,1,36,35,149,8
14,001,Capital,00001,000031,352,7,1,42,36,153,10
14,001,Capital,00001,000032,346,9,0,36,34,149,9
14,001,Capital,00001,000033,345,10,0,41,40,158,5
14,001,Capital,00001,000034,345,17,2,44,36,150,1
14,001,Capital,00001,000035,353,10,0,26,39,175,7
14,001,Capital,00001,000036,350,10,3,37,37,164,10
14,001,Capital,00001,000037,346,18,4,38,43,145,5
14,001,Capital,00001,000038,346,17,1,40,40,135,5
14,001,Capital,00001,000039,206,3,0,17,15,98,8
14,001,Capital,00001,000004,349,19,2,44,29,145,16
14,001,Capital,00001,000040,209,10,2,20,14,96,10
14,001,Capital,00001,000005,351,16,8,33,42,135,4
14,001,Capital,00001,000006,348,8,2,26,33,167,13
14,001,Capital,00001,000007,347,5,5,30,35,161,4
14,001,Capital,00001,000008,365,14,0,37,40,157,14
14,001,Capital,00001,000009,348,14,2,41,35,169,9
14,001,Capital,00002,000041,349,14,7,51,57,124,10
14,001,Capital,00002,000042,346,20,4,58,62,113,17
14,001,Capital,00002,000043,348,16,4,62,66,104,3
14,001,Capital,00002,000044,352,11,10,54,54,127,13
14,001,Capital,00002,000045,343,20,6,67,49,114,6
14,001,Capital,00002,000046,346,10,7,49,61,136,10
14,001,Capital,00002,000047,349,24,3,58,63,107,6
14,001,Capital,00002,000048,351,12,12,59,51,128,8
14,001,Capital,00002,000049,351,17,3,46,44,150,8
14,001,Capital,00002,000050,349,23,7,55,56,120,8
14,001,Capital,00002,000051,348,22,1,57,47,124,10
14,001,Capital,00002,000052,386,26,0,54,52,147,7
14,001,Capital,00002,000053,349,18,5,49,63,141,6
14,001,Capital,00002,000054,349,22,4,53,72,118,11
14,001,Capital,00002,000055,348,20,6,59,53,127,9
14,001,Capital,00002,000056,349,28,2,65,59,102,7
14,001,Capital,00002,000057,351,23,3,57,54,124,7
14,001,Capital,00002,000058,364,26,6,63,43,139,9
14,001,Capital,00002,000059,349,9,4,63,35,152,9
14,001,Capital,00002,000060,350,15,6,58,74,120,8
14,001,Capital,00002,000061,351,21,4,48,57,129,10
14,001,Capital,00002,000062,348,18,5,61,64,115,10
14,001,Capital,00002,000063,347,10,5,38,59,127,19
14,001,Capital,00002,000064,352,18,11,56,58,113,12
14,001,Capital,00002,000065,353,14,7,55,54,137,5
14,001,Capital,00002,000066,349,17,9,53,50,133,13
14,001,Capital,00002,000067,350,23,4,59,54,109,12
14,001,Capital,00002,000068,350,16,2,60,49,134,9
14,001,Capital,00002,000069,352,19,7,65,51,113,12
14,001,Capital,00002,000070,348,24,6,46,57,138,6
14,001,Capital,00002,000071,348,16,9,48,52,134,16
14,001,Capital,00002,000072,351,20,7,63,52,133,8
14,001,Capital,00002,000073,351,23,2,59,44,142,7
14,001,Capital,00002,000074,351,19,6,64,67,112,9
14,001,Capital,00002,000075,349,0,28,52,46,141,7
14,001,Capital,00002,000076,350,21,6,54,56,120,9
14,001,Capital,00002,000077,349,16,8,55,52,126,13
14,001,Capital,00002,000078,350,18,4,51,51,123,9
14,001,Capital,00002,000079,356,19,7,61,55,129,9
14,001,Capital,00002,000080,345,27,6,61,56,101,9
14,001,Capital,00002,000081,350,10,4,56,66,124,9
14,001,Capital,00002,000082,349,16,8,70,51,126,9
14,001,Capital,00002,000083,348,14,3,65,51,123,9
14,001,Capital,00002,000084,351,31,0,53,54,121,9
14,001,Capital,00002,000085,353,21,5,53,59,131,8
14,001,Capital,00002,000086,347,15,4,56,55,148,4
14,001,Capital,00002,000087,347,19,11,64,46,111,12
14,001,Capital,00002,000088,350,15,4,58,74,102,11
14,001,Capital,00002,000089,283,10,0,43,52,100,9
14,001,Capital,00002,000090,287,16,5,40,54,104,10
14,001,Capital,00003,000100,353,32,0,49,53,134,9
14,001,Capital,00003,000101,349,20,4,59,58,138,7
14,001,Capital,00003,000102,346,15,3,34,52,136,14
14,001,Capital,00003,000103,348,11,5,40,50,164,6
14,001,Capital,00003,000104,344,25,1,40,45,149,18
14,001,Capital,00003,000105,346,19,7,45,51,129,12
14,001,Capital,00003,000106,346,19,2,51,40,135,17
14,001,Capital,00003,000107,346,31,1,41,63,125,12
14,001,Capital,00003,000108,346,25,0,57,50,137,15
14,001,Capital,00003,000109,350,15,5,55,44,133,12
14,001,Capital,00003,000110,356,22,8,44,55,142,16
14,001,Capital,00003,000111,349,14,8,35,54,136,10
14,001,Capital,00003,000112,345,14,7,42,49,132,13
14,001,Capital,00003,000113,345,18,8,44,58,133,8
14,001,Capital,00003,000114,347,13,7,41,45,176,5
14,001,Capital,00003,000115,348,14,4,41,43,170,8
14,001,Capital,00003,000116,348,18,6,45,49,136,8
14,001,Capital,00003,000117,348,22,7,53,44,159,6
14,001,Capital,00003,000118,343,15,4,69,44,128,13
14,001,Capital,00003,000119,344,26,6,52,49,133,11
14,001,Capital,00003,000120,352,21,10,46,41,162,10
14,001,Capital,00003,000121,347,23,1,55,43,143,14
14,001,Capital,00003,000122,346,13,5,56,51,133,12
14,001,Capital,00003,000123,347,26,5,40,52,130,10
14,001,Capital,00003,000124,346,1,18,38,46,155,9
14,001,Capital,00003,000125,348,26,10,45,60,125,8
14,001,Capital,00003,000126,349,17,6,41,56,150,12
14,001,Capital,00003,000127,343,24,7,50,53,125,9
14,001,Capital,00003,000128,344,29,3,54,43,131,10
14,001,Capital,00003,000129,347,13,6,43,56,152,11
14,001,Capital,00003,000130,349,28,7,42,47,147,8
14,001,Capital,00003,000131,348,26,5,56,65,125,12
14,001,Capital,00003,000132,351,16,8,47,48,137,16
14,001,Capital,00003,000133,346,10,2,54,51,148,7
14,001,Capital,00003,000134,348,21,3,46,54,152,9
14,001,Capital,00003,000135,347,17,3,51,48,145,13
14,001,Capital,00003,000136,350,19,2,49,50,135,13
14,001,Capital,00003,000137,350,19,9,53,47,151,5
14,001,Capital,00003,000138,357,23,2,51,54,150,13
14,001,Capital,00003,000139,347,19,3,56,47,135,19
14,001,Capital,00003,000140,348,14,0,53,50,158,10
14,001,Capital,00003,000141,336,13,5,40,37,146,13
14,001,Capital,00003,000142,342,9,5,47,55,141,14
14,001,Capital,00003,000091,348,22,1,44,43,141,14
14,001,Capital,00003,000092,347,16,8,41,55,146,13
14,001,Capital,00003,000093,346,19,3,37,34,161,11
14,001,Capital,00003,000094,350,14,5,50,54,151,8
14,001,Capital,00003,000095,346,19,5,55,51,132,14
14,001,Capital,00003,000096,349,17,4,46,58,144,13
14,001,Capital,00003,000097,345,14,5,60,46,128,10
14,001,Capital,00003,000098,352,17,8,42,63,133,14
14,001,Capital,00003,000099,349,21,8,38,39,148,12
14,001,Capital,0003A,000143,347,17,7,67,67,123,10
14,001,Capital,0003A,000144,348,17,4,73,62,117,19
14,001,Capital,0003A,000145,347,30,5,49,54,148,12
14,001,Capital,0003A,000146,351,35,5,64,54,120,12
14,001,Capital,0003A,000147,350,23,3,65,58,127,9
14,001,Capital,0003A,000148,348,31,12,67,66,105,8
14,001,Capital,0003A,000149,349,22,7,49,66,134,8
14,001,Capital,0003A,000150,349,20,11,60,68,111,13
14,001,Capital,0003A,000151,357,28,11,55,52,150,10
14,001,Capital,0003A,000152,345,25,3,43,60,142,14
14,001,Capital,0003A,000153,347,22,9,84,59,106,14
14,001,Capital,0003A,000154,350,2,26,54,67,141,10
14,001,Capital,0003A,000155,347,23,6,51,61,127,10
14,001,Capital,0003A,000156,349,21,5,78,49,126,4
14,001,Capital,0003A,000157,349,29,11,57,51,134,13
14,001,Capital,0003A,000158,348,27,2,55,74,126,13
14,001,Capital,0003A,000159,345,20,8,69,46,127,16
14,001,Capital,0003A,000160,348,33,10,64,55,122,5
14,001,Capital,0003A,000161,354,20,3,58,57,126,13
14,001,Capital,0003A,000162,349,11,7,57,69,134,15
14,001,Capital,0003A,000163,349,42,0,72,59,112,9
14,001,Capital,0003A,000164,346,26,0,67,57,138,6
14,001,Capital,0003A,000165,350,37,3,57,55,130,14
14,001,Capital,0003A,000166,351,25,3,42,63,132,15
14,001,Capital,0003A,000167,346,22,10,59,58,129,10
14,001,Capital,0003A,000168,347,27,5,48,62,121,12
14,001,Capital,0003A,000169,347,27,0,54,70,130,9
14,001,Capital,0003A,000170,348,12,7,57,52,149,11
14,001,Capital,0003A,000171,343,29,0,47,56,138,10
14,001,Capital,0003A,000172,347,19,5,54,47,158,7
14,001,Capital,0003A,000173,350,27,3,55,50,134,11
14,001,Capital,0003A,000174,346,19,12,57,69,114,16
14,001,Capital,0003A,000175,351,30,10,58,62,128,9
14,001,Capital,0003A,000176,351,41,0,42,61,135,7
14,001,Capital,0003A,000177,358,21,12,42,55,151,13
14,001,Capital,0003A,000178,350,17,6,64,55,126,7
14,001,Capital,0003A,000179,347,29,0,61,59,128,11
14,001,Capital,0003A,000180,346,26,5,59,52,134,13
14,001,Capital,0003A,000181,349,30,3,62,64,129,8
14,001,Capital,0003A,000182,350,29,8,56,60,121,7
14,001,Capital,0003A,000183,347,17,7,69,62,118,11
14,001,Capital,0003A,000184,347,33,6,77,42,121,12
14,001,Capital,0003A,000185,351,26,8,61,63,118,13
14,001,Capital,0003A,000186,355,30,15,52,50,138,10
14,001,Capital,0003A,000187,347,24,18,47,48,139,10
14,001,Capital,0003A,000188,346,22,1,56,64,136,6
14,001,Capital,0003A,000189,349,20,10,62,83,113,9
14,001,Capital,0003A,000190,345,20,5,51,68,134,8
14,001,Capital,0003A,000191,350,23,7,75,61,109,11
14,001,Capital,0003A,000192,350,15,13,57,70,127,10
14,001,Capital,0003A,000193,345,25,7,71,57,117,16
14,001,Capital,0003A,000194,355,29,12,47,60,138,7
14,001,Capital,0003A,000195,350,25,7,58,48,134,19
14,001,Capital,0003A,000196,348,22,8,51,62,150,9
14,001,Capital,0003A,000197,347,29,11,53,69,122,10
14,001,Capital,0003A,000198,348,25,13,55,67,125,10
14,001,Capital,0003A,000199,347,9,8,52,72,131,9
14,001,Capital,0003A,000200,334,19,6,56,65,113,15
14,001,Capital,0003A,000201,336,27,7,49,54,134,13
14,001,Capital,00004,000202,350,21,9,51,58,137,12
14,001,Capital,00004,000203,351,26,5,68,60,125,10
14,001,Capital,00004,000204,349,19,9,61,60,119,7
14,001,Capital,00004,000205,351,25,1,70,50,125,11
14,001,Capital,00004,000206,347,20,7,59,53,121,15
14,001,Capital,00004,000207,352,20,10,57,59,123,19
14,001,Capital,00004,000208,351,20,11,56,61,142,11
14,001,Capital,00004,000209,347,20,11,66,58,121,10
14,001,Capital,00004,000210,362,27,9,74,53,124,13
14,001,Capital,00004,000211,347,18,5,61,68,116,5
14,001,Capital,00004,000212,353,23,7,52,70,120,11
14,001,Capital,00004,000213,350,24,10,51,69,116,7
14,001,Capital,00004,000214,348,17,7,56,65,120,16
14,001,Capital,00004,000215,350,24,5,65,53,130,6
14,001,Capital,00004,000216,350,40,0,58,46,115,8
14,001,Capital,00004,000217,346,35,7,54,57,104,9
14,001,Capital,00004,000218,348,34,7,48,63,120,13
14,001,Capital,00004,000219,348,16,9,56,50,130,18
14,001,Capital,00004,000220,356,23,13,58,57,130,7
14,001,Capital,00004,000221,349,29,11,45,72,124,6
14,001,Capital,00004,000222,349,18,4,52,62,119,18
14,001,Capital,00004,000223,349,16,15,49,68,130,8
14,001,Capital,00004,000224,347,24,6,43,61,134,4
14,001,Capital,00004,000225,349,16,7,57,72,111,5
14,001,Capital,00004,000226,351,23,10,72,75,96,13
14,001,Capital,00004,000227,349,37,10,67,65,102,5
14,001,Capital,00004,000228,350,26,8,61,46,142,6
14,001,Capital,00004,000229,346,28,5,59,56,131,13
14,001,Capital,00004,000230,349,21,6,38,59,134,19
14,001,Capital,00004,000231,350,24,10,41,62,146,10
14,001,Capital,00004,000232,350,28,7,44,55,144,14
14,001,Capital,00004,000233,348,22,7,38,68,141,7
14,001,Capital,00004,000234,345,24,6,58,64,121,10
14,001,Capital,00004,000235,351,13,7,42,52,153,10
14,001,Capital,00004,000236,355,16,6,72,70,111,10
14,001,Capital,00004,000237,349,23,10,61,80,106,6
14,001,Capital,00004,000238,349,26,10,44,89,102,14
14,001,Capital,00004,000239,351,22,10,75,62,123,8
14,001,Capital,00004,000240,348,35,1,53,70,110,8
14,001,Capital,00004,000241,349,29,1,57,48,132,14
14,001,Capital,00004,000242,352,18,6,48,54,144,11
14,001,Capital,00004,000243,351,28,0,70,66,104,12
14,001,Capital,00004,000244,349,19,11,73,41,133,13
14,001,Capital,00004,000245,348,0,36,31,56,146,10
