codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0050,0060,0071,0072,0165,0169,0501,0522,0529
14,Capital,001,0001 ,0001,350,19,1,45,5,1,0,2,11,6,54,75,22
14,Capital,001,0001 ,0002,349,20,0,49,7,1,7,0,7,17,45,66,18
14,Capital,001,0001 ,0003,351,0,0,49,6,0,2,2,9,7,64,57,21
14,Capital,001,0001 ,0004,350,19,2,46,7,1,3,0,3,12,56,63,31
14,Capital,001,0001 ,0005,350,27,1,34,6,1,3,1,5,15,59,55,20
14,Capital,001,0001 ,0006,350,0,4,49,9,5,3,4,4,10,37,83,20
14,Capital,001,0001 ,0007,350,14,1,34,2,1,7,2,3,7,42,80,14
14,Capital,001,0001 ,0008,352,21,3,46,4,2,2,1,9,7,51,80,16
14,Capital,001,0001 ,0009,350,12,1,51,10,0,2,1,8,9,66,58,12
14,Capital,001,0001 ,0010,352,20,3,45,10,1,2,0,5,9,65,62,22
14,Capital,001,0001 ,0011,351,17,6,46,10,1,4,5,6,9,62,64,15
14,Capital,001,0001 ,0012,351,20,0,34,8,3,3,5,9,12,68,64,20
14,Capital,001,0001 ,0013,351,19,2,51,6,3,2,4,7,8,67,57,13
14,Capital,001,0001 ,0014,351,31,2,46,6,1,1,2,3,6,60,51,33
14,Capital,001,0001 ,0015,350,14,1,43,10,1,1,0,6,8,63,75,13
14,Capital,001,0001 ,0016,351,15,6,43,5,0,6,1,7,9,56,74,14
14,Capital,001,0001 ,0017,348,19,2,42,7,0,7,1,3,9,53,68,27
14,Capital,001,0001 ,0018,350,16,2,34,8,1,6,1,4,10,53,72,23
14,Capital,001,0001 ,0019,349,31,1,44,8,0,5,1,6,8,52,74,5
14,Capital,001,0001 ,0020,352,11,2,47,9,2,2,3,10,10,58,69,23
14,Capital,001,0001 ,0021,350,24,0,45,5,2,0,0,7,10,56,67,14
14,Capital,001,0001 ,0022,351,17,4,39,5,0,2,2,2,10,70,72,20
14,Capital,001,0001 ,0023,351,20,1,51,11,0,6,2,11,6,55,77,19
14,Capital,001,0001 ,0024,351,19,1,50,7,2,7,0,5,4,70,61,20
14,Capital,001,0001 ,0025,351,23,1,44,8,1,3,2,4,9,57,62,20
14,Capital,001,0001 ,0026,351,18,0,43,7,0,6,1,5,6,53,70,20
14,Capital,001,0001 ,0027,352,19,2,50,13,1,0,3,4,15,63,70,20
14,Capital,001,0001 ,0028,352,22,0,45,6,0,5,2,9,8,62,61,16
14,Capital,001,0001 ,0029,351,29,0,47,11,0,6,4,5,5,44,79,20
14,Capital,001,0001 ,0030,351,20,0,51,10,1,3,0,8,10,47,75,15
14,Capital,001,0001 ,0031,350,17,0,33,3,3,2,2,10,3,76,74,16
14,Capital,001,0001 ,0032,351,23,2,40,11,1,2,2,1,16,62,60,19
14,Capital,001,0001 ,0033,355,18,0,48,5,3,3,0,7,8,51,73,15
14,Capital,001,0001 ,0034,350,24,2,43,4,5,3,0,6,10,61,63,26
14,Capital,001,0001 ,0035,354,14,2,48,6,0,2,0,13,10,52,68,20
14,Capital,001,0001 ,0036,351,23,2,37,5,2,2,3,7,7,59,78,30
14,Capital,001,0001 ,0037,351,9,3,48,7,2,6,3,3,7,54,69,21
14,Capital,001,0001 ,0038,352,18,0,54,3,0,3,1,6,12,68,68,17
14,Capital,001,0001 ,0039,351,15,2,35,8,1,3,5,6,3,53,72,15
14,Capital,001,0001 ,0040,238,18,1,35,4,0,5,1,6,9,27,50,16
14,Capital,001,0001 ,0041,240,10,1,35,9,1,0,1,4,5,37,62,14
14,Capital,001,0002 ,0042,354,95,0,25,6,0,2,1,0,0,65,33,28
14,Capital,001,0002 ,0043,349,25,3,29,3,2,2,0,9,19,78,50,32
14,Capital,001,0002 ,0044,352,0,0,28,5,3,2,1,8,12,83,38,29
14,Capital,001,0002 ,0045,355,2,1,40,5,2,4,2,10,11,75,44,32
14,Capital,001,0002 ,0046,349,26,0,36,3,3,5,3,5,17,64,46,27
14,Capital,001,0002 ,0047,350,2,3,33,6,1,2,4,10,19,70,55,34
14,Capital,001,0002 ,0048,353,0,0,27,4,2,4,1,13,19,78,35,31
14,Capital,001,0002 ,0049,352,1,24,28,7,0,3,2,6,24,69,43,50
14,Capital,001,0002 ,0050,350,22,0,33,3,2,2,0,11,14,81,51,29
14,Capital,001,0002 ,0051,350,33,2,17,7,4,1,2,11,8,84,48,23
14,Capital,001,0002 ,0052,351,35,0,29,3,3,1,1,6,23,78,50,11
14,Capital,001,0002 ,0053,348,25,3,28,4,1,3,2,14,9,85,39,24
14,Capital,001,0002 ,0054,350,31,1,32,2,1,3,3,11,12,70,57,32
14,Capital,001,0002 ,0055,350,29,6,30,4,1,4,2,14,30,72,48,28
14,Capital,001,0002 ,0056,351,27,3,27,5,1,4,2,5,9,98,42,26
14,Capital,001,0002 ,0057,351,31,3,28,6,3,4,7,8,19,80,37,30
14,Capital,001,0002 ,0058,350,24,3,34,5,2,5,2,6,19,68,40,36
14,Capital,001,0002 ,0059,352,25,3,35,8,0,1,0,10,9,87,46,36
14,Capital,001,0002 ,0060,351,31,1,25,9,2,4,2,6,11,83,56,31
14,Capital,001,0002 ,0061,352,24,1,30,7,1,2,3,12,8,85,56,25
14,Capital,001,0002 ,0062,351,26,2,20,5,1,0,4,12,21,85,59,35
14,Capital,001,0002 ,0063,348,28,2,25,7,4,6,0,10,23,75,45,26
14,Capital,001,0002 ,0064,351,31,4,17,5,1,4,4,7,15,77,40,34
14,Capital,001,0002 ,0065,351,21,0,41,3,0,4,1,7,21,88,61,27
14,Capital,001,0002 ,0066,352,23,3,22,6,0,2,6,4,16,67,45,21
14,Capital,001,0002 ,0067,350,27,4,31,3,2,4,1,15,19,71,67,22
14,Capital,001,0002 ,0068,352,15,6,40,2,0,0,3,12,12,76,51,37
14,Capital,001,0002 ,0069,352,29,4,27,4,2,1,1,7,20,80,34,31
14,Capital,001,0002 ,0070,353,23,1,30,8,1,2,2,5,13,85,55,33
14,Capital,001,0002 ,0071,350,38,0,23,6,1,2,4,0,12,107,46,17
14,Capital,001,0002 ,0072,352,22,4,33,10,4,4,5,13,12,72,54,19
14,Capital,001,0002 ,0073,352,36,3,46,8,5,2,3,2,21,59,54,29
14,Capital,001,0002 ,0074,349,20,3,41,3,1,6,1,7,11,89,54,26
14,Capital,001,0002 ,0075,352,17,5,34,9,2,1,1,4,9,92,51,29
14,Capital,001,0002 ,0076,350,30,4,29,10,2,9,2,8,18,75,42,30
14,Capital,001,0002 ,0077,350,29,0,36,7,2,2,1,10,15,73,46,30
14,Capital,001,0002 ,0078,351,30,6,30,6,0,5,2,8,15,81,48,28
14,Capital,001,0002 ,0079,351,43,0,30,14,0,3,0,8,12,68,51,22
14,Capital,001,0002 ,0080,349,29,0,27,1,5,1,1,12,11,75,49,34
14,Capital,001,0002 ,0081,350,32,0,27,6,1,3,2,10,8,88,47,24
14,Capital,001,0002 ,0082,351,9,0,35,1,1,2,0,5,13,113,39,18
14,Capital,001,0002 ,0083,351,17,0,30,6,1,5,1,8,7,79,52,26
14,Capital,001,0002 ,0084,351,27,4,31,3,0,1,1,10,10,98,41,33
14,Capital,001,0002 ,0085,350,39,4,35,3,1,1,1,10,11,98,51,17
14,Capital,001,0002 ,0086,351,28,0,32,5,2,2,3,8,8,69,46,27
14,Capital,001,0002 ,0087,351,1,2,40,4,1,2,5,14,16,65,49,28
14,Capital,001,0002 ,0088,350,1,2,30,7,1,2,3,11,18,80,55,25
14,Capital,001,0002 ,0089,352,20,5,46,7,4,2,4,7,16,69,51,19
14,Capital,001,0002 ,0090,351,26,4,33,8,3,4,4,3,8,87,39,20
14,Capital,001,0002 ,0091,300,19,1,25,3,1,6,4,4,17,62,42,38
14,Capital,001,0002 ,0092,301,20,0,37,2,3,3,1,14,15,61,41,22
14,Capital,001,0003 ,0093,352,30,5,21,3,0,1,4,11,24,64,66,30
14,Capital,001,0003 ,0094,351,26,0,36,8,0,3,2,7,22,68,41,47
14,Capital,001,0003 ,0095,351,29,1,40,2,0,5,2,5,8,80,54,30
14,Capital,001,0003 ,0096,350,28,20,35,0,4,0,0,16,17,66,46,30
14,Capital,001,0003 ,0097,350,42,0,21,9,3,1,0,10,13,40,81,1
14,Capital,001,0003 ,0098,352,35,0,54,6,3,5,2,9,12,70,42,33
14,Capital,001,0003 ,0099,352,34,3,41,11,4,4,0,7,19,77,36,25
14,Capital,001,0003 ,0100,350,1,4,30,3,2,4,1,11,8,85,47,31
14,Capital,001,0003 ,0101,351,23,3,43,8,1,0,2,11,8,69,62,25
14,Capital,001,0003 ,0102,352,21,6,37,3,4,1,3,6,27,79,44,36
14,Capital,001,0003 ,0103,351,26,0,42,6,1,1,5,13,28,69,53,23
14,Capital,001,0003 ,0104,350,32,2,35,3,2,4,3,8,15,80,49,30
14,Capital,001,0003 ,0105,350,28,1,33,9,2,1,1,8,17,73,53,31
14,Capital,001,0003 ,0106,351,26,2,39,10,0,3,2,12,11,78,44,35
14,Capital,001,0003 ,0107,351,16,1,48,5,2,5,3,12,17,79,47,31
14,Capital,001,0003 ,0108,351,41,5,42,10,2,3,2,3,17,72,53,23
14,Capital,001,0003 ,0109,352,35,1,34,6,2,2,3,8,16,76,35,23
14,Capital,001,0003 ,0110,350,25,1,40,3,2,3,1,4,18,94,40,39
14,Capital,001,0003 ,0111,352,34,0,30,6,3,2,2,5,20,82,42,33
14,Capital,001,0003 ,0112,353,28,2,43,10,0,2,3,8,17,75,47,39
14,Capital,001,0003 ,0113,352,22,3,38,5,1,4,3,10,8,63,48,43
14,Capital,001,0003 ,0114,351,22,2,30,0,10,3,2,12,17,84,62,23
14,Capital,001,0003 ,0115,350,14,6,28,7,2,6,1,6,16,62,38,56
14,Capital,001,0003 ,0116,353,24,0,45,9,0,4,2,9,14,60,64,29
14,Capital,001,0003 ,0117,352,18,1,42,5,3,0,0,12,12,84,64,31
14,Capital,001,0003 ,0118,352,30,6,44,5,2,3,2,18,7,72,46,26
14,Capital,001,0003 ,0119,351,29,4,51,7,3,8,2,5,11,81,53,25
14,Capital,001,0003 ,0120,351,19,3,40,6,2,5,2,14,19,83,54,20
14,Capital,001,0003 ,0121,350,48,1,42,9,1,5,0,15,0,70,49,27
14,Capital,001,0003 ,0122,351,28,4,33,5,1,3,3,8,10,73,55,37
14,Capital,001,0003 ,0123,350,18,3,43,6,0,4,5,8,25,71,45,40
14,Capital,001,0003 ,0124,351,33,4,29,9,1,3,1,10,82,89,24,33
14,Capital,001,0003 ,0125,350,23,4,38,15,2,3,4,13,16,64,55,36
14,Capital,001,0003 ,0126,350,26,5,30,7,2,1,2,18,12,64,64,35
14,Capital,001,0003 ,0127,351,21,0,40,6,2,4,2,13,18,72,45,39
14,Capital,001,0003 ,0128,351,28,0,41,9,3,4,3,5,16,78,56,26
14,Capital,001,0003 ,0129,351,21,4,34,5,3,8,3,6,12,77,48,42
14,Capital,001,0003 ,0130,350,46,0,52,8,0,3,4,8,15,66,40,15
14,Capital,001,0003 ,0131,351,83,6,40,4,2,0,2,0,12,69,57,0
14,Capital,001,0003 ,0132,351,40,0,37,7,3,2,2,10,13,71,59,32
14,Capital,001,0003 ,0133,350,32,1,34,7,2,1,2,8,9,86,58,29
14,Capital,001,0003 ,0134,349,34,1,40,10,3,1,3,12,8,69,46,46
14,Capital,001,0003 ,0135,350,30,0,31,6,2,2,3,10,6,78,57,24
14,Capital,001,0003 ,0136,351,24,0,36,5,3,2,2,10,20,72,49,41
14,Capital,001,0003 ,0137,351,24,20,48,7,3,4,4,9,17,71,45,20
14,Capital,001,0003 ,0138,350,16,4,34,5,3,1,2,6,11,64,65,41
14,Capital,001,0003 ,0139,351,19,2,46,2,0,2,6,9,13,94,47,33
14,Capital,001,0003 ,0140,351,32,3,36,6,1,1,3,9,14,77,71,22
14,Capital,001,0003 ,0141,349,23,3,41,12,1,3,7,11,17,71,56,35
14,Capital,001,0003 ,0142,351,29,2,43,7,1,3,2,8,7,83,46,40
14,Capital,001,0003 ,0143,350,38,3,41,3,3,2,3,10,15,75,56,23
14,Capital,001,0003 ,0144,206,11,0,24,4,0,4,0,4,6,49,41,11
14,Capital,001,0003 ,0145,207,9,1,23,4,4,3,1,7,7,39,33,19
14,Capital,001,0003A,0146,350,34,4,18,3,1,2,5,16,14,104,30,41
14,Capital,001,0003A,0147,353,4,0,22,9,2,2,6,15,17,0,53,42
14,Capital,001,0003A,0148,351,32,3,26,4,4,2,0,10,18,84,46,45
14,Capital,001,0003A,0149,350,34,4,28,2,3,2,5,14,19,83,40,46
14,Capital,001,0003A,0150,353,40,0,28,9,3,4,4,10,17,98,35,24
14,Capital,001,0003A,0151,352,48,3,33,1,4,2,3,9,10,100,29,43
14,Capital,001,0003A,0152,350,28,1,27,5,2,6,1,16,14,93,44,43
14,Capital,001,0003A,0153,351,66,3,32,6,2,1,2,10,16,86,48,18
14,Capital,001,0003A,0154,350,34,0,26,1,2,5,5,13,11,101,45,40
14,Capital,001,0003A,0155,354,41,3,33,7,1,5,6,10,12,81,33,42
14,Capital,001,0003A,0156,352,50,4,23,2,3,1,0,21,20,96,19,52
14,Capital,001,0003A,0157,351,25,0,33,4,1,2,7,23,24,75,47,41
14,Capital,001,0003A,0158,350,37,0,26,7,0,2,1,14,17,87,47,38
14,Capital,001,0003A,0159,350,40,7,19,9,0,2,0,8,17,97,38,42
14,Capital,001,0003A,0160,351,4,0,26,6,1,4,1,12,9,104,36,39
14,Capital,001,0003A,0161,350,40,3,25,6,1,1,3,13,15,82,36,55
14,Capital,001,0003A,0162,353,23,3,39,11,2,3,2,12,9,87,38,41
14,Capital,001,0003A,0163,351,22,3,23,6,2,8,0,19,15,97,38,42
14,Capital,001,0003A,0164,351,28,3,28,5,2,3,6,20,16,94,54,40
14,Capital,001,0003A,0165,350,41,2,34,4,2,1,2,18,25,85,43,36
14,Capital,001,0003A,0166,349,32,1,33,4,1,5,4,12,21,92,37,34
14,Capital,001,0003A,0167,350,29,5,29,5,2,3,2,18,19,89,38,49
14,Capital,001,0003A,0168,352,0,0,41,5,2,5,1,7,21,84,49,45
14,Capital,001,0003A,0169,350,35,0,23,6,3,1,1,26,23,86,48,35
14,Capital,001,0003A,0170,351,38,2,26,3,4,5,3,7,14,104,35,40
14,Capital,001,0003A,0171,350,33,3,26,2,1,2,1,19,20,84,45,40
14,Capital,001,0003A,0172,351,1,28,38,2,0,1,1,16,25,85,47,44
14,Capital,001,0003A,0173,351,31,2,26,7,2,2,7,9,12,86,51,45
14,Capital,001,0003A,0174,351,34,2,35,5,1,3,0,17,20,81,32,43
14,Capital,001,0003A,0175,352,15,2,31,5,1,3,0,13,19,111,51,41
14,Capital,001,0003A,0176,352,37,6,25,3,0,4,4,14,24,93,34,35
14,Capital,001,0003A,0177,351,29,4,20,5,1,1,2,8,21,87,36,57
14,Capital,001,0003A,0178,353,4,4,23,2,2,5,4,18,8,91,44,40
14,Capital,001,0003A,0179,350,34,5,36,1,0,4,0,10,20,79,44,54
14,Capital,001,0003A,0180,351,54,3,28,5,0,4,3,16,19,87,30,27
14,Capital,001,0003A,0181,351,31,1,16,1,0,0,0,16,11,95,42,54
14,Capital,001,0003A,0182,352,32,3,29,4,0,1,2,5,19,91,56,54
14,Capital,001,0003A,0183,350,38,2,27,7,3,5,3,17,24,80,29,55
14,Capital,001,0003A,0184,350,36,0,33,1,3,1,1,14,15,93,51,32
14,Capital,001,0003A,0185,350,30,5,31,1,1,2,3,16,26,85,28,39
14,Capital,001,0003A,0186,350,32,6,24,7,1,4,4,11,4,102,44,55
14,Capital,001,0003A,0187,350,31,0,34,3,0,3,2,13,17,86,30,52
14,Capital,001,0003A,0188,350,25,3,29,7,2,6,2,17,13,73,47,51
14,Capital,001,0003A,0189,351,39,2,29,5,6,0,2,16,13,76,36,59
14,Capital,001,0003A,0190,351,36,1,22,0,0,1,2,98,14,82,55,34
14,Capital,001,0003A,0191,350,30,3,31,0,0,2,2,11,22,106,36,53
14,Capital,001,0003A,0192,351,44,0,39,4,2,1,2,19,31,80,30,43
14,Capital,001,0003A,0193,350,31,3,25,7,3,7,0,18,12,90,40,41
14,Capital,001,0003A,0194,350,1,3,22,6,5,1,3,7,13,105,35,42
14,Capital,001,0003A,0195,352,34,2,31,2,3,0,4,12,12,91,43,44
14,Capital,001,0003A,0196,353,24,5,32,6,2,2,4,12,5,87,32,67
14,Capital,001,0003A,0197,350,29,3,28,6,5,3,0,21,21,91,40,42
14,Capital,001,0003A,0198,352,11,11,27,5,2,6,2,11,14,80,60,47
14,Capital,001,0003A,0199,352,1,0,30,6,4,2,3,18,10,80,36,45
14,Capital,001,0003A,0200,355,36,10,21,1,2,3,2,13,17,91,34,53
14,Capital,001,0003A,0201,352,22,0,20,6,3,1,2,11,9,109,42,46
14,Capital,001,0003A,0202,354,40,0,29,1,2,3,0,14,21,110,43,28
14,Capital,001,0003A,0203,195,17,0,18,1,0,0,0,7,10,43,30,33
14,Capital,001,0003A,0204,197,20,6,20,4,0,1,2,15,8,46,22,30
