codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0041,0047,0050,0111,0219,0269,0270,0271,0272
14,Capital                                 ,001,0001 ,0001,450,3,5,3,2,9,10,2,67,63,51,53,3
14,Capital                                 ,001,0001 ,0002,450,17,2,6,0,11,14,2,63,79,37,52,1
14,Capital                                 ,001,0001 ,0003,450,24,10,8,0,9,18,0,72,64,55,42,2
14,Capital                                 ,001,0001 ,0004,450,19,2,5,1,8,16,1,65,66,37,45,0
14,Capital                                 ,001,0001 ,0005,450,28,0,5,2,15,18,2,66,75,44,43,1
14,Capital                                 ,001,0001 ,0006,450,27,2,6,4,9,22,3,62,68,35,48,3
14,Capital                                 ,001,0001 ,0007,450,12,5,6,2,8,16,4,57,73,54,53,0
14,Capital                                 ,001,0001 ,0008,450,21,7,3,3,12,14,2,61,63,37,69,4
14,Capital                                 ,001,0001 ,0009,450,30,5,7,2,10,17,2,57,62,30,44,0
14,Capital                                 ,001,0001 ,0010,450,24,5,1,3,11,24,4,57,66,43,51,1
14,Capital                                 ,001,0001 ,0011,450,26,2,11,5,8,16,2,58,63,41,53,3
14,Capital                                 ,001,0001 ,0012,450,23,6,5,1,9,16,4,61,89,45,44,0
14,Capital                                 ,001,0001 ,0013,450,27,12,6,6,7,21,4,56,63,49,49,0
14,Capital                                 ,001,0001 ,0014,450,24,8,5,3,8,17,2,62,78,42,49,1
14,Capital                                 ,001,0001 ,0015,450,29,6,6,0,13,12,0,65,71,45,58,4
14,Capital                                 ,001,0001 ,0016,450,28,1,1,2,10,14,2,59,69,29,56,1
14,Capital                                 ,001,0001 ,0017,450,6,2,6,4,7,14,2,80,81,43,39,0
14,Capital                                 ,001,0001 ,0018,450,25,4,2,2,8,17,2,69,69,41,57,3
14,Capital                                 ,001,0001 ,0019,450,21,8,1,8,12,21,3,57,72,48,57,2
14,Capital                                 ,001,0001 ,0020,450,15,12,1,1,7,11,1,64,69,38,58,2
14,Capital                                 ,001,0001 ,0021,281,4,6,7,1,9,14,0,50,39,24,32,0
14,Capital                                 ,001,0001 ,0740,450,0,0,4,1,4,8,3,68,73,34,50,0
14,Capital                                 ,001,0001 ,0741,450,26,8,3,3,8,18,1,58,76,26,40,1
14,Capital                                 ,001,0001 ,0742,450,23,6,7,3,7,17,5,54,62,40,51,2
14,Capital                                 ,001,0001 ,0743,450,25,15,7,3,6,18,2,51,72,35,41,0
14,Capital                                 ,001,0001 ,0744,450,34,6,6,1,14,13,3,57,73,35,48,0
14,Capital                                 ,001,0001 ,0745,450,33,3,4,2,4,28,3,66,70,38,52,0
14,Capital                                 ,001,0001 ,0746,450,30,3,6,3,9,23,3,65,68,23,56,2
14,Capital                                 ,001,0001 ,0747,450,28,4,6,2,4,20,3,56,66,34,53,2
14,Capital                                 ,001,0001 ,0748,450,16,8,7,3,3,14,8,61,74,35,61,1
14,Capital                                 ,001,0001 ,0749,450,21,5,7,2,5,12,5,75,68,27,52,0
14,Capital                                 ,001,0001 ,0750,450,24,1,5,3,5,24,11,62,81,34,46,0
14,Capital                                 ,001,0001 ,0751,450,0,0,3,2,5,19,5,64,51,38,58,4
14,Capital                                 ,001,0001 ,0752,450,0,0,3,3,8,19,4,64,65,41,37,1
14,Capital                                 ,001,0001 ,0753,450,29,2,7,4,7,14,5,59,69,45,61,2
14,Capital                                 ,001,0001 ,0754,450,33,7,3,3,5,19,3,57,83,29,46,1
14,Capital                                 ,001,0001 ,0755,450,19,8,7,5,11,16,8,60,77,32,42,3
14,Capital                                 ,001,0001 ,0756,450,4,4,1,5,13,12,2,56,70,44,49,1
14,Capital                                 ,001,0001 ,0757,331,20,2,3,2,6,12,5,41,56,23,50,3
14,Capital                                 ,001,0002 ,0022,450,33,2,7,4,3,17,2,96,101,37,42,2
14,Capital                                 ,001,0002 ,0023,450,33,0,4,5,1,13,0,95,85,38,45,3
14,Capital                                 ,001,0002 ,0024,450,27,1,3,3,4,7,3,115,90,30,49,3
14,Capital                                 ,001,0002 ,0025,450,24,10,4,3,3,12,1,88,96,40,56,2
14,Capital                                 ,001,0002 ,0026,450,17,14,5,1,2,11,0,103,81,35,51,5
14,Capital                                 ,001,0002 ,0027,450,37,5,11,5,5,10,4,86,97,38,47,1
14,Capital                                 ,001,0002 ,0028,450,21,8,2,4,9,9,3,76,94,35,42,1
