codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0023,0071,0072,0165,0184,0534,0535,0559
14,Capital,001,0001 ,0001,349,15,0,4,5,2,10,12,3,133,47
14,Capital,001,0001 ,0002,350,13,2,4,9,2,12,17,3,155,33
14,Capital,001,0001 ,0003,350,20,0,8,9,0,14,14,5,135,44
14,Capital,001,0001 ,0004,350,15,1,3,5,3,14,17,3,144,39
14,Capital,001,0001 ,0005,350,14,3,3,4,4,7,15,1,143,40
14,Capital,001,0001 ,0006,350,14,2,7,2,1,10,20,3,166,27
14,Capital,001,0001 ,0007,351,12,1,2,3,1,12,10,1,144,30
14,Capital,001,0001 ,0008,350,10,0,3,7,0,8,8,2,171,29
14,Capital,001,0001 ,0009,350,16,4,1,3,1,12,13,2,147,44
14,Capital,001,0001 ,0010,350,8,4,7,7,0,9,11,5,148,39
14,Capital,001,0001 ,0011,350,12,1,1,6,2,9,13,3,170,43
14,Capital,001,0001 ,0012,350,16,1,6,6,0,13,21,4,128,51
14,Capital,001,0001 ,0013,350,12,0,6,7,4,7,11,5,160,46
14,Capital,001,0001 ,0014,350,23,2,6,2,1,9,6,5,138,43
14,Capital,001,0001 ,0015,350,14,0,3,3,0,11,12,2,154,52
14,Capital,001,0001 ,0016,350,10,6,3,4,0,10,15,6,148,40
14,Capital,001,0001 ,0017,350,12,3,7,6,4,6,17,3,124,33
14,Capital,001,0001 ,0018,351,12,2,5,7,3,10,8,3,149,38
14,Capital,001,0001 ,0019,350,16,2,6,4,1,9,12,5,165,38
14,Capital,001,0001 ,0020,350,15,5,2,6,4,12,12,4,153,37
14,Capital,001,0001 ,0021,351,23,3,4,4,0,11,13,3,159,33
14,Capital,001,0001 ,0022,350,12,0,6,1,2,5,16,7,148,48
14,Capital,001,0001 ,0023,350,6,2,5,5,1,16,17,3,161,29
14,Capital,001,0001 ,0024,350,20,1,1,12,3,18,16,2,132,39
14,Capital,001,0001 ,0025,350,18,1,5,3,1,13,15,1,156,35
14,Capital,001,0001 ,0026,350,19,0,2,3,3,14,13,6,151,43
14,Capital,001,0001 ,0027,350,15,1,5,5,0,10,11,3,149,45
14,Capital,001,0001 ,0028,350,13,3,9,4,4,9,14,5,146,45
14,Capital,001,0001 ,0029,350,23,1,3,1,0,10,6,5,165,32
14,Capital,001,0001 ,0030,350,20,0,3,1,2,9,20,5,129,37
14,Capital,001,0001 ,0031,350,16,1,2,4,3,11,14,1,153,48
14,Capital,001,0001 ,0032,350,18,0,5,6,1,20,16,7,134,42
14,Capital,001,0001 ,0033,351,13,1,7,6,0,16,10,4,135,34
14,Capital,001,0001 ,0034,350,15,0,5,5,1,7,11,6,140,48
14,Capital,001,0001 ,0035,350,11,4,6,6,3,10,11,1,143,44
14,Capital,001,0001 ,0036,350,19,0,4,5,1,12,13,4,165,40
14,Capital,001,0001 ,0037,350,5,0,9,6,2,8,20,4,143,52
14,Capital,001,0001 ,0038,350,6,0,5,3,1,17,10,3,131,43
14,Capital,001,0001 ,0039,294,5,0,4,8,3,8,8,4,124,22
14,Capital,001,0001 ,0040,295,8,3,4,4,5,8,9,6,136,26
14,Capital,001,0002 ,0041,350,15,7,7,5,10,8,15,7,100,55
14,Capital,001,0002 ,0042,350,27,0,10,2,4,10,17,11,130,58
14,Capital,001,0002 ,0043,350,22,5,12,8,9,5,16,7,86,77
14,Capital,001,0002 ,0044,350,12,3,10,4,2,9,19,4,133,61
14,Capital,001,0002 ,0045,350,33,0,7,1,7,11,18,8,106,69
14,Capital,001,0002 ,0046,350,29,1,11,2,9,9,12,2,119,67
14,Capital,001,0002 ,0047,350,2,3,13,6,4,7,15,9,98,81
14,Capital,001,0002 ,0048,350,13,3,12,5,4,7,10,7,124,73
14,Capital,001,0002 ,0049,350,25,5,9,3,7,13,16,4,129,56
14,Capital,001,0002 ,0050,350,22,4,8,6,11,10,17,8,108,63
14,Capital,001,0002 ,0051,350,22,2,9,9,1,10,14,7,113,57
14,Capital,001,0002 ,0052,350,29,1,9,4,7,7,7,8,112,59
14,Capital,001,0002 ,0053,350,18,2,10,7,5,16,15,7,127,54
14,Capital,001,0002 ,0054,350,26,2,10,4,2,10,18,10,117,66
14,Capital,001,0002 ,0055,350,16,4,6,9,5,19,28,5,108,64
14,Capital,001,0002 ,0056,350,33,4,12,7,10,9,14,2,90,73
