codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0014,0040,0045,0102,0501,0509,0528,0541,0547
15,Confluencia,001,0001 ,0001,324,6,8,62,2,5,3,59,19,7,11,16,23
15,Confluencia,001,0001 ,0002,324,3,10,61,3,0,2,51,24,7,10,22,26
15,Confluencia,001,0001 ,0003,324,2,7,78,3,5,5,48,16,10,14,14,26
15,Confluencia,001,0001 ,0004,324,1,1,58,4,3,3,47,22,6,15,17,25
15,Confluencia,001,0001 ,0005,324,1,6,69,1,7,3,49,23,9,17,11,36
15,Confluencia,001,0001 ,0006,324,5,9,77,5,8,4,40,19,4,9,12,36
15,Confluencia,001,0001 ,0007,324,3,9,58,2,7,5,47,29,9,15,18,26
15,Confluencia,001,0001 ,0008,324,3,10,71,3,5,3,56,15,10,12,14,33
15,Confluencia,001,0001 ,0009,324,3,5,72,3,7,4,50,8,7,9,22,32
15,Confluencia,001,0001 ,0010,324,4,6,56,6,6,7,45,21,8,13,12,33
15,Confluencia,001,0001 ,0011,324,5,5,63,3,6,3,44,12,8,14,19,27
15,Confluencia,001,0001 ,0012,324,3,5,65,3,2,4,58,17,10,19,16,23
15,Confluencia,001,0001 ,0013,324,3,2,58,8,4,6,55,20,6,17,12,32
15,Confluencia,001,0001 ,0014,324,4,5,74,4,4,5,42,27,6,7,15,31
15,Confluencia,001,0001 ,0015,324,2,5,52,5,8,7,55,17,13,16,19,27
15,Confluencia,001,0001 ,0016,324,2,6,68,3,40,3,48,22,10,15,17,29
15,Confluencia,001,0001 ,0017,324,1,7,54,0,6,1,44,23,5,11,22,37
15,Confluencia,001,0001 ,1000,325,3,9,58,6,10,4,39,6,7,11,15,44
15,Confluencia,001,0001 ,1001,325,3,5,71,3,7,1,50,17,11,10,18,40
15,Confluencia,001,0001 ,1002,325,2,5,60,3,14,7,50,16,9,9,17,37
15,Confluencia,001,0001 ,1003,325,3,5,68,5,5,3,35,20,8,11,11,39
15,Confluencia,001,0001 ,1004,325,2,7,66,5,7,6,45,19,7,24,14,38
15,Confluencia,001,0001 ,1005,325,3,1,74,1,3,2,42,27,5,11,16,49
15,Confluencia,001,0001 ,1006,325,3,3,63,1,9,8,39,14,15,13,12,40
15,Confluencia,001,0001 ,1007,325,2,4,65,3,5,5,33,24,4,15,14,30
15,Confluencia,001,0001 ,1008,325,3,7,84,6,6,3,36,15,8,16,17,46
15,Confluencia,001,0001 ,1009,325,2,8,84,2,5,6,41,16,11,16,13,38
15,Confluencia,001,0001 ,1010,324,3,2,58,2,5,3,52,8,6,16,20,39
15,Confluencia,001,0001 ,1011,324,0,9,52,4,8,2,39,14,9,11,23,54
15,Confluencia,001,0001 ,1012,324,3,3,72,1,2,5,35,19,5,19,14,35
15,Confluencia,001,0001 ,1013,324,0,4,73,4,6,2,46,14,11,15,15,32
