codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0023,0040,0153,0166,0501,0505,0532,0533
15,Confluencia,001,0001 ,0001,340,5,5,17,15,52,18,36,28,66,7
15,Confluencia,001,0001 ,0002,343,4,5,8,15,68,6,37,20,81,8
15,Confluencia,001,0001 ,0003,339,5,3,18,18,53,8,37,16,84,12
15,Confluencia,001,0001 ,0004,344,4,3,11,19,59,8,36,26,81,8
15,Confluencia,001,0001 ,0005,343,14,6,17,16,54,15,33,26,78,8
15,Confluencia,001,0001 ,0006,343,4,8,15,9,59,5,38,27,83,13
15,Confluencia,001,0001 ,0007,343,6,3,14,13,60,9,33,35,72,6
15,Confluencia,001,0001 ,0008,343,9,1,16,14,51,7,40,26,87,8
15,Confluencia,001,0001 ,0009,342,10,9,10,17,52,11,42,33,65,12
15,Confluencia,001,0001 ,0010,342,16,12,11,13,54,11,44,20,84,5
15,Confluencia,001,0001 ,0011,343,9,11,11,21,43,13,39,21,82,13
15,Confluencia,001,0001 ,0012,344,2,5,24,22,50,6,37,23,88,7
15,Confluencia,001,0001 ,0013,340,0,0,0,0,0,0,0,0,0,0
15,Confluencia,001,0001 ,0014,341,10,1,13,21,35,8,47,31,74,14
15,Confluencia,001,0001 ,0015,342,6,2,16,21,40,8,47,23,85,7
15,Confluencia,001,0001 ,0016,341,6,4,20,22,47,13,32,24,91,6
15,Confluencia,001,0001 ,0017,343,5,7,15,18,56,14,40,20,74,11
15,Confluencia,001,0001 ,0018,342,11,1,13,16,50,10,45,29,90,7
15,Confluencia,001,0001 ,0019,342,7,6,14,19,47,10,30,29,74,9
15,Confluencia,001,0001 ,0020,339,6,6,13,16,58,9,30,27,78,4
15,Confluencia,001,0001 ,0021,344,4,1,17,17,65,7,43,20,81,11
15,Confluencia,001,0001 ,0022,342,2,5,13,19,54,9,33,27,80,12
15,Confluencia,001,0001 ,0023,342,5,5,24,16,45,10,27,22,88,16
15,Confluencia,001,0001 ,0024,342,5,3,24,19,57,13,35,20,73,5
15,Confluencia,001,0001 ,0025,343,10,8,21,16,66,11,36,32,66,7
15,Confluencia,001,0001 ,0026,343,4,0,7,16,69,9,44,25,73,13
15,Confluencia,001,0001 ,0027,343,5,4,18,15,50,4,34,33,81,13
15,Confluencia,001,0001 ,0028,345,7,1,21,24,57,8,41,22,80,7
15,Confluencia,001,0001 ,0029,342,2,8,13,11,70,11,49,20,77,7
15,Confluencia,001,0001 ,0030,341,5,8,18,21,51,8,35,20,84,16
15,Confluencia,001,0001 ,0031,344,7,6,12,16,68,7,39,17,85,7
15,Confluencia,001,0001 ,0032,342,9,6,16,18,69,9,22,22,77,6
15,Confluencia,001,0001 ,0033,341,12,7,16,9,46,10,34,26,84,7
15,Confluencia,001,0001 ,0034,344,15,7,12,22,51,11,41,24,66,8
15,Confluencia,001,0001 ,0035,342,8,2,16,23,46,18,35,26,68,8
15,Confluencia,001,0001 ,0036,342,10,9,19,27,45,17,40,23,75,10
15,Confluencia,001,0001A,0037,245,2,5,12,14,52,4,25,17,53,4
15,Confluencia,001,0001A,0038,241,10,6,7,12,55,5,20,8,44,7
15,Confluencia,001,0001A,0039,243,2,5,11,12,44,9,26,20,49,4
