codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00024,00036,00037,00050,00067
15,001,Confluencia,03652,074219,0,0,36,12,10,81,106,49
15,001,Confluencia,03652,074220,0,0,34,19,17,88,113,30
15,001,Confluencia,03652,074221,0,0,26,16,27,78,92,48
15,001,Confluencia,03652,074222,0,0,17,7,21,73,134,37
15,001,Confluencia,03652,074223,0,0,23,16,18,78,117,47
15,001,Confluencia,03652,074224,0,0,16,11,9,78,131,37
15,001,Confluencia,03652,074225,0,0,26,12,18,81,99,41
15,001,Confluencia,03652,074226,0,0,24,14,14,88,93,45
15,001,Confluencia,03652,074227,0,0,23,14,19,98,97,40
15,001,Confluencia,03652,074228,0,0,15,11,13,96,108,45
15,001,Confluencia,03652,074229,0,0,34,12,13,82,89,58
15,001,Confluencia,03652,074230,0,0,19,14,17,94,95,51
15,001,Confluencia,03652,074231,0,0,27,14,16,87,95,54
15,001,Confluencia,03652,074232,0,0,20,12,15,67,112,39
15,001,Confluencia,03652,074233,0,0,24,21,19,91,100,33
15,001,Confluencia,03652,074234,0,0,24,17,10,107,103,34
15,001,Confluencia,03652,074235,0,0,31,11,26,86,80,56
15,001,Confluencia,03652,074236,0,0,26,15,30,86,106,48
15,001,Confluencia,03652,074237,0,0,20,10,19,106,89,53
15,001,Confluencia,03652,074238,0,0,23,12,7,100,96,41
15,001,Confluencia,03652,074239,0,0,26,9,29,80,111,47
15,001,Confluencia,03652,074240,0,0,36,12,14,89,72,58
15,001,Confluencia,03652,074241,0,0,36,19,20,68,109,49
15,001,Confluencia,03652,074242,0,0,23,9,25,98,95,37
15,001,Confluencia,03652,074243,0,0,36,11,25,76,102,46
15,001,Confluencia,03652,074244,0,0,28,11,16,90,91,57
15,001,Confluencia,03652,074245,0,0,21,10,17,91,98,50
15,001,Confluencia,03652,074246,0,0,19,19,21,95,88,54
15,001,Confluencia,03652,074247,0,0,26,18,17,95,98,48
15,001,Confluencia,03652,074248,0,0,22,14,26,84,87,53
15,001,Confluencia,03652,101003,0,0,0,0,0,0,0,0
15,001,Confluencia,03653,074249,0,0,17,10,29,77,100,47
15,001,Confluencia,03653,074250,0,0,24,15,15,77,102,43
15,001,Confluencia,03653,074251,0,0,18,15,19,85,94,48
15,001,Confluencia,03653,074252,0,0,17,13,21,81,106,39
15,001,Confluencia,03653,074253,0,0,23,10,14,80,106,44
15,001,Confluencia,03653,074254,0,0,14,15,21,88,88,43
15,001,Confluencia,03653,074255,0,0,20,13,22,86,104,37
15,001,Confluencia,03653,074256,0,0,28,9,16,72,114,37
15,001,Confluencia,03653,074257,0,0,13,12,14,76,106,41
15,001,Confluencia,03653,074258,0,0,24,8,16,91,99,43
15,001,Confluencia,03653,074259,0,0,23,14,16,88,93,39
15,001,Confluencia,03653,074260,0,0,15,13,20,84,102,42
15,001,Confluencia,03653,074261,0,0,24,12,22,81,83,55
15,001,Confluencia,03653,074262,0,0,20,18,14,98,93,43
15,001,Confluencia,03653,074263,0,0,26,12,18,78,102,35
15,001,Confluencia,03653,074264,0,0,18,16,7,91,100,42
15,001,Confluencia,03653,074265,0,0,35,7,21,84,99,35
15,001,Confluencia,03653,074266,0,0,22,18,26,77,86,45
15,001,Confluencia,03653,074267,0,0,15,17,14,81,107,50
15,001,Confluencia,03653,074268,0,0,22,10,21,78,108,49
15,001,Confluencia,03654,074269,0,0,13,19,17,73,116,39
15,001,Confluencia,03654,074270,0,0,2,10,16,63,140,0
15,001,Confluencia,03654,074271,0,0,24,21,15,69,107,58
15,001,Confluencia,03654,074272,0,0,20,5,26,89,107,41
15,001,Confluencia,03654,074273,0,0,15,14,20,70,122,45
15,001,Confluencia,03654,074274,0,0,24,11,17,58,130,47
15,001,Confluencia,03654,074275,0,0,17,16,7,80,116,37
15,001,Confluencia,03654,074276,0,0,17,15,25,70,122,38
15,001,Confluencia,03654,074277,0,0,15,13,21,78,109,45
15,001,Confluencia,03654,074278,0,0,4,15,13,77,99,52
15,001,Confluencia,03654,074279,0,0,16,7,18,72,116,45
15,001,Confluencia,03654,074280,0,0,24,11,22,81,101,39
15,001,Confluencia,03654,074281,0,0,15,8,18,60,125,44
15,001,Confluencia,03654,074282,0,0,21,18,17,69,116,48
15,001,Confluencia,03654,074283,0,0,24,12,15,55,133,35
15,001,Confluencia,03654,074284,0,0,14,8,24,61,145,39
15,001,Confluencia,03654,074285,0,0,15,11,24,87,104,40
15,001,Confluencia,03654,074286,0,0,25,7,14,83,104,50
15,001,Confluencia,03654,074287,0,0,15,5,14,68,125,44
15,001,Confluencia,03654,074288,0,0,21,17,21,71,115,35
15,001,Confluencia,03654,074289,0,0,19,13,17,73,120,42
15,001,Confluencia,03654,074290,0,0,21,11,19,77,131,38
15,001,Confluencia,03654,074291,0,0,21,10,21,74,111,30
15,001,Confluencia,03654,074292,0,0,19,17,20,87,100,48
15,001,Confluencia,03654,074293,0,0,14,11,28,61,110,51
15,001,Confluencia,03654,074294,0,0,21,16,22,73,112,41
15,001,Confluencia,03654,074295,0,0,17,9,18,61,116,62
15,001,Confluencia,03654,074296,0,0,19,10,14,85,123,45
15,001,Confluencia,03654,074297,0,0,15,12,17,72,113,43
15,001,Confluencia,03654,074298,0,0,21,8,23,71,115,46
15,001,Confluencia,03654,074299,0,0,19,11,15,71,113,53
15,001,Confluencia,03654,074300,0,0,15,16,8,83,124,35
15,001,Confluencia,03654,074301,0,0,23,15,19,71,122,45
15,001,Confluencia,03654,074302,0,0,22,8,16,82,110,48
15,001,Confluencia,03654,074303,0,0,19,11,18,73,120,39
15,001,Confluencia,03654,074304,0,0,23,18,23,73,112,42
15,001,Confluencia,03654,074305,0,0,26,18,17,76,114,36
15,001,Confluencia,03654,074306,0,0,24,12,22,60,124,53
15,001,Confluencia,03655,074307,0,0,7,8,17,37,88,25
15,001,Confluencia,03655,074308,0,0,11,15,8,38,99,27
15,001,Confluencia,03655,074309,0,0,11,10,15,50,94,20
15,001,Confluencia,03656,074310,0,0,18,9,31,69,104,31
15,001,Confluencia,03656,074311,0,0,20,11,9,86,108,39
15,001,Confluencia,03656,074312,0,0,10,8,7,116,77,33
15,001,Confluencia,03656,074313,0,0,24,13,15,78,98,36
15,001,Confluencia,03656,074314,0,0,20,8,21,74,102,36
15,001,Confluencia,03656,074315,0,0,20,14,18,110,79,28
15,001,Confluencia,03656,074316,0,0,15,12,23,81,109,33
15,001,Confluencia,03656,074317,0,0,25,18,13,72,115,30
15,001,Confluencia,03656,074318,0,0,22,16,14,86,98,35
15,001,Confluencia,03656,074319,0,0,27,8,21,62,111,44
15,001,Confluencia,03656,074320,0,0,29,13,15,101,87,28
15,001,Confluencia,03657,074321,0,0,25,11,13,67,139,37
15,001,Confluencia,03657,074322,0,0,13,14,15,94,105,47
15,001,Confluencia,03657,074323,0,0,15,11,24,84,124,29
15,001,Confluencia,03657,074324,0,0,13,13,28,75,127,35
15,001,Confluencia,03657,074325,0,0,13,15,18,77,124,32
15,001,Confluencia,03657,074326,0,0,24,13,24,80,119,30
15,001,Confluencia,03657,074327,0,0,21,12,15,86,109,42
15,001,Confluencia,03657,074328,0,0,13,14,7,67,149,36
15,001,Confluencia,03657,074329,0,0,16,14,17,84,121,41
15,001,Confluencia,03657,074330,0,0,15,8,13,69,143,43
15,001,Confluencia,03657,074331,0,0,14,16,15,83,125,30
15,001,Confluencia,03657,074332,0,0,16,13,18,75,140,42
15,001,Confluencia,03657,074333,0,0,20,11,21,68,118,43
15,001,Confluencia,03657,074334,0,0,15,14,16,75,137,40
15,001,Confluencia,03657,074335,0,0,23,13,9,72,120,49
15,001,Confluencia,03657,074336,0,0,15,11,20,75,120,45
15,001,Confluencia,03657,074337,0,0,20,24,14,76,122,35
15,001,Confluencia,03657,074338,0,0,21,16,15,82,105,43
15,001,Confluencia,03657,074339,0,0,19,8,13,67,115,56
15,001,Confluencia,03657,074340,0,0,14,19,15,84,129,33
15,001,Confluencia,03657,074341,0,0,11,17,24,80,118,31
15,001,Confluencia,03657,074342,0,0,18,11,18,84,120,41
15,001,Confluencia,03657,074343,0,0,20,5,16,78,120,50
15,001,Confluencia,03657,074344,0,0,17,11,22,74,121,49
15,001,Confluencia,03657,074345,0,0,22,11,21,84,114,43
15,001,Confluencia,03657,074346,0,0,18,19,20,62,124,56
15,001,Confluencia,03657,074347,0,0,0,8,18,66,134,34
15,001,Confluencia,03657,074348,0,0,4,18,13,66,106,52
