codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0040,0151,0186,0502,0503,0513,0551,0575
15,Confluencia,001,0001 ,0001,344,5,3,13,31,8,126,16,6,14,28
15,Confluencia,001,0001 ,0002,343,4,1,10,36,7,133,22,3,8,28
15,Confluencia,001,0001 ,0003,344,3,10,9,31,6,127,13,6,10,43
15,Confluencia,001,0001 ,0004,345,2,7,7,30,9,121,21,3,13,47
15,Confluencia,001,0001 ,0005,344,4,8,6,38,8,144,13,4,14,24
15,Confluencia,001,0001 ,0006,356,2,7,14,50,5,112,12,4,10,41
15,Confluencia,001,0001 ,0007,344,4,4,9,36,5,128,15,10,10,30
15,Confluencia,001,0001 ,0008,344,3,6,10,28,4,126,22,6,11,39
15,Confluencia,001,0001 ,0009,344,5,6,8,48,7,101,31,7,8,33
15,Confluencia,001,0001 ,0010,344,10,4,11,26,7,127,14,7,3,25
15,Confluencia,001,0001 ,0011,346,6,6,7,32,5,135,15,7,11,41
15,Confluencia,001,0001 ,0012,345,4,3,10,22,5,134,15,10,8,49
15,Confluencia,001,0001 ,0013,344,3,12,5,32,4,130,17,7,12,24
15,Confluencia,001,0001 ,0014,344,5,5,5,33,5,121,12,7,17,36
15,Confluencia,001,0001 ,0015,346,2,3,8,39,6,127,16,1,8,48
15,Confluencia,001,0001 ,0016,344,3,4,6,35,6,143,12,2,11,41
15,Confluencia,001,0001 ,0017,345,2,4,4,40,3,150,12,7,13,32
15,Confluencia,001,0001 ,0018,345,2,8,16,35,5,117,12,8,12,34
15,Confluencia,001,0001 ,0019,344,5,5,8,31,4,144,16,6,6,43
15,Confluencia,001,0001 ,0020,347,3,11,14,39,12,110,17,13,5,32
15,Confluencia,001,0001 ,0021,344,5,2,9,47,4,120,17,5,15,28
15,Confluencia,001,0001 ,0022,344,2,4,7,19,9,138,18,3,8,46
15,Confluencia,001,0001 ,0023,343,2,5,7,20,9,135,18,4,15,45
15,Confluencia,001,0001 ,0024,343,2,12,13,28,7,126,10,7,15,33
15,Confluencia,001,0001 ,0025,343,1,4,13,35,7,131,19,8,7,32
15,Confluencia,001,0001 ,0026,345,3,11,11,34,6,133,19,6,11,32
15,Confluencia,001,0001 ,0027,344,0,3,9,32,2,118,19,6,14,40
15,Confluencia,001,0001 ,0028,344,2,0,9,40,4,137,14,3,11,40
15,Confluencia,001,0001 ,0029,343,4,2,9,32,6,112,16,4,14,45
15,Confluencia,001,0001 ,0030,343,2,5,10,45,4,138,11,2,13,34
15,Confluencia,001,0001 ,0031,344,3,3,12,29,3,134,19,5,18,39
15,Confluencia,001,0001 ,0032,347,4,2,17,40,10,120,13,6,9,35
15,Confluencia,001,0001 ,0033,344,2,11,14,45,4,138,12,5,9,22
15,Confluencia,001,0001 ,0034,343,1,11,7,30,7,130,11,10,10,29
15,Confluencia,001,0001 ,0035,344,3,3,40,37,6,114,19,5,9,34
15,Confluencia,001,0001 ,0036,343,3,8,10,35,9,133,13,7,14,33
15,Confluencia,001,0001 ,0037,343,2,10,14,34,4,47,13,2,10,39
15,Confluencia,001,0001 ,0038,346,2,5,8,32,8,144,16,7,5,33
15,Confluencia,001,0001A,0039,248,2,8,5,17,8,87,13,5,15,19
15,Confluencia,001,0001A,0040,247,2,4,6,28,6,73,13,5,15,22
15,Confluencia,001,0001A,0041,251,1,9,8,15,7,89,10,4,15,24
15,Confluencia,001,0001B,0042,345,1,6,10,34,8,127,17,4,9,36
15,Confluencia,001,0001B,0043,346,3,11,10,33,6,128,13,4,12,33
15,Confluencia,001,0001B,0044,345,0,2,4,40,4,150,13,8,12,21
15,Confluencia,001,0001B,0045,344,0,11,10,42,9,120,16,3,7,30
15,Confluencia,001,0001B,0046,345,1,9,4,39,11,114,10,4,13,29
15,Confluencia,001,0001B,0047,344,1,4,14,38,2,131,10,8,9,36
15,Confluencia,001,0001B,0048,344,4,7,8,36,3,135,14,5,13,34
15,Confluencia,001,0001B,0049,343,2,9,12,27,4,132,16,7,9,37
15,Confluencia,001,0001B,0050,345,2,0,6,43,3,152,10,8,8,34
15,Confluencia,001,0001B,0051,346,3,4,7,29,8,134,20,6,12,33
15,Confluencia,001,0001B,0052,345,1,8,9,42,5,133,22,3,11,32
15,Confluencia,001,0001B,0053,344,1,7,16,38,6,129,11,8,8,37
15,Confluencia,001,0001B,0054,344,3,8,11,33,9,134,17,2,10,44
15,Confluencia,001,0001B,0055,343,1,9,12,25,7,134,14,7,13,41
15,Confluencia,001,0001B,0056,344,3,9,10,39,4,121,16,6,9,32
15,Confluencia,001,0001B,0057,343,5,7,17,37,2,108,27,3,10,33
15,Confluencia,001,0001B,0058,345,5,6,12,40,9,129,18,6,16,25
15,Confluencia,001,0001B,0059,343,2,9,10,41,5,117,14,5,15,34
15,Confluencia,001,0001B,0060,344,4,12,8,37,6,126,14,8,5,39
15,Confluencia,001,0001B,0061,346,3,12,6,34,9,140,10,6,11,30
15,Confluencia,001,0001C,0062,346,3,11,18,51,7,60,24,5,23,50
15,Confluencia,001,0001C,0063,345,1,9,23,72,3,70,14,5,33,43
15,Confluencia,001,0001C,0064,346,2,10,10,57,6,73,22,7,35,47
15,Confluencia,001,0001C,0065,346,0,10,14,50,4,81,26,9,27,46
15,Confluencia,001,0001C,0066,346,2,13,17,40,4,91,28,5,23,39
15,Confluencia,001,0001C,0067,349,2,16,20,61,7,61,20,5,30,48
15,Confluencia,001,0001C,0068,345,1,8,14,77,8,82,11,9,20,34
15,Confluencia,001,0001C,0069,345,3,0,24,55,5,62,30,5,33,34
15,Confluencia,001,0001C,0070,345,3,16,11,51,5,62,24,7,32,48
15,Confluencia,001,0001C,0071,346,2,15,17,58,3,72,22,10,30,55
15,Confluencia,001,0001C,0072,345,1,6,12,60,7,67,22,14,27,39
15,Confluencia,001,0001C,0073,348,3,13,14,48,5,66,24,9,33,40
15,Confluencia,001,0001D,0074,340,2,7,13,38,2,120,15,11,14,38
15,Confluencia,001,0001D,0075,340,3,9,15,29,6,108,16,7,25,36
15,Confluencia,001,0001D,0076,340,2,11,12,34,11,135,19,4,17,31
15,Confluencia,001,0001D,0077,340,3,6,19,36,8,111,24,7,5,41
15,Confluencia,001,0001D,0078,340,4,10,9,46,4,115,13,6,18,42
15,Confluencia,001,0001D,0079,341,3,11,9,36,4,128,12,1,17,47
15,Confluencia,001,0001D,0080,340,3,10,9,40,9,117,18,6,12,41
15,Confluencia,001,0001D,0081,340,2,3,6,39,8,128,8,8,16,52
15,Confluencia,001,0001D,0082,343,3,13,14,36,4,110,13,6,23,33
15,Confluencia,001,0001D,0083,340,4,8,7,29,7,130,14,5,16,38
15,Confluencia,001,0001D,0084,339,0,14,13,30,6,121,26,4,16,35
15,Confluencia,001,0001D,0085,339,5,13,11,33,7,107,20,3,17,50
15,Confluencia,001,0001D,0086,340,1,8,23,30,8,108,8,7,11,43
15,Confluencia,001,0001D,0087,339,3,6,11,45,8,115,19,2,17,33
15,Confluencia,001,0001D,0088,339,3,9,9,39,5,117,19,3,9,43
15,Confluencia,001,0001D,0089,340,3,3,12,28,4,110,20,5,17,43
15,Confluencia,001,0001D,0090,339,1,8,10,39,6,101,20,9,19,40
15,Confluencia,001,0001D,0091,343,0,1,11,27,7,120,15,5,12,51
15,Confluencia,001,0001E,0092,336,2,4,10,31,5,130,20,5,15,47
15,Confluencia,001,0001E,0093,336,5,10,15,30,9,130,23,3,5,37
15,Confluencia,001,0001E,0094,337,1,5,14,41,4,129,28,3,14,33
15,Confluencia,001,0001E,0095,336,2,9,13,48,4,120,27,5,8,38
15,Confluencia,001,0001E,0096,335,3,12,15,45,6,124,14,6,14,36
15,Confluencia,001,0001E,0097,335,4,6,16,39,8,104,18,7,23,41
15,Confluencia,001,0001E,0098,335,2,8,15,39,4,122,21,5,18,44
15,Confluencia,001,0001E,0099,335,0,7,5,37,4,126,16,8,8,42
15,Confluencia,001,0001E,0100,335,1,2,19,35,6,143,13,3,10,34
15,Confluencia,001,0001E,0101,338,3,11,11,26,6,128,25,6,25,36
15,Confluencia,001,0001E,0102,335,1,4,13,37,4,121,23,9,16,42
15,Confluencia,001,0001E,0103,336,3,9,11,29,7,123,23,6,13,47
15,Confluencia,001,0001E,0104,335,4,8,7,34,7,120,26,3,27,48
15,Confluencia,001,0001E,0105,335,1,16,20,40,5,95,25,5,16,30
15,Confluencia,001,0001E,0106,335,3,17,15,29,5,116,16,8,15,37
15,Confluencia,001,0001E,0107,335,4,6,7,32,9,125,18,5,17,41
15,Confluencia,001,0001E,0108,335,0,12,9,35,9,143,22,8,12,27
15,Confluencia,001,0001E,0109,335,2,9,15,37,10,103,31,3,24,34
15,Confluencia,001,0001E,0110,335,1,12,13,42,9,108,21,5,26,37
15,Confluencia,001,0001E,0111,335,2,8,15,43,7,127,19,4,13,33
15,Confluencia,001,0001E,0112,337,1,10,13,29,8,119,26,8,13,37
15,Confluencia,001,0001F,0113,328,1,14,20,70,6,41,29,5,36,55
15,Confluencia,001,0001F,0114,327,4,15,31,60,3,35,28,2,34,60
15,Confluencia,001,0001F,0115,327,2,11,23,61,6,44,33,4,29,55
15,Confluencia,001,0001F,0116,325,1,15,27,57,5,49,34,3,29,40
15,Confluencia,001,0001F,0117,328,0,15,20,66,7,37,42,3,37,48
15,Confluencia,001,0001F,0118,327,2,14,18,54,6,40,34,0,43,56
15,Confluencia,001,0001F,0119,325,1,20,19,53,6,46,35,3,23,62
15,Confluencia,001,0001F,0120,325,0,12,23,56,11,46,45,7,36,51
15,Confluencia,001,0001F,0121,326,1,11,24,65,3,40,38,6,29,52
15,Confluencia,001,0001F,0122,328,2,10,17,63,3,53,33,6,34,55
15,Confluencia,001,0001G,0123,350,4,11,18,85,9,57,22,8,20,64
15,Confluencia,001,0001G,0124,351,2,20,20,61,11,63,29,9,35,39
15,Confluencia,001,0001G,0125,350,3,20,25,51,3,60,34,6,32,51
15,Confluencia,001,0001G,0126,350,1,18,16,51,7,72,32,10,39,54
15,Confluencia,001,0001G,0127,350,3,13,16,59,10,74,23,5,22,51
15,Confluencia,001,0001G,0128,351,5,18,31,62,7,41,35,5,38,52
15,Confluencia,001,0001G,0129,350,0,0,22,56,2,71,0,7,35,0
15,Confluencia,001,0001G,0130,350,4,15,23,58,10,61,22,2,40,48
15,Confluencia,001,0001G,0131,350,5,10,25,54,5,66,22,7,27,66
15,Confluencia,001,0001G,0132,353,8,15,20,61,4,55,24,3,33,54
15,Confluencia,001,0001G,0133,350,2,16,16,47,17,73,22,7,24,62
15,Confluencia,001,0001G,0134,350,5,10,17,51,1,58,28,4,34,52
15,Confluencia,001,0001G,0135,350,2,17,15,66,7,74,38,1,33,41
15,Confluencia,001,0001G,0136,350,1,12,22,51,9,68,32,7,35,53
15,Confluencia,001,0001G,0137,349,2,17,20,48,13,71,28,4,31,52
15,Confluencia,001,0001G,0138,350,2,17,21,61,8,81,22,8,32,45
15,Confluencia,001,0001G,0139,351,4,11,14,59,11,56,26,7,37,44
15,Confluencia,001,0001G,0140,352,1,15,21,52,7,57,25,9,39,61
15,Confluencia,001,0001G,0141,349,4,17,14,46,5,66,25,4,47,65
15,Confluencia,001,0001G,0142,349,1,24,35,65,9,42,25,4,34,46
15,Confluencia,001,0001G,0143,349,3,20,20,45,14,58,29,5,35,51
15,Confluencia,001,0001G,0144,349,1,11,32,60,4,55,21,11,27,60
15,Confluencia,001,0001G,0145,349,0,11,25,52,7,62,24,3,35,55
15,Confluencia,001,0001G,0146,350,2,14,18,59,5,70,24,4,40,46
15,Confluencia,001,0001G,0147,349,3,12,22,61,6,63,24,4,35,61
15,Confluencia,001,0001G,0148,349,2,6,15,51,7,73,16,11,43,61
15,Confluencia,001,0001G,0149,352,4,18,14,55,7,70,32,7,37,54
15,Confluencia,001,0001G,0150,349,3,8,23,54,8,56,31,8,36,56
15,Confluencia,001,0001G,0151,349,3,13,24,50,9,78,23,5,32,53
15,Confluencia,001,0001G,0152,349,1,18,18,52,10,68,22,6,28,63
15,Confluencia,001,0001G,0153,349,5,18,16,55,7,77,28,10,31,51
15,Confluencia,001,0001G,0154,349,2,19,14,50,8,81,27,2,24,47
15,Confluencia,001,0001G,0155,349,2,10,16,38,3,80,24,8,21,80
15,Confluencia,001,0001G,0156,349,1,5,20,46,9,80,22,5,37,53
15,Confluencia,001,0001G,0157,350,0,11,22,53,9,66,30,6,40,44
15,Confluencia,001,0001G,0158,351,2,13,21,52,9,69,18,9,30,55
15,Confluencia,001,0001G,0159,349,6,15,28,48,10,67,27,4,29,49
15,Confluencia,001,0001G,0160,349,3,6,20,41,5,81,26,5,26,52
15,Confluencia,001,0001G,0161,350,0,12,22,67,6,46,37,7,33,47
15,Confluencia,001,0001G,0162,349,4,19,30,57,8,53,27,4,34,47
15,Confluencia,001,0001G,0163,350,1,23,21,62,6,76,16,1,33,50
15,Confluencia,001,0001G,0164,349,1,21,27,66,10,69,19,6,33,47
15,Confluencia,001,0001G,0165,349,6,15,19,51,8,76,21,4,23,63
15,Confluencia,001,0001G,0166,348,0,10,17,58,6,82,22,4,38,49
15,Confluencia,001,0001G,0167,349,2,12,16,62,8,70,22,7,23,52
15,Confluencia,001,0001G,0168,351,4,11,30,45,7,51,24,7,40,55
15,Confluencia,001,0001G,0169,350,1,14,20,60,7,60,19,10,27,57
15,Confluencia,001,0001G,0170,349,4,18,18,56,13,59,26,5,26,58
15,Confluencia,001,0001G,0171,349,4,8,26,57,8,72,28,8,33,39
15,Confluencia,001,0001G,0172,350,3,13,31,53,7,76,21,4,30,56
15,Confluencia,001,0001G,0173,351,3,19,27,52,5,69,18,7,39,46
15,Confluencia,001,0001G,0174,349,3,13,18,55,2,47,19,5,54,54
15,Confluencia,001,0001G,0175,349,2,15,28,55,15,42,27,7,31,64
15,Confluencia,001,0001G,0176,349,4,14,22,63,6,64,28,4,30,59
15,Confluencia,001,0001G,0177,351,3,16,17,50,5,59,32,5,25,67
15,Confluencia,001,0001G,0178,354,2,18,23,72,14,57,30,7,42,45
15,Confluencia,001,0001G,0179,349,3,21,19,62,8,77,23,3,11,53
15,Confluencia,001,0001G,0180,349,3,16,12,59,8,64,23,7,36,49
15,Confluencia,001,0001G,0181,349,2,9,20,40,11,70,38,4,24,59
15,Confluencia,001,0001G,0182,349,1,10,25,48,8,61,33,8,33,55
15,Confluencia,001,0001G,0183,349,1,18,22,72,4,46,22,6,34,54
15,Confluencia,001,0001G,0184,352,2,14,17,43,9,63,26,1,35,69
15,Confluencia,001,0001G,0185,349,4,6,18,46,15,71,18,4,24,61
15,Confluencia,001,0001G,0186,348,0,17,25,46,10,62,22,3,35,51
15,Confluencia,001,0001G,0187,349,9,30,25,62,1,58,18,7,26,53
15,Confluencia,001,0001G,0188,348,2,20,19,47,8,86,21,3,23,52
15,Confluencia,001,0001G,0189,349,0,13,13,52,11,75,26,8,32,50
15,Confluencia,001,0001G,0190,349,1,16,19,64,6,71,28,7,31,46
15,Confluencia,001,0001G,0191,349,1,18,15,61,9,79,25,8,27,38
15,Confluencia,001,0001G,0192,349,5,19,27,64,12,68,20,3,31,30
15,Confluencia,001,0001G,0193,349,5,17,22,75,8,63,16,6,30,48
15,Confluencia,001,0001G,0194,351,6,13,40,63,9,76,25,3,25,60
15,Confluencia,001,0001G,0195,349,3,18,18,57,9,66,27,8,32,46
15,Confluencia,001,0001G,0196,349,5,17,15,47,10,57,26,1,36,81
15,Confluencia,001,0001G,0197,349,1,10,17,61,10,61,28,10,42,45
15,Confluencia,001,0001G,0198,349,3,13,26,54,10,70,24,3,38,53
15,Confluencia,001,0001G,0199,349,1,21,26,41,6,54,36,3,39,65
15,Confluencia,001,0001G,0200,349,4,18,21,56,4,84,23,2,15,49
15,Confluencia,001,0001G,0201,349,4,16,24,54,7,46,26,3,55,62
15,Confluencia,001,0001G,0202,349,5,18,18,49,4,58,33,3,21,64
15,Confluencia,001,0001G,0203,349,3,10,23,55,12,81,23,5,25,51
15,Confluencia,001,0001G,0204,352,5,8,27,45,15,69,29,9,27,53
15,Confluencia,001,0001G,0205,350,4,18,30,59,7,49,26,6,32,49
15,Confluencia,001,0001G,0206,349,4,13,21,59,6,63,33,5,38,48
15,Confluencia,001,0001G,0207,349,3,18,10,61,6,53,19,1,41,52
15,Confluencia,001,0001G,0208,350,3,17,23,47,9,74,25,3,38,60
15,Confluencia,001,0001G,0209,349,3,18,19,51,10,63,29,2,28,55
15,Confluencia,001,0001G,0210,349,1,14,21,66,14,73,22,3,28,49
15,Confluencia,001,0001G,0211,348,3,18,25,68,6,56,32,4,32,50
15,Confluencia,001,0001G,0212,352,1,16,17,52,11,75,22,6,42,38
15,Confluencia,001,0001G,0213,349,3,12,17,60,4,70,33,3,31,39
15,Confluencia,001,0001G,0214,349,3,14,26,53,4,63,31,8,31,53
15,Confluencia,001,0001G,0215,349,5,13,10,64,3,67,28,6,40,50
15,Confluencia,001,0001G,0216,350,4,14,11,61,7,52,27,2,30,58
15,Confluencia,001,0001G,0217,349,4,16,21,56,9,64,24,5,39,50
15,Confluencia,001,0001G,0218,349,4,21,22,60,11,45,29,6,46,51
15,Confluencia,001,0001G,0219,349,1,11,25,47,6,59,21,7,35,57
15,Confluencia,001,0001G,0220,349,1,23,16,60,4,69,20,11,34,53
15,Confluencia,001,0001G,0221,349,2,20,18,48,7,67,25,8,28,60
15,Confluencia,001,0001G,0222,351,7,22,11,61,9,56,25,5,37,50
15,Confluencia,001,0001G,0223,349,0,13,18,68,9,77,27,4,26,43
15,Confluencia,001,0001G,0224,349,3,12,19,63,7,67,16,6,42,64
15,Confluencia,001,0001G,0225,348,3,20,35,50,5,55,18,7,46,56
15,Confluencia,001,0001G,0226,350,5,12,24,47,8,70,21,11,38,51
15,Confluencia,001,0001G,0227,350,1,13,29,59,9,51,19,9,34,57
15,Confluencia,001,0001G,0228,350,8,3,14,59,4,83,24,10,31,55
15,Confluencia,001,0001G,0229,351,2,7,28,77,14,68,16,4,29,57
15,Confluencia,001,0001G,0230,349,2,18,21,54,3,63,24,7,31,57
15,Confluencia,001,0001G,0231,349,6,15,18,38,7,88,29,6,29,53
15,Confluencia,001,0001G,0232,349,1,13,15,66,8,82,30,5,26,39
15,Confluencia,001,0001G,0233,350,1,10,14,38,7,74,31,9,32,57
15,Confluencia,001,0001G,0234,350,2,8,24,57,8,53,29,5,29,61
15,Confluencia,001,0001G,0235,349,3,9,24,55,9,75,27,4,36,47
15,Confluencia,001,0001G,0236,349,1,18,16,63,8,69,24,5,42,59
15,Confluencia,001,0001G,0237,349,0,17,10,62,14,53,31,1,46,45
15,Confluencia,001,0001G,0238,350,1,14,23,49,7,62,18,12,48,49
15,Confluencia,001,0001G,0239,350,3,16,25,64,9,64,27,4,34,57
15,Confluencia,001,0001G,0240,349,4,16,22,60,7,42,27,8,45,50
15,Confluencia,001,0001G,0241,349,6,16,14,42,13,79,36,4,34,44
15,Confluencia,001,0001G,0242,350,2,18,22,46,3,60,20,6,30,75
15,Confluencia,001,0001G,0243,349,8,15,13,48,8,81,22,7,31,61
15,Confluencia,001,0001G,0244,349,2,9,28,52,9,67,20,4,41,45
15,Confluencia,001,0001G,0245,350,4,10,19,50,12,79,26,6,44,45
15,Confluencia,001,0002 ,0589,348,1,11,5,31,2,39,6,5,176,20
