codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0006,0045,0048,0178,0179,0180,0181,0187,0440,0441
15,Confluencia                             ,001,0001 ,0001,331,67,6,23,0,2,8,35,52,2,0,36,0,0
15,Confluencia                             ,001,0001 ,0002,330,48,3,22,0,1,8,50,39,3,0,42,0,0
15,Confluencia                             ,001,0001 ,0003,330,48,7,27,0,2,7,55,49,0,1,36,0,1
15,Confluencia                             ,001,0001 ,0004,330,54,5,30,0,1,14,54,41,1,3,36,0,0
15,Confluencia                             ,001,0001 ,0005,330,40,7,27,0,0,6,59,49,1,1,44,0,0
15,Confluencia                             ,001,0001 ,0006,330,49,9,37,0,2,7,49,38,2,0,44,0,0
15,Confluencia                             ,001,0001 ,0007,330,36,5,29,0,4,10,58,40,1,0,39,0,0
15,Confluencia                             ,001,0001 ,0008,330,58,8,28,0,1,11,54,50,0,1,34,0,0
15,Confluencia                             ,001,0001 ,0009,330,38,3,30,0,2,12,53,57,1,0,34,0,0
15,Confluencia                             ,001,0001 ,0010,330,48,7,32,0,3,4,57,43,2,1,40,0,0
15,Confluencia                             ,001,0001 ,0011,330,44,1,36,0,1,13,61,47,0,1,33,0,0
15,Confluencia                             ,001,0001 ,0012,330,37,5,39,0,3,4,53,54,2,0,39,0,2
15,Confluencia                             ,001,0001 ,0013,330,0,0,21,0,0,9,55,52,1,2,40,0,0
15,Confluencia                             ,001,0001 ,0014,330,42,8,29,0,1,11,46,46,3,2,38,0,0
15,Confluencia                             ,001,0001 ,0015,330,51,6,15,0,1,12,54,39,2,1,36,0,1
15,Confluencia                             ,001,0001 ,0016,330,38,4,29,0,4,13,60,48,1,3,32,0,1
15,Confluencia                             ,001,0001 ,1000,320,47,8,32,0,0,6,71,47,2,1,28,0,1
15,Confluencia                             ,001,0001 ,1001,320,45,12,26,0,1,6,68,53,1,3,30,0,0
15,Confluencia                             ,001,0001 ,1002,320,45,6,28,0,2,7,63,45,2,4,32,0,1
15,Confluencia                             ,001,0001 ,1003,320,51,7,30,0,1,9,66,33,2,1,36,0,0
15,Confluencia                             ,001,0001 ,1004,320,0,0,27,0,0,0,0,0,0,0,0,0,0
15,Confluencia                             ,001,0001 ,1005,320,28,2,46,0,2,7,66,40,0,2,37,0,0
15,Confluencia                             ,001,0001 ,1006,320,44,6,38,0,1,7,65,45,1,0,28,0,0
