codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00024,00036,00037,00050,00067
15,001,Confluencia,03652,074219,0,0,33,10,9,82,107,53
15,001,Confluencia,03652,074220,0,0,25,19,17,88,117,34
15,001,Confluencia,03652,074221,0,0,18,17,28,76,93,53
15,001,Confluencia,03652,074222,0,0,8,8,18,72,140,43
15,001,Confluencia,03652,074223,0,0,15,17,17,77,126,46
15,001,Confluencia,03652,074224,0,0,16,12,8,76,129,39
15,001,Confluencia,03652,074225,0,0,21,14,15,77,101,48
15,001,Confluencia,03652,074226,0,0,16,14,15,86,94,54
15,001,Confluencia,03652,074227,0,0,13,15,17,96,98,50
15,001,Confluencia,03652,074228,0,0,14,9,14,93,108,48
15,001,Confluencia,03652,074229,0,0,33,12,11,78,89,65
15,001,Confluencia,03652,074230,0,0,22,11,15,90,97,53
15,001,Confluencia,03652,074231,0,0,21,14,14,86,98,57
15,001,Confluencia,03652,074232,0,0,17,12,14,66,115,41
15,001,Confluencia,03652,074233,0,0,22,18,16,92,104,35
15,001,Confluencia,03652,074234,0,0,22,17,9,107,103,38
15,001,Confluencia,03652,074235,0,0,36,10,23,85,72,64
15,001,Confluencia,03652,074236,0,0,19,14,29,87,108,54
15,001,Confluencia,03652,074237,0,0,19,10,16,104,88,60
15,001,Confluencia,03652,074238,0,0,19,12,6,98,96,46
15,001,Confluencia,03652,074239,0,0,18,9,24,83,111,56
15,001,Confluencia,03652,074240,0,0,32,14,15,88,69,62
15,001,Confluencia,03652,074241,0,0,32,21,17,70,107,52
15,001,Confluencia,03652,074242,0,0,17,10,20,102,93,45
15,001,Confluencia,03652,074243,0,0,29,10,25,76,105,51
15,001,Confluencia,03652,074244,0,0,27,11,16,86,91,59
15,001,Confluencia,03652,074245,0,0,15,11,16,93,101,51
15,001,Confluencia,03652,074246,0,0,21,11,21,93,91,59
15,001,Confluencia,03652,074247,0,0,24,19,17,93,93,51
15,001,Confluencia,03652,074248,0,0,21,15,25,84,86,55
15,001,Confluencia,03652,101003,0,0,0,0,0,0,0,0
15,001,Confluencia,03653,074249,0,0,19,10,28,75,98,50
15,001,Confluencia,03653,074250,0,0,24,13,15,76,103,45
15,001,Confluencia,03653,074251,0,0,23,19,16,84,91,47
15,001,Confluencia,03653,074252,0,0,13,14,17,82,106,43
15,001,Confluencia,03653,074253,0,0,15,11,12,77,107,55
15,001,Confluencia,03653,074254,0,0,17,14,19,85,88,46
15,001,Confluencia,03653,074255,0,0,17,12,22,86,106,39
15,001,Confluencia,03653,074256,0,0,24,10,14,67,116,45
15,001,Confluencia,03653,074257,0,0,11,13,13,75,106,44
15,001,Confluencia,03653,074258,0,0,18,9,16,86,98,51
15,001,Confluencia,03653,074259,0,0,21,17,14,87,89,42
15,001,Confluencia,03653,074260,0,0,10,13,19,85,101,43
15,001,Confluencia,03653,074261,0,0,37,12,18,79,83,48
15,001,Confluencia,03653,074262,0,0,10,17,13,104,93,49
15,001,Confluencia,03653,074263,0,0,18,11,15,78,105,43
15,001,Confluencia,03653,074264,0,0,11,18,9,90,103,41
15,001,Confluencia,03653,074265,0,0,31,6,19,81,102,40
15,001,Confluencia,03653,074266,0,0,19,19,19,78,89,50
15,001,Confluencia,03653,074267,0,0,10,18,13,79,109,53
15,001,Confluencia,03653,074268,0,0,22,11,16,76,106,55
15,001,Confluencia,03654,074269,0,0,11,19,16,71,116,44
15,001,Confluencia,03654,074270,0,0,2,10,16,62,139,0
15,001,Confluencia,03654,074271,0,0,16,23,14,69,106,64
15,001,Confluencia,03654,074272,0,0,14,5,22,88,111,47
15,001,Confluencia,03654,074273,0,0,12,13,18,67,124,50
15,001,Confluencia,03654,074274,0,0,25,7,15,60,131,49
15,001,Confluencia,03654,074275,0,0,16,15,7,77,116,42
15,001,Confluencia,03654,074276,0,0,14,15,23,69,120,46
15,001,Confluencia,03654,074277,0,0,14,12,16,80,110,49
15,001,Confluencia,03654,074278,0,0,6,15,10,80,100,57
15,001,Confluencia,03654,074279,0,0,10,8,17,68,112,57
15,001,Confluencia,03654,074280,0,0,12,11,22,116,104,43
15,001,Confluencia,03654,074281,0,0,16,7,17,59,125,46
15,001,Confluencia,03654,074282,0,0,16,18,11,67,119,56
15,001,Confluencia,03654,074283,0,0,23,11,14,54,133,38
15,001,Confluencia,03654,074284,0,0,18,9,18,62,144,39
15,001,Confluencia,03654,074285,0,0,15,10,21,83,110,42
15,001,Confluencia,03654,074286,0,0,14,6,11,83,107,61
15,001,Confluencia,03654,074287,0,0,15,6,14,67,128,40
15,001,Confluencia,03654,074288,0,0,18,19,18,72,114,38
15,001,Confluencia,03654,074289,0,0,15,13,17,70,122,46
15,001,Confluencia,03654,074290,0,0,12,10,19,77,135,42
15,001,Confluencia,03654,074291,0,0,21,11,20,73,111,31
15,001,Confluencia,03654,074292,0,0,16,19,20,87,100,49
15,001,Confluencia,03654,074293,0,0,7,10,26,65,111,55
15,001,Confluencia,03654,074294,0,0,14,17,19,73,114,47
15,001,Confluencia,03654,074295,0,0,19,9,16,60,114,65
15,001,Confluencia,03654,074296,0,0,13,12,13,85,120,53
15,001,Confluencia,03654,074297,0,0,13,10,15,73,110,50
15,001,Confluencia,03654,074298,0,0,20,8,21,67,118,50
15,001,Confluencia,03654,074299,0,0,22,11,12,70,110,57
15,001,Confluencia,03654,074300,0,0,14,16,7,83,123,39
15,001,Confluencia,03654,074301,0,0,21,16,17,68,122,51
15,001,Confluencia,03654,074302,0,0,21,10,15,80,107,49
15,001,Confluencia,03654,074303,0,0,13,12,18,71,124,39
15,001,Confluencia,03654,074304,0,0,18,16,24,72,108,50
15,001,Confluencia,03654,074305,0,0,20,13,15,74,117,41
15,001,Confluencia,03654,074306,0,0,18,14,19,57,123,63
15,001,Confluencia,03655,074307,0,0,4,8,16,37,86,33
15,001,Confluencia,03655,074308,0,0,7,15,8,40,96,26
15,001,Confluencia,03655,074309,0,0,9,11,15,51,94,20
15,001,Confluencia,03656,074310,0,0,17,9,31,67,104,37
15,001,Confluencia,03656,074311,0,0,16,12,8,84,107,46
15,001,Confluencia,03656,074312,0,0,11,8,8,117,76,39
15,001,Confluencia,03656,074313,0,0,19,14,13,79,98,41
15,001,Confluencia,03656,074314,0,0,18,8,20,73,104,38
15,001,Confluencia,03656,074315,0,0,12,15,17,108,81,35
15,001,Confluencia,03656,074316,0,0,16,13,20,82,107,34
15,001,Confluencia,03656,074317,0,0,22,16,13,67,116,38
15,001,Confluencia,03656,074318,0,0,18,15,14,85,97,43
15,001,Confluencia,03656,074319,0,0,23,8,21,64,109,46
15,001,Confluencia,03656,074320,0,0,23,13,13,102,88,34
15,001,Confluencia,03657,074321,0,0,17,10,13,71,140,41
15,001,Confluencia,03657,074322,0,0,14,15,15,91,104,47
15,001,Confluencia,03657,074323,0,0,9,14,19,83,129,33
15,001,Confluencia,03657,074324,0,0,9,14,21,76,127,42
15,001,Confluencia,03657,074325,0,0,10,14,18,78,125,34
15,001,Confluencia,03657,074326,0,0,20,14,21,78,120,36
15,001,Confluencia,03657,074327,0,0,15,13,19,84,110,43
15,001,Confluencia,03657,074328,0,0,12,14,5,66,149,40
15,001,Confluencia,03657,074329,0,0,13,14,12,87,123,44
15,001,Confluencia,03657,074330,0,0,21,8,11,68,137,47
15,001,Confluencia,03657,074331,0,0,13,17,12,82,128,31
15,001,Confluencia,03657,074332,0,0,13,11,17,75,140,47
15,001,Confluencia,03657,074333,0,0,18,10,16,67,121,48
15,001,Confluencia,03657,074334,0,0,15,14,16,72,134,47
15,001,Confluencia,03657,074335,0,0,19,13,9,69,121,53
15,001,Confluencia,03657,074336,0,0,11,12,22,71,120,52
15,001,Confluencia,03657,074337,0,0,23,24,14,73,114,38
15,001,Confluencia,03657,074338,0,0,15,16,16,80,107,46
15,001,Confluencia,03657,074339,0,0,12,10,12,68,115,61
15,001,Confluencia,03657,074340,0,0,16,21,13,81,127,35
15,001,Confluencia,03657,074341,0,0,14,18,22,75,118,32
15,001,Confluencia,03657,074342,0,0,15,11,17,83,120,46
15,001,Confluencia,03657,074343,0,0,25,6,14,75,118,51
15,001,Confluencia,03657,074344,0,0,16,12,20,72,121,52
15,001,Confluencia,03657,074345,0,0,19,13,21,79,112,50
15,001,Confluencia,03657,074346,0,0,11,22,21,62,120,62
15,001,Confluencia,03657,074347,0,0,15,11,15,62,136,59
15,001,Confluencia,03657,074348,0,0,4,19,14,64,102,61
15,001,Confluencia,03657,074349,0,0,19,17,12,83,118,36
15,001,Confluencia,03658,074350,0,0,12,15,16,49,143,34
15,001,Confluencia,03658,074351,0,0,6,13,20,56,141,37
15,001,Confluencia,03658,074352,0,0,10,11,10,68,159,28
15,001,Confluencia,03658,074353,0,0,11,10,13,67,149,36
15,001,Confluencia,03658,074354,0,0,12,13,23,44,145,33
15,001,Confluencia,03658,074355,0,0,7,7,9,77,152,45
15,001,Confluencia,03658,074356,0,0,11,9,17,44,150,35
15,001,Confluencia,03658,074357,0,0,21,13,12,49,141,32
15,001,Confluencia,03658,074358,0,0,11,4,17,69,131,43
15,001,Confluencia,03658,074359,0,0,13,12,12,42,148,45
15,001,Confluencia,03658,074360,0,0,11,7,12,66,170,27
15,001,Confluencia,03658,074361,0,0,12,11,11,65,145,40
15,001,Confluencia,03658,074362,0,0,10,9,11,51,167,35
15,001,Confluencia,03658,074363,0,0,12,9,17,55,145,23
15,001,Confluencia,03658,074364,0,0,14,5,20,50,157,36
15,001,Confluencia,03658,074365,0,0,15,12,11,57,145,26
