codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00002,00085,00009,00008,00005,00001
15,001,Confluencia,00001,000001,348,27,15,0,44,78,16,85,17
15,001,Confluencia,00001,000010,348,24,17,6,49,76,13,79,18
15,001,Confluencia,00001,000011,346,29,13,2,43,79,15,91,8
15,001,Confluencia,00001,000012,345,35,13,2,57,72,13,82,13
15,001,Confluencia,00001,000013,351,30,13,5,49,73,14,80,21
15,001,Confluencia,00001,000014,349,26,19,4,73,66,14,80,9
15,001,Confluencia,00001,000015,349,17,14,3,47,85,23,59,16
15,001,Confluencia,00001,000016,352,22,10,7,58,78,17,85,14
15,001,Confluencia,00001,000017,349,25,16,1,46,61,13,108,16
15,001,Confluencia,00001,000018,351,32,17,3,55,52,25,87,18
15,001,Confluencia,00001,000019,351,24,13,4,43,74,26,92,17
15,001,Confluencia,00001,000002,352,37,11,4,42,78,12,85,18
15,001,Confluencia,00001,000020,348,25,14,3,50,64,17,102,11
15,001,Confluencia,00001,000021,349,25,13,2,44,78,11,100,11
15,001,Confluencia,00001,000022,354,26,21,4,59,77,25,74,11
15,001,Confluencia,00001,000023,349,28,11,7,60,56,10,84,10
15,001,Confluencia,00001,000024,347,34,9,7,54,81,21,75,7
15,001,Confluencia,00001,000025,348,29,16,3,38,61,17,108,16
15,001,Confluencia,00001,000026,347,31,12,7,46,75,29,85,14
15,001,Confluencia,00001,000027,349,29,19,3,52,75,16,83,8
15,001,Confluencia,00001,000028,350,23,9,3,47,77,16,95,12
15,001,Confluencia,00001,000029,347,19,7,3,55,69,24,91,17
15,001,Confluencia,00001,000003,347,27,13,2,62,68,23,86,11
15,001,Confluencia,00001,000030,350,26,18,1,56,64,15,97,16
15,001,Confluencia,00001,000031,356,44,0,6,47,77,24,79,12
15,001,Confluencia,00001,000004,350,23,16,2,43,86,15,79,18
15,001,Confluencia,00001,000005,351,29,4,4,49,82,16,86,18
15,001,Confluencia,00001,000006,350,29,9,0,53,88,20,68,21
15,001,Confluencia,00001,000007,350,15,24,1,49,87,14,67,18
15,001,Confluencia,00001,000008,349,30,17,4,45,71,10,89,12
15,001,Confluencia,00001,000009,351,17,14,3,52,69,12,86,17
15,001,Confluencia,00008,000032,332,22,14,1,39,71,24,81,24
15,001,Confluencia,00008,000033,335,18,13,2,50,79,18,77,14
15,001,Confluencia,00008,000034,333,24,10,5,47,68,18,76,20
15,001,Confluencia,00008,000035,333,17,10,2,47,73,18,71,19
15,001,Confluencia,00008,000036,334,19,7,7,46,83,16,83,10
15,001,Confluencia,00008,000037,332,26,10,2,43,62,23,84,19
15,001,Confluencia,00008,000038,332,22,10,4,50,76,17,68,16
15,001,Confluencia,00008,000039,338,13,12,8,47,91,14,63,12
15,001,Confluencia,00008,000040,331,21,9,6,48,83,17,65,12
15,001,Confluencia,00008,000041,335,18,11,6,48,74,12,84,12
15,001,Confluencia,00008,000042,332,15,3,3,44,82,18,91,15
15,001,Confluencia,00008,000043,331,28,14,5,45,80,15,84,14
15,001,Confluencia,00008,000044,331,26,10,5,57,66,14,84,14
15,001,Confluencia,00008,000045,338,13,11,3,51,67,17,100,13
15,001,Confluencia,00008,000046,333,24,11,4,47,74,12,85,9
15,001,Confluencia,00008,000047,336,25,12,2,45,81,14,83,11
