codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0022,0047,0133,0602
11,Atreuco,001,0001 ,0001,289,72,2,2,91,0,2,83
11,Atreuco,001,0001 ,0002,286,50,4,3,98,4,4,87
11,Atreuco,001,0001 ,0003,288,63,2,0,95,6,8,84
11,Atreuco,001,0001 ,0004,289,62,0,0,106,5,7,67
11,Atreuco,001,0001 ,0005,287,78,1,1,98,2,9,67
11,Atreuco,001,0002 ,0006,343,33,0,3,151,0,4,104
11,Atreuco,001,0002 ,0007,343,28,0,5,128,4,4,127
11,Atreuco,001,0002 ,0008,345,36,1,6,168,2,6,79
11,Atreuco,001,0002 ,0009,343,31,0,5,152,3,5,103
11,Atreuco,001,0002 ,0010,345,44,0,6,134,3,2,120
11,Atreuco,001,0002 ,0011,343,38,2,9,130,2,6,123
11,Atreuco,001,0002 ,0012,345,46,0,9,145,2,3,104
11,Atreuco,001,0002 ,0013,343,38,3,2,157,0,1,103
11,Atreuco,001,0002 ,0014,343,52,0,1,118,1,3,117
11,Atreuco,001,0002 ,0015,345,41,0,2,155,1,5,105
11,Atreuco,001,0002 ,0016,345,33,4,2,123,1,5,124
11,Atreuco,001,0002 ,0017,342,44,1,3,144,3,2,105
11,Atreuco,001,0003 ,0018,333,32,0,1,106,1,3,154
11,Atreuco,001,0003 ,0019,334,22,2,0,127,0,0,142
11,Atreuco,001,0003 ,0020,333,19,2,1,138,0,1,126
11,Atreuco,001,0003 ,0021,333,11,2,0,135,0,3,150
11,Atreuco,001,0003 ,0022,333,28,4,0,123,2,6,134
11,Atreuco,001,0003 ,0023,334,26,3,2,115,0,1,140
11,Atreuco,001,0004 ,0024,281,54,0,0,117,2,4,78
11,Atreuco,001,0004 ,0025,286,26,0,3,129,0,4,90
11,Atreuco,001,0005 ,0026,189,36,3,3,17,2,6,101
11,Atreuco,001,0005 ,0027,188,38,3,4,16,6,10,91
11,Capital,002,0006 ,0028,318,30,3,0,131,1,3,121
11,Capital,002,0006 ,0029,318,27,2,2,133,0,4,113
11,Capital,002,0006 ,0030,318,10,4,0,115,2,10,137
11,Capital,002,0006 ,0031,317,27,2,1,132,1,2,119
11,Capital,002,0006 ,0032,317,27,2,1,101,2,1,133
11,Capital,002,0009 ,0033,350,83,3,5,117,1,7,55
11,Capital,002,0009 ,0034,350,60,4,8,102,5,14,65
11,Capital,002,0009 ,0035,350,67,1,3,111,2,5,71
11,Capital,002,0009 ,0036,348,66,3,4,125,6,4,75
11,Capital,002,0009 ,0037,349,1,6,3,113,2,10,66
11,Capital,002,0009 ,0038,349,55,7,7,112,4,13,69
11,Capital,002,0009 ,0039,349,62,5,6,117,7,9,66
11,Capital,002,0009 ,0040,351,61,10,8,128,2,9,63
11,Capital,002,0009 ,0041,351,72,4,4,115,1,6,71
11,Capital,002,0009 ,0042,350,66,2,5,124,4,5,72
11,Capital,002,0009 ,0043,349,42,5,0,123,4,9,70
11,Capital,002,0009 ,0044,349,73,4,6,113,6,6,67
11,Capital,002,0009 ,0045,349,65,2,4,112,6,7,75
11,Capital,002,0009 ,0046,349,55,5,7,93,3,8,87
11,Capital,002,0009 ,0047,349,57,4,3,107,7,7,86
11,Capital,002,0009 ,0048,352,65,11,6,113,2,16,56
11,Capital,002,0009 ,0049,352,115,2,1,133,3,9,41
11,Capital,002,0009 ,0050,349,59,7,7,106,6,17,70
11,Capital,002,0009 ,0051,350,66,2,6,101,0,12,90
11,Capital,002,0009 ,0052,348,83,3,5,118,5,10,49
11,Capital,002,0009 ,0053,352,67,1,2,121,4,8,63
11,Capital,002,0009 ,0054,349,0,0,6,138,5,10,51
11,Capital,002,0009 ,0055,351,83,1,3,86,4,4,92
11,Capital,002,0009 ,0056,350,63,4,5,129,2,10,67
11,Capital,002,0009 ,0057,348,65,9,9,110,3,10,71
11,Capital,002,0009 ,0058,348,53,4,4,124,4,6,70
11,Capital,002,0009 ,0059,348,0,63,3,82,8,9,102
11,Capital,002,0009 ,0060,348,0,3,6,93,0,8,86
11,Capital,002,0009 ,0061,349,77,10,0,127,4,3,75
11,Capital,002,0009 ,0062,351,57,5,4,135,1,13,64
11,Capital,002,0009 ,0063,348,57,2,9,127,1,10,60
11,Capital,002,0009 ,0064,349,35,2,3,111,3,5,74
11,Capital,002,0009 ,0065,350,71,2,8,99,1,12,72
11,Capital,002,0009 ,0066,349,63,2,5,108,4,12,80
11,Capital,002,0009 ,0067,349,74,7,6,100,6,7,83
11,Capital,002,0009 ,0068,348,2,4,7,118,4,6,87
11,Capital,002,0009 ,0069,349,72,1,2,102,3,7,78
11,Capital,002,0009 ,0070,348,70,0,6,124,4,8,68
11,Capital,002,0009 ,0071,348,84,3,6,109,8,5,59
11,Capital,002,0009 ,0072,349,54,4,11,110,6,7,87
11,Capital,002,0009 ,0073,351,61,5,3,131,2,6,80
11,Capital,002,0009 ,0074,347,2,4,1,114,3,0,93
11,Capital,002,0009 ,0075,348,71,7,5,124,6,6,73
11,Capital,002,0009 ,0076,348,62,2,5,117,8,13,54
11,Capital,002,0009 ,0077,349,61,3,5,0,4,5,64
11,Capital,002,0009 ,0078,348,55,3,4,132,1,11,59
11,Capital,002,0009 ,0079,349,0,0,0,106,5,0,76
11,Capital,002,0009 ,0080,348,56,0,5,122,3,10,76
11,Capital,002,0009 ,0081,350,77,0,6,121,1,7,61
11,Capital,002,0009 ,0082,350,66,13,2,116,3,10,69
11,Capital,002,0009 ,0083,349,69,0,1,101,2,10,99
11,Capital,002,0009 ,0084,348,75,0,2,125,6,13,55
11,Capital,002,0009 ,0085,348,82,4,4,109,5,4,66
11,Capital,002,0009 ,0086,348,73,2,5,113,2,14,85
11,Capital,002,0009 ,0087,348,59,8,12,122,2,9,73
11,Capital,002,0009 ,0088,348,51,12,3,124,2,14,74
11,Capital,002,0009 ,0089,348,78,6,3,130,4,12,47
11,Capital,002,0009 ,0090,349,61,0,6,127,5,7,58
11,Capital,002,0009 ,0091,351,70,5,5,109,3,7,65
11,Capital,002,0009 ,0092,348,71,1,1,118,5,14,66
11,Capital,002,0009 ,0093,349,6,1,2,105,4,10,62
11,Capital,002,0009 ,0094,349,72,2,9,96,8,10,81
11,Capital,002,0009 ,0095,349,73,3,2,114,0,8,73
11,Capital,002,0009 ,0096,349,61,0,11,100,4,11,73
11,Capital,002,0009 ,0097,348,83,3,3,109,3,10,66
11,Capital,002,0009 ,0098,348,73,0,3,116,2,10,60
11,Capital,002,0009 ,0099,348,66,5,3,116,6,77,0
11,Capital,002,0009 ,0100,350,68,1,6,157,7,6,59
11,Capital,002,0009 ,0101,348,69,3,3,137,2,9,55
11,Capital,002,0009 ,0102,348,62,10,6,125,6,7,67
11,Capital,002,0009 ,0103,347,57,8,6,107,4,11,79
11,Capital,002,0009 ,0104,349,68,3,4,107,1,10,59
11,Capital,002,0009 ,0105,348,56,4,5,116,5,7,64
11,Capital,002,0009 ,0106,348,59,3,1,130,3,12,55
11,Capital,002,0009 ,0107,348,70,2,12,128,3,12,61
11,Capital,002,0009 ,0108,348,64,4,9,105,6,6,80
11,Capital,002,0009 ,0109,348,56,3,4,105,3,11,76
11,Capital,002,0009 ,0110,349,47,6,10,129,2,12,66
11,Capital,002,0009 ,0111,348,78,0,6,121,0,12,59
11,Capital,002,0009 ,0112,349,67,5,4,117,4,8,62
11,Capital,002,0009 ,0113,349,0,0,8,107,2,4,74
11,Capital,002,0009 ,0114,348,61,8,5,121,2,7,67
11,Capital,002,0009 ,0115,349,67,4,0,115,3,13,74
11,Capital,002,0009 ,0116,348,62,6,1,123,4,8,69
11,Capital,002,0009 ,0117,347,56,5,6,106,2,6,96
11,Capital,002,0009 ,0118,349,60,3,5,132,0,12,63
11,Capital,002,0009 ,0119,349,60,4,6,122,3,17,68
11,Capital,002,0009 ,0120,348,62,3,4,30,3,4,64
11,Capital,002,0009 ,0121,348,68,3,5,130,0,8,81
11,Capital,002,0009 ,0122,349,60,3,4,129,1,11,60
11,Capital,002,0009 ,0123,349,66,2,6,110,3,11,67
11,Capital,002,0009 ,0124,348,0,0,2,0,6,9,72
11,Capital,002,0009 ,0125,348,77,7,4,117,1,10,60
11,Capital,002,0009 ,0126,350,5,2,10,122,2,8,65
11,Capital,002,0009 ,0127,349,62,3,3,111,3,7,78
11,Capital,002,0009 ,0128,348,66,8,4,133,4,8,64
11,Capital,002,0009 ,0129,350,66,2,6,115,0,8,79
11,Capital,002,0009 ,0130,348,71,3,8,122,2,7,59
11,Capital,002,0009 ,0131,349,63,5,7,109,6,14,73
11,Capital,002,0009 ,0132,347,149,6,6,21,4,5,86
11,Capital,002,0009 ,0133,348,87,7,2,89,1,10,61
11,Capital,002,0009 ,0134,348,84,8,3,131,1,4,56
11,Capital,002,0009 ,0135,348,57,4,3,120,11,8,65
11,Capital,002,0009 ,0136,349,0,0,2,141,1,0,64
11,Capital,002,0009 ,0137,351,60,3,4,132,3,2,57
11,Capital,002,0009 ,0138,348,0,0,4,119,4,11,85
11,Capital,002,0009 ,0139,348,70,1,4,128,5,7,58
11,Capital,002,0009 ,0140,349,5,4,4,125,2,4,82
11,Capital,002,0009 ,0141,348,65,4,3,0,5,6,96
11,Capital,002,0009 ,0142,348,68,0,5,114,5,7,82
11,Capital,002,0010 ,0143,349,54,2,0,122,2,13,68
11,Capital,002,0010 ,0144,352,73,2,6,126,2,9,69
11,Capital,002,0010 ,0145,351,54,6,6,137,1,13,74
11,Capital,002,0010 ,0146,351,53,1,4,131,3,18,69
11,Capital,002,0010 ,0147,350,43,1,5,118,4,9,84
11,Capital,002,0010 ,0148,350,53,5,6,136,3,3,75
11,Capital,002,0010 ,0149,352,51,6,5,144,3,3,62
11,Capital,002,0010 ,0150,351,73,2,0,123,2,2,73
11,Capital,002,0010 ,0151,350,60,4,7,124,2,12,72
11,Capital,002,0010 ,0152,353,49,2,6,141,2,4,76
11,Capital,002,0010 ,0153,351,58,7,5,124,4,12,80
11,Capital,002,0010 ,0154,351,71,5,10,117,1,12,72
11,Capital,002,0010 ,0155,349,164,1,6,18,0,12,66
11,Capital,002,0010 ,0156,350,65,4,3,120,3,11,74
11,Capital,002,0010 ,0157,350,61,3,5,97,2,10,77
11,Capital,002,0010 ,0158,350,55,5,2,113,6,6,89
11,Capital,002,0010 ,0159,351,72,4,2,2,2,8,65
11,Capital,002,0010 ,0160,350,60,3,6,128,4,10,38
11,Capital,002,0010 ,0161,351,78,6,4,128,1,6,65
11,Capital,002,0010 ,0162,352,5,1,3,137,2,6,12
11,Capital,002,0010 ,0163,350,64,5,5,116,5,9,79
11,Capital,002,0010 ,0164,350,61,3,1,128,6,12,64
11,Capital,002,0010 ,0165,352,66,4,4,104,7,7,79
11,Capital,002,0010 ,0166,351,56,8,3,120,2,8,72
11,Capital,002,0010 ,0167,351,64,2,2,108,3,8,86
11,Capital,002,0010 ,0168,351,66,3,4,103,3,11,89
11,Capital,002,0010 ,0169,350,83,1,1,127,3,7,59
11,Capital,002,0010 ,0170,351,64,2,0,100,3,4,87
11,Capital,002,0010 ,0171,351,45,10,5,111,1,9,92
11,Capital,002,0010 ,0172,350,60,0,7,108,5,12,106
11,Capital,002,0010 ,0173,351,53,3,3,132,6,9,88
11,Capital,002,0010 ,0174,350,76,2,2,126,4,3,65
11,Capital,002,0010 ,0175,350,76,3,2,143,4,4,64
11,Capital,002,0010 ,0176,351,57,1,0,138,6,13,65
11,Capital,002,0010 ,0177,354,20,1,3,146,4,13,83
11,Capital,002,0010 ,0178,350,80,5,5,114,1,8,64
