codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0069,0131,0184,0534
11,Atreuco,001,0001 ,0001,297,69,2,4,74,12,89
11,Atreuco,001,0001 ,0002,298,63,0,5,84,12,97
11,Atreuco,001,0001 ,0003,297,72,0,2,59,15,98
11,Atreuco,001,0001 ,0004,296,84,0,1,92,11,67
11,Atreuco,001,0001 ,0005,296,75,0,3,81,29,62
11,Atreuco,001,0002 ,0006,349,37,2,17,125,12,110
11,Atreuco,001,0002 ,0007,349,43,1,15,116,12,114
11,Atreuco,001,0002 ,0008,348,47,0,14,129,15,81
11,Atreuco,001,0002 ,0009,348,35,0,11,138,13,97
11,Atreuco,001,0002 ,0010,348,47,1,13,114,13,109
11,Atreuco,001,0002 ,0011,348,41,3,11,130,11,89
11,Atreuco,001,0002 ,0012,348,55,3,20,123,19,82
11,Atreuco,001,0002 ,0013,348,51,1,7,137,14,92
11,Atreuco,001,0002 ,0014,348,49,1,15,125,16,96
11,Atreuco,001,0002 ,0015,348,40,0,8,114,12,113
11,Atreuco,001,0002 ,0016,348,43,1,14,109,16,118
11,Atreuco,001,0002 ,0017,348,45,0,17,107,19,110
11,Atreuco,001,0002 ,0018,348,51,0,13,129,19,93
11,Atreuco,001,0003 ,0019,305,46,0,1,106,6,115
11,Atreuco,001,0003 ,0020,305,47,0,0,110,0,111
11,Atreuco,001,0003 ,0021,305,33,0,0,123,2,106
11,Atreuco,001,0003 ,0022,305,51,0,4,96,5,114
11,Atreuco,001,0003 ,0023,304,33,0,3,103,4,131
11,Atreuco,001,0003 ,0024,304,46,0,1,110,6,106
11,Atreuco,001,0003 ,0025,304,46,0,0,111,5,106
11,Atreuco,001,0004 ,0026,316,60,0,2,136,15,83
11,Atreuco,001,0004 ,0027,316,50,1,2,122,11,96
11,Atreuco,001,0005 ,0028,191,38,0,0,44,3,87
11,Atreuco,001,0005 ,0029,191,29,0,2,46,2,94
11,Capital,002,0006 ,0030,340,35,0,1,130,8,133
11,Capital,002,0006 ,0031,340,32,1,1,140,4,124
11,Capital,002,0006 ,0032,340,30,0,1,121,2,157
11,Capital,002,0006 ,0033,341,35,3,1,136,14,120
11,Capital,002,0006 ,0034,340,41,3,1,105,5,156
11,Capital,002,0009 ,0035,350,63,11,8,95,31,78
11,Capital,002,0009 ,0036,350,52,3,7,83,25,102
11,Capital,002,0009 ,0037,350,50,1,12,99,30,72
11,Capital,002,0009 ,0038,350,0,2,8,76,39,93
11,Capital,002,0009 ,0039,350,52,1,6,89,26,86
11,Capital,002,0009 ,0040,350,73,0,7,79,22,95
11,Capital,002,0009 ,0041,350,49,2,3,84,30,98
11,Capital,002,0009 ,0042,351,63,0,15,84,25,91
11,Capital,002,0009 ,0043,350,59,0,5,110,33,68
11,Capital,002,0009 ,0044,350,70,2,6,80,31,75
11,Capital,002,0009 ,0045,350,69,0,6,77,26,93
11,Capital,002,0009 ,0046,351,50,6,11,85,28,89
11,Capital,002,0009 ,0047,350,47,0,3,88,35,92
11,Capital,002,0009 ,0048,350,51,0,8,87,19,116
11,Capital,002,0009 ,0049,350,53,3,5,61,28,107
11,Capital,002,0009 ,0050,350,0,0,10,77,28,111
11,Capital,002,0009 ,0051,350,51,3,8,77,19,107
11,Capital,002,0009 ,0052,350,53,1,6,108,35,61
11,Capital,002,0009 ,0053,350,72,2,5,111,37,54
11,Capital,002,0009 ,0054,351,58,1,13,96,29,75
11,Capital,002,0009 ,0055,350,0,0,0,0,0,0
11,Capital,002,0009 ,0056,350,87,2,7,97,15,78
11,Capital,002,0009 ,0057,350,51,1,4,83,36,91
11,Capital,002,0009 ,0058,350,58,0,7,90,33,87
11,Capital,002,0009 ,0059,350,74,3,5,90,32,76
11,Capital,002,0009 ,0060,350,52,4,5,81,27,103
11,Capital,002,0009 ,0061,350,56,0,7,91,37,77
11,Capital,002,0009 ,0062,350,49,3,4,74,36,111
11,Capital,002,0009 ,0063,350,40,0,11,75,24,113
11,Capital,002,0009 ,0064,351,91,1,8,33,26,114
11,Capital,002,0009 ,0065,350,64,1,16,60,29,113
11,Capital,002,0009 ,0066,350,63,2,6,101,28,82
