codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0022,0030,0045,0047,0133,0513
11,Atreuco,001,0001 ,0001,289,1,0,10,58,0,1,0,10,124
11,Atreuco,001,0001 ,0002,288,15,13,8,56,0,2,4,16,129
11,Atreuco,001,0001 ,0003,288,30,2,14,62,0,2,8,15,112
11,Atreuco,001,0001 ,0004,288,33,0,0,77,9,2,5,11,101
11,Atreuco,001,0001 ,0005,288,16,16,10,73,0,1,6,15,103
11,Atreuco,001,0002 ,0006,343,15,10,19,115,0,3,9,12,99
11,Atreuco,001,0002 ,0007,343,18,0,18,98,1,0,5,7,113
11,Atreuco,001,0002 ,0008,343,15,15,18,132,0,4,6,12,84
11,Atreuco,001,0002 ,0009,343,20,0,0,121,0,2,3,12,108
11,Atreuco,001,0002 ,0010,343,28,13,13,108,0,1,4,9,131
11,Atreuco,001,0002 ,0011,343,13,17,16,110,3,4,3,16,110
11,Atreuco,001,0002 ,0012,343,23,18,17,121,0,2,0,6,108
11,Atreuco,001,0002 ,0013,343,13,21,17,132,1,2,3,11,95
11,Atreuco,001,0002 ,0014,343,22,0,15,112,0,2,4,8,125
11,Atreuco,001,0002 ,0015,343,24,17,18,115,0,0,7,7,110
11,Atreuco,001,0002 ,0016,342,10,16,20,99,0,1,4,13,126
11,Atreuco,001,0002 ,0017,342,12,28,10,103,1,0,1,15,110
11,Atreuco,001,0003 ,0018,333,26,6,13,76,1,0,4,8,142
11,Atreuco,001,0003 ,0019,333,16,13,13,95,1,0,4,11,127
11,Atreuco,001,0003 ,0020,332,9,18,13,104,1,2,1,9,110
11,Atreuco,001,0003 ,0021,332,15,9,14,109,1,0,2,10,132
11,Atreuco,001,0003 ,0022,332,16,10,15,95,0,9,11,15,127
11,Atreuco,001,0003 ,0023,332,13,19,11,97,1,1,2,13,119
11,Atreuco,001,0004 ,0024,278,12,5,27,114,2,4,6,9,66
11,Atreuco,001,0004 ,0025,277,15,9,21,103,2,0,1,14,75
11,Atreuco,001,0005 ,0026,187,15,6,11,23,0,1,2,8,96
11,Atreuco,001,0005 ,0027,187,11,9,12,34,0,0,4,11,82
11,Capital,002,0006 ,0028,318,22,7,4,108,1,9,3,11,100
11,Capital,002,0006 ,0029,318,2,9,16,126,0,2,2,10,104
11,Capital,002,0006 ,0030,318,24,10,11,93,0,3,7,13,100
11,Capital,002,0006 ,0031,317,15,4,14,122,1,1,5,13,94
11,Capital,002,0006 ,0032,317,4,4,0,99,11,2,0,15,102
11,Capital,002,0009 ,0033,349,22,16,16,123,3,6,6,24,51
11,Capital,002,0009 ,0034,349,14,12,18,103,0,0,2,17,78
11,Capital,002,0009 ,0035,349,17,10,14,118,7,4,11,20,60
11,Capital,002,0009 ,0036,349,23,10,11,101,1,5,10,25,77
11,Capital,002,0009 ,0037,349,27,6,17,117,0,3,6,24,66
11,Capital,002,0009 ,0038,349,15,9,19,123,2,2,8,25,62
11,Capital,002,0009 ,0039,349,19,17,19,105,1,14,4,21,66
11,Capital,002,0009 ,0040,349,18,9,17,149,8,6,3,26,47
11,Capital,002,0009 ,0041,349,28,15,9,127,4,2,4,27,60
11,Capital,002,0009 ,0042,349,21,13,15,133,0,4,4,14,68
11,Capital,002,0009 ,0043,349,27,16,13,120,8,5,6,14,69
11,Capital,002,0009 ,0044,349,3,13,19,116,2,6,14,20,59
11,Capital,002,0009 ,0045,349,18,6,16,115,4,12,8,24,69
11,Capital,002,0009 ,0046,349,43,14,0,94,3,0,9,12,75
