codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0030,0131,0132,0135,0137,0138
11,Atreuco,001,0001 ,0001,297,12,5,0,94,13,87,0,17
11,Atreuco,001,0001 ,0002,298,13,0,1,104,1,111,4,0
11,Atreuco,001,0001 ,0003,297,24,0,0,83,4,104,2,13
11,Atreuco,001,0001 ,0004,296,29,1,1,105,0,88,1,14
11,Atreuco,001,0001 ,0005,296,25,4,0,91,4,88,1,27
11,Atreuco,001,0002 ,0006,349,24,0,1,119,6,118,3,14
11,Atreuco,001,0002 ,0007,349,26,0,0,113,6,130,2,12
11,Atreuco,001,0002 ,0008,348,22,0,0,133,6,92,1,18
11,Atreuco,001,0002 ,0009,348,12,1,3,129,4,117,2,15
11,Atreuco,001,0002 ,0010,348,20,1,0,126,9,115,0,10
11,Atreuco,001,0002 ,0011,348,18,6,1,121,9,99,1,17
11,Atreuco,001,0002 ,0012,348,32,1,0,110,11,101,4,23
11,Atreuco,001,0002 ,0013,348,25,1,0,129,11,108,0,17
11,Atreuco,001,0002 ,0014,348,23,0,0,138,10,103,0,22
11,Atreuco,001,0002 ,0015,348,20,3,0,109,0,149,4,7
11,Atreuco,001,0002 ,0016,348,0,13,0,102,7,128,0,22
11,Atreuco,001,0002 ,0017,348,9,3,1,104,10,128,3,27
11,Atreuco,001,0002 ,0018,348,24,1,0,135,0,113,0,17
11,Atreuco,001,0003 ,0019,305,7,0,0,113,2,117,0,8
11,Atreuco,001,0003 ,0020,305,7,2,0,109,3,125,0,10
11,Atreuco,001,0003 ,0021,305,20,0,0,118,1,116,0,2
11,Atreuco,001,0003 ,0022,305,12,0,2,112,1,120,1,4
11,Atreuco,001,0003 ,0023,304,11,0,0,113,0,126,2,5
11,Atreuco,001,0003 ,0024,304,12,1,0,117,1,125,2,6
11,Atreuco,001,0003 ,0025,304,11,0,0,130,1,111,2,3
11,Atreuco,001,0004 ,0026,316,13,0,2,141,0,84,2,20
11,Atreuco,001,0004 ,0027,316,17,1,0,136,1,94,1,0
11,Atreuco,001,0005 ,0028,191,9,0,0,42,0,105,0,4
11,Atreuco,001,0005 ,0029,191,6,4,0,45,0,105,0,7
11,Capital,002,0006 ,0030,340,21,0,1,127,2,122,4,11
11,Capital,002,0006 ,0031,340,14,5,2,119,3,126,2,8
11,Capital,002,0006 ,0032,340,15,1,0,123,2,131,1,12
11,Capital,002,0006 ,0033,341,21,3,1,134,1,108,3,15
11,Capital,002,0006 ,0034,340,22,2,0,100,0,156,2,18
11,Capital,002,0009 ,0035,350,48,3,0,96,4,74,5,42
11,Capital,002,0009 ,0036,350,28,0,2,90,14,94,5,32
11,Capital,002,0009 ,0037,350,29,4,1,98,6,79,7,31
11,Capital,002,0009 ,0038,350,24,5,3,104,5,99,8,25
11,Capital,002,0009 ,0039,350,19,1,2,97,3,86,5,0
11,Capital,002,0009 ,0040,350,17,1,2,118,6,91,2,21
11,Capital,002,0009 ,0041,350,24,7,0,95,6,87,4,28
11,Capital,002,0009 ,0042,351,37,0,1,87,7,96,8,21
11,Capital,002,0009 ,0043,350,31,5,1,130,6,56,5,21
11,Capital,002,0009 ,0044,350,28,6,1,95,3,74,5,33
11,Capital,002,0009 ,0045,350,23,4,2,90,7,89,3,30
11,Capital,002,0009 ,0046,351,27,8,1,94,7,94,7,24
11,Capital,002,0009 ,0047,350,20,4,2,109,5,82,5,31
11,Capital,002,0009 ,0048,350,19,2,1,114,7,110,2,20
11,Capital,002,0009 ,0049,350,14,4,0,80,14,90,6,29
11,Capital,002,0009 ,0050,350,24,0,1,91,6,116,4,24
11,Capital,002,0009 ,0051,350,30,3,0,77,10,98,5,25
11,Capital,002,0009 ,0052,350,21,2,6,114,9,66,2,31
11,Capital,002,0009 ,0053,350,57,6,2,101,6,75,1,12
11,Capital,002,0009 ,0054,351,23,2,4,116,9,76,4,28
11,Capital,002,0009 ,0055,350,18,4,7,91,7,100,4,30
11,Capital,002,0009 ,0056,350,31,1,4,113,10,78,13,21
11,Capital,002,0009 ,0057,350,27,4,1,90,5,95,1,27
11,Capital,002,0009 ,0058,350,37,1,0,99,9,126,6,16
11,Capital,002,0009 ,0059,350,30,5,0,111,8,75,3,27
11,Capital,002,0009 ,0060,350,31,6,4,90,5,91,3,22
11,Capital,002,0009 ,0061,350,24,3,2,112,9,76,5,35
11,Capital,002,0009 ,0062,350,22,3,0,86,7,111,4,33
11,Capital,002,0009 ,0063,350,25,0,0,88,10,98,10,17
11,Capital,002,0009 ,0064,351,34,0,6,71,5,114,1,28
11,Capital,002,0009 ,0065,350,30,0,1,68,17,114,8,30
11,Capital,002,0009 ,0066,350,10,1,1,103,3,97,6,31
11,Capital,002,0009 ,0067,350,28,3,1,100,6,86,6,29
11,Capital,002,0009 ,0068,350,25,5,2,103,5,82,3,27
11,Capital,002,0009 ,0069,350,33,6,3,99,6,95,2,27
11,Capital,002,0009 ,0070,350,28,0,4,96,2,98,4,27
11,Capital,002,0009 ,0071,351,28,5,1,85,11,96,3,27
11,Capital,002,0009 ,0072,350,29,0,0,96,3,77,7,29
11,Capital,002,0009 ,0073,350,24,2,2,110,7,97,4,33
11,Capital,002,0009 ,0074,350,20,8,1,94,7,101,6,25
11,Capital,002,0009 ,0075,350,49,7,2,97,5,85,3,27
11,Capital,002,0009 ,0076,350,26,2,3,114,3,87,2,27
11,Capital,002,0009 ,0077,350,28,2,1,90,4,91,2,29
11,Capital,002,0009 ,0078,350,28,6,2,102,5,86,4,38
11,Capital,002,0009 ,0079,350,18,3,0,103,5,107,7,24
11,Capital,002,0009 ,0080,350,17,2,1,111,6,106,0,0
11,Capital,002,0009 ,0081,350,33,2,0,102,2,72,3,33
11,Capital,002,0009 ,0082,350,28,3,2,111,5,73,4,27
11,Capital,002,0009 ,0083,350,28,6,4,114,11,76,2,23
11,Capital,002,0009 ,0084,350,12,9,2,80,4,90,4,30
11,Capital,002,0009 ,0085,350,79,1,2,62,0,81,4,36
11,Capital,002,0009 ,0086,350,29,3,2,78,5,110,8,25
11,Capital,002,0009 ,0087,350,24,0,0,104,3,91,2,34
11,Capital,002,0009 ,0088,350,56,7,3,118,4,85,5,0
11,Capital,002,0009 ,0089,350,2,3,2,86,4,100,8,34
11,Capital,002,0009 ,0090,350,3,5,2,91,4,106,7,23
11,Capital,002,0009 ,0091,350,47,2,1,93,8,81,6,0
11,Capital,002,0009 ,0092,350,27,1,4,99,9,88,3,29
11,Capital,002,0009 ,0093,350,18,9,2,89,18,104,6,37
11,Capital,002,0009 ,0094,350,21,2,2,100,12,92,8,29
11,Capital,002,0009 ,0095,349,25,11,0,116,7,88,2,20
11,Capital,002,0009 ,0096,350,31,6,4,98,7,77,2,25
11,Capital,002,0009 ,0097,350,18,6,3,106,7,75,8,39
11,Capital,002,0009 ,0098,350,24,2,2,91,6,95,4,38
11,Capital,002,0009 ,0099,350,30,3,2,115,11,67,8,19
11,Capital,002,0009 ,0100,350,30,3,1,94,7,95,3,41
11,Capital,002,0009 ,0101,350,20,4,0,86,16,88,4,33
11,Capital,002,0009 ,0102,350,25,0,1,88,8,113,5,24
11,Capital,002,0009 ,0103,351,26,0,4,115,1,83,3,28
11,Capital,002,0009 ,0104,350,34,1,3,77,11,104,8,29
11,Capital,002,0009 ,0105,350,20,9,0,98,7,94,4,39
11,Capital,002,0009 ,0106,351,29,1,0,98,14,91,7,27
11,Capital,002,0009 ,0107,350,26,1,5,101,14,82,3,22
11,Capital,002,0009 ,0108,350,38,1,0,93,5,87,4,39
11,Capital,002,0009 ,0109,349,54,0,7,105,0,75,4,14
11,Capital,002,0009 ,0110,349,45,8,0,125,5,94,5,0
11,Capital,002,0009 ,0111,349,25,12,5,88,5,96,2,26
11,Capital,002,0009 ,0112,349,31,7,0,86,6,87,7,41
11,Capital,002,0009 ,0113,349,0,0,0,114,6,79,7,30
11,Capital,002,0009 ,0114,349,25,4,0,116,3,86,6,25
11,Capital,002,0009 ,0115,349,33,4,3,90,4,80,9,35
11,Capital,002,0009 ,0116,349,24,3,5,107,6,97,2,25
11,Capital,002,0009 ,0117,349,26,3,1,92,8,90,6,32
11,Capital,002,0009 ,0118,349,27,5,6,88,10,92,5,20
11,Capital,002,0009 ,0119,349,24,6,4,106,3,65,2,36
11,Capital,002,0009 ,0120,349,30,0,4,93,2,95,6,33
11,Capital,002,0009 ,0121,350,32,0,1,95,7,95,6,28
11,Capital,002,0009 ,0122,349,20,5,1,95,8,96,7,29
11,Capital,002,0009 ,0123,349,19,14,0,88,5,90,3,37
11,Capital,002,0009 ,0124,349,14,2,1,87,6,103,6,39
11,Capital,002,0009 ,0125,349,6,2,1,101,9,80,3,43
11,Capital,002,0009 ,0126,349,22,2,1,107,9,84,3,35
11,Capital,002,0009 ,0127,350,25,2,5,79,3,113,6,31
11,Capital,002,0009 ,0128,349,40,2,0,97,7,70,6,33
11,Capital,002,0009 ,0129,349,31,2,3,113,7,78,2,33
11,Capital,002,0009 ,0130,349,32,2,3,119,7,65,2,0
11,Capital,002,0009 ,0131,349,19,2,5,108,10,81,4,36
11,Capital,002,0009 ,0132,349,25,2,1,113,12,80,6,35
11,Capital,002,0009 ,0133,349,21,3,3,88,5,94,5,32
11,Capital,002,0009 ,0134,349,22,6,2,111,9,76,6,33
11,Capital,002,0009 ,0135,349,30,6,1,91,3,82,4,28
11,Capital,002,0009 ,0136,349,28,4,1,110,9,82,13,34
11,Capital,002,0009 ,0137,349,19,7,3,101,3,111,4,26
11,Capital,002,0009 ,0138,349,32,6,1,99,9,88,7,24
11,Capital,002,0009 ,0139,349,28,5,0,100,1,77,10,30
11,Capital,002,0009 ,0140,349,36,2,3,103,4,86,6,24
11,Capital,002,0009 ,0141,350,30,0,0,84,3,90,6,39
11,Capital,002,0009 ,0142,349,30,5,2,97,5,95,6,27
11,Capital,002,0009 ,0143,349,2,5,1,103,11,53,6,0
11,Capital,002,0009 ,0144,349,74,7,4,95,6,74,9,12
11,Capital,002,0009 ,0145,349,28,1,1,113,6,67,7,44
11,Capital,002,0009 ,0146,349,27,5,1,94,5,107,2,22
11,Capital,002,0009 ,0147,349,30,0,0,116,5,77,7,27
11,Capital,002,0009 ,0148,349,29,2,0,102,7,87,5,24
11,Capital,002,0009 ,0149,349,31,0,4,117,2,82,6,25
11,Capital,002,0009 ,0150,349,27,2,2,106,6,82,11,25
11,Capital,002,0009 ,0151,349,26,7,0,113,7,72,3,26
11,Capital,002,0009 ,0152,349,22,0,0,83,5,110,5,34
11,Capital,002,0009 ,0153,349,41,0,2,89,7,92,2,26
11,Capital,002,0009 ,0154,350,31,4,2,93,12,92,7,27
11,Capital,002,0010 ,0155,348,31,5,1,99,7,84,3,31
11,Capital,002,0010 ,0156,349,23,6,4,99,12,88,8,32
11,Capital,002,0010 ,0157,350,20,0,3,121,7,92,17,22
11,Capital,002,0010 ,0158,349,35,2,3,95,5,84,8,20
11,Capital,002,0010 ,0159,349,29,3,0,92,10,99,10,23
11,Capital,002,0010 ,0160,349,32,3,3,99,10,96,0,19
11,Capital,002,0010 ,0161,349,39,3,2,126,6,65,5,21
11,Capital,002,0010 ,0162,349,25,6,3,102,6,74,4,25
11,Capital,002,0010 ,0163,349,12,6,1,109,6,92,7,31
11,Capital,002,0010 ,0164,349,20,7,1,111,6,90,8,31
11,Capital,002,0010 ,0165,349,22,3,4,113,5,88,4,31
11,Capital,002,0010 ,0166,349,25,8,1,86,7,92,8,35
11,Capital,002,0010 ,0167,349,31,1,2,91,4,104,6,33
11,Capital,002,0010 ,0168,350,30,1,8,117,9,86,9,23
11,Capital,002,0010 ,0169,349,23,0,2,113,8,95,3,25
11,Capital,002,0010 ,0170,349,34,0,4,90,11,88,12,28
11,Capital,002,0010 ,0171,349,36,1,1,115,7,100,6,16
11,Capital,002,0010 ,0172,349,28,1,0,88,7,119,8,17
11,Capital,002,0010 ,0173,349,37,0,2,91,7,105,1,32
