codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00008,00005,00009,00002,00076
11,001,ATREUCO,03071,066993,0,0,15,4,89,88,4,15
11,001,ATREUCO,03071,066994,0,0,13,1,84,105,4,21
11,001,ATREUCO,03071,066995,0,0,11,6,80,107,2,18
11,001,ATREUCO,03071,066996,0,0,1,6,114,70,4,22
11,001,ATREUCO,03071,066997,0,0,3,4,104,70,4,25
11,001,ATREUCO,03072,066998,0,0,10,0,127,89,2,17
11,001,ATREUCO,03072,066999,0,0,13,3,122,125,2,12
11,001,ATREUCO,03072,067000,0,0,8,3,149,87,3,19
11,001,ATREUCO,03072,067001,0,0,15,0,124,115,0,12
11,001,ATREUCO,03072,067002,0,0,18,0,154,68,2,17
11,001,ATREUCO,03072,067003,0,0,12,6,130,100,0,22
11,001,ATREUCO,03072,067004,0,0,12,5,120,103,0,17
11,001,ATREUCO,03072,067005,0,0,14,2,143,94,1,11
11,001,ATREUCO,03072,067006,0,0,4,4,157,88,3,12
11,001,ATREUCO,03072,067007,0,0,16,4,138,100,1,11
11,001,ATREUCO,03072,067008,0,0,8,5,131,105,2,13
11,001,ATREUCO,03072,067009,0,0,14,2,125,105,3,15
11,001,ATREUCO,03072,067010,0,0,26,0,112,110,4,16
11,001,ATREUCO,03072,067011,0,0,15,3,118,100,3,25
11,001,ATREUCO,03073,067012,0,0,4,7,102,94,0,21
11,001,ATREUCO,03073,067013,0,0,7,2,118,89,4,13
11,001,ATREUCO,03073,067014,0,0,8,2,137,81,1,9
11,001,ATREUCO,03073,067015,0,0,6,5,121,77,4,12
11,001,ATREUCO,03073,067016,0,0,16,3,121,82,1,4
11,001,ATREUCO,03073,067017,0,0,9,1,122,89,4,15
11,001,ATREUCO,03073,067018,0,0,2,2,120,96,8,11
11,001,ATREUCO,03074,067019,0,0,6,4,161,76,1,24
11,001,ATREUCO,03074,067020,0,0,12,1,137,79,1,29
11,001,ATREUCO,03075,067021,0,0,7,0,51,84,1,11
11,001,ATREUCO,03075,067022,0,0,4,1,60,74,0,6
11,002,CAPITAL,03076,067023,0,0,13,6,151,57,3,15
11,002,CAPITAL,03076,067024,0,0,13,3,129,69,2,14
11,002,CAPITAL,03076,067025,0,0,7,5,130,76,3,13
11,002,CAPITAL,03076,067026,0,0,7,5,158,59,0,5
11,002,CAPITAL,03076,067027,0,0,10,5,121,70,6,19
11,002,CAPITAL,03076,067028,0,0,14,6,109,88,4,11
11,002,CAPITAL,03077,067029,0,0,0,5,130,56,5,24
11,002,CAPITAL,03077,067030,0,0,16,4,117,85,6,17
11,002,CAPITAL,03077,067031,0,0,13,7,144,88,5,13
11,002,CAPITAL,03077,067032,0,0,21,7,136,83,2,14
11,002,CAPITAL,03077,067033,0,0,0,10,114,91,1,14
11,002,CAPITAL,03077,067034,0,0,15,4,149,77,0,20
11,002,CAPITAL,03077,067035,0,0,21,9,127,71,3,22
11,002,CAPITAL,03077,067036,0,0,1,9,146,69,10,16
11,002,CAPITAL,03077,067037,0,0,8,4,163,47,5,26
11,002,CAPITAL,03077,067038,0,0,8,7,158,74,5,14
11,002,CAPITAL,03077,067039,0,0,11,5,127,79,4,16
11,002,CAPITAL,03077,067040,0,0,20,6,137,78,4,23
11,002,CAPITAL,03077,067041,0,0,24,9,119,79,2,17
11,002,CAPITAL,03077,067042,0,0,6,8,137,92,6,14
11,002,CAPITAL,03077,067043,0,0,0,5,110,90,4,15
11,002,CAPITAL,03077,067044,0,0,14,7,97,106,3,24
11,002,CAPITAL,03077,067045,0,0,16,9,106,100,4,17
11,002,CAPITAL,03077,067046,0,0,18,3,130,70,2,20
11,002,CAPITAL,03077,067047,0,0,5,6,162,43,2,17
