codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0069,0131,0184,0534
11,Atreuco,001,0001 ,0001,297,61,2,7,80,15,85
11,Atreuco,001,0001 ,0002,298,58,0,6,85,13,99
11,Atreuco,001,0001 ,0003,297,69,0,2,60,17,98
11,Atreuco,001,0001 ,0004,296,86,0,2,97,12,58
11,Atreuco,001,0001 ,0005,296,50,22,4,82,26,66
11,Atreuco,001,0002 ,0006,349,35,2,16,124,17,109
11,Atreuco,001,0002 ,0007,349,45,0,15,120,13,108
11,Atreuco,001,0002 ,0008,348,42,0,15,127,18,84
11,Atreuco,001,0002 ,0009,348,31,0,11,137,12,103
11,Atreuco,001,0002 ,0010,348,48,2,13,114,15,105
11,Atreuco,001,0002 ,0011,348,41,3,12,130,11,88
11,Atreuco,001,0002 ,0012,348,48,4,19,123,21,87
11,Atreuco,001,0002 ,0013,348,46,1,7,136,17,95
11,Atreuco,001,0002 ,0014,348,48,1,16,125,17,95
11,Atreuco,001,0002 ,0015,348,41,0,9,112,17,108
11,Atreuco,001,0002 ,0016,348,31,1,15,112,27,115
11,Atreuco,001,0002 ,0017,348,45,0,17,108,20,108
11,Atreuco,001,0002 ,0018,348,41,0,13,128,22,101
11,Atreuco,001,0003 ,0019,305,33,0,1,111,7,122
11,Atreuco,001,0003 ,0020,305,34,0,0,110,0,124
11,Atreuco,001,0003 ,0021,305,22,0,1,127,2,112
11,Atreuco,001,0003 ,0022,305,36,0,6,103,6,119
11,Atreuco,001,0003 ,0023,304,22,0,5,107,3,137
11,Atreuco,001,0003 ,0024,304,29,0,12,109,6,123
11,Atreuco,001,0003 ,0025,304,24,0,0,122,5,117
11,Atreuco,001,0004 ,0026,316,58,0,2,136,14,86
11,Atreuco,001,0004 ,0027,316,60,1,2,122,10,87
11,Atreuco,001,0005 ,0028,191,34,0,0,44,3,91
11,Atreuco,001,0005 ,0029,191,26,0,2,46,2,97
11,Capital,002,0006 ,0030,340,32,0,1,130,7,137
11,Capital,002,0006 ,0031,340,31,1,1,139,6,124
11,Capital,002,0006 ,0032,340,30,0,2,122,2,155
11,Capital,002,0006 ,0033,341,33,3,1,137,13,122
11,Capital,002,0006 ,0034,340,43,3,1,103,4,157
11,Capital,002,0009 ,0035,350,63,4,8,95,34,81
11,Capital,002,0009 ,0036,350,52,3,6,84,26,101
11,Capital,002,0009 ,0037,350,50,1,11,100,30,72
11,Capital,002,0009 ,0038,350,0,2,6,79,38,93
11,Capital,002,0009 ,0039,350,53,1,7,86,25,88
11,Capital,002,0009 ,0040,350,67,0,9,82,22,96
11,Capital,002,0009 ,0041,350,44,2,3,87,31,99
11,Capital,002,0009 ,0042,351,63,0,15,83,24,93
11,Capital,002,0009 ,0043,350,62,0,5,105,34,69
11,Capital,002,0009 ,0044,350,70,2,8,81,30,73
11,Capital,002,0009 ,0045,350,63,0,6,82,26,94
11,Capital,002,0009 ,0046,351,48,7,10,86,30,88
11,Capital,002,0009 ,0047,350,44,1,3,88,37,92
11,Capital,002,0009 ,0048,350,48,0,9,87,21,116
11,Capital,002,0009 ,0049,350,50,3,6,62,30,106
11,Capital,002,0009 ,0050,350,0,0,10,76,29,110
11,Capital,002,0009 ,0051,350,53,3,9,76,18,106
11,Capital,002,0009 ,0052,350,52,1,6,110,36,59
11,Capital,002,0009 ,0053,350,69,2,5,114,39,52
11,Capital,002,0009 ,0054,351,56,1,13,96,32,74
11,Capital,002,0009 ,0055,350,0,0,0,0,0,0
11,Capital,002,0009 ,0056,350,81,2,8,100,17,78
11,Capital,002,0009 ,0057,350,47,1,7,83,37,91
11,Capital,002,0009 ,0058,350,56,0,8,90,33,88
11,Capital,002,0009 ,0059,350,73,3,4,93,31,76
11,Capital,002,0009 ,0060,350,53,4,4,82,28,101
11,Capital,002,0009 ,0061,350,55,0,8,98,36,77
