codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00001,00008,00005,00011,00009,00059,00012,00013,00006,00018,00017,00058
02,001,ADOLFO ALSINA,00167,007460,0,0,36,12,4,104,0,116,0,0,1,0,0,0,0
02,001,ADOLFO ALSINA,00167,007461,0,0,27,21,2,75,1,143,0,0,0,0,0,1,0
02,001,ADOLFO ALSINA,00167,007462,0,0,21,18,2,85,0,140,0,1,0,0,3,0,1
02,001,ADOLFO ALSINA,00167,007463,0,0,22,17,4,70,1,148,0,2,0,0,0,0,0
02,001,ADOLFO ALSINA,00167,007464,0,0,23,13,4,122,1,90,0,1,0,0,0,0,0
02,001,ADOLFO ALSINA,00167,007465,0,0,0,11,2,92,0,112,0,2,0,0,0,0,0
02,001,ADOLFO ALSINA,00167,007466,0,0,40,12,4,96,0,105,0,0,0,0,0,0,0
02,001,ADOLFO ALSINA,00167,007467,0,0,37,6,6,108,0,121,0,0,1,0,1,0,0
02,001,ADOLFO ALSINA,00167,007468,0,0,32,15,3,80,0,126,0,1,0,0,1,1,1
02,001,ADOLFO ALSINA,00167,007469,0,0,21,16,3,78,1,136,0,1,1,0,0,0,0
02,001,ADOLFO ALSINA,00167,007470,0,0,22,15,5,116,1,105,0,1,0,0,0,0,0
02,001,ADOLFO ALSINA,00167,007471,0,0,25,20,3,101,0,113,0,2,0,0,1,0,0
02,001,ADOLFO ALSINA,00167,007472,0,0,27,20,0,90,0,138,0,1,0,0,0,0,0
02,001,ADOLFO ALSINA,00167,007473,0,0,17,19,4,101,0,130,0,3,0,0,0,0,0
02,001,ADOLFO ALSINA,00167,007474,0,0,16,18,5,109,0,122,0,0,1,0,0,0,0
02,001,ADOLFO ALSINA,00167,007475,0,0,25,14,3,98,1,98,0,1,0,1,1,0,0
02,001,ADOLFO ALSINA,00167,007476,0,0,26,12,5,65,1,148,0,0,0,0,0,1,1
02,001,ADOLFO ALSINA,00167,007477,0,0,35,13,6,86,0,122,0,1,0,3,0,0,0
02,001,ADOLFO ALSINA,00167,007478,0,0,31,11,3,104,0,125,0,3,0,0,0,0,0
02,001,ADOLFO ALSINA,00167,007479,0,0,26,12,3,93,0,137,0,2,1,0,0,0,0
02,001,ADOLFO ALSINA,00167,007480,0,0,23,6,2,122,0,121,0,2,0,0,1,1,0
02,001,ADOLFO ALSINA,00167,007481,0,0,25,27,2,93,0,111,0,2,1,0,0,1,0
02,001,ADOLFO ALSINA,00167,007482,0,0,34,14,5,85,0,129,0,1,1,0,0,0,0
02,001,ADOLFO ALSINA,00167,007483,0,0,27,20,6,96,0,122,0,0,0,0,0,0,0
