codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0038,0149,0214,0215,0216,0300
12,Capital                                 ,001,0001A,0001,345,1,0,0,66,6,57,2,4
12,Capital                                 ,001,0001A,0002,345,101,7,0,54,4,58,0,3
12,Capital                                 ,001,0001A,0003,345,117,1,0,63,10,57,2,4
12,Capital                                 ,001,0001A,0004,345,89,0,2,68,8,83,6,1
12,Capital                                 ,001,0001A,0005,345,90,4,0,62,7,69,0,3
12,Capital                                 ,001,0001A,0345,376,105,2,1,64,14,63,2,2
12,Capital                                 ,001,0001A,0346,376,4,2,0,63,8,84,6,6
12,Capital                                 ,001,0001A,0347,376,103,2,0,84,10,63,1,3
12,Capital                                 ,001,0001A,0348,376,106,2,0,64,16,86,1,4
12,Capital                                 ,001,0001B,0006,335,101,1,0,46,19,75,5,4
12,Capital                                 ,001,0001B,0007,334,108,0,0,49,12,80,1,0
12,Capital                                 ,001,0001B,0008,334,105,5,0,54,9,84,0,5
12,Capital                                 ,001,0001B,0009,334,84,2,0,53,13,107,1,4
12,Capital                                 ,001,0001B,0349,370,110,1,0,39,21,90,4,5
12,Capital                                 ,001,0001B,0350,370,104,0,0,51,6,100,4,3
12,Capital                                 ,001,0001B,0351,370,2,1,0,43,12,102,0,4
12,Capital                                 ,001,0001C,0010,392,119,0,0,48,11,135,0,2
12,Capital                                 ,001,0001C,0011,392,113,0,2,50,6,126,1,1
12,Capital                                 ,001,0001C,0012,392,114,0,0,52,7,132,1,5
12,Capital                                 ,001,0001C,0013,392,100,1,0,50,5,136,2,2
12,Capital                                 ,001,0001C,0014,392,127,0,4,54,6,128,1,2
12,Capital                                 ,001,0001C,0015,392,1,2,1,49,10,138,0,3
12,Capital                                 ,001,0001C,0352,428,112,2,0,68,10,135,0,2
12,Capital                                 ,001,0001C,0353,428,5,2,0,46,10,148,2,0
12,Capital                                 ,001,0001C,0354,428,111,5,2,49,10,141,1,3
12,Capital                                 ,001,0001C,0355,428,91,3,0,40,0,166,0,8
12,Capital                                 ,001,0001C,0356,428,127,0,1,35,5,155,1,4
12,Capital                                 ,001,0001D,0016,414,116,0,0,51,7,15,2,2
12,Capital                                 ,001,0001D,0017,414,109,6,1,48,11,139,1,2
12,Capital                                 ,001,0001D,0018,414,0,0,1,49,4,138,0,5
12,Capital                                 ,001,0001D,0019,414,112,0,5,42,3,168,3,3
12,Capital                                 ,001,0001D,0020,413,115,4,1,51,4,159,0,0
12,Capital                                 ,001,0001D,0357,392,103,10,1,46,4,136,0,2
12,Capital                                 ,001,0001D,0358,392,93,5,0,48,2,138,0,0
12,Capital                                 ,001,0001D,0359,392,92,3,3,42,4,143,1,10
12,Capital                                 ,001,0001D,0360,391,96,1,2,43,3,147,1,3
12,Capital                                 ,001,0001D,0361,391,85,0,0,53,5,144,1,2
12,Capital                                 ,001,0001E,0021,325,74,4,0,57,3,79,3,2
12,Capital                                 ,001,0001E,0022,324,98,3,1,54,7,73,6,1
12,Capital                                 ,001,0001E,0023,324,85,4,0,53,8,83,0,6
12,Capital                                 ,001,0001E,0362,383,96,5,1,73,5,85,7,7
12,Capital                                 ,001,0001E,0363,383,101,5,1,52,5,101,3,6
12,Capital                                 ,001,0001F,0024,357,0,0,1,73,7,71,3,3
12,Capital                                 ,001,0001F,0025,356,104,1,0,65,11,60,3,3
12,Capital                                 ,001,0001F,0364,360,80,8,0,72,9,76,8,8
12,Capital                                 ,001,0001F,0365,360,78,1,1,65,9,68,6,9
12,Capital                                 ,001,0001G,0026,363,92,1,1,56,13,76,1,4
12,Capital                                 ,001,0001G,0027,363,92,2,1,63,9,78,1,5
12,Capital                                 ,001,0001G,0028,362,99,1,1,59,8,85,0,5
12,Capital                                 ,001,0001G,0366,336,76,0,2,54,6,78,5,5
12,Capital                                 ,001,0001G,0367,336,90,2,0,53,4,68,2,5
12,Capital                                 ,001,0001G,0368,335,90,5,2,65,7,59,4,7
12,Capital                                 ,001,0001H,0029,405,112,0,1,30,8,160,0,5
12,Capital                                 ,001,0001H,0030,405,104,4,0,33,5,182,1,1
12,Capital                                 ,001,0001H,0031,405,92,3,0,39,5,179,4,3
12,Capital                                 ,001,0001H,0032,405,1,1,4,28,0,168,3,5
12,Capital                                 ,001,0001H,0033,405,2,2,0,18,14,153,3,3
12,Capital                                 ,001,0001H,0034,405,108,0,2,36,5,168,1,0
12,Capital                                 ,001,0001H,0035,405,108,3,0,39,8,161,1,1
12,Capital                                 ,001,0001H,0036,405,0,0,0,33,7,174,2,1
12,Capital                                 ,001,0001H,0037,405,111,5,0,29,12,155,2,3
12,Capital                                 ,001,0001H,0038,405,112,2,1,35,0,146,1,2
12,Capital                                 ,001,0001H,0039,405,111,8,2,33,5,151,0,0
12,Capital                                 ,001,0001H,0040,404,122,3,0,37,7,157,1,1
12,Capital                                 ,001,0001H,0041,404,124,4,0,36,7,162,0,0
12,Capital                                 ,001,0001H,0369,415,119,2,0,19,5,151,1,1
12,Capital                                 ,001,0001H,0370,415,103,1,2,23,8,173,0,4
12,Capital                                 ,001,0001H,0371,415,117,4,0,29,7,164,2,4
12,Capital                                 ,001,0001H,0372,415,102,0,2,30,7,147,0,2
12,Capital                                 ,001,0001H,0373,415,121,0,0,22,10,150,3,2
12,Capital                                 ,001,0001H,0374,415,54,0,0,32,6,202,1,2
12,Capital                                 ,001,0001H,0375,415,101,0,1,36,9,158,1,2
12,Capital                                 ,001,0001H,0376,415,106,0,0,4,6,158,3,6
12,Capital                                 ,001,0001H,0377,414,1,3,3,27,6,163,3,3
12,Capital                                 ,001,0001H,0378,414,92,1,1,27,8,156,3,2
12,Capital                                 ,001,0001H,0379,414,98,0,0,23,9,177,1,1
12,Capital                                 ,001,0001H,0380,414,107,14,1,18,4,151,2,3
12,Capital                                 ,001,0001I,0042,430,131,0,0,30,11,167,1,3
12,Capital                                 ,001,0001I,0043,430,111,4,1,27,12,162,1,3
12,Capital                                 ,001,0001I,0044,430,15,0,0,28,6,169,0,4
12,Capital                                 ,001,0001I,0045,430,2,0,2,28,8,190,0,5
12,Capital                                 ,001,0001I,0046,430,0,0,1,26,0,157,0,4
12,Capital                                 ,001,0001I,0047,430,89,0,0,20,7,183,1,3
12,Capital                                 ,001,0001I,0048,429,7,6,0,30,6,165,2,3
12,Capital                                 ,001,0001I,0049,429,101,3,0,39,14,166,0,3
12,Capital                                 ,001,0001I,0050,429,3,1,0,38,6,169,2,0
12,Capital                                 ,001,0001I,0051,429,120,0,1,28,7,176,0,0
12,Capital                                 ,001,0001I,0052,429,93,1,0,32,6,203,0,1
12,Capital                                 ,001,0001I,0053,429,121,0,1,31,9,182,0,1
12,Capital                                 ,001,0001I,0054,429,111,5,0,14,7,200,0,5
12,Capital                                 ,001,0001I,0055,429,0,3,0,20,5,197,1,2
12,Capital                                 ,001,0001I,0056,429,100,4,2,20,8,182,2,2
12,Capital                                 ,001,0001I,0381,411,102,8,2,16,7,161,1,4
12,Capital                                 ,001,0001I,0382,411,112,0,0,23,3,149,5,5
12,Capital                                 ,001,0001I,0383,411,0,0,0,31,10,154,2,0
12,Capital                                 ,001,0001I,0384,411,119,8,2,23,6,170,5,2
12,Capital                                 ,001,0001I,0385,411,112,0,1,29,6,165,0,3
12,Capital                                 ,001,0001I,0386,411,109,6,1,24,11,158,1,1
12,Capital                                 ,001,0001I,0387,411,104,3,1,25,4,154,3,0
12,Capital                                 ,001,0001I,0388,411,105,1,5,27,9,155,1,3
12,Capital                                 ,001,0001I,0389,411,99,5,1,17,11,154,1,3
12,Capital                                 ,001,0001I,0390,411,2,2,0,28,4,188,0,5
12,Capital                                 ,001,0001I,0391,411,92,0,0,27,7,153,1,3
12,Capital                                 ,001,0001I,0392,411,12,0,0,21,9,160,0,3
12,Capital                                 ,001,0001I,0393,411,110,1,1,16,10,140,0,6
12,Capital                                 ,001,0001I,0394,411,96,0,0,27,11,156,2,6
12,Capital                                 ,001,0001I,0395,411,128,0,2,18,0,139,0,3
12,Capital                                 ,001,0001I,0396,411,111,0,2,26,2,167,0,4
12,Capital                                 ,001,0001J,0057,389,123,1,3,39,13,116,3,2
12,Capital                                 ,001,0001J,0058,389,112,3,0,39,6,128,0,2
12,Capital                                 ,001,0001J,0059,388,0,1,0,37,11,105,5,5
12,Capital                                 ,001,0001J,0060,388,133,0,0,48,8,109,1,3
12,Capital                                 ,001,0001J,0397,339,2,1,0,31,9,105,0,3
12,Capital                                 ,001,0001J,0398,338,0,0,1,39,10,102,1,2
12,Capital                                 ,001,0001J,0399,338,103,0,0,34,8,113,1,4
12,Capital                                 ,001,0001J,0400,338,91,0,2,33,11,105,2,3
12,Capital                                 ,001,0001K,0061,367,109,2,0,57,8,82,3,3
12,Capital                                 ,001,0001K,0062,367,110,6,0,55,4,95,3,2
12,Capital                                 ,001,0001K,0063,366,0,0,2,46,12,82,4,2
12,Capital                                 ,001,0001K,0064,366,118,2,0,53,6,82,4,3
12,Capital                                 ,001,0001K,0065,366,105,4,0,60,6,79,1,8
12,Capital                                 ,001,0001K,0401,383,115,1,0,53,6,95,1,6
12,Capital                                 ,001,0001K,0402,383,101,4,2,52,17,91,4,3
12,Capital                                 ,001,0001K,0403,383,77,4,2,58,11,93,2,5
12,Capital                                 ,001,0001K,0404,382,4,3,3,62,8,93,2,5
12,Capital                                 ,001,0001K,0405,382,2,2,2,41,7,91,2,2
12,Capital                                 ,001,0001L,0066,417,106,0,1,38,9,145,3,7
12,Capital                                 ,001,0001L,0067,417,122,2,1,45,12,135,3,2
12,Capital                                 ,001,0001L,0068,417,122,0,2,30,14,154,1,1
12,Capital                                 ,001,0001L,0069,417,117,1,0,31,12,150,0,3
12,Capital                                 ,001,0001L,0070,417,105,4,0,35,11,164,0,5
12,Capital                                 ,001,0001L,0071,417,140,0,1,28,13,132,0,3
12,Capital                                 ,001,0001L,0072,417,0,0,3,44,11,125,0,4
12,Capital                                 ,001,0001L,0073,417,94,1,1,37,11,146,2,4
12,Capital                                 ,001,0001L,0074,417,4,6,1,37,14,146,2,1
12,Capital                                 ,001,0001L,0075,416,119,0,0,34,12,144,1,2
12,Capital                                 ,001,0001L,0076,416,123,7,1,42,15,141,0,2
