codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0061,0111,0503,0532,0542,0553,0556
12,Capital,001,0001A,0001,341,9,9,4,16,9,55,3,110,15
12,Capital,001,0001A,0002,340,15,4,4,18,6,61,1,126,14
12,Capital,001,0001A,0003,340,9,10,4,16,2,46,2,145,25
12,Capital,001,0001A,0004,340,22,5,12,11,7,68,5,137,12
12,Capital,001,0001A,0005,340,8,3,3,16,7,67,4,123,19
12,Capital,001,0001A,0378,373,7,4,5,25,10,80,2,124,17
12,Capital,001,0001A,0379,373,18,0,4,22,9,50,3,145,16
12,Capital,001,0001A,0380,372,3,7,2,21,9,60,2,151,15
12,Capital,001,0001A,0381,372,3,6,3,16,5,73,1,138,28
12,Capital,001,0001B,0006,331,1,5,2,16,6,84,3,113,10
12,Capital,001,0001B,0007,330,0,0,4,19,5,78,3,118,9
12,Capital,001,0001B,0008,330,5,9,6,14,8,82,2,101,12
12,Capital,001,0001B,0009,330,22,2,1,21,8,83,2,108,11
12,Capital,001,0001B,0382,363,22,5,2,24,10,90,5,101,18
12,Capital,001,0001B,0383,362,24,0,7,27,10,85,2,113,7
12,Capital,001,0001B,0384,362,15,7,7,25,7,84,1,110,20
12,Capital,001,0001C,0010,347,19,4,3,23,4,136,3,78,15
12,Capital,001,0001C,0011,347,19,5,2,24,6,108,7,92,19
12,Capital,001,0001C,0012,347,21,0,0,19,5,120,1,109,12
12,Capital,001,0001C,0013,346,17,7,3,18,9,106,1,86,18
12,Capital,001,0001C,0014,346,20,0,2,18,8,120,5,82,16
12,Capital,001,0001C,0015,346,19,1,2,19,5,122,2,82,14
12,Capital,001,0001C,0016,346,0,0,2,19,4,127,5,102,0
12,Capital,001,0001C,0385,356,20,0,2,21,3,129,2,100,12
12,Capital,001,0001C,0386,356,26,8,0,14,4,143,0,94,19
12,Capital,001,0001C,0387,356,13,0,8,18,6,114,2,83,22
12,Capital,001,0001C,0388,356,11,6,2,27,7,134,0,77,12
12,Capital,001,0001C,0389,356,17,3,0,19,8,127,5,81,14
12,Capital,001,0001C,0390,356,23,1,8,29,6,156,3,80,12
12,Capital,001,0001D,0017,354,2,4,3,34,1,155,2,60,14
12,Capital,001,0001D,0018,354,24,9,3,21,2,136,1,65,24
12,Capital,001,0001D,0019,354,2,2,1,32,2,154,2,60,20
12,Capital,001,0001D,0020,354,24,5,1,19,1,153,1,65,9
12,Capital,001,0001D,0021,353,20,2,3,29,2,167,2,58,15
12,Capital,001,0001D,0022,353,29,3,3,30,4,154,0,49,16
12,Capital,001,0001D,0391,334,16,10,6,29,1,135,1,50,12
12,Capital,001,0001D,0392,334,20,11,1,25,2,120,1,55,20
12,Capital,001,0001D,0393,334,18,11,4,26,2,134,0,58,15
12,Capital,001,0001D,0394,334,25,6,7,30,3,126,0,65,11
12,Capital,001,0001D,0395,334,21,0,1,13,3,126,1,87,12
12,Capital,001,0001D,0396,333,13,3,5,28,5,151,1,49,11
12,Capital,001,0001E,0023,331,15,3,2,22,6,65,0,112,17
12,Capital,001,0001E,0024,330,0,0,3,15,8,83,3,94,20
12,Capital,001,0001E,0025,330,19,6,8,10,5,64,1,120,10
12,Capital,001,0001E,0397,388,14,7,4,30,10,81,4,133,15
12,Capital,001,0001E,0398,387,18,7,8,30,5,84,1,120,18
12,Capital,001,0001F,0026,355,10,3,3,18,5,58,4,143,17
12,Capital,001,0001F,0027,355,3,3,9,27,7,67,2,109,16
12,Capital,001,0001F,0399,344,7,9,2,20,9,57,1,137,19
12,Capital,001,0001F,0400,343,18,0,12,23,5,57,2,129,20
12,Capital,001,0001G,0028,362,16,0,5,15,4,69,3,115,25
12,Capital,001,0001G,0029,361,8,7,4,18,3,74,3,127,19
12,Capital,001,0001G,0030,361,14,7,4,20,5,85,0,115,17
12,Capital,001,0001G,0401,326,18,0,7,15,9,67,4,107,10
12,Capital,001,0001G,0402,325,2,4,7,16,7,69,3,94,13
12,Capital,001,0001G,0403,325,17,7,2,15,11,58,0,109,12
12,Capital,001,0001H,0031,385,21,4,4,25,4,155,1,84,10
12,Capital,001,0001H,0032,385,6,5,3,36,5,162,0,76,12
12,Capital,001,0001H,0033,385,2,9,1,33,8,171,2,68,17
12,Capital,001,0001H,0034,385,2,9,2,36,4,168,5,54,7
12,Capital,001,0001H,0035,385,1,1,5,36,6,171,1,66,9
12,Capital,001,0001H,0036,385,17,3,3,31,3,165,1,74,24
12,Capital,001,0001H,0037,385,21,10,0,30,2,169,1,65,14
12,Capital,001,0001H,0038,385,23,7,4,41,6,146,2,56,11
12,Capital,001,0001H,0039,384,10,0,3,44,5,153,1,61,10
12,Capital,001,0001H,0040,384,25,7,4,29,5,148,0,68,13
12,Capital,001,0001H,0041,384,22,6,3,26,3,169,1,56,10
12,Capital,001,0001H,0042,384,5,5,3,32,3,163,3,69,11
12,Capital,001,0001H,0043,384,23,10,3,29,3,175,0,66,12
12,Capital,001,0001H,0044,384,22,12,2,31,3,142,2,78,18
12,Capital,001,0001H,0404,388,9,3,2,35,4,149,2,67,13
12,Capital,001,0001H,0405,388,40,0,5,32,5,166,2,60,7
12,Capital,001,0001H,0406,388,7,15,3,30,7,146,3,55,7
12,Capital,001,0001H,0407,388,26,4,3,47,3,167,0,49,5
12,Capital,001,0001H,0408,388,0,0,2,34,5,152,2,54,8
12,Capital,001,0001H,0409,388,15,7,3,34,6,159,1,67,14
