codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00036,00053,00037,00022
12,001,Capital,0001A,000001,320,69,0,3,123,38,4
12,001,Capital,0001A,000002,321,64,3,2,152,20,5
12,001,Capital,0001A,000003,319,75,0,3,126,34,3
12,001,Capital,0001A,000004,323,71,1,3,119,45,4
12,001,Capital,0001A,000005,317,59,3,1,143,21,4
12,001,Capital,0001A,000006,320,64,0,3,114,48,4
12,001,Capital,0001A,000007,316,75,5,5,121,35,3
12,001,Capital,0001A,000008,326,72,2,4,111,43,5
12,001,Capital,0001B,000010,344,93,4,10,113,50,10
12,001,Capital,0001B,000011,344,95,0,3,113,52,6
12,001,Capital,0001B,000012,348,91,1,6,131,48,8
12,001,Capital,0001B,000013,345,86,1,4,116,58,3
12,001,Capital,0001B,000014,350,75,0,3,124,53,16
12,001,Capital,0001B,000009,346,116,0,1,98,45,8
12,001,Capital,0001C,000015,336,115,3,6,85,60,2
12,001,Capital,0001C,000016,337,113,2,4,88,73,4
12,001,Capital,0001C,000017,337,106,2,2,103,45,4
12,001,Capital,0001C,000018,332,123,0,7,96,51,2
12,001,Capital,0001C,000019,334,121,0,4,89,49,4
12,001,Capital,0001C,000020,335,100,2,4,104,60,1
12,001,Capital,0001C,000021,330,80,3,6,105,59,8
12,001,Capital,0001C,000022,334,99,0,1,106,61,2
12,001,Capital,0001C,000023,334,91,6,1,103,60,4
12,001,Capital,0001C,000024,336,125,0,1,84,48,8
12,001,Capital,0001C,000025,333,100,3,1,95,64,3
12,001,Capital,0001C,000026,335,97,4,3,89,67,4
12,001,Capital,0001C,000027,335,105,18,1,97,48,1
12,001,Capital,0001C,000028,348,98,0,7,101,69,6
12,001,Capital,0001D,000029,325,107,1,0,72,78,1
12,001,Capital,0001D,000030,329,83,1,1,82,84,1
12,001,Capital,0001D,000031,325,125,3,3,62,81,0
12,001,Capital,0001D,000032,326,108,0,0,80,74,4
12,001,Capital,0001D,000033,325,90,7,4,93,63,0
12,001,Capital,0001D,000034,328,112,5,5,75,80,2
12,001,Capital,0001D,000035,327,106,0,1,82,71,1
12,001,Capital,0001D,000036,329,95,2,2,79,70,3
12,001,Capital,0001D,000037,323,68,4,2,75,103,1
12,001,Capital,0001D,000038,323,126,0,0,59,73,1
12,001,Capital,0001D,000039,326,111,1,3,58,71,2
12,001,Capital,0001D,000040,324,114,0,5,81,62,3
12,001,Capital,0001D,000041,323,127,3,2,54,88,1
12,001,Capital,0001D,000042,336,120,3,3,71,69,4
12,001,Capital,0001E,000043,347,98,0,4,122,36,5
12,001,Capital,0001E,000044,347,92,2,8,128,37,2
12,001,Capital,0001E,000045,348,83,0,5,116,43,7
12,001,Capital,0001E,000046,351,77,1,4,136,46,7
12,001,Capital,0001E,000047,404,87,3,3,153,55,6
12,001,Capital,0001F,000048,283,64,0,4,104,35,8
12,001,Capital,0001F,000049,279,59,1,3,119,30,2
12,001,Capital,0001F,000050,282,60,0,6,106,31,3
12,001,Capital,0001F,000051,292,67,0,8,103,29,6
12,001,Capital,0001G,000052,303,88,1,3,103,31,2
12,001,Capital,0001G,000053,303,62,1,4,111,38,3
12,001,Capital,0001G,000054,302,71,0,6,110,33,8
12,001,Capital,0001G,000055,304,0,72,1,130,32,5
12,001,Capital,0001G,000056,303,80,0,6,108,32,5
12,001,Capital,0001G,000057,306,73,2,1,115,34,6
12,001,Capital,0001H,000058,347,108,0,0,82,77,2
12,001,Capital,0001H,000059,348,118,0,2,74,73,3
12,001,Capital,0001H,000060,349,109,1,3,90,78,1
12,001,Capital,0001H,000061,348,132,5,1,68,67,3
12,001,Capital,0001H,000062,348,118,2,3,57,87,4
12,001,Capital,0001H,000063,349,125,1,1,68,70,3
12,001,Capital,0001H,000064,345,138,2,4,65,74,3
12,001,Capital,0001H,000065,348,141,3,3,77,67,0
12,001,Capital,0001H,000066,347,128,1,6,58,77,0
12,001,Capital,0001H,000067,345,122,2,3,77,51,7
