codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0061,0164,0501,0504,0548,0549
12,Capital,001,0001A,0001,302,5,8,11,1,48,3,114,25
12,Capital,001,0001A,0002,302,2,6,15,3,29,22,125,29
12,Capital,001,0001A,0003,303,0,7,14,3,40,12,100,18
12,Capital,001,0001A,0004,303,0,5,16,3,41,12,114,18
12,Capital,001,0001A,0005,302,1,2,18,3,32,14,115,17
12,Capital,001,0001A,0006,303,4,2,13,2,29,9,119,34
12,Capital,001,0001A,0007,303,5,3,16,3,37,15,119,13
12,Capital,001,0001A,0008,302,4,5,15,6,34,11,106,20
12,Capital,001,0001A,0009,302,2,0,16,2,34,15,120,20
12,Capital,001,0001A,0010,302,4,4,8,1,33,11,109,32
12,Capital,001,0001B,0011,293,2,4,8,2,44,13,107,35
12,Capital,001,0001B,0012,293,4,4,14,0,45,19,113,23
12,Capital,001,0001B,0013,294,2,9,11,6,45,18,114,18
12,Capital,001,0001B,0014,294,7,5,12,4,52,11,108,30
12,Capital,001,0001B,0015,293,2,9,11,3,47,19,99,28
12,Capital,001,0001B,0016,293,1,6,8,0,37,12,120,26
12,Capital,001,0001B,0017,293,2,5,8,2,53,23,107,20
12,Capital,001,0001B,0018,292,6,4,8,4,64,12,99,18
12,Capital,001,0001C,0019,320,5,7,12,4,71,12,127,25
12,Capital,001,0001C,0020,319,4,2,14,2,67,13,121,31
12,Capital,001,0001C,0021,319,4,2,10,4,50,8,129,30
12,Capital,001,0001C,0022,319,2,9,8,1,59,15,119,27
12,Capital,001,0001C,0023,319,3,5,7,4,60,9,122,33
12,Capital,001,0001C,0024,319,4,4,12,4,56,15,116,27
12,Capital,001,0001C,0025,318,3,7,7,2,67,10,120,21
12,Capital,001,0001C,0026,320,3,7,16,6,57,17,111,26
12,Capital,001,0001C,0027,318,4,8,12,4,61,11,122,26
12,Capital,001,0001C,0028,318,5,3,14,2,52,11,125,30
12,Capital,001,0001C,0029,319,5,11,9,7,46,11,112,0
12,Capital,001,0001C,0030,319,3,11,14,2,50,15,109,25
12,Capital,001,0001C,0031,318,10,2,11,1,61,9,118,26
12,Capital,001,0001C,0032,318,5,5,18,3,67,9,124,15
12,Capital,001,0001C,0033,319,4,4,10,7,51,14,136,22
12,Capital,001,0001D,0034,328,5,13,9,3,104,6,87,21
12,Capital,001,0001D,0035,328,7,6,11,8,82,11,100,25
12,Capital,001,0001D,0036,328,14,6,6,1,103,11,96,26
12,Capital,001,0001D,0037,328,4,10,8,6,92,14,74,29
12,Capital,001,0001D,0038,327,3,8,9,2,103,8,93,24
12,Capital,001,0001D,0039,328,3,6,11,0,91,18,95,32
12,Capital,001,0001D,0040,327,7,3,17,4,79,10,98,27
12,Capital,001,0001D,0041,328,9,7,13,5,102,3,83,27
12,Capital,001,0001D,0042,327,3,9,7,8,85,10,95,28
12,Capital,001,0001D,0043,327,3,5,8,4,116,17,81,28
12,Capital,001,0001D,0044,327,6,1,18,3,86,7,106,22
12,Capital,001,0001D,0045,328,7,7,10,2,105,5,111,18
12,Capital,001,0001D,0046,326,0,8,14,1,89,4,101,20
12,Capital,001,0001D,0047,327,11,0,17,4,86,10,95,29
12,Capital,001,0001E,0048,310,5,0,12,5,43,11,127,32
12,Capital,001,0001E,0049,310,0,3,8,4,36,9,133,30
12,Capital,001,0001E,0050,310,0,0,0,0,0,0,0,0
12,Capital,001,0001E,0051,310,4,11,22,2,30,3,125,27
12,Capital,001,0001E,0052,311,4,9,15,4,52,7,115,20
12,Capital,001,0001E,0053,309,4,5,12,2,49,8,132,18
12,Capital,001,0001F,0054,275,1,6,18,3,23,13,96,24
12,Capital,001,0001F,0055,275,2,4,18,7,24,23,93,25
12,Capital,001,0001F,0056,276,1,4,12,6,25,10,105,10
12,Capital,001,0001F,0057,275,0,5,11,0,32,25,100,19
12,Capital,001,0001F,0058,275,2,6,13,0,34,8,95,23
12,Capital,001,0001G,0059,329,5,1,11,0,36,23,128,20
12,Capital,001,0001G,0060,328,4,3,13,5,31,10,130,29
12,Capital,001,0001G,0061,327,1,5,12,4,46,14,121,19
12,Capital,001,0001G,0062,327,3,4,20,4,34,12,114,30
12,Capital,001,0001G,0063,327,3,5,19,5,41,6,132,23
12,Capital,001,0001G,0064,327,0,3,17,2,45,17,132,29
12,Capital,001,0001H,0065,328,8,0,6,0,81,15,91,35
12,Capital,001,0001H,0066,329,8,5,10,3,88,9,88,24
12,Capital,001,0001H,0067,328,5,9,19,3,102,7,78,33
12,Capital,001,0001H,0068,328,5,9,9,1,84,12,83,32
12,Capital,001,0001H,0069,328,5,5,14,5,92,13,78,33
12,Capital,001,0001H,0070,328,2,12,15,11,82,11,81,24
12,Capital,001,0001H,0071,329,5,3,13,2,77,17,104,31
12,Capital,001,0001H,0072,328,6,9,10,2,105,14,66,21
12,Capital,001,0001H,0073,328,3,4,6,3,104,10,81,36
12,Capital,001,0001H,0074,328,1,4,10,2,68,13,96,35
12,Capital,001,0001H,0075,328,2,5,6,4,73,19,84,32
12,Capital,001,0001H,0076,328,3,3,8,4,93,14,101,39
12,Capital,001,0001H,0077,328,6,12,10,3,86,8,88,32
12,Capital,001,0001H,0078,328,5,8,10,4,97,10,90,32
12,Capital,001,0001H,0079,328,5,6,10,4,113,5,85,28
12,Capital,001,0001H,0080,329,4,1,10,3,96,5,100,24
12,Capital,001,0001H,0081,329,2,7,9,2,96,10,93,19
12,Capital,001,0001H,0082,329,7,8,9,4,91,9,86,22
12,Capital,001,0001H,0083,330,5,3,16,4,99,15,78,28
12,Capital,001,0001H,0084,328,12,0,8,3,106,13,87,32
12,Capital,001,0001H,0085,328,6,7,4,2,107,17,79,23
12,Capital,001,0001H,0086,329,3,13,10,1,68,15,95,24
12,Capital,001,0001H,0087,328,2,4,8,0,110,11,78,38
12,Capital,001,0001H,0088,327,2,3,17,5,91,16,86,28
12,Capital,001,0001H,0089,327,14,0,10,1,113,9,66,22
12,Capital,001,0001H,0090,327,4,0,15,5,85,14,70,35
12,Capital,001,0001H,0091,330,6,6,7,3,106,11,70,31
12,Capital,001,0001H,0092,327,2,8,12,3,78,11,90,39
12,Capital,001,0001H,0093,327,4,3,7,5,92,15,94,26
12,Capital,001,0001H,0094,328,3,4,12,6,79,17,98,28
12,Capital,001,0001H,0095,327,5,3,11,5,88,5,80,23
12,Capital,001,0001H,0096,328,6,7,8,3,84,11,86,32
12,Capital,001,0001H,0097,328,8,12,16,2,68,16,92,33
12,Capital,001,0001H,0098,326,7,3,9,4,96,10,91,24
12,Capital,001,0001I,0099,329,6,5,11,5,122,13,61,34
12,Capital,001,0001I,0100,330,9,9,14,1,81,7,74,41
12,Capital,001,0001I,0101,330,7,10,17,7,102,8,54,28
12,Capital,001,0001I,0102,330,5,0,11,2,97,10,69,30
12,Capital,001,0001I,0103,330,5,6,9,2,87,14,93,28
12,Capital,001,0001I,0104,331,6,11,6,3,89,13,94,25
12,Capital,001,0001I,0105,330,1,8,14,4,100,11,63,38
12,Capital,001,0001I,0106,329,5,6,10,3,73,16,94,34
12,Capital,001,0001I,0107,331,4,15,20,5,87,10,76,38
12,Capital,001,0001I,0108,331,1,11,10,4,85,16,76,41
12,Capital,001,0001I,0109,330,1,7,17,2,74,40,87,37
12,Capital,001,0001I,0110,330,6,5,10,2,96,10,89,28
12,Capital,001,0001I,0111,331,3,6,16,3,99,17,84,21
12,Capital,001,0001I,0112,332,2,4,5,3,116,9,74,34
12,Capital,001,0001I,0113,332,3,3,15,4,89,11,71,31
12,Capital,001,0001I,0114,331,4,6,9,4,98,11,77,32
12,Capital,001,0001I,0115,332,3,7,8,7,82,11,73,36
12,Capital,001,0001I,0116,330,3,5,13,4,106,6,62,40
12,Capital,001,0001I,0117,331,5,4,5,2,76,6,80,40
12,Capital,001,0001I,0118,331,6,5,7,2,86,8,110,26
12,Capital,001,0001I,0119,331,2,9,11,7,78,18,73,31
12,Capital,001,0001I,0120,330,4,9,2,2,100,4,72,37
12,Capital,001,0001I,0121,330,10,3,9,1,99,7,68,32
12,Capital,001,0001I,0122,330,9,11,5,2,98,19,78,26
12,Capital,001,0001I,0123,331,2,12,11,5,99,7,76,32
12,Capital,001,0001I,0124,330,10,8,17,5,82,10,77,27
12,Capital,001,0001I,0125,330,4,7,12,4,99,8,81,33
12,Capital,001,0001I,0126,331,5,7,3,1,93,11,72,49
12,Capital,001,0001I,0127,329,5,9,12,0,108,4,70,27
12,Capital,001,0001I,0128,332,2,9,11,7,78,9,83,31
12,Capital,001,0001I,0129,329,2,0,6,5,105,10,85,25
12,Capital,001,0001I,0130,329,9,8,14,4,103,10,83,28
12,Capital,001,0001I,0131,330,2,7,18,0,85,10,72,35
12,Capital,001,0001I,0132,330,4,6,12,2,123,10,58,27
12,Capital,001,0001I,0133,329,5,8,8,3,94,12,67,38
12,Capital,001,0001I,0134,330,5,8,6,2,83,7,100,29
12,Capital,001,0001I,0135,329,2,13,12,0,106,9,75,22
12,Capital,001,0001I,0136,329,4,4,15,4,107,8,67,33
12,Capital,001,0001I,0137,329,5,9,10,4,90,13,75,36
12,Capital,001,0001I,0138,329,3,7,13,6,79,15,80,31
12,Capital,001,0001I,0139,330,7,7,15,9,86,21,65,31
12,Capital,001,0001I,0140,330,1,2,14,3,107,14,80,22
12,Capital,001,0001I,0141,331,9,7,15,5,104,6,70,30
12,Capital,001,0001I,0142,329,3,6,14,2,87,4,81,30
12,Capital,001,0001I,0143,330,8,6,7,1,88,9,86,27
12,Capital,001,0001I,0144,330,5,6,15,4,110,5,69,21
12,Capital,001,0001I,0145,329,12,0,13,0,98,18,60,24
12,Capital,001,0001I,0146,330,0,4,13,4,111,10,48,31
12,Capital,001,0001I,0147,329,8,6,11,5,80,14,85,26
12,Capital,001,0001I,0148,329,6,6,7,2,92,19,82,31
12,Capital,001,0001I,0149,328,6,5,6,4,94,12,68,36
12,Capital,001,0001I,0150,329,5,6,13,4,80,11,98,42
12,Capital,001,0001I,0151,329,3,6,19,1,101,12,78,30
12,Capital,001,0001I,0152,329,0,6,10,2,106,10,72,23
12,Capital,001,0001J,0153,316,3,5,6,2,66,11,104,32
12,Capital,001,0001J,0154,316,4,4,16,1,63,18,92,36
12,Capital,001,0001J,0155,317,5,3,11,1,66,4,98,31
12,Capital,001,0001J,0156,315,3,6,13,6,57,8,103,31
12,Capital,001,0001J,0157,315,6,0,17,4,66,18,102,29
12,Capital,001,0001J,0158,316,3,2,10,2,49,3,127,23
12,Capital,001,0001J,0159,315,4,8,13,3,47,8,110,19
12,Capital,001,0001J,0160,316,1,8,13,0,61,10,98,46
12,Capital,001,0001K,0161,305,4,4,6,2,37,14,102,31
12,Capital,001,0001K,0162,305,2,3,19,2,36,15,107,25
12,Capital,001,0001K,0163,305,3,1,14,0,41,15,121,19
12,Capital,001,0001K,0164,305,3,7,10,3,36,10,110,21
12,Capital,001,0001K,0165,305,1,0,11,2,46,13,102,16
12,Capital,001,0001K,0166,307,1,4,9,2,36,10,106,30
12,Capital,001,0001K,0167,304,2,6,16,4,34,10,110,26
12,Capital,001,0001K,0168,304,3,6,20,3,42,6,105,24
12,Capital,001,0001K,0169,304,1,3,7,0,35,13,97,31
12,Capital,001,0001K,0170,304,4,2,15,6,31,13,103,22
12,Capital,001,0001K,0171,305,3,3,13,2,43,3,100,21
12,Capital,001,0001L,0172,323,2,7,6,5,104,9,88,26
12,Capital,001,0001L,0173,323,2,6,11,3,80,12,102,24
12,Capital,001,0001L,0174,323,6,2,13,1,67,8,105,28
12,Capital,001,0001L,0175,323,4,13,13,6,64,5,98,32
12,Capital,001,0001L,0176,325,4,9,13,2,79,12,97,25
12,Capital,001,0001L,0177,322,7,5,8,1,80,16,97,30
12,Capital,001,0001L,0178,322,3,4,12,4,80,15,97,21
12,Capital,001,0001L,0179,323,1,4,13,4,66,10,120,28
12,Capital,001,0001L,0180,323,5,7,10,1,85,5,88,47
12,Capital,001,0001L,0181,323,2,5,12,3,88,7,105,33
12,Capital,001,0001L,0182,322,5,8,7,3,68,13,121,33
12,Capital,001,0001L,0183,322,6,5,14,5,70,11,96,30
12,Capital,001,0001L,0184,323,10,0,12,2,65,9,114,24
12,Capital,001,0001L,0185,322,1,6,13,4,64,6,107,40
12,Capital,001,0001L,0186,325,5,9,10,5,69,11,96,36
12,Capital,001,0001L,0187,322,7,14,14,0,71,9,97,28
12,Capital,001,0001L,0188,323,10,0,14,1,66,10,115,32
12,Capital,001,0001L,0189,324,7,2,14,5,76,5,100,27
12,Capital,001,0001L,0190,324,1,5,14,3,69,11,100,21
12,Capital,001,0001L,0191,322,2,1,9,5,75,12,111,28
