codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0159,0503,0514,0517,0549,0567,0573
12,Capital,001,0001A,0001,330,6,6,11,6,6,112,39,10,9
12,Capital,001,0001A,0002,330,8,5,9,7,5,132,31,6,17
12,Capital,001,0001A,0003,329,6,6,7,5,7,120,39,7,18
12,Capital,001,0001A,0004,337,5,3,5,9,7,117,39,6,18
12,Capital,001,0001A,0005,328,10,0,7,7,9,145,27,1,13
12,Capital,001,0001A,0006,332,4,9,14,6,5,102,37,2,16
12,Capital,001,0001A,0007,329,9,8,10,6,12,108,38,4,20
12,Capital,001,0001A,0008,331,3,4,6,12,8,102,35,9,26
12,Capital,001,0001B,0009,301,6,7,13,9,8,88,43,7,20
12,Capital,001,0001B,0010,301,3,6,11,5,12,120,41,5,12
12,Capital,001,0001B,0011,301,10,6,13,6,10,102,46,3,6
12,Capital,001,0001B,0012,302,11,1,7,8,8,118,43,5,9
12,Capital,001,0001B,0013,303,10,3,8,7,15,105,45,4,13
12,Capital,001,0001B,0014,302,1,4,7,14,14,94,50,7,6
12,Capital,001,0001B,0015,300,0,7,9,6,6,98,46,3,13
12,Capital,001,0001C,0016,338,10,5,8,4,12,82,82,10,14
12,Capital,001,0001C,0017,338,11,10,5,4,8,105,77,3,18
12,Capital,001,0001C,0018,338,4,7,10,2,6,100,64,5,13
12,Capital,001,0001C,0019,337,7,7,7,14,10,91,78,7,14
12,Capital,001,0001C,0020,340,1,28,12,8,0,102,66,0,13
12,Capital,001,0001C,0021,338,10,2,18,8,9,87,67,5,9
12,Capital,001,0001C,0022,338,4,3,8,8,12,97,68,8,17
12,Capital,001,0001C,0023,338,7,6,10,4,6,94,65,6,13
12,Capital,001,0001C,0024,337,8,6,15,8,6,100,74,3,6
12,Capital,001,0001C,0025,340,8,3,13,2,5,82,87,5,10
12,Capital,001,0001C,0026,339,13,7,7,9,9,110,50,4,15
12,Capital,001,0001C,0027,338,10,3,16,6,8,85,73,5,17
12,Capital,001,0001C,0028,338,0,9,13,6,7,89,70,7,7
12,Capital,001,0001C,0029,339,4,5,12,7,9,87,71,2,10
12,Capital,001,0001D,0030,325,3,8,16,4,6,55,90,6,9
12,Capital,001,0001D,0031,329,8,5,12,4,12,61,90,7,13
12,Capital,001,0001D,0032,328,15,2,24,7,3,55,107,8,4
12,Capital,001,0001D,0033,326,8,9,11,6,5,62,89,8,8
12,Capital,001,0001D,0034,324,5,9,19,4,4,72,90,7,12
12,Capital,001,0001D,0035,327,14,0,20,3,5,60,102,8,7
12,Capital,001,0001D,0036,327,9,4,13,6,7,74,96,4,13
12,Capital,001,0001D,0037,328,7,9,21,5,4,66,93,6,8
12,Capital,001,0001D,0038,325,2,18,24,1,5,65,91,3,9
12,Capital,001,0001D,0039,326,10,2,24,6,6,59,84,8,9
12,Capital,001,0001D,0040,324,10,6,19,6,8,56,95,10,5
12,Capital,001,0001D,0041,329,17,8,12,5,5,72,92,5,8
12,Capital,001,0001D,0042,326,10,9,21,10,2,45,91,7,6
12,Capital,001,0001D,0043,327,14,0,14,5,6,62,96,6,7
12,Capital,001,0001E,0044,302,8,6,4,12,8,109,27,8,16
12,Capital,001,0001E,0045,303,18,0,9,6,5,116,39,11,14
12,Capital,001,0001E,0046,301,8,4,19,9,7,97,32,4,10
12,Capital,001,0001E,0047,303,8,6,16,4,5,116,27,3,14
12,Capital,001,0001E,0048,300,11,6,10,5,6,113,41,6,12
12,Capital,001,0001E,0049,309,2,5,14,6,8,110,31,5,8
12,Capital,001,0001F,0050,289,8,4,6,9,6,95,23,1,16
12,Capital,001,0001F,0051,293,0,0,4,7,5,112,20,5,13
12,Capital,001,0001F,0052,289,13,2,3,5,8,103,21,5,20
12,Capital,001,0001F,0053,291,2,1,5,8,8,113,29,6,16
12,Capital,001,0001G,0054,315,4,2,8,15,9,106,24,10,17
12,Capital,001,0001G,0055,314,1,3,10,5,6,115,36,6,11
12,Capital,001,0001G,0056,314,14,2,5,10,3,103,42,3,13
12,Capital,001,0001G,0057,312,7,5,16,5,8,118,29,3,15
12,Capital,001,0001G,0058,314,4,1,12,4,9,108,38,7,13
12,Capital,001,0001G,0059,313,8,2,10,7,9,104,44,4,11
12,Capital,001,0001H,0060,332,6,2,15,7,3,82,82,4,5
12,Capital,001,0001H,0061,336,11,3,15,2,6,60,85,4,14
12,Capital,001,0001H,0062,334,13,3,19,5,10,58,87,6,9
12,Capital,001,0001H,0063,334,11,5,12,3,9,56,94,6,9
12,Capital,001,0001H,0064,334,16,12,12,2,5,57,88,3,13
12,Capital,001,0001H,0065,333,0,0,21,3,7,63,90,3,6
12,Capital,001,0001H,0066,333,14,9,13,4,11,52,85,13,10
12,Capital,001,0001H,0067,333,0,0,18,3,5,68,105,4,7
12,Capital,001,0001H,0068,333,21,6,19,4,5,44,78,3,6
12,Capital,001,0001H,0069,332,3,8,21,5,4,69,111,7,0
12,Capital,001,0001H,0070,334,5,2,24,3,5,74,84,9,6
12,Capital,001,0001H,0071,335,1,1,19,5,6,77,98,2,8
12,Capital,001,0001H,0072,335,6,11,10,5,4,54,91,6,15
12,Capital,001,0001H,0073,336,10,11,23,5,9,64,88,3,15
12,Capital,001,0001H,0074,333,10,1,19,7,10,71,84,11,11
12,Capital,001,0001H,0075,334,11,1,20,4,6,77,90,0,10
12,Capital,001,0001H,0076,333,10,6,25,10,1,64,93,6,12
